episode,service_level,squared_starvation_penalty,squared_congestion_penalty,time_of_day_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk
104,0.9337236675318404,-250.9271116474561,-292.4854903453464,-83.67512978117286,-18.04337060741887,-220.9394993216015
105,0.9292509998788026,-255.90020993557005,-296.7826254605178,-87.32642239060519,-9.686855794975601,-226.86479446255535
106,0.9281321596527191,-259.02117177877,-299.4906692966991,-94.33252308991516,-19.12143574391545,-230.20728781965977
107,0.9254366120713058,-262.9244319604634,-302.50131587668403,-89.12825449424203,-16.069339811591117,-235.06068872358824
108,0.9292641532306947,-263.7368027395168,-304.24867240610877,-84.98489628879192,-12.242738131846059,-236.6124315247138
109,0.9261063011063011,-264.93203198482973,-304.4987041770354,-81.39728595116107,-13.792867728341864,-237.64652278954964
110,0.9333833683578505,-264.170759828952,-306.91422478598145,-80.00831111058861,-8.921693480032943,-237.47747313633172
111,0.9318354796480652,-264.58919504239014,-309.19773811544337,-85.53548263878217,-15.698783265058704,-237.7603428416196
112,0.9320027365477854,-264.5235067291703,-309.6420521007626,-81.85792549680208,-9.599806462051445,-237.19829211192672
113,0.9302875864579542,-265.8552138920386,-310.1034478792533,-83.15108712491869,-5.51111325203518,-238.51531845514072
114,0.9228980430055569,-270.1058801568677,-313.6318188387972,-93.12787607162453,-25.95283724843413,-244.08340543089065
115,0.9296087729697688,-272.5557567072559,-315.8337954850313,-92.50421223690323,-24.21980775202898,-247.95868624523055
116,0.9330030810125053,-271.59956112405905,-316.2447686653543,-82.7749287420537,-12.643802034376835,-247.47101468072725
117,0.9289779535106638,-275.70818120646294,-318.5051714793019,-82.13026289451909,-21.045667640163643,-251.73211544096358
118,0.9319734031350604,-277.62104611348013,-319.27452756691736,-78.48052350128097,-12.276206632389442,-254.15565197661516
119,0.9321533923303835,-278.83136787763056,-322.2509109214441,-76.50965641186528,-18.715137300185056,-256.589407669159
120,0.9303116147308782,-282.1674811160128,-325.2202532762228,-77.56743889783066,-24.972559909482463,-261.34830712274726
121,0.9306315413891532,-284.4540422991338,-328.11820483620943,-78.12654820290969,-19.653723139396888,-264.81837199659986
122,0.9356346418206812,-284.5003790522279,-330.6369116681178,-77.92157527344047,-3.738402442327898,-264.71269672770694
123,0.9305617910269073,-283.16380065977563,-330.18159584678403,-85.7004710387529,-16.58561727852259,-264.1091195244087
124,0.9271427713376179,-284.09231710763333,-331.77544440655237,-86.26586825156637,-27.324580275080695,-266.304270695546
125,0.9332731648616125,-284.14111096914735,-332.0047480300671,-84.51874806565763,-14.321414712259275,-266.42863492015283
126,0.9305199068823494,-285.83783133395735,-332.83395438131106,-90.5355998131987,-9.399499517367117,-269.1869102481344
127,0.9318050354674704,-287.46771570486897,-333.40317562014326,-89.07795957591867,-16.900077817507242,-271.3472630540637
128,0.9373867890351407,-284.2513598806037,-331.67668781728133,-81.38882824465716,-7.164707257851105,-267.5272507878073
129,0.9311213648230223,-283.89983876061115,-332.65411371781636,-85.66139065211419,-12.189878582080826,-268.11577755410383
130,0.9289017513500611,-285.472631427654,-333.65921370747486,-92.22176639853852,-21.448001725634946,-269.9695144549277
131,0.9258958877774774,-290.42675306876896,-338.84108707257616,-102.7922373161498,-29.686571214120402,-276.81103912510656
132,0.9368389332529757,-288.32811082638904,-338.81229406246916,-92.48411627325605,-9.945348829292906,-274.29936813821087
133,0.9261191568468712,-289.9661934495597,-340.23646512852366,-89.57689223394625,-12.952145732181366,-275.5039173648059
134,0.9333697101976476,-290.1498621111779,-341.5284929878136,-83.70826952486797,-5.795320247849805,-275.57706920335306
135,0.9371345029239766,-287.8882084674078,-341.55110627327633,-79.79406635993686,-15.360629849063338,-273.0438032866476
136,0.9306737215524757,-290.93051868691134,-344.7713470383726,-86.2316821311833,-15.148579631113456,-276.82248684273907
137,0.9274284359627808,-293.6169278112718,-348.28642729553826,-90.33507975282843,-26.712730909050272,-280.7293405163751
138,0.9376503181416872,-289.4729206805625,-344.97891736363164,-79.15915889826866,-12.007257032623565,-275.394670612697
139,0.9337288034034394,-291.309812782557,-346.51092456385555,-85.49889127558292,-12.23348160469034,-277.4716061364199
140,0.9321118374612528,-292.1190855410017,-347.46361138537185,-89.25150682714606,-15.473073140312904,-277.971997268375
141,0.9345300319584242,-291.1786055896195,-347.3034040937156,-86.79528631533586,-12.504177697603122,-275.78043203723996
142,0.933427804745681,-290.2277588544151,-347.0725702909559,-84.94994139550377,-12.103578615763334,-275.0812230212343
143,0.9377530670212123,-287.1834626494588,-346.0193312339782,-84.04667331539609,-4.284284718053326,-271.246417037189
144,0.9301888481159939,-286.1018090509452,-347.318549159038,-94.0825152085044,-17.825069699776478,-271.7132372405563
145,0.9288606130711394,-284.5932931238985,-347.383882983718,-94.00314415632084,-9.837013616359178,-270.42672611343613
146,0.9342239874826984,-284.38656369653705,-348.16274390128484,-93.10107217881105,-15.515224898834159,-270.939140053441
147,0.9207890370552448,-289.3434250340865,-352.14146100261195,-106.79880703578463,-31.74129777282284,-277.6650637995348
148,0.9299573496726137,-288.53881783108153,-351.88571735672895,-101.52725834110669,-24.66157802644245,-276.93394223523006
149,0.9276272107201062,-289.7303900375971,-353.1939824926212,-98.77328710794357,-19.595871069249785,-278.55303558107295
150,0.9355461677730839,-286.8790371449003,-352.498664616391,-95.68417876667341,-15.978089285779388,-275.70885537706215
151,0.9341528724440117,-285.27527276272133,-351.1685127152624,-89.25305023236658,-8.315831908112559,-273.3448517568531
152,0.9357276175567464,-284.6270699769143,-350.7519809795207,-91.35167016221303,-9.906907264054915,-272.4877859319094
153,0.9409268632740279,-281.5219986091516,-348.51753891745216,-84.38020247312373,-8.876276295196401,-268.6315156205225
154,0.9303776485126134,-280.8844957498377,-349.1593934759294,-90.63738595946413,-17.15945210754718,-269.34529258117516
155,0.9287282708142727,-282.38525328116225,-351.1029642324403,-96.07989693819945,-22.11398945612895,-271.7483592805442
156,0.9308926122473317,-283.5697003171478,-352.6445559726019,-98.85032599415963,-28.272916350439413,-273.77187101255674
157,0.9294017922015015,-282.9162918372762,-352.9674901903244,-96.32302645286897,-22.472699611815113,-273.03408479169934
158,0.9337248322147651,-282.60933916939973,-352.96798434287876,-97.24466530296799,-18.36878438604369,-272.4881309323223
159,0.9277719743321893,-285.15638008740933,-355.0696486271025,-101.96100888397582,-20.384045859412385,-275.4862426159901
160,0.9294445116785671,-285.3754526279018,-355.98667709386405,-97.2274773843396,-16.056375635359622,-276.1282546971468
161,0.9358985966500679,-284.3429392013982,-356.06284929199285,-92.10418831102783,-16.031011976065795,-275.33737659789176
162,0.9285649751543442,-286.8545420054893,-357.6282857392147,-94.43068844084759,-25.03198455495344,-278.6874804186457
163,0.9325087799664071,-286.1371589571675,-358.3828949104642,-99.41373340142023,-24.202012239972294,-278.38800593047335
164,0.9311159632698233,-286.9815488430575,-358.9521418879074,-97.45143054350613,-19.23959177694829,-279.2167484759999
165,0.9345636061110271,-286.9737167471914,-357.90792548398116,-94.22722724029056,-17.977866182968015,-278.4527862465716
166,0.9346490298755941,-286.0957101452467,-358.37488982912083,-91.62050505713748,-12.902671019063254,-277.17480622050186
167,0.9383087017845098,-285.34223740141624,-358.8290101744427,-92.43076929303166,-13.147432073188439,-276.81445247882544
168,0.9363566722843573,-284.25725771503687,-358.0107417216978,-92.4484258052254,-15.425211661713176,-275.45006833818417
169,0.9377302542905921,-282.5986102977808,-358.3878368516162,-94.09982758075742,-14.433941540854711,-273.7310549762468
170,0.936200564543054,-283.0337442618961,-358.81978982187775,-94.15582533158518,-21.774621483905477,-273.9942805805521
171,0.9306537236462915,-283.08073067509713,-359.72277773836663,-94.2434035049724,-21.777157999638625,-274.2864819148342
172,0.9368149967059951,-282.81705228505973,-360.1403859216334,-91.4408549214875,-18.038994748319656,-273.36253498034046
173,0.9269260840801107,-282.8143321539218,-360.3263268423194,-96.66390897155908,-24.357306942857356,-273.666493990696
174,0.9325469397707876,-282.4349826722315,-360.8204610514818,-96.65158231218683,-21.183138828505765,-273.61256379936424
175,0.9360971905846621,-281.89755344123904,-360.9047442282678,-99.30679110898495,-21.44992827609147,-273.17006668347295
176,0.9332426715019644,-281.82563644887256,-360.8545662758457,-102.02178686801128,-23.883645240457543,-273.4338161476481
177,0.9322993525071526,-281.9250996956323,-361.06436687573216,-100.56131103283603,-21.414618108021603,-273.9298423785849
178,0.9328501834365791,-281.5305846737799,-361.34573817919267,-98.18718788868401,-16.949690871426984,-274.02911035925854
179,0.9361345562022,-280.53616990796394,-360.38834899708945,-95.38610236964932,-12.220906921926213,-272.5852976212314
180,0.9350145781358021,-280.79753296302977,-360.03043559346656,-96.15414043506041,-15.244430032002356,-272.5591325141533
181,0.9351369264603983,-281.4292449804393,-360.6178830453405,-95.3785693602133,-17.523955950441795,-273.12228941953333
182,0.9357856302242071,-280.5504115894069,-360.1032218986212,-95.6227579473544,-17.37112948199121,-272.0464305162843
183,0.9364320096269555,-279.55954360028943,-359.70036459192727,-95.54917496645064,-17.630127930060414,-270.94588002573727
184,0.93619268962603,-278.2706476633805,-359.6868939340266,-95.43854250578111,-17.84562372503609,-269.5795882864952
185,0.938098969320716,-277.62811783582214,-360.42764757441336,-95.21586220325574,-16.880418841259047,-268.72847887596964
186,0.9310501041949806,-277.62767995967573,-361.4703648817488,-96.07548363700582,-18.628425459332757,-269.14049647967335
187,0.925619335347432,-279.0563660300952,-363.39363983464466,-100.8434956415927,-18.378824142753533,-270.8266100681435
188,0.92471024853223,-280.94109850892187,-364.6840415425183,-107.01149335348163,-25.295159007336668,-273.0265211972674
189,0.9307607365625093,-281.0771092925016,-365.6695459710617,-107.41758041449629,-20.916537634953826,-273.0802645439871
190,0.9260168933085724,-282.5819073522051,-366.27897147967326,-109.0887771967792,-30.02766175987587,-274.8291981268151
191,0.9289403015905805,-282.67828452465153,-366.37390047408735,-105.66286389801682,-25.81957001265785,-274.9360657976261
192,0.9295101907615628,-282.3626273394695,-366.41134739777243,-103.84502486268673,-23.512457725506458,-274.60510823520457
193,0.9341140252920049,-281.50345496230085,-365.91835306705906,-97.97496736403676,-16.18886098342958,-273.57243397873293
194,0.9330543933054394,-281.8993765422801,-366.19521366859357,-101.10967402365475,-22.15298544664837,-274.5893330669265
195,0.9331541922043417,-282.3664221361456,-366.4632726608308,-101.129586247325,-22.832010988806214,-274.8493075344413
196,0.9338239748016234,-281.4480470074643,-365.95783624514826,-98.9916426363457,-18.620465588258742,-273.552042324395
197,0.9324502123078763,-281.5862699886585,-366.14842987612644,-99.79493216964318,-19.55690894652131,-273.9574362573506
198,0.9357086590316912,-280.8362876862112,-365.50014208338473,-102.96385251458514,-23.382511428516736,-273.47379214102995
199,0.9357617896009673,-280.36212000813777,-365.73223614110276,-97.78707729995115,-12.580012001395788,-272.7329593522464
