episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,starvation_variance,work_ratio,imbalance_hotspot_distance,starvation_count,congestion_count,imbalance_asymmetry,hotspot_imbalance_mass,time_of_day_fraction,day_of_week_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk,multi_horizon_congestion_risk,temporal_demand_gradient,future_net_pressure
26,0.9390833959429,-50.43720672247005,-29.158668187172392,-16.147646045456003,-27.10978382245146,-14.441712718292413,-54.0331611656208,-42.96975437994632,-31.26223719403575,-16.362190009452878,-61.88036311863383,-0.6467357231107762,-25.62028600414932,-11.597575555190149,-13.73553957105116,-6.909157104350248,-36.64547458201758,0.0,-11.615012931049973,-30.38199314562713,-20.055213576843098,0.0,-13.73553957105116
27,0.9401423315843436,-50.8878281201233,-29.543700212389773,-16.343345037579066,-27.480091843108287,-14.62691925619416,-53.60260543537594,-42.54372922715813,-31.645335005560934,-16.58188989507176,-61.770300856253286,-0.6292805519257414,-26.02806747163677,-11.78642435376515,-13.8205959212666,-6.825233333854463,-37.135463087794705,0.0,-11.801588245091619,-30.671239576867947,-20.216588543255515,0.0,-13.8205959212666
28,0.9400326106648952,-51.41330624769245,-29.9531804371334,-16.53811860852177,-27.867677425835158,-14.801959914870151,-53.394128757309275,-42.27260913365502,-32.0632147871747,-16.81362534269933,-61.945256022623255,-0.655075351549488,-26.43867254490341,-11.951362287221196,-13.921566641973895,-6.791158110632786,-37.648121645635044,0.0,-12.164649179456623,-30.99985204900786,-20.41345419868477,0.0,-13.921566641973895
29,0.9417965446417784,-52.37885670337744,-30.547101009067582,-16.831175377634533,-28.41383954673017,-15.058123886712517,-54.2980766416625,-42.92311107632696,-32.721993522409065,-17.16144643969863,-63.17591284232758,-0.9433913628912645,-26.967731108020573,-12.147002723582808,-14.199240929475625,-6.947513650180211,-38.937991558237385,0.0,-13.2171000448711,-31.584890435155458,-20.793966268222235,0.0,-14.199240929475625
30,0.9421402660217654,-52.64187405574314,-30.840324776910652,-16.96022595837887,-28.695205798439126,-15.176398956742284,-53.437338056548434,-42.09059482155358,-32.98768783916505,-17.324567370055846,-62.66251807448071,-0.9726618028902969,-27.268465088592933,-12.270347906144607,-14.170176084853738,-6.7870859147301585,-39.02306048681422,0.0,-12.606995282647516,-31.754543663438806,-20.88733039230466,0.0,-14.170176084853738
31,0.9402998664562341,-52.62447570720571,-31.021967863789122,-16.97576559016476,-28.884694848133325,-15.19093971523208,-52.194998375048144,-40.76994381154876,-33.103832422298844,-17.422222746465884,-61.70581070922848,-0.6580449352772332,-27.52182481339422,-12.30807063399683,-14.128032363573233,-6.55333324266089,-38.83986343771014,0.0,-11.879485891670965,-31.776267046016272,-20.8482086611898,0.0,-14.128032363573233
32,0.9449513836948392,-52.74252420110299,-31.24918769896506,-17.041474493484813,-29.108422652749407,-15.252073292021171,-51.09644607758839,-39.72102277794236,-33.28913226944052,-17.542743329148113,-60.925101085915976,-0.40875612523510596,-27.791222169885625,-12.37984226960205,-14.089754122258437,-6.353118502725951,-38.85804342815352,0.0,-11.43188128120355,-31.870089012366467,-20.872435188736834,0.0,-14.089754122258437
33,0.9417596034696406,-53.115375369258324,-31.570171710658844,-17.203942575088835,-29.417146507852276,-15.400368174644878,-50.6171634951592,-39.270817470546504,-33.61455216661761,-17.724096934283182,-60.744589816934706,-0.37819648339989925,-28.132339893142948,-12.525037390439708,-14.132127876700752,-6.247441548579284,-39.158713699929194,0.0,-11.466957419291102,-32.10715738242068,-21.008217986837955,0.0,-14.132127876700752
34,0.9486973351198452,-53.51670434188816,-31.89635595346671,-17.363640676212825,-29.727247597701936,-15.541878408429588,-50.21109197865263,-38.84472297286045,-33.94494718005492,-17.907025678455778,-60.589844328880964,-0.42805731897487875,-28.465466188743616,-12.653364554951553,-14.1220535367527,-6.1498185559386185,-39.452666575622786,0.0,-11.420242187038056,-32.348083523277154,-21.168620818611448,0.0,-14.1220535367527
35,0.945941912181726,-54.07007465097045,-32.276301669999654,-17.549027509411648,-30.082687259356177,-15.707100262846174,-50.21336361529404,-38.81311170779098,-34.358689819970785,-18.122652302271288,-60.949944646767854,-0.47079293732681554,-28.804122199768763,-12.789361617866637,-14.225027465015375,-6.162712071010842,-40.12294662922321,0.0,-11.942668931920108,-32.68421029725634,-21.385864353714584,0.0,-14.225027465015376
36,0.941169368227233,-54.46973896036812,-32.615360682112474,-17.687348787489622,-30.400479120315403,-15.831734718407741,-49.88638135320014,-38.44675925685836,-34.695175428401924,-18.31040041186206,-60.90403774518823,-0.4705983316012232,-29.143207803120518,-12.899170903630072,-14.295566567254351,-6.093833971491064,-40.39291280828258,-0.0058848205215320006,-11.991764533527409,-32.937275160239594,-21.53246380012898,0.0,-14.295566567254353
37,0.9445014485755674,-54.843322980389246,-32.925430559683164,-17.822334674640718,-30.69466543171091,-15.952467257275236,-49.48285894705585,-38.06793445552236,-35.0178292060826,-18.480664417180193,-60.812197488377294,-0.49441045912157255,-29.446536366406402,-13.012905857373381,-14.350024004437046,-6.016767435470871,-40.735988567029075,0.0,-12.093174909894413,-33.174027986399594,-21.669294993990057,0.0,-14.350024004437048
38,0.9407058964525408,-54.93566634669063,-33.120414403826466,-17.891486811896026,-30.887697670086222,-16.023168753107747,-48.537749356524095,-37.2020734213976,-35.17810894852791,-18.583297409656883,-60.16379741189976,-0.42164377841115924,-29.682162294987386,-13.1026124639124,-14.312981927602056,-5.844959983785866,-40.65543152058021,0.0,-11.619282210716907,-33.247429848987565,-21.688236497703514,0.0,-14.312981927602058
39,0.9432952056461427,-55.74128793205737,-33.57693243275774,-18.153856566104167,-31.304048684613814,-16.25463228838974,-49.23111276145121,-37.95981651695793,-35.723657588395646,-18.845317764559596,-61.245111180077224,-0.6935263221300934,-30.04854341761172,-13.273912468376217,-14.528932096411612,-5.99163507878751,-41.78711396540908,0.0,-12.697815488402776,-33.7298287291105,-22.011459202947382,0.0,-14.528932096411614
40,0.9459763475511507,-56.02685288147319,-33.86603374687262,-18.27133997025922,-31.582088748661374,-16.363185418870742,-48.7001988494051,-37.428218376710504,-35.99563685507951,-19.00575408110512,-60.961741112422295,-0.5761233255391799,-30.355035188942757,-13.373722879287023,-14.56902495044887,-5.877349366631838,-41.866678518825836,0.0,-12.484262102206905,-33.91789026379149,-22.108962617682224,0.0,-14.569024950448872
41,0.948577449947313,-56.13686971431179,-34.03270840537318,-18.32117903225456,-31.73941600174132,-16.408154366740284,-47.90041875112682,-36.76076326278881,-36.15854960899881,-19.09240105916092,-60.482047755333916,-0.5235623635141433,-30.511721815570926,-13.42233365151981,-14.550258916140699,-5.752718697164651,-42.05567387123526,0.0,-12.49643691334777,-34.000237803495224,-22.136631910817222,0.0,-14.5502589161407
42,0.9385102533172497,-56.30195128691217,-34.245949876634334,-18.411095795614578,-31.943979387345358,-16.49455553415134,-47.17380419522333,-36.09057431591773,-36.350039124889406,-19.20753873438968,-59.981148620739226,-0.4169623079588581,-30.74947563447073,-13.512777207859632,-14.502719062867206,-5.604339448255441,-42.04877782903896,0.0,-12.27192114019301,-34.1080201329367,-22.193931153976155,0.0,-14.502719062867207
43,0.9412818410905668,-56.65640497486925,-34.51629695811157,-18.518562503194236,-32.19472259525512,-16.589581575102827,-47.0013179692054,-35.84191951797863,-36.64974430836652,-19.35479636945767,-60.08276653080788,-0.5573359041744244,-30.995775836520117,-13.590890164716585,-14.593817864251486,-5.573789682833144,-42.436669430194655,0.0,-12.576847807259439,-34.33444465478682,-22.32196032008329,0.0,-14.593817864251488
44,0.9465664850625636,-57.139519987952816,-34.83904798826509,-18.67029016915348,-32.490429473279676,-16.725678829581653,-47.22384121979568,-36.018207265767295,-37.01466008895121,-19.54028570607932,-60.56501212967435,-0.6223543506478931,-31.26245539648543,-13.69966906203082,-14.73726476231877,-5.624964069197043,-43.18908341031945,0.0,-13.305923594638534,-34.63247288434484,-22.50704710360877,0.0,-14.737264762318771
45,0.9390726096333573,-57.386019603112445,-35.056147981405374,-18.762736194723747,-32.69408528703,-16.808750905605716,-46.812021172848844,-35.64475375646607,-37.25249354505089,-19.66165271475786,-60.417850825324024,-0.5632603225269724,-31.473778710900202,-13.759129276016768,-14.769046127859328,-5.56218948304178,-43.432353197169064,0.0,-13.404308091620084,-34.79176972603637,-22.59424987707702,0.0,-14.76904612785933
46,0.9455430666586524,-57.444139394806186,-35.21127738230758,-18.819083679712836,-32.85023617915233,-16.863007146476164,-45.967793765692164,-34.9012376926495,-37.37990994238505,-19.743874245007976,-59.78687897140334,-0.35656129519517277,-31.663190343623818,-13.821172598248772,-14.70570608032735,-5.404215042106093,-43.29502451755816,0.0,-12.994255110691627,-34.83850862904076,-22.60563076576628,0.0,-14.705706080327351
47,0.943122214474123,-57.545949637192905,-35.39106132411849,-18.885626764809466,-33.02620888648413,-16.92875607426997,-45.13914937916718,-34.19448089483703,-37.52554366804139,-19.839888650818835,-59.19409309414654,-0.23644823065889534,-31.87379494053892,-13.887216904741734,-14.648896814310845,-5.2468409047510045,-43.14889779442733,0.0,-12.465235249474096,-34.909828884964064,-22.636120752229694,0.0,-14.648896814310847
48,0.9332848352581007,-58.095112269397326,-35.71934438283484,-19.062917215320326,-33.32635088039932,-17.086007523957452,-45.46292268115166,-34.577508811410645,-37.923417419121975,-20.025622652484667,-59.79649453963501,-0.3450782620697452,-32.154643328750375,-14.010912593695462,-14.783945812276851,-5.318322656916283,-43.80932233192805,0.0,-12.97312665652883,-35.240953992090056,-22.85415827730814,0.0,-14.783945812276853
49,0.9423251314914455,-58.66715716208157,-36.06496632550428,-19.24392061752871,-33.64363583994922,-17.243276258534028,-45.881865183880684,-34.97512872021136,-38.33071480321093,-20.2264364961875,-60.433647807817046,-0.4332525941594019,-32.45030348860631,-14.122906395348691,-14.908400184468384,-5.396844391762741,-44.50141972963311,0.0,-13.612571424996995,-35.58192674645546,-23.085230415627027,0.0,-14.908400184468386
50,0.9362247232134687,-58.79419393156298,-36.216123813177276,-19.283206149204627,-33.788356827224916,-17.27673001653199,-45.54321146492383,-34.58278886258183,-38.489033043142335,-20.314793400455645,-60.28356572627208,-0.4417093521008063,-32.6081951398967,-14.146000583773278,-14.930128084768233,-5.339362965795655,-44.723573311725154,0.0,-13.540786289231999,-35.66989979854221,-23.12429413302161,0.0,-14.930128084768235
51,0.9419249106078665,-58.93871990089772,-36.385162235636635,-19.37595636862235,-33.95179544587386,-17.364817391339713,-44.888437107706146,-34.04754995414328,-38.6481289068896,-20.405656426309882,-59.83436133809734,-0.31869001570176436,-32.796268894687536,-14.238831528613893,-14.867735193126762,-5.208797264890343,-44.637225594440096,0.0,-13.183931178958147,-35.759110851375,-23.179609049523698,0.0,-14.867735193126764
52,0.9421210305572199,-59.14142878577179,-36.58397369515487,-19.46039941433931,-34.141125806337904,-17.442106107865254,-44.47732988453244,-33.71209631774488,-38.8408032271006,-20.516339261604994,-59.630240929990954,-0.2999704568500142,-33.0067819112957,-14.311816458143385,-14.88430985740199,-5.124994645447588,-44.70333738058233,0.0,-13.050982578518399,-35.89041274498349,-23.25101604078923,0.0,-14.884309857401991
53,0.9404524779260933,-59.42664702205133,-36.801137260276356,-19.584215084258226,-34.34417483988216,-17.55443833939841,-44.32979313276357,-33.72423989867721,-39.08401379245887,-20.640478595443323,-59.65479836220955,-0.18723639541477477,-33.222416103371195,-14.403578069472308,-14.909554733831085,-5.086581072175611,-44.9913479455837,0.0,-13.273991029871244,-36.06363170324624,-23.363015318805942,0.0,-14.909554733831087
54,0.9346603456906452,-59.45389954562214,-36.91173464834562,-19.62896258113689,-34.455397770015374,-17.59867585928956,-43.55148328064931,-33.08827115756638,-39.182392575052255,-20.697655481049797,-59.07540154702349,-0.0448720221123348,-33.365038573770335,-14.456497462640568,-14.86135576858724,-4.940866624170752,-44.80086212296117,0.0,-12.877132812573057,-36.09315011460772,-23.36074943101518,0.0,-14.861355768587241
55,0.945951655249419,-59.86078601267784,-37.17798092396594,-19.780960159535603,-34.7009894360921,-17.736934504210147,-43.6605971021474,-33.296904088063066,-39.49743244284061,-20.847178968439344,-59.37314152149727,-0.03785908200601512,-33.592152391542626,-14.572807347263433,-14.947125333698445,-4.957278099154997,-45.06624831453786,0.0,-13.069931088869337,-36.34157089462084,-23.519215118057684,0.0,-14.947125333698446
56,0.9391685164077029,-60.07953426507679,-37.35184992571157,-19.86981213568271,-34.865531780676235,-17.818842610728332,-43.40004010003681,-33.161743410402174,-39.70227952135522,-20.944822070145694,-59.3637745135676,-0.06413972407848875,-33.761766769569,-14.63991148396809,-14.984747535045793,-4.92499250190677,-45.30785395583537,0.0,-13.224972510464179,-36.48167627722092,-23.597857987856443,0.0,-14.984747535045795
57,0.9409056717316082,-60.395142083157,-37.56943199615546,-19.978749364717533,-35.067790398473925,-17.917657646752723,-43.439564426808055,-33.19895488985578,-39.947596918768944,-21.069732751538037,-59.577721768612385,-0.13007763665078298,-33.9552294906875,-14.716493767941776,-15.041141680675906,-4.930558427205631,-45.64417653658752,0.0,-13.469925117674252,-36.67265734291792,-23.722484740239548,0.0,-15.041141680675908
58,0.9440163123332034,-60.43041204923321,-37.6763008152821,-20.010623731371744,-35.17428885466038,-17.94907682064509,-42.883101113933925,-32.68696830724463,-40.0472171813986,-21.13065058761566,-59.14601698871216,-0.020628029153342442,-34.08755668403865,-14.759396763982833,-15.014596039341196,-4.824505747052137,-45.53864081510817,0.0,-13.241563398475707,-36.706027591200225,-23.724384458033477,0.0,-15.014596039341198
59,0.9481179138321996,-60.65125944350755,-37.84787155358444,-20.099464345709098,-35.335677079567645,-18.032283622567768,-42.69723553925217,-32.57870965116548,-40.240075531790936,-21.22630195546558,-59.144023525208404,0.0,-34.255837925884755,-14.83756946983318,-15.03739042900193,-4.796516948351573,-45.671155380458735,0.0,-13.31141013476054,-36.842571254560156,-23.808688188947823,0.0,-15.037390429001931
60,0.9405000912575288,-60.837478134871716,-38.00682188720893,-20.18623752236975,-35.485948570703,-18.112639769684794,-42.34668793753106,-32.38952459302739,-40.41857899783615,-21.312951243420812,-58.98046545167995,-0.04106397759443926,-34.418551424413714,-14.91239702769047,-15.025898683005613,-4.729556723187101,-45.739239826431906,0.0,-13.255940115418193,-36.957361734691915,-23.880116400180235,0.0,-15.025898683005614
61,0.9406014588066484,-61.06383798056263,-38.18447245603717,-20.262557396557312,-35.65276348906046,-18.181468859552467,-42.229093180137774,-32.29297134574234,-40.61335679855217,-21.41466983951577,-59.027659396050595,-0.04849033800430593,-34.60117615008912,-14.969868162573086,-15.069987867409852,-4.711736023849493,-45.93991147701307,0.0,-13.285845127258053,-37.099208941375046,-23.964629039188047,0.0,-15.069987867409854
62,0.9336697909156453,-61.383761939439864,-38.39461251872192,-20.37678953776581,-35.84942615293094,-18.283331167388802,-42.338664895337025,-32.48358490445516,-40.8626864194873,-21.537073132831424,-59.31770034447565,-0.10691190636220498,-34.795235211065425,-15.05012871929971,-15.149157358058813,-4.733718518127938,-46.28570561140973,0.0,-13.655510812261035,-37.29508678666383,-24.088675152776506,0.0,-15.149157358058815
63,0.9366371254596974,-61.68887930289466,-38.59456541131981,-20.482987168979196,-36.03314639322196,-18.37866451230693,-42.430822798880534,-32.62482432652676,-41.09849047681559,-21.652375480125464,-59.58329458424184,-0.16287580830981843,-34.97409526523338,-15.1257661579406,-15.22998479176802,-4.7557010691312716,-46.663776657368324,0.0,-14.07549767183151,-37.48359293830622,-24.2052863645891,0.0,-15.229984791768022
64,0.9383613739389699,-61.78081072677763,-38.695730782550484,-20.532422497398795,-36.12923619767486,-18.42507939005294,-42.046353834233436,-32.315824244164645,-41.213485217845665,-21.704743245364956,-59.37083610837099,-0.08572093220738727,-35.067469384620296,-15.177459618049218,-15.226581755635992,-4.691885013274647,-46.66347891136991,0.0,-13.95612679818045,-37.54687485345565,-24.233935873322576,0.0,-15.226581755635994
65,0.9436283399830734,-61.969555147805906,-38.83456001824189,-20.603724530437784,-36.25659215578381,-18.490409750264785,-41.942226817211846,-32.2767109889327,-41.38148365546194,-21.78158059004845,-59.43736835478724,-0.13951747356707112,-35.187728442086396,-15.227535412560007,-15.258278660338336,-4.675536403334627,-46.861496651728494,0.0,-14.02048866493012,-37.6638265957268,-24.305728552079856,0.0,-15.258278660338338
66,0.9417520256841462,-62.024985373170395,-38.92287886961952,-20.644273996786108,-36.34516373410905,-18.529025862908927,-41.49635561589258,-31.916034767723538,-41.47682931685278,-21.82933275002391,-59.154081578608896,-0.10626761515929055,-35.29400666828482,-15.26092346121026,-15.23834958743955,-4.5967829290633055,-46.83547886999449,0.0,-13.851918558305155,-37.70404453145718,-24.320940841713913,0.0,-15.238349587439552
