Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;similarly imbalanced congested;similarly imbalanced starved;starvation;trips;
Mon 08:37.000000;6;7.20185923576355;5;6;2;1;;1342;;14;1.1158190942274255;0.8804332565514144;3;3;0;0;6;674;
Mon 08:38.000000;6;7.20185923576355;5;6;2;1;;1354;;14;1.1158190942274255;0.8804332565514144;3;3;0;0;6;680;
Mon 08:39.000000;6;7.20185923576355;5;6;2;1;;1360;;14;1.1158190942274255;0.8804332565514144;3;3;0;0;6;683;
Mon 08:40.000000;6;7.20185923576355;5;6;2;1;;1372;;14;1.1158190942274255;0.8804332565514144;3;3;0;0;6;689;
Mon 08:40.079455;6;7.20185923576355;5;6;2;1;;1372;;14;1.1158190942274255;1.0612294482364932;3;4;0;0;6;689;
Mon 08:40.863424;6;7.20185923576355;5;6;2;1;;1372;;14;1.1158190942274255;1.411047980669661;3;5;0;0;6;689;
Mon 08:41.000000;6;7.20185923576355;5;6;2;1;;1382;;14;1.1158190942274255;1.411047980669661;3;5;0;0;6;694;
Mon 08:42.000000;6;7.20185923576355;5;6;2;1;;1386;;14;1.1158190942274255;1.411047980669661;3;5;0;0;6;696;
Mon 08:43.000000;6;7.20185923576355;5;6;2;1;;1400;;14;1.1158190942274255;1.411047980669661;3;5;0;0;6;703;
Mon 08:43.416816;6;7.689971208572388;5;7;2;1;;1400;;15;1.1158190942274255;1.411047980669661;3;5;0;0;6;703;
Mon 08:44.000000;6;7.689971208572388;5;7;2;1;;1404;;15;1.1158190942274255;1.411047980669661;3;5;0;0;6;705;
Mon 08:44.147890;6;7.689971208572388;5;7;2;1;;1404;;15;1.1158190942274255;1.7608665131028287;3;6;0;0;6;705;
Mon 08:44.373074;6;8.155875205993652;5;7;3;1;;1404;;16;1.1158190942274255;1.7608665131028287;3;6;0;0;6;705;
Mon 08:45.000000;6;8.155875205993652;5;7;3;1;;1418;;16;1.1158190942274255;1.7608665131028287;3;6;0;0;6;712;
Mon 08:46.000000;6;8.155875205993652;5;7;3;1;;1434;;16;1.1158190942274255;1.7608665131028287;3;6;0;0;6;720;
Mon 08:47.000000;6;8.155875205993652;5;7;3;1;;1446;;16;1.1158190942274255;1.7608665131028287;3;6;0;0;6;726;
Mon 08:48.000000;6;8.155875205993652;5;7;3;1;;1456;;16;1.1158190942274255;1.7608665131028287;3;6;0;0;6;731;
Mon 08:49.000000;6;8.155875205993652;5;7;3;1;;1474;;16;1.1158190942274255;1.7608665131028287;3;6;0;0;6;740;
Mon 08:50.000000;6;8.155875205993652;5;7;3;1;;1480;;16;1.1158190942274255;1.7608665131028287;3;6;0;0;6;743;
Mon 08:51.000000;6;8.155875205993652;5;7;3;1;;1490;;16;1.1158190942274255;1.7608665131028287;3;6;0;0;6;748;
Mon 08:52.000000;6;8.155875205993652;5;7;3;1;;1508;;16;1.1158190942274255;1.7608665131028287;3;6;0;0;6;757;
Mon 08:53.000000;6;8.155875205993652;5;7;3;1;;1534;;16;1.3547631028808418;1.7608665131028287;4;6;0;0;6;770;
Mon 08:54.000000;6;8.155875205993652;5;7;3;1;;1550;;16;1.3547631028808418;1.7608665131028287;4;6;0;0;6;778;
Mon 08:55.000000;6;8.155875205993652;5;7;3;1;;1570;;16;1.3547631028808418;1.7608665131028287;4;6;0;0;6;788;
Mon 08:56.000000;6;8.155875205993652;5;7;3;1;;1594;;16;1.3547631028808418;1.7608665131028287;4;6;0;0;6;800;
Mon 08:56.818442;6;8.641053915023804;5;7;3;1;1;1594;;17;1.3547631028808418;1.7608665131028287;4;6;0;0;6;800;
Mon 08:57.000000;6;8.641053915023804;5;7;3;1;1;1612;;17;1.3547631028808418;1.7608665131028287;4;6;0;0;6;809;
Mon 08:58.000000;6;8.641053915023804;5;7;3;1;1;1622;;17;1.3547631028808418;1.7608665131028287;4;6;0;0;6;814;
Mon 08:59.000000;6;8.641053915023804;5;7;3;1;1;1638;;17;1.3547631028808418;1.7608665131028287;4;6;0;0;6;822;
Mon 09:00.000000;6;8.641053915023804;5;7;3;1;1;1656;;17;1.3547631028808418;1.7608665131028287;4;6;0;0;6;831;
Mon 09:01.000000;6;8.641053915023804;5;7;3;1;1;1666;;17;1.3547631028808418;1.7608665131028287;4;6;0;0;6;836;
Mon 09:01.144127;6;9.19465184211731;5;7;4;1;1;1666;;18;1.3547631028808418;1.7608665131028287;4;6;0;0;6;836;
Mon 09:02.000000;6;9.19465184211731;5;7;4;1;1;1690;;18;1.593707111534258;1.7608665131028287;5;6;0;0;6;848;
Mon 09:03.000000;6;9.19465184211731;5;7;4;1;1;1702;;18;1.593707111534258;1.7608665131028287;5;6;0;0;6;854;
Mon 09:04.000000;6;9.19465184211731;5;7;4;1;1;1722;;18;1.593707111534258;1.7608665131028287;5;6;0;0;6;864;
Mon 09:04.956853;6;9.731411933898926;5;7;4;2;1;1722;;19;1.593707111534258;1.7608665131028287;5;6;0;0;6;864;
Mon 09:05.000000;6;9.731411933898926;5;7;4;2;1;1744;;19;1.593707111534258;1.7608665131028287;5;6;0;0;6;875;
Mon 09:06.000000;6;9.731411933898926;5;7;4;2;1;1750;;19;1.593707111534258;1.7608665131028287;5;6;0;0;6;878;
Mon 09:07.000000;6;9.731411933898926;5;7;4;2;1;1780;;19;1.593707111534258;1.7608665131028287;5;6;0;0;6;893;
Mon 09:07.453867;6;9.731411933898926;5;7;4;2;1;1780;;19;1.593707111534258;1.9650911826733188;5;7;0;0;6;893;
Mon 09:08.000000;6;9.731411933898926;5;7;4;2;1;1796;;19;1.593707111534258;1.9650911826733188;5;7;0;0;6;901;
Mon 09:09.000000;6;9.731411933898926;5;7;4;2;1;1802;;19;1.593707111534258;1.9650911826733188;5;7;0;0;6;904;
Mon 09:10.000000;6;9.731411933898926;5;7;4;2;1;1818;;19;1.593707111534258;1.9650911826733188;5;7;0;0;6;912;
Mon 09:11.000000;6;9.731411933898926;5;7;4;2;1;1834;;19;1.593707111534258;1.9650911826733188;5;7;0;0;6;920;
Mon 09:12.000000;6;9.731411933898926;5;7;4;2;1;1846;;19;1.593707111534258;1.9650911826733188;5;7;0;0;6;926;
Mon 09:12.935687;6;10.1951904296875;5;7;5;2;1;1846;;20;1.593707111534258;1.9650911826733188;5;7;0;0;6;926;
Mon 09:13.000000;6;10.1951904296875;5;7;5;2;1;1866;;20;1.593707111534258;1.9650911826733188;5;7;0;0;6;936;
Mon 09:14.000000;6;10.1951904296875;5;7;5;2;1;1892;;20;1.8275173220709273;1.9650911826733188;6;7;0;0;6;949;
Mon 09:15.000000;6;10.1951904296875;5;7;5;2;1;1904;;20;1.8275173220709273;1.9650911826733188;6;7;0;0;6;955;
Mon 09:16.000000;6;10.1951904296875;5;7;5;2;1;1926;;20;1.8275173220709273;1.9650911826733188;6;7;0;0;6;966;
Mon 09:17.000000;6;10.1951904296875;5;7;5;2;1;1936;;20;2.0613275326075966;1.9650911826733188;7;7;0;0;6;971;
Mon 09:18.000000;6;10.1951904296875;5;7;5;2;1;1952;;20;2.0613275326075966;1.9650911826733188;7;7;0;0;6;979;
Mon 09:18.241263;6;10.693107843399048;5;8;5;2;1;1952;;21;2.0613275326075966;1.9650911826733188;7;7;0;0;6;979;
