episode,service_level,rebalancing_imbalance,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
256,0.8153914212308373,-4.986186246789344,-1.9790599668292483,-0.6417241321593642,0.005743,0.05,0.015385
257,0.8300520403523249,-4.993513929878326,-1.9821177295133359,-0.6425828942369698,0.005724,0.05,0.015232
258,0.8255897547355926,-5.000433345120051,-1.9849425534113583,-0.6434113805549414,0.005704,0.05,0.01508
259,0.823987512797704,-5.007822725431765,-1.988075465184925,-0.644257435263998,0.005684,0.05,0.01493
260,0.8155756886868146,-5.015287851423944,-1.9911675506654352,-0.6451543787411069,0.005665,0.05,0.014781
261,0.8277099426862696,-5.022402172942215,-1.9939469717329188,-0.6461855631026215,0.005646,0.05,0.014634
262,0.813340062242409,-5.030071649702618,-1.9970147691973266,-0.6471759020443996,0.005627,0.05,0.014488
263,0.8248581847649918,-5.03737694668654,-1.999921247564587,-0.648094579770217,0.005608,0.05,0.014343
264,0.8184225618189792,-5.044709786955842,-2.0029149577667007,-0.6490770522344431,0.005589,0.05,0.0142
265,0.820897282544603,-5.0517181113075535,-2.005725520327259,-0.6499895929097006,0.00557,0.05,0.014059
266,0.8256058295204203,-5.058946056654839,-2.0087104886063454,-0.650874752150308,0.005551,0.05,0.013918
267,0.8211633455425249,-5.066781670997115,-2.011675241563957,-0.652084789057532,0.005533,0.05,0.01378
268,0.82317533240556,-5.073883977398241,-2.0144928785245555,-0.6530935839671465,0.005515,0.05,0.013642
269,0.8204972198279504,-5.0812387704221385,-2.017459467095478,-0.6540124002997488,0.005496,0.05,0.013506
270,0.8260147322851821,-5.087972121915178,-2.020056401543004,-0.6548836695372061,0.005478,0.05,0.013372
271,0.8168552909964066,-5.095657372391597,-2.0233882596878163,-0.6558087169565953,0.00546,0.05,0.013238
272,0.8147505057316251,-5.102663147548334,-2.026167698570673,-0.6566612914402485,0.005442,0.05,0.013106
273,0.8245127702371495,-5.109518238853527,-2.028903153333027,-0.6575576856644241,0.005425,0.05,0.012976
274,0.8211954131854007,-5.116864153671317,-2.0318895778670725,-0.6585251924353127,0.005407,0.05,0.012846
275,0.8242068155111634,-5.124376543031049,-2.0349890531042876,-0.6595436289848289,0.005389,0.05,0.012718
276,0.8212054021366659,-5.131103247089828,-2.0376946815195938,-0.6603574638498014,0.005372,0.05,0.012592
277,0.8197920353236597,-5.138153255793918,-2.0406239956691588,-0.6612052751309168,0.005355,0.05,0.012466
278,0.8151189936346384,-5.144810577992829,-2.0433776075735577,-0.6620228206786731,0.005337,0.05,0.012342
279,0.8261785575837253,-5.151192942427352,-2.0460046682007675,-0.6627641066462311,0.00532,0.05,0.012219
280,0.8322411314320104,-5.158075755408912,-2.048744954205186,-0.6635764923706226,0.005303,0.05,0.012097
281,0.821748652291105,-5.164782729250843,-2.0514651283660044,-0.6643744413808057,0.005286,0.05,0.011976
282,0.8210481968318166,-5.171546789435369,-2.05410612729221,-0.6652406432467639,0.00527,0.05,0.011857
283,0.8187942297223734,-5.177924265081586,-2.056740825514943,-0.6658751179710145,0.005253,0.05,0.011739
284,0.8237537455734132,-5.184350231147273,-2.059300935255861,-0.6667258949563366,0.005236,0.05,0.011622
285,0.824581417978056,-5.191091945028312,-2.0619925195903672,-0.6676390916374917,0.00522,0.05,0.011506
286,0.8273089678737731,-5.197936649067508,-2.0647661485509015,-0.6685290133040132,0.005204,0.05,0.011391
287,0.820200224707796,-5.204913647153494,-2.067724617792959,-0.669324575466976,0.005187,0.05,0.011278
288,0.8281515749370706,-5.2114366698337244,-2.0702508583949233,-0.6702088335879304,0.005171,0.05,0.011165
289,0.8213722265113625,-5.21786451203603,-2.0728073488961805,-0.6710223218310283,0.005155,0.05,0.011054
290,0.8181726196499038,-5.2245405423784765,-2.075376555120508,-0.6719220544254918,0.005139,0.05,0.010944
291,0.8228057444690079,-5.231299469427017,-2.078114889156592,-0.6726645056135282,0.005123,0.05,0.010835
292,0.8346675187514715,-5.237737157684231,-2.080519955786898,-0.6735942602611841,0.005108,0.05,0.010727
293,0.8197557195940879,-5.243934219064644,-2.082983964889519,-0.6743843352070331,0.005092,0.05,0.01062
294,0.8288498235304051,-5.250212400815692,-2.0856074633784383,-0.6751470169906929,0.005076,0.05,0.010514
295,0.8214869625309713,-5.256238534726106,-2.088064773730196,-0.6758899021095188,0.005061,0.05,0.010409
296,0.8228733872731249,-5.262880699030283,-2.090856326572887,-0.6767704939025836,0.005046,0.05,0.010305
297,0.8177007695260988,-5.268941111772436,-2.0934630453896643,-0.6773931611242187,0.00503,0.05,0.010202
298,0.815517154347058,-5.27543356358583,-2.096072451466474,-0.678224022878158,0.005015,0.05,0.010101
299,0.8253403387440619,-5.281804963165506,-2.0986601315874913,-0.6789674322211251,0.005,0.05,0.01
