policy,experiment,experiment_label,label,mean,std,n,metric
Hybrid,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,Hybrid: EX16 DepotIdlePipeline,847.4,58.12668157663149,10,congestions
Hybrid,EX17_CompactMaintenanceFull,EX17 CompactMaintenanceFull,Hybrid: EX17 CompactMaintenanceFull,900.4,82.38824080062773,10,congestions
Hybrid,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,Hybrid: EX20 FleetShortageLogistics,881.7,63.045045624361144,10,congestions
Hybrid,Imbalance,Imbalance,Hybrid: Imbalance,886.3,74.39690853792246,10,congestions
Hybrid,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,Hybrid: Imbalance severity squared temporal,861.3,65.09659489302543,10,congestions
Hybrid,Imbalance_severity_temporal,Imbalance severity temporal,Hybrid: Imbalance severity temporal,853.8,65.31258173838586,10,congestions
Hybrid,Imbalance_squared,Imbalance squared,Hybrid: Imbalance squared,880.0,84.63779035132923,10,congestions
Hybrid,Imbalance_squared_count_temporal,Imbalance squared count temporal,Hybrid: Imbalance squared count temporal,830.7,69.92066933318073,10,congestions
Hybrid,Imbalance_squared_temporal,Imbalance squared temporal,Hybrid: Imbalance squared temporal,859.8,56.49346078185609,10,congestions
Hybrid,Imbalance_temporal,Imbalance temporal,Hybrid: Imbalance temporal,891.9,78.72660146213462,10,congestions
Hybrid,R4_NetTemporalAlternative,Net temporal,Hybrid: Net temporal,909.7,41.48373175113346,10,congestions
Hybrid,Squared_only,Squared only,Hybrid: Squared only,889.2,88.71151747847252,10,congestions
Hybrid,Squared_temporal,Squared temporal,Hybrid: Squared temporal,847.4,93.51197190140356,10,congestions
VFA,EX12_ShortagePressure,EX12 ShortagePressure,VFA: EX12 ShortagePressure,1058.9,71.60299497150164,10,congestions
VFA,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,VFA: EX13 DemandWeightedBacklog,1137.0,92.15928240461365,10,congestions
VFA,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,VFA: EX14 RepairOpportunityLogistics,1158.5,123.26777536909002,10,congestions
VFA,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,VFA: EX15 FleetBrokenGlobal,1017.3,83.92860722728042,10,congestions
VFA,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,VFA: EX16 DepotIdlePipeline,1027.3,79.48591769056397,10,congestions
VFA,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,VFA: EX20 FleetShortageLogistics,1085.5,79.73462930942317,10,congestions
VFA,Imbalance,Imbalance,VFA: Imbalance,1325.5,90.87628953693037,10,congestions
VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,969.9,72.83993105128226,10,congestions
VFA,Imbalance_severity_temporal,Imbalance severity temporal,VFA: Imbalance severity temporal,997.5,78.3358155635084,10,congestions
VFA,Imbalance_squared,Imbalance squared,VFA: Imbalance squared,1330.1,100.35763825218065,10,congestions
VFA,Imbalance_squared_count_temporal,Imbalance squared count temporal,VFA: Imbalance squared count temporal,1088.7,133.78843165402773,10,congestions
VFA,Imbalance_squared_temporal,Imbalance squared temporal,VFA: Imbalance squared temporal,1050.7,98.59124369503274,10,congestions
VFA,Imbalance_temporal,Imbalance temporal,VFA: Imbalance temporal,1093.5,91.26913802351567,10,congestions
VFA,R4_NetTemporalAlternative,Net temporal,VFA: Net temporal,1170.2,101.18937142254066,10,congestions
VFA,Squared_only,Squared only,VFA: Squared only,1293.2,172.4553404346889,10,congestions
VFA,Squared_temporal,Squared temporal,VFA: Squared temporal,1146.0,65.7047267029634,10,congestions
Hybrid,EX12_ShortagePressure,EX12 ShortagePressure,Hybrid: EX12 ShortagePressure,42.0,0.0,10,total_depot_visits
Hybrid,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,Hybrid: EX13 DemandWeightedBacklog,42.1,0.5676462121975463,10,total_depot_visits
