Seed,Hour,Time (minutes),Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes)
1,80,4860,33,14,17,14,33,7,2,31.0
1,81,4920,41,7,6,11,41,10,14,46.94
1,82,4980,63,7,11,23,63,4,5,32.5
1,83,5040,78,12,11,12,78,8,4,22.0
1,84,5100,79,13,5,17,79,6,7,40.85
1,85,5160,130,12,9,26,129,0,3,37.05
1,86,5220,163,23,5,28,157,3,2,57.64
1,87,5280,140,13,15,18,138,0,1,30.0
1,88,5340,95,7,13,15,95,1,0,61.37
1,89,5400,85,7,14,13,85,1,0,30.0
1,90,5460,69,10,7,10,64,0,2,34.0
1,91,5520,33,3,3,6,31,9,0,49.94
1,92,5580,22,0,3,9,22,0,0,0.0
1,93,5640,21,5,3,5,21,0,0,0.0
1,94,5700,0,1,0,2,0,0,0,0.0
1,95,5760,0,0,0,0,0,0,0,0.0
1,96,5820,0,0,0,0,0,0,0,0.0
1,97,5880,0,0,0,0,0,0,0,0.0
1,98,5940,0,0,0,0,0,0,0,0.0
1,99,6000,0,0,0,0,0,0,0,0.0
1,100,6060,10,0,1,0,10,0,0,0.0
1,101,6120,78,2,10,10,78,0,0,0.0
1,102,6180,122,3,8,12,119,0,0,0.0
1,103,6240,62,4,12,5,62,0,9,69.5
1,104,6300,62,9,9,7,57,2,0,29.0
1,105,6360,63,7,12,7,56,1,2,60.49
1,106,6420,96,3,15,8,96,4,5,13.0
1,107,6480,85,2,11,11,85,3,0,38.5
1,108,6540,123,7,14,9,121,2,3,53.98
1,109,6600,163,13,11,9,161,4,6,27.5
1,110,6660,188,11,10,12,165,0,0,60.5
1,111,6720,156,9,9,5,144,1,0,30.5
1,112,6780,78,7,10,8,73,2,3,15.49
1,113,6840,52,7,13,15,48,1,0,59.5
1,114,6900,66,6,8,5,55,0,1,59.5
1,115,6960,25,6,5,6,25,5,0,27.5
1,116,7020,29,2,4,3,29,0,0,0.0
1,117,7080,60,4,3,7,50,0,0,0.0
1,118,7140,0,0,5,4,0,0,0,0.0
1,119,7200,0,0,0,0,0,0,0,0.0
1,120,7260,0,0,0,0,0,0,0,0.0
1,121,7320,0,0,0,0,0,0,0,0.0
1,122,7380,0,0,0,0,0,0,0,0.0
1,123,7440,0,0,0,0,0,0,0,0.0
1,124,7500,9,2,0,1,9,0,0,0.0
1,125,7560,7,0,1,1,7,0,0,0.0
1,126,7620,18,1,2,1,18,0,0,0.0
1,127,7620,0,0,0,0,0,0,0,0.0
