episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,time_of_day_fraction,multi_horizon_starvation_risk
65,0.9348601123934981,-45.36470692259202,-31.96391099281099,-163.7965123290861,-93.85827466093487,-58.54925915389809
66,0.9403368713901237,-45.493633764189106,-32.048199084021185,-163.98292987443088,-93.9769050547338,-58.70115080736592
67,0.9399203330438168,-45.61472340658204,-32.128758242888004,-164.09836407247687,-94.04077725881717,-58.83762086737963
68,0.9384166007424086,-45.73448160157755,-32.20492533752571,-164.17400491340018,-94.07226081487842,-58.965410641274154
69,0.9334429660636867,-45.847150169813766,-32.279230010537105,-164.27791370967992,-94.14465853669239,-59.09324166610326
70,0.9380171551541236,-45.95105073744123,-32.343161946035224,-164.32134661374886,-94.16856522644092,-59.204177009660945
71,0.9370716700679236,-46.07234800486786,-32.42335187477402,-164.48548500484486,-94.27984763044641,-59.34489245500866
72,0.9450347117416239,-46.17672984523323,-32.49058421660173,-164.56963449685398,-94.3470910847999,-59.46197304014612
73,0.9459904741934517,-46.29190034027699,-32.5676815524518,-164.7072359672269,-94.4477902670116,-59.59478431862885
74,0.9433005344995141,-46.40655465057691,-32.64414631876974,-164.85639273314536,-94.5424461324736,-59.72765956399556
75,0.935201928872815,-46.51598087492905,-32.714777402669505,-164.99020034030835,-94.61432741068357,-59.85222026542645
76,0.9387242287548061,-46.62185814976631,-32.785710270383845,-165.1220419984317,-94.70898544739428,-59.97517197998598
77,0.9350711041178043,-46.706242318220426,-32.83680631399252,-165.13478759518557,-94.71562129939784,-60.06308509148152
78,0.939209726443769,-46.80222221917439,-32.899142009672396,-165.23792702423526,-94.78559266082858,-60.1713017431013
79,0.9431107099879663,-46.88459635476098,-32.95061675019237,-165.23655208808808,-94.77993040410463,-60.25619958276175
80,0.9347472924187725,-46.97632268807601,-33.01013453252049,-165.3231646446097,-94.84276333627808,-60.358792485057315
81,0.9380192855843289,-47.05479532185376,-33.05923012531626,-165.33573258617582,-94.84124857171443,-60.44090958311104
82,0.930798456157279,-47.132975534463704,-33.10922771485432,-165.34667044949566,-94.8452056571359,-60.52116229863567
83,0.9434372077589067,-47.21716603220751,-33.16237771549892,-165.394561671787,-94.87263979890686,-60.6115858305498
84,0.9336287159835943,-47.30424771220566,-33.218913739954196,-165.50378587938224,-94.92894929302811,-60.711993193119554
85,0.9415989816947509,-47.390943969137155,-33.27584709432822,-165.6043021395564,-94.99935635330725,-60.8118062229312
86,0.9313488709093105,-47.47388023721545,-33.32942093709658,-165.68728946861168,-95.05288921832961,-60.904631114089554
87,0.9390852328742568,-47.55086545830654,-33.37852127567713,-165.74250789573492,-95.09959966025349,-60.98937825389232
88,0.9374598218385527,-47.62421047761109,-33.42689386750052,-165.7863476755314,-95.12566006008308,-61.070069128126974
89,0.9369304771294553,-47.69857885343234,-33.475586169590095,-165.86321251019515,-95.16694115247344,-61.15496033595749
90,0.9388759701627759,-47.76976478704787,-33.52239986478723,-165.92488861191816,-95.19801318821416,-61.234325836224926
91,0.9386471990464839,-47.8374151772113,-33.565499758962346,-165.96864572730865,-95.22074411193614,-61.30878571726721
92,0.9319417593040116,-47.89616139302122,-33.601312423771894,-165.96037280366576,-95.21265380311023,-61.368648498985046
93,0.9338454586534116,-47.96107474060979,-33.642934572691786,-166.00643081790608,-95.24605251631354,-61.44027894378889
94,0.9366188733577299,-48.02974721827856,-33.6865157997401,-166.08360755642522,-95.2930944656677,-61.51896013547999
95,0.936699751116975,-48.09596108050375,-33.729393403574676,-166.1546456059474,-95.34731923343124,-61.59440801392564
96,0.9424749365865442,-48.153390735827045,-33.76666062212534,-166.16449459240607,-95.3563606054777,-61.654137268966714
97,0.9337935174069628,-48.213310447992036,-33.8049507109851,-166.20698732071287,-95.39017645153884,-61.72091047994984
98,0.9421586882095021,-48.26893823794576,-33.840268710037094,-166.23870265103164,-95.41210258246079,-61.78169255245509
99,0.9438458537170984,-48.321580242336,-33.873643349586764,-166.2496422141563,-95.42635687813795,-61.837849335397614
