episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.9220844672916036,-2.832111817402086,-0.16869175285519888,-0.07412671100920547,-0.031110108193963048,-0.038584666016587846,-0.006051985090161017,-0.052017173429608335,-0.041069187482916325,-0.0014698646891731684,-0.0005141276454199592,-0.0012606042068276887,-0.024194258988123035,-0.058508171218309694,-0.014740466866530078,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9244022681002136,-2.8617205671701713,-0.18391760015513117,-0.08067439511508395,-0.033838064684680855,-0.04191178925458676,-0.006469069697096554,-0.05627972183827062,-0.04440543439384062,-0.0015834078235657254,-0.0005550357061663441,-0.0013891405131532765,-0.02623686187239601,-0.06395628151335547,-0.016097729234873827,0.007513,0.01,0.0,0.97,100,13,1,14
12,0.9358070500927644,-2.885268296434547,-0.19592820230300856,-0.08575760745230095,-0.03617592039569799,-0.04441748430507231,-0.006942567780007287,-0.05975199121070604,-0.04729238502797762,-0.0016794000842209073,-0.0005875980967615847,-0.0014827709241275753,-0.02787972582573766,-0.06735246230547287,-0.017297380510092157,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9301445864156019,-2.9111704108096776,-0.20914961292017337,-0.09152228954886166,-0.038664798106680484,-0.04742465452726482,-0.007378446280757911,-0.06357608252405071,-0.05029132376032933,-0.0017942826125268991,-0.0006286416988884199,-0.0016222954375515674,-0.03001572795925121,-0.07171536761124593,-0.018218457919207717,0.007188,0.01,0.0,0.97,100,13,1,14
14,0.9321748411520437,-2.9356337574243665,-0.22135791853640466,-0.09672419526555658,-0.040883988561400054,-0.05007562141603287,-0.007805971934383542,-0.06724688463279997,-0.05305864337894242,-0.0018978233082937803,-0.000659978167829094,-0.00174149024511923,-0.03159907705813092,-0.07585542540213495,-0.019360609209383445,0.007035,0.01,0.0,0.97,100,14,1,15
15,0.9417019275975552,-2.955074274861744,-0.2309929548466201,-0.10074885697805364,-0.04265588252696881,-0.052025191475094774,-0.008079261596524093,-0.06993668549596366,-0.05534098955100423,-0.0019699679824041008,-0.0006884967158963555,-0.0018038469823925454,-0.0329623428120184,-0.0787316912072958,-0.020252772569620475,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9300949659635264,-2.979926306349016,-0.2435283888236145,-0.10607287618211489,-0.045036540858268664,-0.05477228071880232,-0.008544557288968217,-0.07349100779596517,-0.0582509177919213,-0.0020735099492568882,-0.0007196889744182268,-0.001893315999416914,-0.034537814307113945,-0.08297571094392371,-0.021446355624690397,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9289009039452564,-3.003795275467979,-0.2555686039157512,-0.111301184681871,-0.0472449197425518,-0.0574525570840482,-0.008961660718352636,-0.0770855637440394,-0.06096710010558086,-0.0021808481456803515,-0.0007518680140849981,-0.001980053096803094,-0.03634162693369503,-0.08758067595163915,-0.022356686783660335,0.006615,0.01,0.0,0.97,100,14,1,15
18,0.9299394909236386,-3.0267155048638665,-0.26713842379711894,-0.11628624589469813,-0.04932713764669628,-0.06001521379285214,-0.00933641409969058,-0.08056428778012464,-0.06378052172702608,-0.0022847019189329294,-0.0007911350417555967,-0.002064137491707589,-0.03798344098302717,-0.09165453028876995,-0.023231592982519596,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.9298332031117301,-3.0492341918451547,-0.2785594209441977,-0.12111076009307785,-0.05148394401316069,-0.06246526471710852,-0.009768368430199249,-0.08382228223063878,-0.06624539214779183,-0.0023672767671592335,-0.0008196857461009662,-0.0021559969914190886,-0.03953058677470644,-0.09519554403166948,-0.02423105884277375,0.006362,0.01,0.0,0.97,100,14,1,15
20,0.9314324847998932,-3.0716096687069285,-0.2898593740125099,-0.12589272416105118,-0.05361836487152301,-0.06483258324550002,-0.010172954657736832,-0.08702936851353718,-0.06890224362898215,-0.002460475836166442,-0.0008541476391718824,-0.0022311798908321726,-0.0410546260769183,-0.09846658401178585,-0.025284005539727757,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.9320029187666514,-3.092626634002765,-0.3005949029075768,-0.13063339768983484,-0.05558310711580382,-0.06736670525431647,-0.010555890315745449,-0.09029004419451052,-0.07144119406884877,-0.0025609687769853565,-0.0008892802924946004,-0.0023258237337290457,-0.04276109205507535,-0.1021144038938662,-0.026117163398850847,0.006127,0.01,0.0,0.97,100,13,1,14
22,0.9327829400360986,-3.1121319383583392,-0.31043259870805806,-0.13491638859874874,-0.05743238305290032,-0.06966712576774273,-0.010957910928875493,-0.09334106849766423,-0.07371985698742803,-0.0026348343915535187,-0.0009187075187985979,-0.002398512277122465,-0.04445757271735223,-0.10493268867068077,-0.02703398804731295,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.9267918548985233,-3.134181188216759,-0.3215748609122475,-0.13955285712262555,-0.059591298262643484,-0.0720855850012497,-0.011364297818242925,-0.09656475878420326,-0.07614725806173595,-0.0027177521739705935,-0.000949362178039084,-0.0024838876167354836,-0.04567842617554011,-0.10843632465137636,-0.027913063418470895,0.005909,0.01,0.0,0.97,100,13,1,14
24,0.9255219954044424,-3.156497934305719,-0.333252608256502,-0.14463981193851863,-0.061760907352237694,-0.07483667390822799,-0.011787816460761186,-0.09997255720268772,-0.07880562966557392,-0.0028270774798034473,-0.0009803066863429467,-0.0025755473722632698,-0.047406580898369965,-0.113220363481241,-0.02902562449258212,0.005806,0.01,0.0,0.97,100,13,1,14
25,0.9331322357223505,-3.175517494365919,-0.34268769986531405,-0.14854493045896683,-0.06359004722148147,-0.0767666198599667,-0.012155557662209021,-0.10272009862456147,-0.08107551198134134,-0.002894848903785948,-0.0010081476944404364,-0.0026417179841193967,-0.04865440955749389,-0.11585504602889739,-0.029973689026498485,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.9257612503368364,-3.1950467806393696,-0.352610309503441,-0.1529513371915556,-0.0652899902972701,-0.07906393729010015,-0.012484346553009616,-0.10581558156423458,-0.08342087825191165,-0.002976961105926466,-0.001041103400506687,-0.002691571928423734,-0.05060653456095203,-0.11946117480992094,-0.031036062951576123,0.00561,0.01,0.0,0.97,100,14,1,15
27,0.9316592286684873,-3.2142595694380844,-0.3623643140127543,-0.1570138912356065,-0.06716381221718723,-0.08112152269541618,-0.01289443676814834,-0.10863800657167356,-0.08569050325995681,-0.003063236733889869,-0.0010670633309448798,-0.002762713434268205,-0.051867943977111274,-0.12261932896252936,-0.03175310603215751,0.005517,0.01,0.0,0.97,100,13,1,14
28,0.9298012353366881,-3.2330463577713577,-0.3717242869031874,-0.16103029591328372,-0.06891089972602683,-0.08315814187295305,-0.013220604636286366,-0.11158122220194143,-0.08809736086371986,-0.0031429961025713493,-0.001097665896788609,-0.0028425909949261123,-0.05309235524099287,-0.126054969422081,-0.032438879080835516,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.9281781823658362,-3.2525642627218807,-0.3816228761689261,-0.16532732790435867,-0.07069080084301536,-0.08542965427788377,-0.013522532416230582,-0.11450216636782397,-0.09041340409923729,-0.003224173416418871,-0.0011302271901184337,-0.0029324066195499346,-0.05467889173174696,-0.12934495097179666,-0.03371054629874043,0.005339,0.01,0.0,0.97,100,14,1,15
30,0.9335926221573057,-3.2684341316007846,-0.3896668220205439,-0.16879762242457122,-0.072258221723973,-0.08722817205309577,-0.013867390680940981,-0.11692926471641027,-0.09241945620368484,-0.003286000872104322,-0.0011511813716273836,-0.0029894521413349772,-0.055628142418714416,-0.13192015619538092,-0.034343243378173155,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.9349550948747384,-3.285214574687743,-0.3979761177695161,-0.17230652333384047,-0.07375268103006032,-0.0889636683227983,-0.01414859487332663,-0.11936975641870438,-0.09447826137165188,-0.0033547119364826785,-0.0011780260004099724,-0.0030434739486799416,-0.05691716676010967,-0.13423951862832278,-0.03485255895978957,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.9314581095596133,-3.302987745542605,-0.4068855393540164,-0.17615226608679777,-0.07535718557477737,-0.09089860010303062,-0.014401730884783909,-0.12188958863834769,-0.09651302594481687,-0.003430963669776029,-0.0012037419164434586,-0.003111617397899045,-0.05825037973080764,-0.13773853022846322,-0.03543158721190835,0.005094,0.01,0.0,0.97,100,14,1,15
33,0.9325985371800081,-3.319478198822574,-0.4151860900170783,-0.17971896364073248,-0.07690493640715068,-0.09273182888295439,-0.014707549689785873,-0.12445710981769322,-0.09845515852140899,-0.003503745215533055,-0.0012274035232371326,-0.0031762381660870396,-0.05942847588509504,-0.1403280205580695,-0.036044265808270685,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.9275091385555241,-3.3378001147764422,-0.42462450774125216,-0.18372596837878935,-0.07869109184448124,-0.09490894021112663,-0.015053397902048554,-0.12715144820575205,-0.10076807475035807,-0.0035868529954761167,-0.0012579814859123635,-0.003231442228658603,-0.060846210248303834,-0.14305015382578387,-0.03678383842426375,0.004942,0.01,0.0,0.97,100,14,1,15
35,0.9376110763189519,-3.3526303517581693,-0.4320798365959232,-0.18682415796610913,-0.08010156383465089,-0.09645257804798281,-0.015329151873674562,-0.12921002721964547,-0.1024740171130944,-0.0036603361155926693,-0.0012742173707017265,-0.0032730852823121704,-0.06177563125500891,-0.1452811140536385,-0.03738235889013318,0.00487,0.01,0.0,0.97,100,14,1,15
36,0.9282917608937793,-3.369660023806175,-0.44074924183591196,-0.19046302180021357,-0.08174875427058856,-0.09829450499666811,-0.015611254921994956,-0.13159542808089383,-0.10463197291982015,-0.003734636909817465,-0.001300575098249197,-0.0033377718957880004,-0.06301133042072045,-0.14788187098461375,-0.0379642959841169,0.004799,0.01,0.0,0.97,100,14,1,15
37,0.9261683355150196,-3.3791617164548,-0.4463279101615618,-0.1933876721826854,-0.08273842315061532,-0.0999183030114377,-0.015916586716673325,-0.13390268381417436,-0.10659224128773562,-0.003789886292993988,-0.0013238636385546141,-0.0033203535993618946,-0.06380913089447636,-0.14940324293456414,-0.0389476179347348,0.004731,0.01,0.0,0.97,100,14,1,15
38,0.9270752911953275,-3.39643576936077,-0.45507349328723584,-0.1970970915790773,-0.0843887096897652,-0.10183812346150574,-0.016261781795064108,-0.1365466370492208,-0.10879445121456986,-0.003875418177447498,-0.0013450237939534018,-0.003385995999729691,-0.06482820348345217,-0.15262125461661447,-0.03964237692135224,0.004665,0.01,0.0,0.97,100,14,1,15
39,0.9290878894126726,-3.4117864998667122,-0.46291954784675005,-0.20051689273151158,-0.08584415444170646,-0.1035895960910197,-0.016569034340396967,-0.13899302246632478,-0.11076612921601538,-0.003944656916891301,-0.0013675422202176057,-0.0034019765778849327,-0.06595224803782657,-0.15570919683720177,-0.04032794031045587,0.0046,0.01,0.0,0.97,100,14,1,15
40,0.9275379229871645,-3.4258748349038433,-0.47034358080859356,-0.20384717427325813,-0.08732761988409174,-0.1054332536873727,-0.01694077353557127,-0.14137300346907458,-0.1128507894322696,-0.004016042989684281,-0.0013922022431391366,-0.003482825989074622,-0.0671069084547847,-0.1577226013339591,-0.04084057195540844,0.004537,0.01,0.0,0.97,100,14,1,15
41,0.9301668935612364,-3.4411543532986046,-0.4780716685948552,-0.20721340523106085,-0.08873855177619167,-0.10720753768525054,-0.01718005524609015,-0.1437106618145055,-0.11488168921543972,-0.0040945625737126975,-0.0014151061188906386,-0.0035292226413107647,-0.06829781500602265,-0.1604241059398087,-0.04131321146928217,0.004476,0.01,0.0,0.97,100,14,1,15
42,0.9298651640169048,-3.4566859417463376,-0.4858581834327175,-0.21047825064797016,-0.09020529944563986,-0.10885077216194435,-0.01747790870385674,-0.1460394099802807,-0.11680532339004497,-0.004158964702904311,-0.0014380606044330846,-0.003585465587686633,-0.06929459353705357,-0.1627692235680134,-0.04205886523956599,0.004417,0.01,0.0,0.97,100,13,1,14
43,0.9289147609147609,-3.4721977163636786,-0.49367614952326744,-0.2138295520374486,-0.09169493843225393,-0.11059255094731399,-0.017801713509513102,-0.14839206924720294,-0.11857349583892798,-0.004226219873265256,-0.0014580106671986603,-0.0036376024273341674,-0.07039223911435118,-0.16543293388276772,-0.04270647329234822,0.004359,0.01,0.0,0.97,100,14,1,15
44,0.9278251974577835,-3.487063017447168,-0.5010592383340582,-0.21711438380493303,-0.0929555650363108,-0.11231789095088963,-0.018027205002157425,-0.15074978140301423,-0.12026149546768092,-0.004299908647254602,-0.001476774565237106,-0.0036973254445728672,-0.0714117749333975,-0.16824510240094756,-0.04321167582562876,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9295909779498401,-3.4997141657548787,-0.5074238650713738,-0.21990915827200866,-0.09415399658792482,-0.11371863869813534,-0.018291807471557172,-0.1528550909011582,-0.12197535245750486,-0.004358943121606264,-0.00149898736815963,-0.0037436987033514987,-0.07228437306712501,-0.16993382628389916,-0.04388452363480934,0.004247,0.01,0.0,0.97,100,14,1,15
46,0.9310807862094432,-3.5140894555982713,-0.5147781696023612,-0.2231079582851243,-0.09548889447968552,-0.11536037773552943,-0.01853952333915303,-0.1551026746421282,-0.12371379862162418,-0.004416265731141197,-0.001521560783208047,-0.003802489429200589,-0.07349684023592036,-0.17232312853573878,-0.04460210455500041,0.004194,0.01,0.0,0.97,100,13,1,14
47,0.9282046979865772,-3.528782711146835,-0.5222136769980699,-0.22629676030297013,-0.09686450672695007,-0.1170150569075246,-0.018785851572000176,-0.15723716870712193,-0.1254679956074512,-0.00448245791456467,-0.0015401990030844096,-0.0038399637313814247,-0.07445152279542663,-0.17498577761538445,-0.045136463748151626,0.004141,0.01,0.0,0.97,100,14,1,15
48,0.9293302079696774,-3.5432815761228804,-0.5296649275821087,-0.22950590921552036,-0.09824061110797049,-0.11867725537777647,-0.019071549657675085,-0.159453031382771,-0.12723659763426853,-0.004545148437689463,-0.001559439990997932,-0.0039017864838439857,-0.07542681857259746,-0.17742229796075146,-0.04571226542003208,0.00409,0.01,0.0,0.97,100,13,1,14
49,0.9306987399770905,-3.557095253667236,-0.5367331003484356,-0.2324846514069447,-0.09961714392027483,-0.12016884773208879,-0.019388188116233957,-0.16140205677602476,-0.12886766616887854,-0.004599581880141252,-0.0015780710807930605,-0.0039609231409692735,-0.07633484663122564,-0.17969842590039128,-0.046224972150665164,0.004041,0.01,0.0,0.97,100,13,1,14
50,0.9324473975636767,-3.562762753295957,-0.5401088553614302,-0.23467765069365873,-0.10022728203720453,-0.12151178332168795,-0.01964239711333017,-0.1631454594518248,-0.13036342473727977,-0.004643441859423589,-0.001596824465751948,-0.0040195919008094005,-0.07733329658985792,-0.18058307350593533,-0.04671234943761686,0.003992,0.01,0.0,0.97,100,14,1,15
51,0.9269959928612318,-3.575981304875532,-0.5470687145810469,-0.2377227562970761,-0.10161223404878203,-0.12313168510994008,-0.019943853427696764,-0.16529185159015775,-0.13205332899353805,-0.00469174587254164,-0.0016187066430791116,-0.004055373600266653,-0.07837254749458282,-0.1823276718529598,-0.04743035098879667,0.003945,0.01,0.0,0.97,100,14,1,15
52,0.929930332261522,-3.5871159287946552,-0.5527510159098451,-0.2402474239017317,-0.10272745310304424,-0.12451345582853703,-0.020217892858660786,-0.16705182991063852,-0.13350754810213905,-0.004736744476654939,-0.0016396339060711228,-0.004091982615242335,-0.07915763359729855,-0.18367153923306342,-0.047955501558580596,0.003898,0.01,0.0,0.97,100,14,1,15
53,0.930920171443879,-3.600283293835689,-0.5594061954021179,-0.24303044843979404,-0.10401182859878996,-0.12595903386817442,-0.020469520490576962,-0.1689327531819659,-0.13503933098076923,-0.004787649324185583,-0.0016585656090346995,-0.004143049453606641,-0.08005769442223817,-0.18556014786229783,-0.048739127825418053,0.003853,0.01,0.0,0.97,100,13,1,14
54,0.9302036844401195,-3.6133372407834536,-0.5661671834764692,-0.2458917777036768,-0.10528144363456744,-0.127453021704044,-0.020722460101257417,-0.1709159089422276,-0.13672696901564496,-0.004844958840574333,-0.001678426425774023,-0.004195618140927146,-0.0810206831882835,-0.18784116341034857,-0.04931049352348261,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9304408982066009,-3.6258810769277,-0.5725057939085427,-0.248620182960949,-0.1064766651773987,-0.12880688297436016,-0.020963543724792092,-0.1727671084059872,-0.13819184450916217,-0.0048937032148246165,-0.0016953281535521422,-0.00424137361611655,-0.08183199241895803,-0.18985810145576074,-0.049845661519581246,0.003766,0.01,0.0,0.97,100,14,1,15
56,0.939157802612091,-3.6365577918770096,-0.5779656323050023,-0.2509660002336105,-0.10750454232305386,-0.1299762243339918,-0.021186209467305046,-0.17441075349668858,-0.13945947633709813,-0.004933914230179973,-0.0017142601854623534,-0.004285264319254217,-0.08269225401844627,-0.19149933901191765,-0.05025401807412168,0.003724,0.01,0.0,0.97,100,14,1,15
57,0.9240512700063752,-3.6504227087394687,-0.5849524185806937,-0.25408741066422896,-0.1086796455210851,-0.13153667006337083,-0.02134075808578451,-0.17656635189742245,-0.14113243565579145,-0.00500492153004497,-0.001734137235816908,-0.0043419675771811175,-0.08373647622419736,-0.19453485664847606,-0.050913838941801674,0.003682,0.01,0.0,0.97,100,14,1,15
58,0.930837382109174,-3.662830909043986,-0.5911950261669251,-0.25673802771562115,-0.10986184943757954,-0.13287355436953083,-0.021586054813184607,-0.17840086661437252,-0.14264497869693907,-0.005054572367528558,-0.0017511954482282081,-0.004381734328485593,-0.08455721627173295,-0.19637328809235782,-0.05144637647713709,0.003642,0.01,0.0,0.97,100,13,1,14
59,0.9289911851126347,-3.6753766420703227,-0.5974487245475072,-0.25941471050495796,-0.11097207854780071,-0.13421559441703024,-0.021805717080016163,-0.18020133266288066,-0.14413495529839962,-0.005112722636167011,-0.0017710464975890855,-0.004448098025909558,-0.08548277525410929,-0.198625087452641,-0.05192308012451009,0.003602,0.01,0.0,0.97,100,14,1,15
60,0.9286850028756047,-3.6876791208077524,-0.603601525480852,-0.2621459936047167,-0.1120492648332526,-0.13561321110353175,-0.021992683545882994,-0.18196992137136855,-0.1455910714992863,-0.005179040234325598,-0.0017851351344802702,-0.004491982335928134,-0.08617585731941481,-0.20093395046775905,-0.05249170523130519,0.003564,0.01,0.0,0.97,100,14,1,15
61,0.9270547257016545,-3.6998817632768373,-0.6099381719606529,-0.2648981461977754,-0.11329980886572424,-0.137047969012522,-0.022320435959011283,-0.18381956794412058,-0.14718849500630168,-0.0052324828853258475,-0.0018062127680709408,-0.004549119258709643,-0.08706831683290624,-0.20283266697795313,-0.05310400495449902,0.003526,0.01,0.0,0.97,100,14,1,15
62,0.9295947950377562,-3.71173748761389,-0.6158910190079758,-0.2675405557102795,-0.11429043434821043,-0.1383791508087715,-0.02245509486607838,-0.18564022301015523,-0.14859161573630864,-0.005291042836215907,-0.0018240906287634055,-0.0045938980273010155,-0.08792437957355254,-0.20525214057568247,-0.05351555833618782,0.003489,0.01,0.0,0.97,100,14,1,15
63,0.926016477995847,-3.7103480183015423,-0.6150520961200816,-0.2687949882259322,-0.1139141661206096,-0.13977536047530245,-0.022472041498378358,-0.1875166458164603,-0.14995054779003164,-0.005333975194679815,-0.001840372637453492,-0.004658935424873112,-0.08805837636303536,-0.20536982715758859,-0.05400485105923172,0.003453,0.01,0.0,0.97,100,14,1,15
64,0.9265766444120944,-3.722709563344864,-0.6213777926382298,-0.2715599130353113,-0.11505513543998405,-0.14119483502169738,-0.022684186192371936,-0.1893787969718954,-0.15147912978434883,-0.005395694247979464,-0.0018596016385742078,-0.004701321999666797,-0.08888999079886317,-0.2078880454254222,-0.054573501733118264,0.003417,0.01,0.0,0.97,100,14,1,15
65,0.9291485708514291,-3.7344644571334893,-0.6273454936541261,-0.27412396132069566,-0.11617296661475485,-0.1425069039335503,-0.022900292891123507,-0.19116080156777632,-0.1528707806687915,-0.005445840556062272,-0.0018819674387362988,-0.004758905313095075,-0.08996127979585822,-0.20965383146326938,-0.055099826269815966,0.003382,0.01,0.0,0.97,100,13,1,14
66,0.9321345220705519,-3.744056312997281,-0.6322446148753841,-0.276296555214094,-0.11707925277171319,-0.1436123441910541,-0.02310616317276142,-0.19275973740880997,-0.15408172327005457,-0.00548967564178156,-0.00189959961560762,-0.004756988263983304,-0.09079192739893088,-0.21148773958644776,-0.05565891570966164,0.003348,0.01,0.0,0.97,100,14,1,15
67,0.9329418514393709,-3.75446597066713,-0.637425887024152,-0.2785175642269264,-0.1180452976334928,-0.14473156162436893,-0.02331818598910454,-0.1944321974987276,-0.15540211705855514,-0.005533337128334765,-0.0019160797353475875,-0.0047915273647637065,-0.09150048091398755,-0.2130636775910261,-0.05611052195942207,0.003315,0.01,0.0,0.97,100,14,1,15
68,0.930669210301722,-3.765199122828687,-0.6428602752478844,-0.2808711149181049,-0.119032881179142,-0.1459359506396742,-0.02350746558907726,-0.19613348753664317,-0.15672568497832873,-0.005579874246561576,-0.00193113205403154,-0.004814408853269766,-0.09216997348725342,-0.21494463409713746,-0.05663427143822757,0.003282,0.01,0.0,0.97,100,14,1,15
69,0.9308418739621249,-3.77419336373877,-0.6474515340731942,-0.2829903392215234,-0.11986349524418557,-0.14702973054465474,-0.023718347031491227,-0.19776016521904968,-0.15805555374063987,-0.005620341337693639,-0.001948496788525326,-0.00483455049913338,-0.0929622723643321,-0.21645172834845747,-0.05697819839798962,0.00325,0.01,0.0,0.97,100,14,1,15
70,0.9313342318059299,-3.7847142028579404,-0.6528042236791077,-0.28529746423454233,-0.12083439325164373,-0.14818796620003738,-0.023889351452592245,-0.19932265465594987,-0.15929909949581555,-0.005668310341101227,-0.0019629630407566015,-0.0048734559684362085,-0.09366788508770309,-0.21826688586244306,-0.05738461853721372,0.003219,0.01,0.0,0.97,100,14,1,15
71,0.9329175514571872,-3.795020255545784,-0.6579459879952929,-0.28753432363687,-0.12174108853474555,-0.14935177117943785,-0.024064749650298867,-0.2008573235266126,-0.16052650542615549,-0.005717326892419134,-0.001976467651714916,-0.004912302938509599,-0.09427835940957544,-0.22026996064380097,-0.05788838931435477,0.003188,0.01,0.0,0.97,100,14,1,15
72,0.9238470568505786,-3.80700661833616,-0.664066489667096,-0.29023227748188163,-0.12281952501349153,-0.1507804374792611,-0.02424911103387491,-0.20268035885354327,-0.16191381867097238,-0.005768886475530718,-0.001995192374055633,-0.004967121284019966,-0.09520574826627173,-0.2224197829202488,-0.058404673019100684,0.003157,0.01,0.0,0.97,100,14,1,15
73,0.9335880701991681,-3.8167670658600104,-0.6689500614662841,-0.2923729207324106,-0.12362556515785435,-0.15185987151784378,-0.024365429056693394,-0.2041026331529767,-0.16304971804465637,-0.005818568270142697,-0.002012153269146512,-0.00500634768224071,-0.09605343353264503,-0.22422930874563324,-0.05877671385872558,0.003128,0.01,0.0,0.97,100,14,1,15
74,0.93247290839335,-3.8267130338782462,-0.6739494480577155,-0.2944848164487227,-0.12457244296316311,-0.15293202257233637,-0.0245625435389635,-0.20553659039300398,-0.16429481650863142,-0.005865461450963922,-0.0020260658557419878,-0.005041375603977922,-0.09675519176879871,-0.22574824308412825,-0.0590646884839205,0.003098,0.01,0.0,0.97,100,14,1,15
75,0.934671754694043,-3.834440511792137,-0.6779504056710652,-0.2963748006586086,-0.12534177946427566,-0.15396669157812984,-0.024731594029654528,-0.20685909419801982,-0.16541714470146465,-0.005901592019949343,-0.0020394424817408727,-0.005085387657952611,-0.09736638846044438,-0.22693586684811107,-0.059416357156952274,0.00307,0.01,0.0,0.97,100,14,1,15
