episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,repaired_idle_away_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
130,0.9211737725773783,-4.445434223834886,-0.995887686552727,-0.45540262888242816,-0.1723866302979098,-0.3276636886800665,-0.183702221412681,-0.014868468639982771,0.002035,0.01,0.0,0.97,100,10,1,11
131,0.9217408900055646,-4.453033314806413,-0.999758731399548,-0.4571234426653525,-0.17305993476782655,-0.32884976501820185,-0.1844082701422549,-0.01493422766361469,0.002023,0.01,0.0,0.97,100,10,1,11
132,0.922027748849397,-4.4606162646798495,-1.003645128060079,-0.4588766283907242,-0.1737303058734393,-0.33007924994635024,-0.1850370746674828,-0.014982310851942581,0.002011,0.01,0.0,0.97,100,10,1,11
133,0.9243419386428487,-4.467805081586396,-1.0073040480576838,-0.46048557590509753,-0.17440795744391108,-0.3312013086610959,-0.18570766971354538,-0.015026513391665481,0.001999,0.01,0.0,0.97,100,10,1,11
134,0.9233358264771877,-4.475038652467531,-1.0109413529073636,-0.46208507015965317,-0.1750456763375946,-0.33235604870056634,-0.1863555168737383,-0.015066375441981542,0.001987,0.01,0.0,0.97,100,10,1,11
135,0.9257453306112807,-4.481979079369835,-1.014452165837895,-0.4635988404292616,-0.1756997775930745,-0.33348314757372655,-0.186976425623062,-0.015140194937030775,0.001975,0.01,0.0,0.97,100,10,1,11
136,0.9228560393612197,-4.489240208920864,-1.0180966071719726,-0.4652290692389495,-0.17630958879405956,-0.3346238008429482,-0.1875513087343196,-0.015169656885758049,0.001963,0.01,0.0,0.97,100,10,1,11
137,0.9310058469621219,-4.495462672325144,-1.0212570730507027,-0.4665712058774441,-0.17691034657330557,-0.3355917482909871,-0.1881189262311765,-0.015218310399905576,0.001952,0.01,0.0,0.97,100,10,1,11
138,0.9237635058049796,-4.501032893685276,-1.0241719508005853,-0.468007040656501,-0.17740567164591203,-0.33671720919846204,-0.18877170076889052,-0.015303371510011831,0.00194,0.01,0.0,0.97,100,11,1,12
139,0.9223878612620697,-4.508318081166564,-1.0279260930127025,-0.4696925274644861,-0.17806783628274347,-0.33790906118393443,-0.18942822368066917,-0.015364593606743738,0.001929,0.01,0.0,0.97,100,10,1,11
140,0.9222990682652147,-4.51540552195607,-1.0315067766488104,-0.4712427108024917,-0.17871555711963066,-0.3390426096474455,-0.19013497399156862,-0.015409738612956593,0.001918,0.01,0.0,0.97,100,10,1,11
141,0.9305101869001515,-4.5215806758748585,-1.0346532060572122,-0.47261479588243055,-0.1792828835584326,-0.34003828910549677,-0.1907312708755028,-0.01543881169457091,0.001907,0.01,0.0,0.97,100,11,0,11
142,0.9243100785603975,-4.528455195111323,-1.0381488684838598,-0.4741952592535659,-0.17985757441696332,-0.3411736422353524,-0.19134158888099628,-0.015456362300083518,0.001896,0.01,0.0,0.97,100,10,1,11
143,0.919678510998308,-4.535701530422654,-1.0418783687936757,-0.4758905765662902,-0.1804877893332507,-0.34240400748279043,-0.19204847919602025,-0.015494412898177061,0.001885,0.01,0.0,0.97,100,11,0,11
144,0.9248315363881402,-4.5424096719563165,-1.0452800768908028,-0.47737514681738347,-0.18112947205337945,-0.34349541216129387,-0.19266381663444174,-0.015525645929229047,0.001875,0.01,0.0,0.97,100,10,1,11
145,0.9188188777656263,-4.549683519795053,-1.049033812862876,-0.4790583707180229,-0.18173595011830518,-0.3446823858467686,-0.19322983966135887,-0.01558397835432908,0.001864,0.01,0.0,0.97,100,10,1,11
146,0.9232893318965517,-4.5564683167367885,-1.0524733415600953,-0.4806084335074105,-0.182321795006443,-0.3458115768513898,-0.1938619444268411,-0.015660691027927987,0.001854,0.01,0.0,0.97,100,10,1,11
147,0.9238462710057369,-4.563087416554463,-1.0558606932306756,-0.4821277505450466,-0.18291111476498645,-0.3468740263297243,-0.19445972528776248,-0.01568290405596685,0.001843,0.01,0.0,0.97,100,10,1,11
148,0.9208597615930076,-4.569961533284073,-1.0594059599483465,-0.4836619829342071,-0.1835646460453849,-0.3479574076837359,-0.19516120784460667,-0.015713569653835725,0.001833,0.01,0.0,0.97,100,10,1,11
149,0.9263741805345436,-4.574814963062747,-1.0618268740498682,-0.48491582450745796,-0.1838794214025249,-0.34901423894587763,-0.1956799778494767,-0.01576437180584417,0.001823,0.01,0.0,0.97,100,11,1,12
150,0.9286018138814681,-4.580160333358658,-1.0645833110960095,-0.4861566910086322,-0.18436038603410398,-0.34994054087153015,-0.1962230477196812,-0.01578480332204423,0.001813,0.01,0.0,0.97,100,11,1,12
151,0.9215715791058257,-4.586680894038147,-1.0679056516788847,-0.4876576980248549,-0.18494742068814796,-0.350984999562742,-0.19684586051337455,-0.015803066497578316,0.001803,0.01,0.0,0.97,100,11,1,12
152,0.9167961765344831,-4.593953423764335,-1.071547060712756,-0.48928510671505604,-0.18557617767316917,-0.352151085306615,-0.19753008587151405,-0.01586513592635202,0.001794,0.01,0.0,0.97,100,10,1,11
153,0.9212494793835901,-4.60075218482311,-1.0750073136701415,-0.49084315695114766,-0.18618353651229588,-0.3532881234713643,-0.1981877331834237,-0.015909043423999708,0.001784,0.01,0.0,0.97,100,10,1,11
154,0.9244368168488403,-4.6071664275587745,-1.0782520610883808,-0.49228991982797604,-0.18677127858118817,-0.35430586166588224,-0.19879091993725817,-0.01596992974289071,0.001774,0.01,0.0,0.97,100,10,1,11
155,0.9215561969269782,-4.613859971624282,-1.0816956359901566,-0.49383054570443097,-0.18739106969827207,-0.35540745867512286,-0.1993974549230446,-0.01603648892104044,0.001765,0.01,0.0,0.97,100,10,1,11
156,0.9227882492783155,-4.619867698769654,-1.0847440040469127,-0.4952900019208254,-0.18785413077007138,-0.35648854662902724,-0.19993971108449066,-0.01609757186379043,0.001756,0.01,0.0,0.97,100,11,1,12
157,0.9211821000134789,-4.626428494290567,-1.0880604260764222,-0.4968395840515138,-0.18836674134285733,-0.3575937158417348,-0.20052515412019545,-0.01617556965934416,0.001746,0.01,0.0,0.97,100,10,1,11
158,0.9239997307938217,-4.632663736062928,-1.0912192124226643,-0.49824678469116246,-0.18892643133792061,-0.35856026994583834,-0.20108732143648342,-0.016234506395224172,0.001737,0.01,0.0,0.97,100,10,1,11
159,0.9210119966741893,-4.6391235050268875,-1.094557554835532,-0.4997787484908423,-0.18950173115058824,-0.35967153717066047,-0.2017141551622328,-0.016291127011951876,0.001728,0.01,0.0,0.97,100,10,1,11
160,0.921716405327938,-4.63764492100313,-1.093615728709802,-0.4998951851159595,-0.18921069348308797,-0.36021265912931555,-0.2022336862806147,-0.0163374010132003,0.001719,0.01,0.0,0.97,100,11,1,12
161,0.9218623754376515,-4.644006920979243,-1.0969082565622967,-0.5013586174375936,-0.18982342573619618,-0.36119952610139977,-0.2028617353806334,-0.016402243008823793,0.001711,0.01,0.0,0.97,100,10,1,11
162,0.9213795661042091,-4.6503578709537905,-1.1001528366875821,-0.5028133330608404,-0.19037664766852752,-0.36227952115461426,-0.2034190984774314,-0.016446839728869768,0.001702,0.01,0.0,0.97,100,10,1,11
163,0.9251663907564445,-4.656311138614678,-1.1031888700636348,-0.5042045268668189,-0.19086931273915636,-0.36328919593611764,-0.20396028763119256,-0.01645970616682677,0.001693,0.01,0.0,0.97,100,10,1,11
164,0.9187733807518746,-4.662890523972157,-1.1065364300794984,-0.505681282375105,-0.19143146059199456,-0.36433222171415186,-0.20449847982033753,-0.01652123167545482,0.001685,0.01,0.0,0.97,100,10,1,11
165,0.9185880295309689,-4.669068862340992,-1.1097197000642618,-0.5071350626891004,-0.19198619686529197,-0.3653907547836183,-0.20508759246261077,-0.016565716657432887,0.001676,0.01,0.0,0.97,100,11,1,12
166,0.925881619517784,-4.6747082478543565,-1.1125689576616167,-0.5084259710680712,-0.19248164235698856,-0.366333520888551,-0.20563022159127597,-0.016598055149729944,0.001668,0.01,0.0,0.97,100,11,1,12
167,0.9276597882888918,-4.680343445033787,-1.1154440936482641,-0.5097256803490325,-0.1929739432560887,-0.36725704885146077,-0.20612861639699842,-0.01661302693577815,0.001659,0.01,0.0,0.97,100,10,1,11
168,0.9228217453117595,-4.686342095088108,-1.1184744426318463,-0.5110984017260044,-0.19348385672799184,-0.36828290722048035,-0.20664558880164202,-0.016645643777978773,0.001651,0.01,0.0,0.97,100,10,1,11
169,0.9153234580299606,-4.693091881782467,-1.1219329863317355,-0.512696197913366,-0.19404551327425582,-0.369467508870401,-0.20722230700410707,-0.016697995207503195,0.001643,0.01,0.0,0.97,100,10,1,11
170,0.9234462612899976,-4.699020039711091,-1.1249367186292447,-0.514021175258404,-0.19456918195396564,-0.3703969449750939,-0.20775570709242924,-0.016735439828660395,0.001635,0.01,0.0,0.97,100,10,1,11
171,0.9243146603098927,-4.704765914485647,-1.1278555728446835,-0.515363089834744,-0.19504896631884153,-0.3713588785445559,-0.2082957058902244,-0.016810569237595507,0.001627,0.01,0.0,0.97,100,10,1,11
172,0.9225949811207271,-4.71073371831246,-1.13088072151305,-0.5167348159105254,-0.19555166146100064,-0.3723465757776483,-0.20884423088891998,-0.016832322612488043,0.001619,0.01,0.0,0.97,100,10,1,11
173,0.9194673011466905,-4.717060563272334,-1.1341497830157514,-0.5182118770111811,-0.19612225863946772,-0.37336529042837685,-0.20939736531298953,-0.0169085395532254,0.001611,0.01,0.0,0.97,100,10,1,11
174,0.9269191298935079,-4.7225180821595,-1.136942635879534,-0.5194398272989029,-0.19662537920004988,-0.37421708103911877,-0.20988835860400706,-0.016946303942061893,0.001603,0.01,0.0,0.97,100,10,1,11
175,0.9197833812827889,-4.728562288473148,-1.140043884850469,-0.5208540202536022,-0.1971476274863882,-0.37519483789939234,-0.21043313353236245,-0.016994256379775252,0.001596,0.01,0.0,0.97,100,10,1,11
176,0.9201857397624416,-4.734573213783792,-1.1431383615051114,-0.5222174752699398,-0.19768241300239328,-0.3761622069198182,-0.21098838895781255,-0.01705351294471001,0.001588,0.01,0.0,0.97,100,10,1,11
177,0.9166263613469204,-4.740979652274617,-1.1464313759731277,-0.5237458571294683,-0.19824016305452977,-0.3772261047056549,-0.21160887413162993,-0.017100221822542713,0.00158,0.01,0.0,0.97,100,10,1,11
178,0.9269579331800352,-4.746293104767779,-1.1491086945166684,-0.5249295631516835,-0.19870631657236634,-0.37807761696509506,-0.21209828713554735,-0.01714723042278738,0.001573,0.01,0.0,0.97,100,10,1,11
179,0.9185216580486565,-4.7523202230449675,-1.152211881214566,-0.5263439381760664,-0.19922858030948445,-0.3790725686624187,-0.21259016523240373,-0.017181976369112024,0.001565,0.01,0.0,0.97,100,10,1,11
180,0.9243920017431239,-4.757900307029071,-1.155037129567207,-0.5276165164058253,-0.19970520993520438,-0.37999324967449327,-0.2130900510452029,-0.017208540928355585,0.001558,0.01,0.0,0.97,100,10,1,11
181,0.9253355564818675,-4.763402700019301,-1.157813582800396,-0.5288624048307865,-0.20016823612361975,-0.3809024726916089,-0.2135811789072581,-0.01723271023834645,0.001551,0.01,0.0,0.97,100,10,1,11
182,0.9223063521844009,-4.76908833207012,-1.1606925634511436,-0.5301350101300549,-0.20068381512934014,-0.3818260194142796,-0.21411237730116794,-0.017256144551251736,0.001544,0.01,0.0,0.97,100,10,1,11
183,0.9252341188005003,-4.774442261140814,-1.1634062290643272,-0.5313599316478773,-0.2011373561938324,-0.38268984007314255,-0.21458918171016933,-0.01728243522647258,0.001536,0.01,0.0,0.97,100,10,1,11
184,0.9236943693348979,-4.7798477383084865,-1.1661115145509056,-0.5325610819969375,-0.20159612456477632,-0.38351298728015015,-0.2150600961290723,-0.017332446932489348,0.001529,0.01,0.0,0.97,100,11,1,12
185,0.9188798007337844,-4.785718324578619,-1.1691444845788097,-0.5339412850630696,-0.20214080202940674,-0.3845001070521215,-0.21558696409154335,-0.017377877826576245,0.001522,0.01,0.0,0.97,100,10,1,11
186,0.9189921249310304,-4.791610461386354,-1.1721429424612846,-0.5353136373516743,-0.20264040405797673,-0.3854970435339396,-0.21611081394959586,-0.01740490568584695,0.001515,0.01,0.0,0.97,100,10,1,11
187,0.9245432749130449,-4.7969395728099,-1.174833390643153,-0.5365285529018229,-0.20310313180873585,-0.3864264545355563,-0.21660369855017764,-0.017475171177761532,0.001509,0.01,0.0,0.97,100,10,1,11
188,0.9200749455631889,-4.801453619303269,-1.1771530267884944,-0.537724545219072,-0.203461816915179,-0.3873395644784622,-0.21708215328106395,-0.017534558730856575,0.001502,0.01,0.0,0.97,100,11,1,12
189,0.9218545710550136,-4.799851234690792,-1.1769734700657724,-0.5384221598484767,-0.2034051429218154,-0.38815746984910354,-0.21749815019549695,-0.017569147852792656,0.001495,0.01,0.0,0.97,100,11,1,12
190,0.926219614417435,-4.804987836056029,-1.179565352609324,-0.5396213658522795,-0.20380244515620063,-0.3890259383215209,-0.21793800128575547,-0.017600767666687837,0.001488,0.01,0.0,0.97,100,11,0,11
191,0.9237782395924113,-4.809551517644221,-1.1818237883739364,-0.540707974917292,-0.2041570489801452,-0.3898433933764922,-0.21837270163153308,-0.017672087305877316,0.001482,0.01,0.0,0.97,100,11,1,12
192,0.9227741837406889,-4.8132827501657145,-1.1837267114049417,-0.5417124998764087,-0.20446568930162673,-0.39071831079589114,-0.21886534454182757,-0.017729346794667953,0.001475,0.01,0.0,0.97,100,11,1,12
193,0.9245343285589402,-4.8184726754869605,-1.186313595782548,-0.5428482477819995,-0.2049367802776652,-0.39155085338802925,-0.21935036764313107,-0.017762931028952437,0.001469,0.01,0.0,0.97,100,10,1,11
194,0.9191101275796745,-4.824114802951273,-1.1891946524993413,-0.5441792821949387,-0.20541529364366637,-0.3924781164692767,-0.2198742518446425,-0.017801047898704955,0.001462,0.01,0.0,0.97,100,10,1,11
195,0.9290062893081761,-4.828903596236597,-1.1915636006446035,-0.5452561180397579,-0.20580675919459152,-0.3932926781378665,-0.2203074525913587,-0.01785564310684222,0.001456,0.01,0.0,0.97,100,10,1,11
196,0.9226726599861432,-4.834137558177454,-1.194250942561684,-0.5464648218929994,-0.20627368637409937,-0.394136185004981,-0.22075533719199758,-0.017893119406286614,0.001449,0.01,0.0,0.97,100,10,1,11
197,0.9243625634921966,-4.832193519619587,-1.1930536352177152,-0.54646869161182,-0.2060729862967418,-0.3948463086463796,-0.2212340359691143,-0.01791965775327406,0.001443,0.01,0.0,0.97,100,11,1,12
198,0.925964704888964,-4.837122238278099,-1.195539263097444,-0.5475987522159204,-0.20648411178147882,-0.39567048094501056,-0.22169938786775872,-0.017963494179300158,0.001437,0.01,0.0,0.97,100,10,1,11
199,0.925660553829709,-4.842121455027768,-1.1980487094994887,-0.548691405705208,-0.20692982582888078,-0.39644772060604866,-0.22213631395849642,-0.01801585506109158,0.001431,0.01,0.0,0.97,100,10,1,11
200,0.9302246599534718,-4.845929306507727,-1.1999370167296002,-0.5495705504505044,-0.20727994676543365,-0.3971212979217627,-0.22255426010951138,-0.018052365867350907,0.001424,0.01,0.0,0.97,100,11,1,12
201,0.9263049287913129,-4.850753894850476,-1.2023600256355909,-0.5506420953065495,-0.2077231949997778,-0.39791665949013394,-0.22301561311594895,-0.018086838446415388,0.001418,0.01,0.0,0.97,100,10,1,11
202,0.9182472867430774,-4.856192705474967,-1.2051800182309296,-0.5519530988482253,-0.20816516301563281,-0.3988238660709802,-0.22346832171433947,-0.01814584865129458,0.001412,0.01,0.0,0.97,100,10,1,11
203,0.9213977465450943,-4.860877706444206,-1.2075598316927691,-0.5530752618839816,-0.20854542824835148,-0.39964923614999925,-0.22391696261795802,-0.018210667778276058,0.001406,0.01,0.0,0.97,100,11,1,12
204,0.9201224743863663,-4.86617382000402,-1.2103003680353825,-0.5543328088993892,-0.20902348313664532,-0.40053366437305365,-0.22438925249688854,-0.0182697124242636,0.0014,0.01,0.0,0.97,100,10,1,11
205,0.9228290394965497,-4.871215633086401,-1.2128908727579029,-0.5555097877888655,-0.20947901262307064,-0.40136347522183613,-0.2248777547738015,-0.018305475998289286,0.001395,0.01,0.0,0.97,100,10,1,11
206,0.9226090463068755,-4.873157192170577,-1.2140547346825592,-0.5563399747526007,-0.20965834457460725,-0.40219671436976595,-0.22537156325740532,-0.01835262368166468,0.001389,0.01,0.0,0.97,100,11,1,12
207,0.926204362336918,-4.877876682010557,-1.2164736098259135,-0.5573897721913609,-0.2101087140796574,-0.4029121958996032,-0.22578854910982854,-0.018406258505985193,0.001383,0.01,0.0,0.97,100,10,1,11
208,0.925839174979779,-4.876477874609265,-1.2157405504611198,-0.5575356050199128,-0.20993382958649415,-0.40357347599482146,-0.22618369543448305,-0.018419730803242922,0.001377,0.01,0.0,0.97,100,11,1,12
209,0.9255995837738953,-4.881251352222511,-1.2181932726924072,-0.5586694805744503,-0.2103469065604905,-0.4044095651028154,-0.22663764943002332,-0.018469325240189616,0.001372,0.01,0.0,0.97,100,10,1,11
210,0.9265274037898681,-4.885941221593045,-1.2205620005913855,-0.5597003377601706,-0.21078583914474708,-0.40516212792136475,-0.22709662749404455,-0.018495538721365258,0.001366,0.01,0.0,0.97,100,10,1,11
211,0.9210825829344224,-4.891024626176979,-1.2231699503196694,-0.5608801380504029,-0.21122581842255034,-0.40597249799358737,-0.22754639089240983,-0.01851947768134172,0.00136,0.01,0.0,0.97,100,10,1,11
212,0.918174133558749,-4.8945634539300755,-1.2250756571538872,-0.5619057544131808,-0.21151143556085233,-0.40678971426490995,-0.2280115941472363,-0.018530507668577154,0.001355,0.01,0.0,0.97,100,11,1,12
213,0.9170129367629494,-4.899524214433543,-1.2276407872911816,-0.5631323169608488,-0.2119254479396822,-0.4076681063210727,-0.22845777576474158,-0.018566579596459163,0.001349,0.01,0.0,0.97,100,11,1,12
214,0.9215030892332624,-4.904480303679758,-1.2301590521516683,-0.5643062678566977,-0.212342364249827,-0.4085490975985795,-0.2288954499094173,-0.018582058614176795,0.001344,0.01,0.0,0.97,100,10,1,11
215,0.9264053940160135,-4.9090317511969435,-1.2324567484323077,-0.5653266100848732,-0.21275195203136196,-0.409280143195984,-0.22933672531191615,-0.01859186427740411,0.001338,0.01,0.0,0.97,100,10,1,11
216,0.9209607431012272,-4.913949083501917,-1.2349808223457013,-0.5665000136882091,-0.21316162195597602,-0.4100931577207738,-0.22978328605197879,-0.018652321806884163,0.001333,0.01,0.0,0.97,100,10,1,11
217,0.9240512633221555,-4.91873639201907,-1.2374369162306442,-0.5676253587580107,-0.21356593903815918,-0.4108667474374546,-0.2302248441386489,-0.018675982517375785,0.001328,0.01,0.0,0.97,100,10,1,11
218,0.9274360050356694,-4.9231493170043095,-1.2396955721982892,-0.568614125805035,-0.21396843509550056,-0.4115541284507288,-0.23062456129220602,-0.018695794169491534,0.001322,0.01,0.0,0.97,100,11,0,11
219,0.9230302519592146,-4.927885245269395,-1.2421107558027173,-0.5696893998571898,-0.21439372901221385,-0.41227130328794176,-0.2310455492561547,-0.01874064867920076,0.001317,0.01,0.0,0.97,100,10,1,11
220,0.9226811948656535,-4.931089237085924,-1.2438448961546862,-0.5706436470837464,-0.21468724271809092,-0.4130352865051214,-0.2314725859242522,-0.01878460243472248,0.001312,0.01,0.0,0.97,100,11,1,12
221,0.920596492997764,-4.935969268416248,-1.2463455957909757,-0.5717938642163135,-0.215111127467284,-0.41382203694407294,-0.2318968898555029,-0.018826977382601574,0.001307,0.01,0.0,0.97,100,11,0,11
222,0.9242660519357244,-4.939129130336166,-1.2480072746914768,-0.5726546391022663,-0.215411963021964,-0.41451881657613393,-0.23231421556688575,-0.018856420098281704,0.001302,0.01,0.0,0.97,100,11,1,12
223,0.9164458936213572,-4.944220594725752,-1.2506011002322541,-0.5738391326007306,-0.21584335750365444,-0.415338713393247,-0.23280489208954958,-0.018883935450389855,0.001297,0.01,0.0,0.97,100,10,1,11
224,0.922866594652984,-4.94828529475645,-1.2526431144210635,-0.574790396884064,-0.21619632213372375,-0.41608432261475603,-0.23324964943284393,-0.018922782487307954,0.001292,0.01,0.0,0.97,100,11,1,12
225,0.9231587658115616,-4.952441463980193,-1.2547163858302224,-0.5757896910864261,-0.21652285558609552,-0.4168327970281498,-0.2336283408687981,-0.01895163346649978,0.001287,0.01,0.0,0.97,100,11,1,12
226,0.9262863927490426,-4.956833549180423,-1.2569310354297818,-0.576787398929408,-0.21688313807247112,-0.41755270303864134,-0.23401987104115743,-0.019001655974768626,0.001282,0.01,0.0,0.97,100,10,1,11
227,0.9201583414405046,-4.961655557118555,-1.2593853598849563,-0.5778994335033838,-0.2172836456861717,-0.41835959549839596,-0.23446416392406494,-0.01903982943587431,0.001277,0.01,0.0,0.97,100,10,1,11
228,0.9263459915611815,-4.962814469579134,-1.2601141448406838,-0.5785036037997521,-0.21741260582237043,-0.41902493259284407,-0.23484429017716757,-0.01909399992472523,0.001272,0.01,0.0,0.97,100,11,1,12
229,0.9222101363064686,-4.967347432417836,-1.2624479356987224,-0.5795209736368748,-0.21785047439870342,-0.41973209643303516,-0.23526506894235466,-0.019110623327206807,0.001267,0.01,0.0,0.97,100,11,0,11
230,0.9172899400309952,-4.972296829602042,-1.2649930168297356,-0.5806683890062881,-0.21829732834526025,-0.4205792129742635,-0.2357051002466027,-0.019133926807071842,0.001262,0.01,0.0,0.97,100,10,1,11
231,0.9326214342080962,-4.975294747113628,-1.266557094778752,-0.5814398290788096,-0.21855595365389666,-0.4211482730219607,-0.23605392141342116,-0.019154143995134234,0.001257,0.01,0.0,0.97,100,11,1,12
232,0.9204553052082637,-4.980039110690221,-1.2689547585595649,-0.5825493785908843,-0.21893776614453586,-0.4219430466789837,-0.23647388821900128,-0.01919122783747061,0.001253,0.01,0.0,0.97,100,10,1,11
233,0.9238893910481738,-4.984478946402829,-1.2711812907684275,-0.583540238861958,-0.2193376216225786,-0.42267360305426793,-0.23688391083663293,-0.0192497725036627,0.001248,0.01,0.0,0.97,100,10,1,11
234,0.9303547297297298,-4.988384030960556,-1.2731919909842977,-0.5844298749635799,-0.2197170064200887,-0.4233258129657373,-0.23726802867115473,-0.019266480628821216,0.001243,0.01,0.0,0.97,100,10,1,11
235,0.9233330501996093,-4.989980859468378,-1.2741673438792591,-0.5850684231729483,-0.21986901396847414,-0.42395097883305266,-0.23765450704735053,-0.01929026598293298,0.001239,0.01,0.0,0.97,100,11,1,12
236,0.9266478152561772,-4.992925459082194,-1.2756426805776326,-0.5858278264531926,-0.22012091639910591,-0.42463112591210095,-0.23802970279253108,-0.019303293538776772,0.001234,0.01,0.0,0.97,100,11,1,12
237,0.9222408869477574,-4.99739249495144,-1.27793710251501,-0.5868702140864804,-0.2205114178121038,-0.42534057549362037,-0.23844966645450813,-0.019359541132295703,0.001229,0.01,0.0,0.97,100,10,1,11
238,0.9272341571823018,-4.999819264250025,-1.2792548168409124,-0.5876184002093972,-0.22072983395780837,-0.4259851782255489,-0.23882399900398874,-0.019375946009330947,0.001225,0.01,0.0,0.97,100,11,1,12
239,0.9231529072979625,-5.0025583914808065,-1.2808226533583336,-0.5884533830554834,-0.22102369182351625,-0.4266196241973259,-0.23922641140472925,-0.01938249717879717,0.00122,0.01,0.0,0.97,100,11,1,12
240,0.9255900809205767,-5.006732267846188,-1.2829308180079988,-0.5893738449518656,-0.22141359966473817,-0.42726261346127303,-0.2396173294078047,-0.019392796234403813,0.001216,0.01,0.0,0.97,100,10,1,11
241,0.9258252362013123,-5.010892118956729,-1.285088776306045,-0.5903473041315671,-0.22180206534474642,-0.42796577631747745,-0.23999266614942563,-0.019418614136244544,0.001212,0.01,0.0,0.97,100,10,1,11
242,0.9231373889268626,-5.013823068263249,-1.286559221041141,-0.5911396118409964,-0.22202667991508557,-0.4286580835586732,-0.2403283319309039,-0.019512638025121508,0.001207,0.01,0.0,0.97,100,11,1,12
243,0.9162226619982747,-5.016681887272856,-1.2881169657491296,-0.5920039538187317,-0.22228527865324832,-0.4294619668366416,-0.24074982309648074,-0.019545290107701146,0.001203,0.01,0.0,0.97,100,11,1,12
244,0.9180435440993371,-5.021307271612366,-1.290472940584437,-0.5930637025262782,-0.22270451430023008,-0.43023349539399414,-0.24116366386188653,-0.01956059230454596,0.001198,0.01,0.0,0.97,100,10,1,11
245,0.9230664673100448,-5.02552020104138,-1.292578666455138,-0.5940157976389568,-0.22305529002891294,-0.43092040511611623,-0.24153514241873902,-0.019585238695372254,0.001194,0.01,0.0,0.97,100,10,1,11
246,0.9287771978580628,-5.029337237425317,-1.294521272116579,-0.5948889261973911,-0.2233998995593866,-0.431570304900063,-0.24191724649276217,-0.019611287159857653,0.00119,0.01,0.0,0.97,100,10,1,11
247,0.9291545336722156,-5.033150728056997,-1.2964100612147835,-0.595706019207241,-0.2237476865525974,-0.43218815754129153,-0.24229087810671385,-0.019618265952924888,0.001186,0.01,0.0,0.97,100,10,1,11
248,0.9218171677736653,-5.035921331716295,-1.2978468081937218,-0.5965317250712698,-0.22392976482870924,-0.43294741308617984,-0.24267304513979837,-0.01966934584050125,0.001181,0.01,0.0,0.97,100,11,1,12
249,0.9240290368982705,-5.040103390260887,-1.2999531834308184,-0.5975166352320362,-0.22425535776508443,-0.433675918907326,-0.24302317500859702,-0.019681007975101285,0.001177,0.01,0.0,0.97,100,10,1,11
250,0.9246676762577822,-5.044197278851589,-1.3020350177229505,-0.5984727725056368,-0.2245998269996597,-0.43438339985723345,-0.2433918557457373,-0.019717084950382675,0.001173,0.01,0.0,0.97,100,10,1,11
251,0.9317862760685351,-5.046290883643241,-1.3030625374653286,-0.5990912485082663,-0.2247437848632618,-0.43496083668608104,-0.24369815797110955,-0.019732808227860006,0.001169,0.01,0.0,0.97,100,11,1,12
252,0.9248214614239602,-5.0440213270273215,-1.3021654442231854,-0.5992672335205672,-0.22450598372332312,-0.4355131141273653,-0.2440644074476252,-0.01974508627317531,0.001165,0.01,0.0,0.97,100,11,1,12
253,0.9249402471479667,-5.048010437528356,-1.3041610532984569,-0.6001613138017616,-0.22484238951314295,-0.43614955808072314,-0.2444314846783821,-0.01980019494367173,0.001161,0.01,0.0,0.97,100,10,1,11
254,0.9207929087283634,-5.052336775872141,-1.3063398102780488,-0.601166395065041,-0.2251943769212493,-0.4368536325659456,-0.2448097089309935,-0.019834920612169883,0.001157,0.01,0.0,0.97,100,10,1,11
255,0.9225087339876892,-5.056541450084495,-1.3084451612080936,-0.6021290901378175,-0.2255411122419259,-0.4375179974211974,-0.24516760508114616,-0.0198374432537819,0.001153,0.01,0.0,0.97,100,11,0,11
256,0.9285957736877982,-5.060074618328961,-1.310194487288037,-0.6029284580533488,-0.2258298323941762,-0.43810233048814484,-0.24546423622906716,-0.01984634949559419,0.001149,0.01,0.0,0.97,100,11,1,12
257,0.930026065752964,-5.063692237337704,-1.3120255517553017,-0.6037596663442456,-0.2261247410844929,-0.4386891662391485,-0.2457931345523857,-0.01996477772946057,0.001145,0.01,0.0,0.97,100,10,1,11
258,0.9205191137410483,-5.067929185158519,-1.3141480963942829,-0.6047260581014413,-0.22645304235973482,-0.439385426314863,-0.24613896548267536,-0.019979312277528114,0.001141,0.01,0.0,0.97,100,11,0,11
259,0.930606416932639,-5.071485635414069,-1.3159385757501707,-0.6055064094424728,-0.2267684643000642,-0.43992663296668943,-0.24645143077620382,-0.02001556438169909,0.001137,0.01,0.0,0.97,100,10,1,11
260,0.9252610092357114,-5.075376065564798,-1.3178664184580822,-0.6063725547194845,-0.22709109157909776,-0.4405789102775747,-0.24681348777574663,-0.02004300041976899,0.001133,0.01,0.0,0.97,100,10,1,11
261,0.9212935741285174,-5.079432676973376,-1.3199399000267291,-0.6073290701048201,-0.2274333412009745,-0.44128016588202673,-0.24716373852139042,-0.02005929174851562,0.001129,0.01,0.0,0.97,100,11,1,12
