episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,work_ratio,imbalance_hotspot_distance
33,0.9375093931287385,-54.13885331789902,-36.27812897713881,-114.7113298802626,-135.4854284164032,-1.2753099038518414
34,0.9372537223642653,-54.63260324798766,-36.597800624139786,-114.17455112981543,-135.72478397479597,-1.2751626851631144
35,0.9347950486401831,-55.183148322786224,-36.97577227112395,-113.78593538722997,-136.1368297375677,-1.285765576483684
36,0.9279593010931775,-55.58748427124089,-37.252681192191865,-112.89351963040907,-135.99428482613578,-1.2997082590571154
37,0.9421954887218045,-56.03714673174703,-37.56204060054097,-112.3329058290739,-136.24009955983047,-1.2703146313973557
38,0.9288981163868327,-56.48995662113811,-37.8380212934737,-111.70251872342287,-136.31233912792425,-1.2632817695767178
39,0.9399191572758452,-56.97359126899106,-38.15119493299076,-111.3016913272751,-136.6298660623754,-1.1980771785827118
40,0.9388293790859703,-57.33290225700206,-38.38004373716516,-110.19549575467694,-136.23058001509133,-0.9887970461302645
41,0.9342466580162346,-57.75587196910195,-38.67538837188468,-109.75728982848926,-136.59847892182606,-1.0667185719132377
42,0.9347202295552367,-58.173587050665574,-38.95760936396579,-109.243905298806,-136.80440705254205,-1.1542525665455925
43,0.9368580518103318,-58.61423481769371,-39.24399853327629,-108.66384346190898,-136.80093390624677,-1.046821193485993
44,0.9389101745423585,-59.07777708580511,-39.5521725180532,-108.59154242781965,-137.35716194351295,-1.0018253798768804
45,0.9384088964927289,-59.505174713732494,-39.820859631227655,-108.48707585340783,-137.9284129636204,-1.1275871573806435
46,0.9408670033670034,-59.965554508008054,-40.122504848546505,-108.33166804902339,-138.44913574636894,-1.208782825511777
47,0.9316349468005395,-60.31763579935412,-40.37138724679495,-107.916833800755,-138.72184893581914,-1.2043369363048053
48,0.9380959634424981,-60.63192801312444,-40.57034960935857,-107.28732731841636,-138.68646574407475,-1.1560279139561769
49,0.936913357400722,-60.89607799385507,-40.73509559325342,-106.32993132226045,-138.28111665887727,-0.9755125607592902
50,0.9310293012772352,-61.34705508054108,-41.03338899911072,-106.37156562486128,-138.87408343377732,-1.1034207340783992
51,0.936199928681802,-61.72066716000093,-41.275694155277186,-106.15005784864765,-139.221695784362,-1.190500421712901
52,0.934069248401496,-62.08525496492179,-41.510236000844344,-105.82294622879301,-139.4159300408185,-1.1774314252031395
53,0.9306939475473818,-62.31456841975716,-41.64383140384487,-104.80967971067284,-138.8451881790155,-0.9760420026594465
54,0.9315348396458291,-62.6267904217963,-41.85017559655372,-104.44920704625471,-139.01754100864116,-1.0414183168581617
55,0.9315987366521281,-62.91900898260802,-42.040697043538444,-103.99865009723521,-139.0942148787541,-0.9913474582179536
56,0.9311744542666426,-63.25681525150287,-42.27507536245017,-103.75347485363226,-139.30267820176002,-0.9994794704983185
57,0.9344936234058514,-63.59810671843704,-42.50196187597789,-103.6089113115,-139.6735897227924,-1.111878326508073
58,0.9355319212321626,-63.97071671382794,-42.75218411884439,-103.75927529592863,-140.3107142741912,-1.1974510035900943
59,0.9367988145997762,-64.22909912365573,-42.912086111474025,-103.1434386022802,-140.08983053455074,-1.061887632427697
60,0.9324080207141567,-64.61421821632231,-43.16244618118938,-103.38736421374675,-140.76936332353705,-1.1728183735498678
61,0.9353981243653307,-64.96612363920737,-43.38523108098103,-103.3925442238107,-141.19481999216907,-1.1694968703248454
62,0.9399928027349607,-65.2315466732858,-43.54746960680252,-103.04946606129239,-141.23557810638005,-1.1355339196562868
63,0.9309180782446199,-65.56917099204682,-43.769230457746474,-103.07570086577616,-141.68860026910804,-1.0970220244478435
64,0.9374981255435924,-65.82868191275419,-43.93932480739527,-102.69669691148957,-141.67946209256405,-1.051720873562519
65,0.936091828035562,-66.04574162456768,-44.08053005048167,-102.22969806301793,-141.5993848225496,-1.0663568086419883
66,0.9421255591547123,-66.3618853875682,-44.29315980386104,-102.29270269892301,-142.05365374820843,-1.097322247788313
67,0.9280031224667488,-66.62206489353532,-44.46769274589326,-102.15534034959549,-142.2932673143511,-1.1369209168652494
68,0.9297913870928388,-66.83935580970154,-44.60932331081357,-101.82016478562213,-142.3702153176032,-1.1687140665543427
69,0.9343622333182025,-67.04466245436787,-44.739982245947864,-101.27556840836843,-142.1885448586726,-1.0945995141058409
70,0.9382000303536197,-67.27916396373386,-44.89516715473318,-100.98850138352707,-142.26945320019246,-1.066181376934291
71,0.9314839671886652,-67.50147000492696,-45.04792784489444,-100.70537063495271,-142.35993808714176,-1.0781079468886192
72,0.9302719033232628,-67.73857682841864,-45.195788955935356,-100.41647223095178,-142.39759847054822,-1.0318857073944832
73,0.9403413336521506,-67.99428202105982,-45.368726088555334,-100.3756083493031,-142.74510629356453,-1.1439735751768196
74,0.9357155791633971,-68.17344994894137,-45.476737653133156,-99.92599661638133,-142.71164656705005,-1.1060981298449233
75,0.9342935112189206,-68.31002340141214,-45.55724856393547,-99.22011821291244,-142.36061123921138,-1.0346678399122669
76,0.9327619906780935,-68.52167593047686,-45.68776371990338,-98.94151514696915,-142.4042647543672,-1.0246391718198453
77,0.9327979069696694,-68.76381128492162,-45.84137571650465,-98.93319025510439,-142.74553978641356,-1.0710636791721226
78,0.9369674759505268,-68.93074186161266,-45.95109752689321,-98.53478824286483,-142.67334372222982,-1.081269873712861
79,0.93630592321974,-69.10901769697418,-46.066546491380684,-98.27210906468547,-142.74073012939098,-1.1063973664414282
80,0.9370135313136151,-69.26187558299698,-46.154883679097225,-97.83892241670902,-142.63738477598625,-1.0802504491795
81,0.937031891761295,-69.45270096666046,-46.28391541277529,-97.69577237388714,-142.81958443938166,-1.0781979609850043
82,0.9408381768124808,-69.62707446230692,-46.38611812447395,-97.40221231731722,-142.81099027289645,-1.0597368241490712
83,0.9372711592580265,-69.81023384917641,-46.49917689370281,-97.17152958677251,-142.86981155566392,-1.0092941837985476
84,0.9426831828679404,-69.94178661095795,-46.56612459246018,-96.70473331681494,-142.6916561334263,-0.915223698304308
85,0.9413619550057607,-70.14513459707561,-46.703279695878024,-96.75043318028025,-143.04929461236284,-0.9401495068068868
86,0.9374022850270596,-70.30055052265864,-46.79628180244235,-96.49357614463999,-143.06781964432534,-0.9210271325032585
87,0.9423220973782771,-70.49759976230412,-46.916982631328004,-96.5416711628972,-143.4066829834284,-0.9720517191259507
88,0.9369317317926106,-70.65029215690976,-47.01041649386672,-96.37156283642187,-143.5213513826959,-0.9516274403832539
89,0.9338709193920681,-70.82717887742609,-47.1236157936826,-96.34273220502357,-143.74397889912893,-0.9543720004785899
90,0.9333455467008641,-70.94168541114075,-47.19296427767727,-95.95239415147512,-143.5819563934586,-0.9341815711667747
91,0.942320631231268,-71.10173619840526,-47.297691691981996,-95.84902113124264,-143.72455746776203,-0.9343480147502174
92,0.936261055199756,-71.23221703362668,-47.3785313570544,-95.6311712864414,-143.766486847146,-0.9470147689147255
93,0.9325448440666687,-71.35765349167379,-47.453375054670786,-95.4089830948491,-143.7799941748113,-0.946614174660144
94,0.9388254973415378,-71.50631645469043,-47.550727415816446,-95.26991479709977,-143.87162189467202,-0.9709468837918868
95,0.9409081296637564,-71.62483316933294,-47.62634829031349,-95.00075029834721,-143.8359321516721,-0.9445310712387854
96,0.9327926189471145,-71.73984952849251,-47.69325539834423,-94.75557084666507,-143.80248173729856,-0.915040091221608
97,0.936553199073249,-71.84215227720405,-47.754716050598056,-94.43196473707559,-143.69205333454974,-0.8786148507146172
98,0.9384320536623345,-71.97646507583853,-47.8347553800957,-94.34525586957471,-143.8011907306273,-0.8809696625208736
99,0.9419220182098672,-72.06443431262798,-47.88562876670971,-94.00806124882902,-143.6627395574729,-0.819281653947795
