episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate
94,0.005124,0.00072,0.3507,0.9111,10000,50,2546.2,0.007327,-2.79344,23.5,0.0
95,0.006628,0.000717,0.3491,0.9048,10000,50,2572.2,0.008125,-2.77908,20.1,0.0
96,0.005942,0.000714,0.3475,0.9103,10000,50,2597.8,0.014021,-2.77313,23.9,0.0
97,0.006689,0.000711,0.3459,0.9127,10000,50,2623.7,0.01462,-2.69439,23.7,0.0
98,0.004805,0.000708,0.3443,0.9192,10000,50,2650.3,0.013216,-2.5238,24.0,0.0
99,0.0045,0.000705,0.3427,0.9174,10000,50,2676.9,0.009955,-2.55016,24.1,0.0
100,0.006353,0.000702,0.3411,0.9176,10000,50,2727.1,0.006972,-2.65048,24.3,0.0
101,0.005642,0.000699,0.3395,0.9126,10000,50,2754.0,0.008393,-2.60326,24.1,0.0
102,0.006518,0.000696,0.3379,0.9169,10000,50,2782.0,0.006335,-2.57431,25.2,0.0
103,0.006141,0.000693,0.3363,0.9147,10000,50,2809.4,0.00808,-2.77948,21.6,0.0
104,0.006723,0.00069,0.3346,0.9091,10000,50,2836.7,0.01255,-2.99065,22.1,0.0
105,0.006267,0.000687,0.333,0.9166,10000,50,2863.4,0.014915,-2.6188,25.2,0.0
106,0.006548,0.000684,0.3314,0.9165,10000,50,2889.4,0.013291,-2.69152,24.5,0.0
107,0.005742,0.000681,0.3298,0.9148,10000,50,2915.4,0.011858,-2.58847,26.9,0.0
108,0.00579,0.000678,0.3282,0.9196,10000,50,2941.9,0.012523,-2.55809,26.4,0.0
109,0.004846,0.000675,0.3266,0.9006,10000,50,2968.2,0.007478,-3.18691,21.9,0.0
110,0.007031,0.000672,0.325,0.9208,10000,50,2994.4,0.009214,-2.4888,27.3,0.0
111,0.008384,0.000669,0.3234,0.9158,10000,50,3020.7,0.008964,-2.62397,23.5,0.0
112,0.005803,0.000666,0.3218,0.9173,10000,50,3047.3,0.006414,-2.57739,27.1,0.0
113,0.005898,0.000663,0.3202,0.9186,10000,50,3074.3,0.004685,-2.58819,26.9,0.0
114,0.00701,0.00066,0.3186,0.9108,10000,50,3100.5,0.004383,-2.81354,23.0,0.0
115,0.00602,0.000657,0.317,0.9154,10000,50,3127.8,0.005082,-2.72233,22.3,0.0
116,0.007458,0.000654,0.3154,0.9079,10000,50,3155.1,0.005573,-2.87382,21.9,0.0
117,0.008674,0.000651,0.3138,0.9137,10000,50,3181.6,0.004906,-2.72,24.7,0.0
118,0.007762,0.000648,0.3122,0.9117,10000,50,3208.0,0.005066,-2.83155,23.5,0.0
119,0.00597,0.000645,0.3106,0.908,10000,50,3236.1,0.005723,-2.88238,24.8,0.0
120,0.0068,0.000642,0.309,0.9081,10000,50,3263.2,0.006378,-2.91525,22.7,0.0
121,0.007489,0.000639,0.3074,0.9129,10000,50,3289.6,0.006558,-2.83048,24.0,0.0
122,0.00801,0.000636,0.3058,0.9157,10000,50,3315.9,0.004722,-2.76142,20.7,0.0
123,0.008455,0.000633,0.3041,0.9211,10000,50,3342.3,0.006497,-2.52432,24.3,0.0
124,0.005714,0.00063,0.3025,0.9151,10000,50,3368.6,0.00576,-2.71746,26.7,0.0
125,0.005988,0.000627,0.3009,0.9247,10000,50,3394.9,0.005301,-2.3276,29.9,0.0
126,0.005629,0.000624,0.2993,0.9162,10000,50,3421.2,0.006742,-2.7456,23.7,0.0
127,0.006723,0.000621,0.2977,0.9173,10000,50,3447.6,0.006706,-2.64015,26.3,0.0
128,0.006032,0.000618,0.2961,0.9169,10000,50,3474.4,0.006597,-2.63305,26.2,0.0
129,0.007013,0.000615,0.2945,0.9077,10000,50,3500.9,0.007048,-3.05126,22.5,0.0
130,0.006735,0.000612,0.2929,0.9151,10000,50,3527.4,0.006438,-2.61902,26.7,0.0
131,0.00847,0.000609,0.2913,0.9242,10000,50,3553.5,0.006329,-2.48605,28.6,0.0
132,0.005895,0.000606,0.2897,0.9131,10000,50,3580.4,0.008235,-2.79471,25.6,0.0
133,0.006454,0.000603,0.2881,0.9109,10000,50,3606.8,0.010172,-2.83031,22.9,0.0
134,0.006282,0.0006,0.2865,0.9132,10000,50,3633.6,0.009034,-2.78023,25.6,0.0
135,0.007655,0.000597,0.2849,0.9176,10000,50,3659.0,0.009146,-2.6537,22.8,0.0
136,0.008355,0.000594,0.2833,0.9181,10000,50,3685.0,0.008905,-2.64046,27.4,0.0
137,0.005732,0.000591,0.2817,0.9064,10000,50,3711.3,0.00986,-2.97109,25.2,0.0
138,0.005765,0.000588,0.2801,0.9164,10000,50,3738.1,0.008627,-2.63312,23.1,0.0
139,0.006168,0.000585,0.2785,0.9155,10000,50,3764.5,0.010343,-2.63186,23.2,0.0
140,0.006807,0.000582,0.2769,0.9041,10000,50,3791.4,0.009534,-3.01513,21.0,0.0
141,0.00821,0.000579,0.2753,0.9118,10000,50,3818.1,0.008708,-2.73236,26.2,0.0
142,0.007995,0.000576,0.2736,0.9134,10000,50,3842.8,0.009523,-2.68879,24.7,0.0
143,0.005245,0.000573,0.272,0.9141,10000,50,3869.2,0.010126,-2.70163,22.5,0.0
144,0.007097,0.00057,0.2704,0.9131,10000,50,3895.4,0.008783,-2.71246,22.8,0.0
145,0.008162,0.000567,0.2688,0.9212,10000,50,3922.3,0.01064,-2.45083,27.4,0.0
146,0.007867,0.000564,0.2672,0.9035,10000,50,3949.0,0.011243,-2.9565,19.3,0.0
147,0.006747,0.000561,0.2656,0.9168,10000,50,3975.6,0.009781,-2.54027,25.1,0.0
148,0.005007,0.000558,0.264,0.9205,10000,50,4001.8,0.008678,-2.53762,25.1,0.0
149,0.006869,0.000555,0.2624,0.9162,10000,50,4028.0,0.009981,-2.64651,24.7,0.0
150,0.006796,0.000552,0.2608,0.9099,10000,50,4077.7,0.009116,-2.86069,23.4,0.0
151,0.008268,0.000548,0.2592,0.9181,10000,50,4104.9,0.008937,-2.544,24.8,0.0
152,0.006824,0.000545,0.2576,0.9159,10000,50,4130.8,0.011756,-2.80391,25.9,0.0
153,0.007244,0.000542,0.256,0.9132,10000,50,4158.4,0.011139,-2.72806,25.0,0.0
154,0.00626,0.000539,0.2544,0.9156,10000,50,4185.6,0.011155,-2.64687,25.5,0.0
155,0.007608,0.000536,0.2528,0.9147,10000,50,4212.8,0.011131,-2.67633,24.6,0.0
156,0.007768,0.000533,0.2512,0.9219,10000,50,4239.8,0.011816,-2.59262,24.7,0.0
157,0.007173,0.00053,0.2496,0.9238,10000,50,4267.6,0.010742,-2.41649,28.6,0.0
158,0.009156,0.000527,0.248,0.9162,10000,50,4294.6,0.011108,-2.61923,25.0,0.0
159,0.005432,0.000524,0.2464,0.9128,10000,50,4322.2,0.012377,-2.78868,24.0,0.0
160,0.008368,0.000521,0.2447,0.9168,10000,50,4348.9,0.017261,-2.6273,23.3,0.0
161,0.007304,0.000518,0.2431,0.9211,10000,50,4376.1,0.016716,-2.49755,25.6,0.0
162,0.006916,0.000515,0.2415,0.9126,10000,50,4403.6,0.014399,-2.65773,23.4,0.0
163,0.005061,0.000512,0.2399,0.9144,10000,50,4430.5,0.015462,-2.79151,23.8,0.0
164,0.00781,0.000509,0.2383,0.9184,10000,50,4457.8,0.011243,-2.52871,26.9,0.0
165,0.00638,0.000506,0.2367,0.9107,10000,50,4483.8,0.01228,-2.82691,23.0,0.0
166,0.00644,0.000503,0.2351,0.9308,10000,50,4511.3,0.01192,-2.25,32.0,0.0
167,0.00601,0.0005,0.2335,0.8967,10000,50,4538.4,0.013464,-3.22077,19.9,0.0
168,0.006937,0.000497,0.2319,0.9165,10000,50,4565.8,0.01099,-2.63918,22.5,0.0
169,0.007447,0.000494,0.2303,0.9053,10000,50,4593.1,0.010653,-2.8595,23.3,0.0
170,0.006934,0.000491,0.2287,0.9249,10000,50,4620.2,0.010837,-2.36724,28.7,0.0
171,0.008155,0.000488,0.2271,0.9207,10000,50,4647.3,0.011843,-2.52062,25.7,0.0
172,0.006811,0.000485,0.2255,0.9131,10000,50,4673.9,0.016735,-2.72071,26.0,0.0
173,0.00589,0.000482,0.2239,0.9193,10000,50,4700.9,0.01367,-2.46746,23.7,0.0
174,0.006578,0.000479,0.2223,0.9144,10000,50,4728.3,0.013125,-2.80153,22.8,0.0
175,0.008399,0.000476,0.2207,0.9185,10000,50,4755.6,0.012292,-2.54298,26.4,0.0
176,0.007163,0.000473,0.2191,0.9132,10000,50,4783.0,0.013898,-2.65419,25.6,0.0
177,0.007353,0.00047,0.2175,0.9145,10000,50,4809.8,0.015002,-2.7617,23.7,0.0
178,0.006763,0.000467,0.2159,0.9052,10000,50,4836.6,0.013287,-3.07969,22.4,0.0
179,0.006941,0.000464,0.2142,0.9097,10000,50,4864.1,0.015446,-2.89503,21.3,0.0
180,0.007216,0.000461,0.2126,0.9135,10000,50,4891.0,0.015056,-2.87004,24.6,0.0
181,0.007657,0.000458,0.211,0.9128,10000,50,4916.7,0.014244,-2.71331,24.9,0.0
182,0.008451,0.000455,0.2094,0.9073,10000,50,4944.7,0.015152,-2.9818,19.4,0.0
183,0.007886,0.000452,0.2078,0.9112,10000,50,4971.4,0.013118,-2.85262,21.8,0.0
184,0.009169,0.000449,0.2062,0.911,10000,50,4997.9,0.01355,-2.85195,22.0,0.0
185,0.009644,0.000446,0.2046,0.9131,10000,50,5025.7,0.013432,-2.72158,23.4,0.0
186,0.007254,0.000443,0.203,0.9187,10000,50,5052.8,0.010917,-2.51619,25.3,0.0
187,0.009176,0.00044,0.2014,0.9092,10000,50,5079.9,0.011558,-2.81183,23.1,0.0
188,0.007456,0.000437,0.1998,0.9153,10000,50,5107.6,0.012214,-2.66988,25.0,0.0
189,0.007867,0.000434,0.1982,0.9125,10000,50,5134.9,0.011421,-2.67167,24.2,0.0
190,0.009285,0.000431,0.1966,0.9173,10000,50,5162.1,0.01022,-2.60332,25.8,0.0
191,0.009618,0.000428,0.195,0.9207,10000,50,5189.2,0.011112,-2.58377,26.3,0.0
192,0.006712,0.000425,0.1934,0.9177,10000,50,5216.5,0.013741,-2.59606,27.3,0.0
193,0.008337,0.000422,0.1918,0.9149,10000,50,5244.1,0.013464,-2.70882,23.7,0.0
194,0.006667,0.000419,0.1902,0.9197,10000,50,5271.2,0.013406,-2.60694,27.7,0.0
195,0.008696,0.000416,0.1886,0.9086,10000,50,5298.4,0.013476,-2.9134,21.8,0.0
196,0.008301,0.000413,0.187,0.9169,10000,50,5325.6,0.012792,-2.72245,22.7,0.0
197,0.007072,0.00041,0.1854,0.9121,10000,50,5352.9,0.011962,-2.74937,23.3,0.0
198,0.009162,0.000407,0.1837,0.925,10000,50,5380.2,0.013883,-2.40208,29.1,0.0
199,0.006243,0.000404,0.1821,0.9225,10000,50,5407.5,0.012338,-2.48946,30.3,0.0
200,0.006162,0.000401,0.1805,0.9182,10000,50,5456.2,0.014226,-2.5279,28.5,0.0
201,0.006733,0.000398,0.1789,0.9174,10000,50,5483.6,0.015931,-2.58675,26.8,0.0
202,0.006726,0.000395,0.1773,0.9151,10000,50,5511.3,0.014878,-2.54777,24.0,0.0
203,0.006471,0.000392,0.1757,0.9068,10000,50,5538.2,0.014784,-2.79875,23.9,0.0
204,0.008027,0.000389,0.1741,0.9066,10000,50,5565.5,0.015014,-3.02197,22.0,0.0
205,0.00723,0.000386,0.1725,0.9123,10000,50,5592.6,0.012217,-2.71556,21.6,0.0
206,0.008842,0.000383,0.1709,0.9135,10000,50,5620.0,0.01382,-2.79159,26.8,0.0
207,0.007158,0.00038,0.1693,0.9172,10000,50,5647.1,0.012322,-2.65949,27.1,0.0
208,0.007632,0.000377,0.1677,0.9112,10000,50,5674.2,0.013871,-2.78355,22.6,0.0
209,0.007847,0.000374,0.1661,0.9111,10000,50,5701.7,0.013913,-2.85722,23.9,0.0
