episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,onsite_shortage_pressure,depot_shortage_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.9279306521520008,-2.805252445477472,-0.15589096323531956,-0.06261218974395238,-0.03263554741777807,-0.030539224417782555,-0.00821883023852279,-0.043951813994627435,-0.03408633628823188,-0.02083198585468131,-0.02376664578602379,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9392929853784935,-2.8239006141599674,-0.16559727162418397,-0.06690531318410119,-0.03454788613261522,-0.032713783029549054,-0.008714238724917733,-0.047179262302755993,-0.036529407734147014,-0.021989622405830453,-0.025280455297389072,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9400573452521505,-2.8457414026390486,-0.1767114887262677,-0.07131767873702746,-0.03685582933038608,-0.03488850193242518,-0.009266571451429685,-0.05010299273350684,-0.03890385524974983,-0.02380928870853873,-0.027137079152487503,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9408204438466712,-2.865047268514014,-0.1865199394515478,-0.07535002003636655,-0.03895258268153361,-0.036906634951478307,-0.009814501876270337,-0.05289402727211105,-0.04116522443467121,-0.025091331475785832,-0.02860669919754803,0.007188,0.01,0.0,0.97,100,14,1,15
14,0.9373947267481614,-2.887380914187443,-0.1978815218579251,-0.07985859246315542,-0.04130154346372979,-0.039197379295362954,-0.010384421409324955,-0.0559043401033585,-0.043513566704319946,-0.026448721027162014,-0.030125153502940337,0.007035,0.01,0.0,0.97,100,14,1,15
15,0.944338101954463,-2.905520681426864,-0.20706271764841216,-0.08355310478455857,-0.04317475022027218,-0.0409485696002292,-0.010908396714907783,-0.05862228624969646,-0.045579970821846935,-0.027763036613570772,-0.031496550300877814,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9383309521808555,-2.9265617190809174,-0.21800326861505437,-0.08798619852809561,-0.04549418528494933,-0.043163551311388264,-0.01147947897047992,-0.06175472990036319,-0.04800809838100523,-0.029363208054163384,-0.03304352400554712,0.006749,0.01,0.0,0.97,100,13,1,14
17,0.9376700177409817,-2.947300226980868,-0.2285115969030072,-0.0921785445978363,-0.04772296171449414,-0.045236610242584865,-0.011994440916508373,-0.06472288833140812,-0.05028013011430612,-0.030944093527120655,-0.03455553260440472,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.9374739544264973,-2.9679623134349447,-0.23887889655950056,-0.09620380081239752,-0.04980036813593424,-0.047110552001117995,-0.01243568505493343,-0.06756675897992492,-0.052540248331957425,-0.032240961007085456,-0.03629053595059755,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.9375785575975812,-2.986846639127836,-0.24845799953537587,-0.10009105482212433,-0.05177162873140009,-0.049063949957565904,-0.012894310051721891,-0.0703386332455056,-0.05468876137063985,-0.033528796206479916,-0.037640354375019947,0.006362,0.01,0.0,0.97,100,14,1,15
20,0.9339714037549275,-3.0080026092701706,-0.25932282744570545,-0.10451293557428724,-0.054025140109401563,-0.051241203870992326,-0.013485544006512681,-0.07332528412003193,-0.05723402425365995,-0.03540253540562002,-0.0391612324652871,0.006242,0.01,0.0,0.97,100,13,1,14
21,0.9343956286378523,-3.027832694671195,-0.2694474769623449,-0.10862806231632674,-0.056134305820908614,-0.05332280598284792,-0.013985656164465987,-0.07629956527207896,-0.059618468825601366,-0.03673099725071279,-0.040927831477563195,0.006127,0.01,0.0,0.97,100,14,1,15
22,0.9416906210308176,-3.036224726943056,-0.2740904923558824,-0.11148507114435248,-0.05706663588575164,-0.055026003823356893,-0.014305784170106823,-0.07876285377295913,-0.06145341435142446,-0.037680401762197925,-0.04154199527447543,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.9385746072415886,-3.052034119697574,-0.2823337216931008,-0.114998153811778,-0.05877023596581277,-0.05682706185101649,-0.014694466762266751,-0.08114644525888938,-0.0634862634329294,-0.03900104390587043,-0.042614366343618565,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9376436111758634,-3.070410720303792,-0.29187093648114315,-0.1188326360133961,-0.06080235585810582,-0.05868806770968444,-0.015262593862205893,-0.08376503659281295,-0.0655441275292079,-0.04042858681358327,-0.04398251553327634,0.005806,0.01,0.0,0.97,100,13,1,14
25,0.9373957297652551,-3.0882866473637565,-0.30098283907119366,-0.1224488354239029,-0.0626689739198001,-0.060493325417537526,-0.015720583746101406,-0.08633324499364786,-0.06746712124238394,-0.04145231863286146,-0.045376379605633746,0.005706,0.01,0.0,0.97,100,13,1,14
26,0.9389820803018054,-3.1052115650643786,-0.30955068528723845,-0.12577160744012283,-0.06442716378687481,-0.06205449653635588,-0.016149198453566296,-0.08863521440030253,-0.06926733530058864,-0.04245619331902904,-0.04660865968055025,0.00561,0.01,0.0,0.97,100,14,1,15
27,0.9425331379471125,-3.121053847775915,-0.31761957914483807,-0.1289270569040585,-0.06613499096126792,-0.06354143781589273,-0.016571014862865677,-0.09074048962836335,-0.07101160608712408,-0.04349237584885346,-0.047689057970412924,0.005517,0.01,0.0,0.97,100,13,1,14
28,0.9411111298113335,-3.1368674740209217,-0.32560704212256825,-0.13208918175355688,-0.06778230779930784,-0.06505996848919833,-0.016959302328499258,-0.09303088280428558,-0.07282922760156484,-0.04462324387673357,-0.048924418380840384,0.005426,0.01,0.0,0.97,100,13,1,14
29,0.9390050034304456,-3.1531310006364235,-0.3338041540231585,-0.1353621257118642,-0.06945869309269181,-0.06663853072392145,-0.017316474280493894,-0.09526179561150715,-0.07462221349800119,-0.04572435493550494,-0.05016463127847975,0.005339,0.01,0.0,0.97,100,14,1,15
30,0.9341021416803954,-3.1703382802930644,-0.3425768148464488,-0.13884947259307281,-0.07133554492954115,-0.06836840587153437,-0.017810932769701193,-0.09752711600520014,-0.07652498796929216,-0.04669753085648533,-0.051285813910574234,0.005255,0.01,0.0,0.97,100,13,1,14
31,0.9380781956918091,-3.179543611865082,-0.34739838134569684,-0.1414568503578764,-0.07229565708912485,-0.06992204284951942,-0.0182925912729475,-0.09973674288304821,-0.07831733561674024,-0.047501514731913566,-0.05240252335950904,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.9432062298603652,-3.1897890519592913,-0.3525362757465561,-0.14387036807168255,-0.07339194949422179,-0.07111911316019486,-0.01871076407493347,-0.10163483035713629,-0.07981594958844647,-0.04840519306406123,-0.05316727403395251,0.005094,0.01,0.0,0.97,100,14,1,15
33,0.9413856156034133,-3.202555576732499,-0.3591508626950406,-0.14663945990415092,-0.07478576613473895,-0.07250178074821347,-0.019023521940121368,-0.10366226396999143,-0.08138070990914005,-0.04948407216803234,-0.05402426430474273,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.9363389027056801,-3.218350614069839,-0.3672728178122105,-0.14986298299749004,-0.07648140163752594,-0.07414994875580305,-0.01943149700792259,-0.10575449809398992,-0.0830925907869551,-0.05065270142156447,-0.055138370718052325,0.004942,0.01,0.0,0.97,100,13,1,14
35,0.9374925949120698,-3.2331760551431707,-0.37488700600852704,-0.15294093119436056,-0.0780766131337446,-0.07554648118675932,-0.019855548924149383,-0.10778450328528888,-0.0847302845834522,-0.05160433484228754,-0.05639335441897885,0.00487,0.01,0.0,0.97,100,14,1,15
36,0.9336584871907382,-3.2486882726886326,-0.3830839740079232,-0.15628891929453226,-0.07984434454012738,-0.07730135742353197,-0.020307563491023792,-0.10998795142733729,-0.08661782450244512,-0.05276994239095689,-0.05753299458187819,0.004799,0.01,0.0,0.97,100,14,1,15
37,0.9373544361899258,-3.2632261136428404,-0.39047456751374354,-0.15920124200506927,-0.0814108133799074,-0.07874028063386171,-0.020688849624081587,-0.1120317708540831,-0.08824466960106706,-0.05378986494999797,-0.05831735018590665,0.004731,0.01,0.0,0.97,100,13,1,14
38,0.9389580745862844,-3.277309302495219,-0.39764593892377664,-0.16197690966215783,-0.08291469711756917,-0.08005555095800218,-0.02105061415533824,-0.11390599067160481,-0.08975813128042272,-0.05471681136661811,-0.05947027937054906,0.004665,0.01,0.0,0.97,100,13,1,14
39,0.9361338052978577,-3.2919427198416344,-0.40522353901636815,-0.16508743711621887,-0.08449293706035829,-0.08166565224991358,-0.02143762228352822,-0.11613697152040883,-0.09140425251611778,-0.055783395014327296,-0.06106594389670508,0.0046,0.01,0.0,0.97,100,13,1,14
40,0.9334055675945991,-3.3057729847044253,-0.41244375710254755,-0.1681345028167759,-0.08595446700112018,-0.08320819951384158,-0.021799494186154164,-0.11833412132544265,-0.09298435269992707,-0.056794561639663364,-0.062240739232894714,0.004537,0.01,0.0,0.97,100,14,1,15
41,0.9376123968470058,-3.3195636955688888,-0.4194768163406309,-0.17094107520021218,-0.08736255479442154,-0.0845891876533585,-0.022091492877421404,-0.12037477543749577,-0.09444608395106162,-0.05781592248726562,-0.06363301464492647,0.004476,0.01,0.0,0.97,100,13,1,14
42,0.9409002482055411,-3.3279200682452896,-0.4239285887098943,-0.173185051332226,-0.08824280692079498,-0.0859126561991383,-0.02240952242730749,-0.12216972691703401,-0.09575142127707637,-0.058676051154130486,-0.06428386145885566,0.004417,0.01,0.0,0.97,100,14,1,15
43,0.9383284823284823,-3.3405385479023093,-0.4302854150066774,-0.17578533842753288,-0.08955864579034463,-0.08719506172835642,-0.022730681704165253,-0.12406801441859165,-0.0972447388654023,-0.0594797012949951,-0.06525455793873569,0.004359,0.01,0.0,0.97,100,14,1,15
44,0.9405530494860228,-3.352191543716925,-0.436236500651825,-0.17822986365193993,-0.09080918986828412,-0.08842962829286743,-0.023037152409916464,-0.1257915136811729,-0.09855321565275574,-0.060232064742849575,-0.06620704239824467,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9351792627503788,-3.3658030091985682,-0.4431493983395298,-0.18094692948633156,-0.092275683489552,-0.08974574152440043,-0.023370780548896585,-0.12773266125584434,-0.10014263778734267,-0.06128413876116681,-0.0670227219261905,0.004247,0.01,0.0,0.97,100,13,1,14
46,0.939104016650721,-3.3768126599901276,-0.4488777514235477,-0.1834287425052558,-0.0934491607916907,-0.09101284482263658,-0.02367638058105336,-0.12952094328010424,-0.10148988852594998,-0.06198191336654733,-0.0680139758328564,0.004194,0.01,0.0,0.97,100,14,1,15
47,0.9404026845637584,-3.38827876569143,-0.4546446641128177,-0.18577955135338414,-0.09466579854129759,-0.0921800924223977,-0.023991578690713417,-0.13117283078066083,-0.10281536266949044,-0.06298481581280044,-0.06868951170325019,0.004141,0.01,0.0,0.97,100,14,1,15
48,0.9403188535900121,-3.4003315168859274,-0.46081598952748254,-0.18819961804391092,-0.09597666862731023,-0.09335126078977075,-0.024331316282286675,-0.13287677054896427,-0.10414437540872984,-0.0636669996610643,-0.0696209377897192,0.00409,0.01,0.0,0.97,100,13,1,14
49,0.9372515329155717,-3.4127662498428886,-0.4670807918831134,-0.19063764156579818,-0.09734558454609643,-0.09453036298326775,-0.024708019514706712,-0.13464171621933024,-0.10548194218091014,-0.06448356626663315,-0.0704234717737712,0.004041,0.01,0.0,0.97,100,13,1,14
50,0.9382026242491359,-3.424863197270826,-0.473349245184468,-0.19315052460814378,-0.09864905599409135,-0.09577746753115016,-0.025002046156628044,-0.1363653573148967,-0.10690609566165066,-0.06530744810322218,-0.07143310971465973,0.003992,0.01,0.0,0.97,100,13,1,14
51,0.9352123110078459,-3.437461715362179,-0.47993479911497916,-0.19583552830426332,-0.10001393133283074,-0.09716453477634605,-0.025288183587735696,-0.13832398665927806,-0.10835818938085842,-0.06623554930023717,-0.07235291992948266,0.003945,0.01,0.0,0.97,100,13,1,14
52,0.9371985530546624,-3.4370356949193344,-0.4805262266526268,-0.19723855067223117,-0.10018307982316985,-0.0982668736434376,-0.02552408520550457,-0.13989599497110503,-0.10955345585986133,-0.06626772359995968,-0.07245197089088964,0.003898,0.01,0.0,0.97,100,14,1,15
53,0.9376339405304045,-3.4483011026479917,-0.48623566046351013,-0.19954798728683995,-0.1013603459797262,-0.0993904347519845,-0.025816474302988727,-0.14151026727032034,-0.11083829995139796,-0.0669630846694256,-0.0734362236302166,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9398677896714875,-3.458832890927219,-0.49165217323294064,-0.2018263187585092,-0.1024287761033495,-0.1005355868170398,-0.026058915682975428,-0.1431559815460208,-0.11205598772786989,-0.06777260189739298,-0.07433278360981987,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9367537969490447,-3.468476791712688,-0.4965792936402135,-0.2040694088676256,-0.10336959182318149,-0.10171792541810239,-0.026278757141850163,-0.14485242708390145,-0.1132722624616227,-0.06847526978502154,-0.07528759333254072,0.003766,0.01,0.0,0.97,100,14,1,15
56,0.9449811498586239,-3.4774894965068737,-0.5012897481723749,-0.20602663475909228,-0.10438059969280206,-0.10269232560558915,-0.026574891176644435,-0.14624264205739668,-0.11439242532653521,-0.0691343060797365,-0.07595663058443598,0.003724,0.01,0.0,0.97,100,14,1,15
57,0.9330100996543972,-3.489363425425162,-0.507394289172538,-0.2085893789294182,-0.10559309654551612,-0.1039660491539887,-0.02685755703832805,-0.14797819980204796,-0.115833511307072,-0.06993145482635355,-0.07714946629468271,0.003682,0.01,0.0,0.97,100,14,1,15
58,0.9381503959114369,-3.499418274231133,-0.5125053726413686,-0.21067371670118196,-0.10668495275618152,-0.10492772375581991,-0.027169793193154577,-0.1494720742149666,-0.11708444244541756,-0.07061458078917765,-0.07784069833527897,0.003642,0.01,0.0,0.97,100,14,1,15
59,0.9344118342395893,-3.510319000190481,-0.5180567609353975,-0.21298219501658566,-0.10784256062064324,-0.10609886713604781,-0.027476648179374067,-0.15112370232871689,-0.11835970652929996,-0.07127419484824757,-0.07872792685230388,0.003602,0.01,0.0,0.97,100,14,1,15
60,0.9401874217666362,-3.5201431598734825,-0.5231258574329506,-0.21506799907690635,-0.10891835108425459,-0.10714009565551252,-0.027765797394504715,-0.15254457781961966,-0.11941874772840926,-0.07189827831441664,-0.07942291605653366,0.003564,0.01,0.0,0.97,100,14,1,15
61,0.9386931475651417,-3.5280504898393703,-0.5272080116564624,-0.21699564318201234,-0.10972930645596198,-0.10823177994894705,-0.028009215953270505,-0.15399307249670896,-0.12057557684291827,-0.07253535786320994,-0.08017430737326066,0.003526,0.01,0.0,0.97,100,14,1,15
62,0.9391518338727076,-3.538299989616477,-0.5324403455460354,-0.21908231556501925,-0.11079959264761012,-0.10922024181620055,-0.028249066386744084,-0.15537899611145148,-0.12165726800620204,-0.0732311604473724,-0.08075477388542268,0.003489,0.01,0.0,0.97,100,13,1,14
63,0.9353439614173755,-3.549291498568945,-0.5379542975310259,-0.22130834261552607,-0.11188386768079354,-0.11031358534508295,-0.028476483665936105,-0.15693623125219663,-0.12284194096061361,-0.07406730547831891,-0.0817362836655259,0.003453,0.01,0.0,0.97,100,13,1,14
64,0.9388752238006793,-3.559124462092678,-0.5430268069641088,-0.22333691632227748,-0.11296367164863445,-0.11127472841134534,-0.028760153877803358,-0.15826453085247608,-0.12404118930268017,-0.0747545705920278,-0.08247381297070502,0.003417,0.01,0.0,0.97,100,14,1,15
65,0.9386425613574386,-3.567693479308003,-0.5474051308281895,-0.22519432907191989,-0.11387455371916075,-0.1122078304909246,-0.02901311714177288,-0.15958187268143575,-0.12509918642425005,-0.07528722159776616,-0.08312151115697242,0.003382,0.01,0.0,0.97,100,14,1,15
66,0.9343843919474807,-3.57845971047451,-0.5529781277224763,-0.22737017505085463,-0.11510026045481286,-0.11326020132745919,-0.029357860809719326,-0.1610408579428524,-0.12632775507848237,-0.07614280757721822,-0.08385899481438094,0.003348,0.01,0.0,0.97,100,13,1,14
67,0.9466774661671897,-3.586668019698934,-0.5571019405647001,-0.22898210771188135,-0.11597434986039512,-0.11402378922458983,-0.029585965483010315,-0.16211953423874026,-0.1271530278647565,-0.07672777401679882,-0.08432104984034033,0.003315,0.01,0.0,0.97,100,13,1,14
68,0.9364425924996235,-3.596860318352444,-0.5622987638086981,-0.23103867204575623,-0.11707385481314171,-0.11500251278544477,-0.029844226893831014,-0.1635294574719282,-0.12829126993616993,-0.07736947874308478,-0.08509749187916611,0.003282,0.01,0.0,0.97,100,13,1,14
69,0.9368971937534596,-3.606513799360433,-0.5672982512475652,-0.23305398436781324,-0.11812452728083671,-0.11599627506047765,-0.030119137745718283,-0.16492668418459103,-0.12939345382549983,-0.0779618910674155,-0.08593300422939855,0.00325,0.01,0.0,0.97,100,14,1,15
70,0.9412735849056604,-3.6150693251340935,-0.5717149238143776,-0.23486846128146524,-0.11902860904285245,-0.11689807672420251,-0.030344098950685468,-0.16629978697481654,-0.13039974066141385,-0.0786502515799484,-0.0865479527872323,0.003219,0.01,0.0,0.97,100,14,1,15
71,0.9440533716789005,-3.6235368086492605,-0.5759753564717023,-0.23653437821210335,-0.11993257529685479,-0.11770518902260223,-0.030559370839392478,-0.16745085541242716,-0.13134590408457153,-0.0791045529418781,-0.08714995048437593,0.003188,0.01,0.0,0.97,100,13,1,14
72,0.9342948180446085,-3.633601101966985,-0.5812253156954965,-0.23867694266859799,-0.12098207911842425,-0.1187920291171688,-0.03079030869966007,-0.1689612804825101,-0.13245631769287583,-0.07974332973943245,-0.08814474153904928,0.003157,0.01,0.0,0.97,100,14,1,15
73,0.9396070740202211,-3.641324780639642,-0.5853013382641663,-0.24039087358683395,-0.12183478820098499,-0.11962199520959937,-0.031003959606714843,-0.17017080816181113,-0.1333918263460956,-0.08032415122562629,-0.08874865699935973,0.003128,0.01,0.0,0.97,100,14,1,15
74,0.9386147943730229,-3.6502713683906145,-0.5899513891430355,-0.24228557464807002,-0.12280795470905104,-0.12053611931828954,-0.03123502188001806,-0.17139603622073762,-0.1344786779523328,-0.08088785509074613,-0.08954921091921601,0.003098,0.01,0.0,0.97,100,14,1,15
75,0.9345197892746184,-3.659972999347346,-0.5950569308802703,-0.24436421934358774,-0.12389421713733312,-0.12160666989406876,-0.03150596081093248,-0.17271025348727428,-0.1355910752069489,-0.08155000779264447,-0.09017994439576857,0.00307,0.01,0.0,0.97,100,13,1,14
76,0.940248557926778,-3.668281630315801,-0.5992926983407763,-0.2460466483267521,-0.12481451035335746,-0.12244158043709444,-0.031757977602640965,-0.17387053463152105,-0.13653500638427665,-0.0821049665375341,-0.09080106320213113,0.003042,0.01,0.0,0.97,100,14,1,15
77,0.9344087098821093,-3.6777271219492036,-0.6041658606712034,-0.248057637004039,-0.1257876913590585,-0.12347977895697963,-0.031979859672096704,-0.17526339377406527,-0.13765200849666281,-0.08271254632301678,-0.09161398190021548,0.003014,0.01,0.0,0.97,100,14,1,15
78,0.9376196714703214,-3.686695097179029,-0.6087010339850055,-0.24985665714230276,-0.12674379598988128,-0.12436006491138271,-0.032217679057530695,-0.17647770223209666,-0.13863959722938496,-0.08332108319835546,-0.09213548694196774,0.002987,0.01,0.0,0.97,100,13,1,14
79,0.9411784706402366,-3.6948764373603127,-0.6128921765804294,-0.25156680616484767,-0.12762728313240057,-0.12520776596704802,-0.03245106397627291,-0.17773039145798486,-0.13956114307079373,-0.0838132110925583,-0.09275162921926977,0.00296,0.01,0.0,0.97,100,13,1,14
80,0.9426800799422266,-3.7024471917893576,-0.6166831836504163,-0.25309368958765815,-0.12843551229686595,-0.12594260992583306,-0.03267750167087302,-0.1787906504890144,-0.14044115595962753,-0.08436450152042224,-0.09331847859277209,0.002934,0.01,0.0,0.97,100,14,1,15
81,0.9377502974245547,-3.7104949253894106,-0.620784146412229,-0.25479013294926706,-0.12927135690340194,-0.12678062630371623,-0.03290163493780232,-0.17997192424264033,-0.14140985723299507,-0.08488034487511824,-0.09397345550014216,0.002909,0.01,0.0,0.97,100,14,1,15
82,0.9429423861376125,-3.7165061267790427,-0.623739566933476,-0.2561617725986522,-0.12992779565221255,-0.1274850819508905,-0.03311430234406149,-0.181085065516371,-0.1422410263009609,-0.08522545424097684,-0.09432133462522485,0.002883,0.01,0.0,0.97,100,14,1,15
83,0.9403693490432021,-3.724312938947823,-0.627706683125506,-0.2577947359276435,-0.13072583528836645,-0.12826083224627838,-0.03330084979769029,-0.1822531497393164,-0.14315947111006558,-0.08583930973512982,-0.09489470282028091,0.002859,0.01,0.0,0.97,100,14,1,15
84,0.9396393387877776,-3.7312740974376766,-0.6313481093221396,-0.2593844460560442,-0.13148622727486647,-0.12907898123956044,-0.03349756143036635,-0.18335740523907224,-0.14399495440903956,-0.0863589304411543,-0.09547966165763204,0.002834,0.01,0.0,0.97,100,14,1,15
85,0.9362012518871605,-3.7397917742884657,-0.6357506568610256,-0.2611125073245089,-0.13244263188520025,-0.1298684134964328,-0.03374939246962629,-0.18453656597566748,-0.1449597407820822,-0.08692774086573214,-0.09608414223018558,0.00281,0.01,0.0,0.97,100,13,1,14
86,0.9406634427759396,-3.7473648136983373,-0.6395960368176835,-0.2626649953366482,-0.13323626033601282,-0.1305945967567863,-0.033931991133411846,-0.18555909458726763,-0.1458431837866562,-0.08747873769483067,-0.09674696979990846,0.002787,0.01,0.0,0.97,100,14,1,15
87,0.9331483350151362,-3.756352336826196,-0.6442513441323711,-0.26450610896336174,-0.13425389617313033,-0.13151455141462914,-0.034202638280130315,-0.1868020606428656,-0.1468561171301475,-0.08813611739819407,-0.09735296986403612,0.002763,0.01,0.0,0.97,100,13,1,14
88,0.9388045223441263,-3.764396159886924,-0.6483162388165917,-0.2661024589711223,-0.13508266298269997,-0.13227844529013438,-0.03438492108403438,-0.1879154481509107,-0.1477325086747317,-0.08860498301239969,-0.09787547445554708,0.002741,0.01,0.0,0.97,100,13,1,14
89,0.9313379389557962,-3.7730632674688995,-0.6527966334024401,-0.2679424162774184,-0.13602570466274444,-0.13319259305629694,-0.034649173430318654,-0.1891462889399258,-0.14877219250603033,-0.08928538669220758,-0.09842992293198595,0.002718,0.01,0.0,0.97,100,14,1,15
90,0.9362339204764055,-3.781370038548082,-0.6570180314064105,-0.269612031882599,-0.13693868682054194,-0.13396957628888856,-0.03488116110242577,-0.190354850053386,-0.1497488962559917,-0.08976378881271889,-0.09900983011647631,0.002696,0.01,0.0,0.97,100,13,1,14
91,0.9402868406742795,-3.788751869273409,-0.6607921059464182,-0.2711014760055607,-0.13770809490081468,-0.13467361860682725,-0.035054735620254115,-0.19139883822470857,-0.15050393875440957,-0.0903383325097334,-0.09943643202421841,0.002674,0.01,0.0,0.97,100,14,1,15
92,0.94054960693955,-3.7960871419232,-0.6645515409915826,-0.27257240831352375,-0.13851293225084754,-0.13536348556976288,-0.035268879802375884,-0.19245733125414213,-0.15136935996119605,-0.09089859156187502,-0.09985798852146505,0.002653,0.01,0.0,0.97,100,14,1,15
93,0.9413594701277849,-3.803385469476037,-0.6682639902310038,-0.27406856875981683,-0.13924298148563521,-0.1360766148523561,-0.03543980050051753,-0.1935320759715626,-0.15211384756235555,-0.09142432566324,-0.10049992821604245,0.002632,0.01,0.0,0.97,100,13,1,14
94,0.938886527836804,-3.8103019232311306,-0.6718304580712532,-0.2755310501836789,-0.14000392504550052,-0.136801927589411,-0.03563438059736197,-0.1945277846351595,-0.1529649647092563,-0.091815463875203,-0.10106672713871656,0.002611,0.01,0.0,0.97,100,14,1,15
95,0.9332211093342311,-3.817628562697212,-0.6755632972095331,-0.27714966721439155,-0.14075216870747378,-0.13767813445423652,-0.03582299796819372,-0.19578686583332425,-0.1538643623893232,-0.09231483152624265,-0.10176575005710425,0.002591,0.01,0.0,0.97,100,14,1,15
96,0.9381858145236284,-3.82511036330398,-0.6793934758164613,-0.27866830421491423,-0.14155201499031614,-0.138411751862629,-0.03601917707448715,-0.19682547524789468,-0.15467973131901996,-0.09288488444152741,-0.10230124581543788,0.002571,0.01,0.0,0.97,100,13,1,14
97,0.938092198104966,-3.829939055836329,-0.6820929064943374,-0.28003761001214617,-0.14213024565552196,-0.1392217091600136,-0.036243461026430654,-0.19793644645657524,-0.15554627015216985,-0.09341527882433652,-0.10277750399683237,0.002551,0.01,0.0,0.97,100,14,1,15
98,0.9398071671779659,-3.836954307339376,-0.6857129394697277,-0.2815174901806619,-0.14291195894866232,-0.13995787580970367,-0.036469708259009984,-0.1989242888628928,-0.15633130313847995,-0.09389064244231819,-0.10329655425151646,0.002532,0.01,0.0,0.97,100,14,1,15
99,0.9400099072476641,-3.842629847373153,-0.6886120923228972,-0.28276667802787503,-0.1435779118744487,-0.14059400096096117,-0.036684264830236166,-0.19983179354201455,-0.15713416086146545,-0.09442785171910352,-0.10367141441535421,0.002513,0.01,0.0,0.97,100,14,1,15
100,0.9311001269120299,-3.850950482288476,-0.6929717662150281,-0.2845632669168917,-0.14448605758801814,-0.14152100230434755,-0.03690497471114359,-0.20112264580944783,-0.15810746939181367,-0.0949593513159684,-0.10435535263011546,0.002494,0.01,0.0,0.97,100,14,1,15
