episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_onsite_backlog,alpha,alpha_initial,epsilon
164,0.9132702693636577,-2.9567673108980617,-1.2591590628405267,-0.5520281893901616,-0.9143967128013375,-0.5293440949598517,-0.6211135967992238,0.008423,0.05,0.038674
165,0.9194380493051237,-2.9653149098933973,-1.262944653938368,-0.5535127194695951,-0.9171473729119387,-0.530830366503733,-0.6229340024585198,0.00838,0.05,0.038289
166,0.9248009486701677,-2.973176291885914,-1.2662522673140229,-0.5549542883719576,-0.9195096638178397,-0.5322152754711835,-0.6244144249669868,0.008338,0.05,0.037907
167,0.9196619471708278,-2.981671672727959,-1.2698862935865054,-0.5564659213804944,-0.9221466306891241,-0.5336949996655346,-0.626547850147734,0.008296,0.05,0.037529
168,0.9277382597849172,-2.989043124297771,-1.2729495795527925,-0.5579192188835518,-0.9244198165908891,-0.5350819355532918,-0.628028929104628,0.008255,0.05,0.037155
169,0.9200595496972332,-2.9972264799912933,-1.2765409808160815,-0.5592837195389835,-0.9271590619625201,-0.536497118621868,-0.6298923931076881,0.008214,0.05,0.036785
170,0.93039408123207,-3.004440643427994,-1.2795167841974644,-0.560714278086584,-0.9293388917555662,-0.5379356984832201,-0.631236310830193,0.008174,0.05,0.036418
171,0.9277319499957479,-3.0117043686457623,-1.2826872015852482,-0.5618932724203489,-0.9316011041512825,-0.5391898417494614,-0.6331098748877558,0.008134,0.05,0.036055
172,0.9181676784907933,-3.0201403435783076,-1.286392993836182,-0.563373106092484,-0.93440046215145,-0.5405945251770323,-0.6346186145165043,0.008094,0.05,0.035695
173,0.9222552418689121,-3.028206083122869,-1.2899182081099179,-0.5648176443465039,-0.9369139595561727,-0.5420547325277224,-0.6365272247863457,0.008055,0.05,0.035339
174,0.9294613473033784,-3.035058755860829,-1.2928105215650314,-0.566067154946921,-0.9391094906467399,-0.5432793835443245,-0.6380509705043612,0.008016,0.05,0.034987
175,0.923496073056289,-3.042814483240187,-1.296082850015605,-0.5675010356058791,-0.9414795392587307,-0.5446790665323024,-0.6400305820691619,0.007978,0.05,0.034638
176,0.9240548903538275,-3.050374280180222,-1.2992934882944966,-0.5688899424032572,-0.9437908396532315,-0.545992855616275,-0.6418040646167428,0.007939,0.05,0.034293
177,0.9230089822854001,-3.0582701337642306,-1.3026636362501895,-0.5703571431449588,-0.9462387533680433,-0.547449076284119,-0.6433437466679549,0.007902,0.05,0.033951
178,0.9276631864867159,-3.065455082025016,-1.3057977239893719,-0.571587786863048,-0.9485009913844874,-0.5487516260822702,-0.6448658378176959,0.007864,0.05,0.033613
179,0.9249666762279177,-3.0725497768487537,-1.308893591677965,-0.572833530792342,-0.9507505509020568,-0.5499029720215897,-0.6461679538713859,0.007827,0.05,0.033278
180,0.9190749476337255,-3.0804612939116898,-1.3124080010811774,-0.5741562180350684,-0.9532783714352269,-0.551167922363964,-0.648449989533113,0.007791,0.05,0.032946
181,0.9175412293853074,-3.0885273918720677,-1.315935924866197,-0.5755355007108267,-0.9559287125717651,-0.5525456328784344,-0.6502375647057129,0.007754,0.05,0.032617
182,0.9226943109309842,-3.096152328185458,-1.3191599953530706,-0.5770062822601014,-0.9583638233846538,-0.5539624494227603,-0.6516957749909049,0.007718,0.05,0.032292
183,0.9231418918918919,-3.1035981629471636,-1.3223935805674787,-0.5783052377578604,-0.9607552053941668,-0.5552739459465479,-0.6534470601205075,0.007682,0.05,0.03197
184,0.9205273261641439,-3.1111269388163696,-1.3256106525162596,-0.5796309090432916,-0.9630720697268982,-0.5565728066427568,-0.6550867201277585,0.007647,0.05,0.031652
185,0.9209990406785937,-3.1186921417219247,-1.3288456302253673,-0.5809792439383651,-0.9654518018634509,-0.5579311179218166,-0.656640337464225,0.007612,0.05,0.031336
186,0.9205835764902043,-3.126558732756552,-1.3322113144200338,-0.5824869020935363,-0.9678772593636016,-0.5593930614807003,-0.6582537370562334,0.007577,0.05,0.031024
187,0.926869628353849,-3.13340115680666,-1.3351897640139818,-0.5837014427151784,-0.9700676171146393,-0.560602041032637,-0.659626265253473,0.007543,0.05,0.030714
188,0.9177474575413624,-3.141177930709178,-1.3386654169550087,-0.5849912331791449,-0.9727091731140722,-0.5618623390613526,-0.6612283792034149,0.007509,0.05,0.030408
189,0.930164368413116,-3.1476898294993645,-1.3414291824799134,-0.5861773344085333,-0.9746574303043675,-0.562907507781346,-0.6627542881200451,0.007475,0.05,0.030105
190,0.9254116346459859,-3.1547673905733333,-1.3445043737182663,-0.5874222051726189,-0.9769682673727265,-0.5642089627521831,-0.6644591056064363,0.007442,0.05,0.029805
191,0.9189764386499983,-3.162529675851838,-1.3478560662326087,-0.5888925653106931,-0.9793794568341854,-0.5655502743555603,-0.6657536260033087,0.007408,0.05,0.029508
192,0.9264483712719187,-3.169270938670681,-1.3507126495429045,-0.5900884951693803,-0.9814178286803068,-0.5667545632424609,-0.6671895645506954,0.007375,0.05,0.029214
193,0.9261078788082024,-3.176160788598693,-1.3536235648481285,-0.5913756969089532,-0.9835110457260644,-0.5678637361413366,-0.6685486834231357,0.007343,0.05,0.028922
194,0.9262019190515264,-3.1828806888483503,-1.3565831112311721,-0.592493757194375,-0.9856935895576622,-0.5689490103565251,-0.6698750313102566,0.007311,0.05,0.028634
195,0.9233448885263731,-3.1898058723078266,-1.359659437346937,-0.5935861879357848,-0.9878749298427328,-0.5701250457622478,-0.6716202012256282,0.007278,0.05,0.028349
196,0.9241825428996082,-3.196590780312884,-1.362611969269273,-0.5947431603996176,-0.989888215713031,-0.5712797449245035,-0.6730665873860525,0.007247,0.05,0.028066
197,0.9186230324229786,-3.2039044949943523,-1.3658644820167456,-0.5959619432729509,-0.9923698849167869,-0.5725432132879921,-0.6749708442914101,0.007215,0.05,0.027786
198,0.9229486380405303,-3.210951999252103,-1.3688776538981693,-0.5972312127796796,-0.9945561259816424,-0.5738202500611835,-0.6765551740652326,0.007184,0.05,0.027509
199,0.9186356961687359,-3.2183556848817747,-1.3720665539930796,-0.5984575554869391,-0.9969528828420647,-0.5750996243818138,-0.6784747633150567,0.007153,0.05,0.027235
200,0.9277825843554379,-3.224746121411355,-1.3747199515716344,-0.5996139251937762,-0.9988696162520219,-0.5762578570698933,-0.6798198652163489,0.007122,0.05,0.026963
201,0.9276946132992069,-3.231010681446195,-1.3773153369021993,-0.6007764286154751,-1.000807956393114,-0.5773609614958125,-0.6812306172781822,0.007092,0.05,0.026695
202,0.924613695854091,-3.237757818342572,-1.3801467742509153,-0.6020320957209211,-1.002846581543222,-0.5784705988407693,-0.6828580666176642,0.007062,0.05,0.026429
203,0.9196618754507488,-3.2447466995739807,-1.3831804219011046,-0.6032242254578066,-1.0050722349614931,-0.5797121341164294,-0.6842836785262054,0.007032,0.05,0.026165
204,0.9219877238711848,-3.2516511282026492,-1.3862332007842455,-0.6043873043731061,-1.0072501566417136,-0.580900025122611,-0.685943162043759,0.007002,0.05,0.025904
205,0.9244598856526065,-3.2583865082092878,-1.3890917223707293,-0.6056463022737751,-1.0093986998977795,-0.582143047694466,-0.6874621120482756,0.006973,0.05,0.025646
206,0.9286698944253917,-3.2644412013757464,-1.3916521109986135,-0.6067344385188908,-1.0112957628048933,-0.5832531589772586,-0.6886231285909038,0.006944,0.05,0.02539
207,0.9286639199529134,-3.270553776480702,-1.3942084047064522,-0.6078736164110903,-1.0130335487347397,-0.5843143968312721,-0.6898458061498479,0.006915,0.05,0.025137
208,0.923973456395055,-3.277049499240901,-1.3970013368131622,-0.6090354558097612,-1.0150465054608002,-0.5854263308661417,-0.6912690302774375,0.006886,0.05,0.024887
209,0.9275848758957491,-3.283246733036562,-1.399665133150761,-0.610161537729886,-1.0170277403355954,-0.5865899581984574,-0.6930406776981168,0.006858,0.05,0.024639
210,0.9260757631482163,-3.2894446192516438,-1.4022646189633168,-0.6112674676698298,-1.019034733376363,-0.5877599062186377,-0.69450641390491,0.00683,0.05,0.024393
211,0.9201597139849975,-3.296251563461503,-1.4053005081704417,-0.6124177530985423,-1.0212806534051766,-0.5889605490671561,-0.6959018719427881,0.006802,0.05,0.02415
212,0.9180416553962673,-3.303321727378573,-1.4084239996847032,-0.6135889595402085,-1.0236077119988396,-0.5902252444125644,-0.6976505637810541,0.006774,0.05,0.023909
213,0.9202977884825925,-3.3102249165279547,-1.4114610837046353,-0.6148133817307858,-1.0258667382079532,-0.591430818215419,-0.6994371289149413,0.006746,0.05,0.023671
214,0.9209509507820541,-3.3169043673137826,-1.4143589655262114,-0.6159757397608893,-1.0280464017331523,-0.5927020435544679,-0.7011242915671468,0.006719,0.05,0.023435
215,0.9229861415517415,-3.3234626207483307,-1.417151131473668,-0.6171840580363881,-1.0301647614304785,-0.5939250446666321,-0.7026239616461686,0.006692,0.05,0.023201
216,0.9245295801365107,-3.3298400386075255,-1.4198983499261362,-0.6183434680702244,-1.03209502283086,-0.5949936626574788,-0.7040146427880748,0.006665,0.05,0.02297
217,0.922830542509584,-3.3363436405231055,-1.4226925273934394,-0.6194694596845507,-1.0341158952073823,-0.596140621581886,-0.7053531054706097,0.006639,0.05,0.022741
218,0.9319402484055052,-3.341968808968157,-1.425092064549873,-0.6204408414892555,-1.035905869350479,-0.5971515383401214,-0.7067761599952783,0.006612,0.05,0.022514
219,0.9271422797089733,-3.3479528194161396,-1.4276123588328662,-0.621512226556533,-1.0376380079336418,-0.598139628322141,-0.7079245551248664,0.006586,0.05,0.02229
220,0.9268259799791028,-3.353729710171856,-1.4301107920009657,-0.6224950130269814,-1.0394478428952585,-0.599127202572793,-0.7091882330536015,0.00656,0.05,0.022067
221,0.9247875306526924,-3.3598870373687912,-1.4327706428848614,-0.6235724823884251,-1.041408644726421,-0.6002456743365611,-0.7105754688414714,0.006534,0.05,0.021847
222,0.9223743518487139,-3.3662241669162714,-1.435500723364147,-0.624748044828978,-1.0433760410625508,-0.6014505148950754,-0.7119779482076173,0.006508,0.05,0.02163
223,0.9201603587687708,-3.37258088425467,-1.4383897923957887,-0.6257327132958536,-1.0454228069947133,-0.6025052153783924,-0.7137031471307309,0.006483,0.05,0.021414
224,0.9261808367071525,-3.378547256739657,-1.4409584297406368,-0.6267730923681484,-1.04726648878187,-0.603580973766666,-0.7150573416569881,0.006458,0.05,0.0212
225,0.9200835551362825,-3.3851414012457948,-1.443883668425796,-0.6278767555005824,-1.0494425661277194,-0.6048178508060807,-0.7164568272620694,0.006433,0.05,0.020989
226,0.9246377296050542,-3.3910980804314708,-1.4464648534042752,-0.6288677420428767,-1.0513333475473667,-0.6058852405837092,-0.7180098441671091,0.006408,0.05,0.02078
227,0.9238645803312594,-3.3970790883049724,-1.449062747683932,-0.629900515012785,-1.0532835768908095,-0.607063444417025,-0.7197662783129746,0.006383,0.05,0.020573
228,0.9220603414724944,-3.403156323449495,-1.4517140717929327,-0.6309440423200005,-1.055151986302022,-0.6080725443554656,-0.7211948572878641,0.006359,0.05,0.020368
229,0.9247085217036609,-3.408959537650026,-1.454223803848506,-0.6319276336037222,-1.0570033587739134,-0.6090642035229942,-0.7226787156674557,0.006335,0.05,0.020165
230,0.9157364850076604,-3.4157739862198713,-1.4572388418640818,-0.6331161132959032,-1.0591974717938073,-0.6102892771667434,-0.7243416358046377,0.006311,0.05,0.019964
231,0.9154642303283662,-3.4224168755254714,-1.4601774373016099,-0.6342115843271555,-1.0613842879421798,-0.6114066919788489,-0.7259717221643653,0.006287,0.05,0.019765
232,0.9228970010859577,-3.4285000677929216,-1.4628055142315366,-0.6352431022237423,-1.0632297706936766,-0.6124457084736313,-0.7273627805865629,0.006263,0.05,0.019567
233,0.9200361494175927,-3.4348997009867257,-1.4655767860277322,-0.6363723658845606,-1.0652921903581032,-0.6135807335020724,-0.7287284430235785,0.00624,0.05,0.019372
234,0.9260922412046728,-3.4404580210062963,-1.4679944666977807,-0.6373101824586106,-1.0670439434459795,-0.6145355000676878,-0.7299865849764332,0.006216,0.05,0.019179
235,0.9274215459855998,-3.445828233000882,-1.4702466353318933,-0.6382490771576942,-1.0685978268462935,-0.6154616815186269,-0.7312296139694432,0.006193,0.05,0.018988
236,0.9200769616864648,-3.452102705196132,-1.4730706023042701,-0.6392806765064168,-1.070789937883936,-0.6165305809713715,-0.732590896371037,0.00617,0.05,0.018799
237,0.9214961511071925,-3.4580704982206094,-1.4756423482862575,-0.6403026270712495,-1.072657041305078,-0.6175950943191282,-0.7338880652186104,0.006147,0.05,0.018611
238,0.9199616058197494,-3.4642843273314674,-1.478309453859291,-0.6414411343081582,-1.074493969006206,-0.6186797054598067,-0.7353326010418203,0.006125,0.05,0.018426
239,0.9234630701783743,-3.4702676326554327,-1.4808489672622742,-0.642531206506679,-1.0763679821452283,-0.619773381912013,-0.7366118873790894,0.006102,0.05,0.018242
240,0.9218158890290038,-3.4762090788081417,-1.4833544835228356,-0.6436265648426417,-1.0781572099783103,-0.6208273794592388,-0.7377222773162939,0.00608,0.05,0.01806
241,0.921538744954866,-3.4822270309912726,-1.4859989402099203,-0.6446660184100875,-1.0800237675975672,-0.621892439806748,-0.7392703069998995,0.006058,0.05,0.01788
242,0.9257912526887228,-3.4878055132518653,-1.4883909269482978,-0.6456482772231359,-1.0817780138481141,-0.6228395306140875,-0.7403613948206408,0.006036,0.05,0.017702
243,0.9192054099746407,-3.4940133756403218,-1.491188787685391,-0.646721224714308,-1.083865043724355,-0.6239830627201729,-0.7415622029295803,0.006014,0.05,0.017526
244,0.9236044415238673,-3.49965641118049,-1.4936151267973157,-0.6476966346486597,-1.0856283865120373,-0.6248776149637676,-0.7427898467345576,0.005992,0.05,0.017351
245,0.9262857817586829,-3.5050486364031816,-1.495896080225575,-0.6486759828041168,-1.0873062833082723,-0.6258238566943494,-0.743916947886449,0.00597,0.05,0.017178
246,0.9306705964056439,-3.5100039699218373,-1.4980254495198702,-0.6495089432299697,-1.0888518858729577,-0.6266640281735497,-0.7450804725239621,0.005949,0.05,0.017007
247,0.926528690798433,-3.5155034339469924,-1.500299417949098,-0.6506169429836784,-1.0905785480368195,-0.6277270272553416,-0.7461058833644324,0.005928,0.05,0.016837
248,0.9254964928589537,-3.520993178461155,-1.5026987942506689,-0.6515259378595321,-1.0924051408611213,-0.6286788105554236,-0.7475919113688159,0.005907,0.05,0.016669
249,0.9224790653362082,-3.526832032019511,-1.505256621594314,-0.6525171685739024,-1.0943806301473749,-0.6296936171694629,-0.7487499865030708,0.005886,0.05,0.016503
250,0.9311198289360699,-3.5317852321637937,-1.507317401322832,-0.6534176860696786,-1.0958812873935713,-0.6305674544924047,-0.749709194221675,0.005865,0.05,0.016339
251,0.9233364101703448,-3.537412247226093,-1.5097566964051035,-0.6543974292561363,-1.097601486701185,-0.6314944043882974,-0.7508622515797224,0.005844,0.05,0.016176
252,0.9215273250079409,-3.5433120650652334,-1.5122574435196696,-0.6555394992643682,-1.0993759546336614,-0.6325369493036006,-0.7520651823861325,0.005824,0.05,0.016014
253,0.9174565493853327,-3.5494242876890714,-1.5149583668738478,-0.656590084114486,-1.101416803691985,-0.633615105271065,-0.7533648073383594,0.005804,0.05,0.015855
254,0.9218666577682861,-3.5551432251539157,-1.5174771423995779,-0.6575977903673486,-1.1033182841896014,-0.6345737230837994,-0.7546142426055111,0.005783,0.05,0.015697
255,0.9185828054599564,-3.5613312091939715,-1.5202670271039433,-0.6586357707690589,-1.1052569139982449,-0.6355944300508809,-0.7562261785250497,0.005763,0.05,0.01554
256,0.9268666371591026,-3.566483234780781,-1.522437569221744,-0.6595538451145412,-1.106892870181799,-0.6364651119144815,-0.7574427947850428,0.005743,0.05,0.015385
257,0.9247724974721941,-3.571774000008675,-1.5247337476676042,-0.6604693744078045,-1.1085446810352726,-0.6373628914100089,-0.7584821344651156,0.005724,0.05,0.015232
258,0.9209417430272222,-3.5774719706415787,-1.5272105330309447,-0.6614450572683457,-1.1102635092562174,-0.6383223538131458,-0.759948106018009,0.005704,0.05,0.01508
259,0.9209200805910007,-3.582941392845725,-1.529627212855792,-0.6623191453804402,-1.1121152690049185,-0.6391692191151966,-0.7611448169689352,0.005684,0.05,0.01493
260,0.9247513165593915,-3.588286411104529,-1.5319290907548462,-0.6632421113721426,-1.1137957467068316,-0.6400995213155718,-0.7623308808680223,0.005665,0.05,0.014781
261,0.9184999335371528,-3.594166672685575,-1.5345102634359,-0.664170026215662,-1.1157079157237444,-0.641151261689635,-0.7638683920970086,0.005646,0.05,0.014634
262,0.920613821069812,-3.5999145261024,-1.5370583601725814,-0.6651130404007197,-1.1175384468639193,-0.6420476802296119,-0.7652518293938058,0.005627,0.05,0.014488
263,0.9201662920588782,-3.6056760292856165,-1.5396061745936565,-0.6660818389944193,-1.1193829534740596,-0.643053242548553,-0.7665575582896076,0.005608,0.05,0.014343
264,0.925961554689214,-3.6108010311059067,-1.5418369785989616,-0.6669546691246232,-1.1209495097208302,-0.6439040866047477,-0.76776877779218,0.005589,0.05,0.0142
265,0.9180247745849835,-3.6165091827070013,-1.5443225056531182,-0.6679366551051343,-1.1227772354580743,-0.6449179724636778,-0.7691153314602939,0.00557,0.05,0.014059
266,0.918770451501331,-3.622118866823091,-1.5468027034662042,-0.6689133290207147,-1.1245654673681647,-0.6459289104206303,-0.7701518307780311,0.005551,0.05,0.013918
267,0.92138306634617,-3.627679870602207,-1.5491993561234239,-0.6698906091098866,-1.1263266885352077,-0.6469091800850183,-0.771144674275048,0.005533,0.05,0.01378
268,0.9245897237976978,-3.6327548914975476,-1.5514226532522433,-0.6707399766660156,-1.1279435122472972,-0.6478009434569757,-0.7723742900298766,0.005515,0.05,0.013642
269,0.9261714324365456,-3.6377654608526853,-1.5535571024471801,-0.6716480759450042,-1.1295306331272872,-0.6486811341488428,-0.7735489631881977,0.005496,0.05,0.013506
270,0.9213454856740018,-3.643183712229825,-1.556020308421852,-0.6725355632247106,-1.1313580907045877,-0.6495516915879715,-0.7748220979322457,0.005478,0.05,0.013372
271,0.9164665782359757,-3.6490425293068425,-1.5586164554499762,-0.6735739060681578,-1.13324305689518,-0.6506847614791136,-0.776338838379277,0.00546,0.05,0.013238
272,0.9184657940898664,-3.654741576345685,-1.561131324689137,-0.6745380898922207,-1.1350710549696588,-0.6516648710677571,-0.7776054218962305,0.005442,0.05,0.013106
273,0.922528067090491,-3.660061060300739,-1.5634151365412687,-0.6755007234053148,-1.136751807928812,-0.652597962611111,-0.7786907738004416,0.005425,0.05,0.012976
274,0.923891529781943,-3.665120902209132,-1.5655715877150758,-0.6763657320190845,-1.1383428778688682,-0.6534952640890273,-0.7800005688352267,0.005407,0.05,0.012846
275,0.9218847077393246,-3.67052043283545,-1.5679485301992577,-0.6772812718885669,-1.1401494083002555,-0.6544363447752575,-0.7810917168970091,0.005389,0.05,0.012718
276,0.921081390070445,-3.67578042271051,-1.5702099189244676,-0.6782225611426068,-1.1418459615597873,-0.6553779811130529,-0.7821507186317408,0.005372,0.05,0.012592
277,0.9246454050225152,-3.680699068154163,-1.572252974447989,-0.6791219264469949,-1.1434585774476957,-0.656265254743683,-0.7833248580606585,0.005355,0.05,0.012466
278,0.9213233810772645,-3.6859263838900023,-1.5745329130359451,-0.6799908517234603,-1.1451631484882105,-0.6571902870930902,-0.7842869183534986,0.005337,0.05,0.012342
279,0.9242705346601451,-3.691048729386154,-1.576744640304458,-0.6808676883849358,-1.1467435614014352,-0.6580493024237499,-0.7853739506295564,0.00532,0.05,0.012219
280,0.9235184844275601,-3.696253349154552,-1.5789662086472072,-0.6817919765132322,-1.1483094781863856,-0.6589787130329812,-0.7865976408564563,0.005303,0.05,0.012097
281,0.9241880298663431,-3.70128919712653,-1.5811912232275867,-0.6826133512110275,-1.1499081728874023,-0.6598378493104421,-0.7879582274161896,0.005286,0.05,0.011976
282,0.9212212144711555,-3.7065284807370356,-1.583388158259569,-0.6835931468088744,-1.151561827644768,-0.6608001474444982,-0.7891742287612626,0.00527,0.05,0.011857
283,0.9236769940896936,-3.711340503688811,-1.585498148108857,-0.6843697663233985,-1.1531359497595515,-0.6616175047360697,-0.7902442895804475,0.005253,0.05,0.011739
284,0.9268973974655947,-3.7160582578021706,-1.5874696839682043,-0.6852463559486233,-1.154580984079172,-0.662492419378103,-0.7912184048839387,0.005236,0.05,0.011622
285,0.9176385695826551,-3.721607135078182,-1.5898694140099454,-0.6862305140064359,-1.1563642642147154,-0.6635684481404212,-0.7926188639975754,0.00522,0.05,0.011506
286,0.9263057356859197,-3.726374212282613,-1.5918814576641402,-0.6870496430250758,-1.157840650903378,-0.6644141855080772,-0.7937893430470546,0.005204,0.05,0.011391
287,0.9221398127328254,-3.7314387770088477,-1.5940820127568145,-0.6878829930042799,-1.159451384304386,-0.6652077367312254,-0.7949557998643342,0.005187,0.05,0.011278
288,0.9222736240560583,-3.736295653058101,-1.5961590308814877,-0.6887599884893425,-1.1610480987256948,-0.6661445366357593,-0.7962269328385848,0.005171,0.05,0.011165
289,0.9246727089627391,-3.7412671711712373,-1.5982565559047481,-0.6896880803581559,-1.162461453658556,-0.6670169631474855,-0.7973273165181577,0.005155,0.05,0.011054
290,0.9281483606419061,-3.7457264130377026,-1.6001588468450414,-0.6904918873013209,-1.163842661596923,-0.6678133709516177,-0.7982457669509441,0.005139,0.05,0.010944
291,0.9218059071729958,-3.7506479855832118,-1.6022937659833136,-0.6912809948205979,-1.1653536661086523,-0.6686304286978213,-0.7995163924608325,0.005123,0.05,0.010835
292,0.9247168890608962,-3.7553511116147784,-1.6043070064379543,-0.6921014869318654,-1.1668339810527726,-0.6694298366195225,-0.800311643388948,0.005108,0.05,0.010727
293,0.9217486958115969,-3.760281120445684,-1.6064564184008472,-0.6929002848111364,-1.1683809590871213,-0.6702669559621562,-0.8014535123452761,0.005092,0.05,0.01062
294,0.9288260436200226,-3.764635183049801,-1.6082992116551382,-0.6936599350062846,-1.1697945508736856,-0.6711056010058633,-0.802415478296473,0.005076,0.05,0.010514
295,0.9238890294291255,-3.769482026616084,-1.61042242289108,-0.6945132752298431,-1.1713006060475215,-0.6719278245486626,-0.8033562834610746,0.005061,0.05,0.010409
296,0.92587669112203,-3.7740537713605247,-1.6124079506303899,-0.6952573564590392,-1.1727686061628526,-0.6727574633091836,-0.8043674788276461,0.005046,0.05,0.010305
297,0.9225721346513491,-3.779084930645534,-1.614601315034935,-0.6961390091782367,-1.1743902386442293,-0.6736340850960941,-0.8056743892501141,0.00503,0.05,0.010202
298,0.9168602107105591,-3.7843802206021535,-1.6169330898758083,-0.6970734593784949,-1.1760735662422044,-0.6745560751451236,-0.8067718045969966,0.005015,0.05,0.010101
299,0.921315108976727,-3.7893058274381093,-1.6190744866776041,-0.6979106265414549,-1.1776397192043964,-0.675361890966523,-0.8077736398693844,0.005,0.05,0.01
