episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
10,0.9354491983399517,-3.5932478694250762,-1.4744728751916503,-1.029134297729426,0.079499,0.1,0.183549,0.2,1309,853,1491,33493,38368,38364,0,0,0,0,3844,3828,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9380911957312636,-3.6104332808836084,-1.508193631760811,-1.0242074133000576,0.077902,0.1,0.18198,0.2,1383,659,1410,32984,37651,37644,0,0,0,0,3882,3870,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9371938576193768,-3.5291014082459973,-1.4929550848037352,-1.002374762147913,0.076368,0.1,0.180424,0.2,1251,839,1308,33277,38209,38206,0,0,0,0,3690,3683,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9433549238335133,-3.470468484527166,-1.5149247556385343,-0.9763014287228903,0.074893,0.1,0.178882,0.2,1247,642,1271,33348,38268,38263,0,0,0,0,3905,3890,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9421404682274247,-3.4807332793011274,-1.5558280714027797,-0.9782700100089785,0.073474,0.1,0.177353,0.2,1171,732,1263,32890,37823,37818,0,0,0,0,3760,3753,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9418996747336695,-3.4932503246497095,-1.5860040458980595,-0.9750260636843435,0.072107,0.1,0.175838,0.2,1337,610,1276,33511,38249,38244,0,0,0,0,3979,3969,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9404036500906577,-3.5689397611067597,-1.623179339052794,-0.9823349243635517,0.070791,0.1,0.174335,0.2,1332,673,1563,33643,38377,38374,0,0,0,0,3982,3995,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.930967053804219,-3.654078462344393,-1.6787942716983624,-0.9995253626797032,0.069522,0.1,0.172845,0.2,1507,823,1549,33752,38353,38344,0,0,0,0,3936,3937,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9396135989216714,-3.784032870699207,-1.743588323365184,-1.0291939314473177,0.068297,0.1,0.171367,0.2,1340,676,1130,33385,38206,38195,0,0,0,0,3887,3885,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9397798076341419,-3.7822301905592752,-1.7760931970151133,-1.01752800957193,0.067115,0.1,0.169903,0.2,1258,733,1393,33062,37815,37805,0,0,0,0,3919,3932,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9360004834713241,-3.8074519099763604,-1.7987488824366429,-1.0163864885919813,0.065974,0.1,0.168451,0.2,1369,749,1368,33094,37750,37744,0,0,0,0,3841,3849,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9408134808793426,-3.7789560204871853,-1.7988822657697565,-1.0097194466034494,0.06487,0.1,0.167011,0.2,1216,779,1244,33707,38627,38622,0,0,0,0,3846,3845,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9407818917880677,-3.714249403410911,-1.7880255910901666,-0.9948185870066943,0.063803,0.1,0.165583,0.2,1171,833,1325,33841,38733,38729,0,0,0,0,3776,3779,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9412238805970149,-3.7522998612639045,-1.8124664992220558,-1.0009563967286308,0.06277,0.1,0.164168,0.2,1328,641,1514,33500,38410,38402,0,0,0,0,3865,3860,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9409756242391853,-3.7931849528765036,-1.840316746132346,-1.004807868047925,0.06177,0.1,0.162765,0.2,1266,722,1594,33681,38495,38495,0,0,0,0,3827,3828,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9377967425927038,-3.8682038690141742,-1.8805319668917602,-1.0165429430968609,0.060801,0.1,0.161374,0.2,1422,648,1276,33278,37874,37866,0,0,0,0,3918,3921,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9339639425928122,-3.8835554561422487,-1.9012425920778169,-1.0203752239347965,0.059863,0.1,0.159995,0.2,1418,809,1371,33724,38231,38223,0,0,0,0,3881,3896,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9441743953717234,-3.738002860702889,-1.858634285043431,-0.9778396647535437,0.058953,0.1,0.158627,0.2,1267,605,1387,33533,38450,38445,0,0,0,0,3871,3876,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9396802543567594,-3.7518115340371216,-1.8698931653010002,-0.9764821066900545,0.05807,0.1,0.157271,0.2,1340,671,1489,33339,38154,38147,0,0,0,0,3824,3840,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9383410741931643,-3.8039840833186984,-1.8960312756290914,-0.979641696520218,0.057213,0.1,0.155927,0.2,1352,719,1322,33588,38318,38310,0,0,0,0,3784,3769,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9360016929169563,-3.852283695253462,-1.9297561708241902,-0.9908047781759615,0.056381,0.1,0.154594,0.2,1403,714,1398,33079,37816,37803,0,0,0,0,3946,3946,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9400547417812133,-3.8572900330257154,-1.9462839219811332,-0.9863969030456538,0.055573,0.1,0.153273,0.2,1359,634,1516,33247,38136,38131,0,0,0,0,3797,3796,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9397211509937704,-3.8923344824090433,-1.966345338792231,-0.986035871460832,0.054788,0.1,0.151963,0.2,1348,684,1361,33710,38507,38502,0,0,0,0,3889,3882,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9405313837375179,-3.869045861915631,-1.9694629334650715,-0.9810353246330905,0.054025,0.1,0.150664,0.2,1173,828,1459,33648,38805,38801,0,0,0,0,3856,3845,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.941244684963278,-3.8292675625504122,-1.9665987646785872,-0.9740586221229972,0.053282,0.1,0.149376,0.2,1242,734,1330,33631,38563,38554,0,0,0,0,3890,3875,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9403861049871894,-3.910536535626363,-2.000811952691634,-0.9938286069779919,0.05256,0.1,0.1481,0.2,1244,757,1543,33566,38624,38618,0,0,0,0,3973,3979,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9407131260898323,-3.9348208038895742,-2.0114672278737245,-1.007606053462068,0.051857,0.1,0.146834,0.2,1318,654,1552,33262,37995,37989,0,0,0,0,3891,3873,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9440467668814125,-3.9446782909550535,-2.0327267960812776,-1.0049124029484342,0.051173,0.1,0.145579,0.2,1195,681,1328,33528,38331,38321,0,0,0,0,3878,3871,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9413715822501121,-3.9751126112870794,-2.0501561748449824,-1.0009345903578757,0.050507,0.1,0.144335,0.2,1291,671,1490,33465,38355,38351,0,0,0,0,3882,3899,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9411270479505491,-3.9294491047848927,-2.0494102269945995,-0.9849176213172519,0.049857,0.1,0.143101,0.2,1267,695,1523,33326,38139,38134,0,0,0,0,3849,3849,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9387937187723054,-4.018044035634459,-2.0849675522356255,-1.011987343970653,0.049224,0.1,0.141878,0.2,1340,718,1356,33624,38511,38504,0,0,0,0,3940,3928,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9338068611153091,-4.027976900781141,-2.105332043912339,-1.011988334039444,0.048607,0.1,0.140665,0.2,1380,810,1488,33085,37815,37806,0,0,0,0,3949,3949,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9395237382057811,-4.069172982514591,-2.137381620997601,-1.0222505502199186,0.048006,0.1,0.139463,0.2,1356,663,1426,33385,38065,38059,0,0,0,0,3828,3826,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9390618935299914,-4.091309693049549,-2.163012972791694,-1.0191073379490636,0.047418,0.1,0.138271,0.2,1392,649,1473,33493,38384,38378,0,0,0,0,3939,3953,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9318223471195552,-4.123948017758473,-2.183980772826588,-1.0281191621561416,0.046846,0.1,0.137089,0.2,1398,834,1350,32738,37477,37471,0,0,0,0,3936,3949,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9420411089866156,-4.049309387689808,-2.1899690344576577,-1.0057728418595242,0.046286,0.1,0.135918,0.2,1205,735,1322,33472,38235,38231,0,0,0,0,3835,3833,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9403182245185533,-4.063559888220607,-2.2033016033650883,-1.0005164665207598,0.04574,0.1,0.134756,0.2,1311,722,1480,34064,38848,38841,0,0,0,0,3863,3863,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9395739877009002,-4.062887772614117,-2.2219534867337267,-0.9919351453148809,0.045207,0.1,0.133604,0.2,1300,734,1357,33661,38450,38442,0,0,0,0,3861,3879,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9429276662352126,-3.9545951266335497,-2.1930864348998536,-0.9623837639841858,0.044686,0.1,0.132462,0.2,1276,620,1332,33221,37930,37927,0,0,0,0,3875,3875,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9378054997451045,-4.027475568733633,-2.232616263793296,-0.9797608590916601,0.044177,0.1,0.13133,0.2,1386,688,1599,33347,37956,37948,0,0,0,0,3932,3937,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9354400472533964,-4.098976698995177,-2.262366333763982,-0.9923504227473895,0.04368,0.1,0.130208,0.2,1345,841,1585,33860,38684,38673,0,0,0,0,3942,3941,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9395553427690835,-4.139164974660354,-2.2837210166132755,-1.0016508342576071,0.043193,0.1,0.129095,0.2,1282,738,1367,33419,38244,38235,0,0,0,0,3845,3844,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9419638819379541,-4.086649671710359,-2.2790830303105762,-0.9809271775140325,0.042717,0.1,0.127991,0.2,1151,774,1139,33169,38162,38152,0,0,0,0,3981,3978,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9367238320520402,-4.108935642771139,-2.2902897664443698,-0.9845708646884906,0.042252,0.1,0.126897,0.2,1362,778,1484,33820,38628,38625,0,0,0,0,3935,3919,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9348161328588375,-4.196319362821125,-2.3324321402831343,-1.0076959552859235,0.041796,0.1,0.125813,0.2,1431,767,1557,33720,38427,38422,0,0,0,0,3910,3912,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9365816160600775,-4.2160368871154335,-2.341666505101982,-1.0184287594620625,0.041351,0.1,0.124737,0.2,1340,805,1334,33823,38513,38509,0,0,0,0,3862,3876,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9369382774834831,-4.2488731173221606,-2.3595003684163363,-1.0317452330520045,0.040914,0.1,0.123671,0.2,1314,805,1417,33602,38639,38630,0,0,0,0,3984,3978,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9375261678330044,-4.267879948534838,-2.3717971454069358,-1.0355811819919123,0.040487,0.1,0.122614,0.2,1338,751,1363,33438,38294,38290,0,0,0,0,4000,3991,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9403792427034418,-4.254837642115755,-2.3776794279412483,-1.02779280937608,0.040069,0.1,0.121566,0.2,1217,789,1500,33646,38512,38504,0,0,0,0,4040,4023,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9374641595991912,-4.224483136491768,-2.3726373604625977,-1.019746567260269,0.039659,0.1,0.120527,0.2,1331,741,1267,33133,37891,37885,0,0,0,0,3904,3923,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9417564083118459,-4.254253978243731,-2.3916562477878944,-1.0263829014437262,0.039258,0.1,0.119497,0.2,1158,762,1329,32965,38035,38029,0,0,0,0,3912,3906,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9373060211049038,-4.259518375642147,-2.4043130103575767,-1.0212110607350349,0.038864,0.1,0.118476,0.2,1447,674,1352,33831,38316,38312,0,0,0,0,3989,3992,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9398944371960621,-4.280239823659692,-2.4335856911796454,-1.0246360523538882,0.038479,0.1,0.117463,0.2,1218,809,1417,33724,38628,38624,0,0,0,0,3952,3971,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9410455393130001,-4.2838719969680445,-2.434749311615471,-1.0226586996818525,0.0381,0.1,0.116459,0.2,1228,732,1396,33246,38191,38182,0,0,0,0,3935,3950,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9449456326920779,-4.30394560866147,-2.450819005955391,-1.0232753056424337,0.03773,0.1,0.115464,0.2,1079,764,1280,33476,38373,38369,0,0,0,0,4013,4022,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.9396361214543033,-4.32114032602949,-2.466879128153368,-1.0329645392676303,0.037366,0.1,0.114477,0.2,1179,815,1331,33033,37897,37888,0,0,0,0,3898,3890,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.9350828729281768,-4.3211507921098695,-2.481397877101308,-1.0261353274968696,0.03701,0.1,0.113498,0.2,1334,828,1470,33304,37996,37987,0,0,0,0,3987,3991,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9404712322246683,-4.336368825822052,-2.4871855301152643,-1.026898640853292,0.03666,0.1,0.112528,0.2,1194,807,1561,33614,38674,38671,0,0,0,0,4010,4028,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9406201504992241,-4.3454672741178895,-2.495156351353961,-1.029558741987608,0.036316,0.1,0.111567,0.2,1368,660,1259,34153,38832,38826,0,0,0,0,3951,3951,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.9401714561700072,-4.362843716816308,-2.506970106749557,-1.0354777570432985,0.035979,0.1,0.110613,0.2,1246,736,1343,33128,37898,37890,0,0,0,0,3837,3836,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9385179397800348,-4.378089645035229,-2.523884305207124,-1.036114048508296,0.035649,0.1,0.109668,0.2,1269,777,1502,33278,37990,37984,0,0,0,0,3848,3854,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.9394795360298095,-4.343679641716825,-2.5187455323739485,-1.0321947918217957,0.035324,0.1,0.10873,0.2,1296,718,1606,33278,38072,38065,0,0,0,0,4004,3984,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.9450032736146659,-4.315504361643857,-2.518141285416259,-1.022174606387089,0.035005,0.1,0.107801,0.2,1204,644,1225,33602,38594,38579,0,0,0,0,3963,3948,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.941097162716841,-4.349419502292571,-2.5369170705611626,-1.0290239735513422,0.034692,0.1,0.10688,0.2,1181,785,1474,33377,38380,38376,0,0,0,0,3917,3925,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9472023559108119,-4.324623738311967,-2.537727961464818,-1.0170127220569607,0.034384,0.1,0.105966,0.2,1091,666,1468,33278,38327,38318,0,0,0,0,3932,3917,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9372589199614272,-4.303197978213665,-2.548667188873912,-1.0044318987877003,0.034082,0.1,0.10506,0.2,1250,832,1523,33184,38123,38110,0,0,0,0,3938,3944,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9376255707762557,-4.307678843476449,-2.5577670105860135,-1.0001607740912208,0.033785,0.1,0.104162,0.2,1383,666,1405,32850,37581,37573,0,0,0,0,3873,3871,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
77,0.9416895542208674,-4.316408837646637,-2.5728181232114706,-0.9991397091694878,0.033493,0.1,0.103272,0.2,1191,741,1414,33133,38279,38274,0,0,0,0,3923,3923,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.9323235383217207,-4.361024990832143,-2.5949364277411107,-1.013744339170515,0.033206,0.1,0.102389,0.2,1431,803,1429,33010,37937,37929,0,0,0,0,3954,3970,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9377830750893922,-4.4084972658445345,-2.6166335081112155,-1.022573453078337,0.032925,0.1,0.101514,0.2,1178,910,1349,33560,38470,38463,0,0,0,0,4052,4037,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.9337229655561159,-4.470386782725223,-2.638050563920894,-1.040241484073379,0.032647,0.1,0.100647,0.2,1410,824,1332,33707,38349,38339,0,0,0,0,4077,4063,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.9407027597647414,-4.462846009686248,-2.6405235216834146,-1.0360819523181666,0.032375,0.1,0.099786,0.2,1175,791,1459,33155,38133,38131,0,0,0,0,3985,3989,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.9410150073097234,-4.48733969428314,-2.6493177300673847,-1.044062809810925,0.032107,0.1,0.098934,0.2,1184,793,1479,33517,38610,38602,0,0,0,0,4008,4015,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9390780842843023,-4.533870373173438,-2.6689981070399065,-1.0548422453810327,0.031843,0.1,0.098088,0.2,1187,847,1539,33387,38460,38455,0,0,0,0,4058,4056,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
84,0.949179349447926,-4.465825063608664,-2.6593281329981644,-1.0346822796900723,0.031584,0.1,0.09725,0.2,972,731,1179,33510,38763,38759,0,0,0,0,3825,3827,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
85,0.9424314660309893,-4.478050652177996,-2.677405955636461,-1.033849688091522,0.031329,0.1,0.096418,0.2,1168,764,1302,33560,38468,38463,0,0,0,0,4033,4034,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
86,0.9381368924159077,-4.513260207353287,-2.6925889342817886,-1.042222534449415,0.031077,0.1,0.095594,0.2,1295,763,1660,33267,37993,37984,0,0,0,0,4018,4020,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
87,0.9362549800796813,-4.574780189534801,-2.7170182755981673,-1.0594942847249733,0.03083,0.1,0.094777,0.2,1476,668,1506,33634,38311,38300,0,0,0,0,4082,4102,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
88,0.9346430713857229,-4.614062521589451,-2.7326610295294946,-1.066830511306673,0.030587,0.1,0.093967,0.2,1374,805,1645,33340,37801,37793,0,0,0,0,3911,3895,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
89,0.9370310825294748,-4.636694366341473,-2.7430033324202086,-1.0750324701424452,0.030348,0.1,0.093164,0.2,1323,792,1395,33588,38344,38334,0,0,0,0,3919,3926,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
90,0.9393585831388739,-4.667375635760097,-2.7567331734825555,-1.0804251854139741,0.030112,0.1,0.092368,0.2,1378,649,1333,33426,38151,38142,0,0,0,0,3935,3944,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
91,0.9422790836060696,-4.655435925014797,-2.760563560593129,-1.0792188105058627,0.02988,0.1,0.091578,0.2,1218,722,1307,33610,38314,38309,0,0,0,0,3905,3906,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
92,0.9403088616758158,-4.664668746927164,-2.763768305275446,-1.082304320861714,0.029652,0.1,0.090796,0.2,1227,752,1500,33154,38061,38053,0,0,0,0,3973,3958,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
93,0.9459557271246758,-4.649185354164397,-2.7624509078606283,-1.0770599658295792,0.029427,0.1,0.09002,0.2,1091,701,1300,33158,38183,38176,0,0,0,0,3921,3930,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
94,0.9471044776119403,-4.656310649020451,-2.7624837547844057,-1.0778244884898667,0.029205,0.1,0.08925,0.2,1079,693,1418,33500,38535,38532,0,0,0,0,3927,3924,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
95,0.9438838149423566,-4.655220395084894,-2.769376314018199,-1.0788717440426745,0.028987,0.1,0.088487,0.2,1189,685,1332,33395,38125,38119,0,0,0,0,3888,3880,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
96,0.9399341908465451,-4.632000373645626,-2.7631780070732743,-1.0744855936403979,0.028772,0.1,0.087731,0.2,1239,769,1366,33430,38385,38379,0,0,0,0,3926,3918,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
97,0.9339675765389289,-4.6755694499862654,-2.788784719970776,-1.0855588989080365,0.02856,0.1,0.086981,0.2,1509,719,1558,33741,38257,38247,0,0,0,0,3929,3931,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
98,0.9461847389558233,-4.684202341132542,-2.792188798700244,-1.0844476042235427,0.028351,0.1,0.086238,0.2,1145,664,1348,33615,38621,38613,0,0,0,0,4007,4007,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
99,0.9416217182704055,-4.664470348739862,-2.7863612441445866,-1.0780048588182434,0.028145,0.1,0.085501,0.2,1213,746,1498,33557,38359,38355,0,0,0,0,3991,3995,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
100,0.9403119918087093,-4.6448884418725385,-2.781000856029497,-1.0721969870484667,0.027942,0.1,0.08477,0.2,1242,740,1442,33206,38205,38193,0,0,0,0,3897,3905,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
101,0.9357037305105703,-4.700881825109226,-2.8012519012730897,-1.0858139076215916,0.027742,0.1,0.084045,0.2,1305,827,1426,33159,37953,37945,0,0,0,0,3909,3910,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
102,0.9402945193278309,-4.688034053728362,-2.796741638103949,-1.0777626492500678,0.027545,0.1,0.083327,0.2,1237,774,1434,33682,38664,38660,0,0,0,0,4070,4070,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
103,0.9448816541488375,-4.690288744870869,-2.801432483972169,-1.0765571726991143,0.027351,0.1,0.082615,0.2,1198,644,1547,33419,38387,38381,0,0,0,0,3930,3911,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
104,0.9397034302048595,-4.697665596139433,-2.801859465374473,-1.0770790569770554,0.02716,0.1,0.081909,0.2,1267,758,1385,33584,38456,38452,0,0,0,0,4053,4068,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
105,0.9423796307469531,-4.724174126092275,-2.814738401719012,-1.0763153987083978,0.026971,0.1,0.081209,0.2,1263,647,1307,33148,38016,38006,0,0,0,0,3866,3855,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
106,0.9378563455911189,-4.760564695468088,-2.833174690409074,-1.0842582814078652,0.026784,0.1,0.080515,0.2,1235,825,1497,33149,38073,38066,0,0,0,0,3910,3921,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
107,0.9352142730128623,-4.7839070818518445,-2.8483521272204366,-1.092764830405205,0.026601,0.1,0.079826,0.2,1305,881,1609,33742,38614,38607,0,0,0,0,3928,3935,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
108,0.9463237093222413,-4.747935108745484,-2.8404648862437147,-1.0787574195558165,0.026419,0.1,0.079144,0.2,1109,646,1367,32696,37665,37657,0,0,0,0,4001,3999,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
109,0.9413481793560036,-4.784671898437725,-2.859403155407472,-1.0867542987517833,0.026241,0.1,0.078468,0.2,1255,694,1460,33230,37983,37975,0,0,0,0,3995,3985,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
110,0.9335184190100901,-4.826445602338051,-2.873614679070538,-1.0962813809372336,0.026064,0.1,0.077797,0.2,1294,933,1499,33498,38469,38461,0,0,0,0,4047,4064,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
