episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,work_ratio,imbalance_hotspot_distance
67,0.9229998481858206,-40.680151194993805,-28.470659363599218,-140.57245716461125,-141.3762405581759,-5.847582523870854
68,0.9173583984375,-40.7075562456468,-28.481100382160406,-140.48846007154071,-141.3026495150422,-5.799712758305812
69,0.915990641995564,-40.723080847938206,-28.486569876731387,-140.37428978759448,-141.20007485835978,-5.761945713471185
70,0.9143519215143399,-40.75033454807412,-28.49818517494513,-140.30623091386443,-141.14301055270911,-5.727127548220282
71,0.9213134508209068,-40.76539376111711,-28.50107340639608,-140.17386280843235,-141.02051391896876,-5.680054077199211
72,0.9145213923132705,-40.79757897863293,-28.518186773277453,-140.118070731591,-140.97541577466046,-5.6475334175511085
73,0.9164901292560867,-40.83210495390798,-28.535143195260122,-140.08531080987004,-140.95422852547946,-5.616297754219988
74,0.9106398188966996,-40.840708337510456,-28.53335142374428,-139.9474696321229,-140.82609452407152,-5.57990856756215
75,0.9182352235942932,-40.86113825053274,-28.542508699108875,-139.86600000884462,-140.75605829703974,-5.544173279613679
76,0.9128876514321258,-40.88272761258412,-28.54914642219689,-139.79261747773697,-140.69377767984975,-5.512125196319987
77,0.9041340309069466,-40.9042549939458,-28.55591439192916,-139.71977345776915,-140.63206294245498,-5.483167563554237
78,0.9120269649149686,-40.92536457013375,-28.5634036768804,-139.66841568467055,-140.59131764622765,-5.462107681812598
79,0.9161481392844322,-40.95287117543142,-28.577053130973837,-139.63677127700177,-140.5705112901076,-5.435672436009552
80,0.9110049004779479,-40.962822188681734,-28.57543489077121,-139.52001936495972,-140.4640145574417,-5.401452678009153
81,0.9121442354076218,-40.97765589132359,-28.57915378042099,-139.45175627916916,-140.40747667399415,-5.380296064988521
82,0.9172239291523586,-40.99694669395908,-28.586230471365425,-139.39086498148066,-140.36024889730658,-5.364355046468358
83,0.9159489972916223,-41.01116477615718,-28.58740584689357,-139.30353236374904,-140.28248289621138,-5.332010052358944
84,0.9205066674766866,-41.029777416462274,-28.59149876638221,-139.24346182702033,-140.2318447529185,-5.3113382560462705
85,0.9086998667151339,-41.03346774111489,-28.58623807112519,-139.12387469530574,-140.12045781652589,-5.281410508072131
86,0.9176591499909317,-41.03980287351664,-28.583672388948226,-139.01862499032129,-140.0210367140737,-5.251686003540784
87,0.9126391263912639,-41.049902019388576,-28.58358073613039,-138.92960094131172,-139.94159717174767,-5.229506840931583
88,0.9143795021427921,-41.0664992376746,-28.589107208014884,-138.8726680725361,-139.89459612985087,-5.205210258417904
89,0.9114588016665168,-41.07916013698851,-28.591103545684934,-138.8047861156231,-139.83634544012514,-5.181418437952617
90,0.9081733505046572,-41.09264897227596,-28.592965253303156,-138.72266522297267,-139.76169746054106,-5.152877979234715
91,0.9166363856589147,-41.093954242407484,-28.586660622546127,-138.58368434026096,-139.63042355538292,-5.1171984705451
92,0.9176083147017947,-41.10185347695945,-28.585978716333386,-138.4942788666267,-139.5490379263758,-5.093567004527497
93,0.9159602142310636,-41.11884270232044,-28.592323755816636,-138.44816956864574,-139.51232793294798,-5.081532807057168
94,0.9199759326113117,-41.13680487579646,-28.60140062576949,-138.4119228988839,-139.4851629888417,-5.067480837509342
95,0.9157491478386776,-41.144497329382894,-28.60094711727971,-138.31744021616407,-139.39885668497766,-5.043763742544804
96,0.912160545519799,-41.155381448109694,-28.60254180947978,-138.24208860411326,-139.33106323573205,-5.019836448896388
97,0.9119144602851323,-41.16963305685812,-28.608491426402065,-138.19608312590435,-139.29427641450857,-5.0055190648368395
98,0.913499424137722,-41.1847160208579,-28.615514949711912,-138.15704915441893,-139.26398125927417,-4.9926462741329365
99,0.910682321531507,-41.196021946949465,-28.619456893072705,-138.10288072657244,-139.21906503647105,-4.978282381146919
