Time;battery starvations;bike arrival;bike departure;bike starvations;escooter arrival;escooter departure;escooter starvations;events;failed events;long congestions;random trips;roaming distance for bikes;roaming distance for escooters;roaming distance for locks;roaming for bikes;roaming for escooters;roaming for locks;short congestions;starvations;trips;
Mon 07:25.543970;;17;31;;43;67;14;211;14;;1;;5.698914135000765;0.1321223557937657;;44;1;1;14;112;
Mon 07:26.000000;;17;33;;43;68;14;217;14;;1;;5.698914135000765;0.1321223557937657;;44;1;1;14;115;
Mon 07:26.455743;;17;33;;44;68;14;217;14;;1;;5.698914135000765;0.1321223557937657;;44;1;1;14;115;
Mon 07:26.026623;;18;33;;44;68;14;217;14;;1;;5.698914135000765;0.1321223557937657;;44;1;1;14;115;
Mon 07:26.942375;;18;33;;44;68;14;218;14;;1;;5.698914135000765;0.2642447115875314;;44;2;2;14;115;
Mon 07:26.309425;;18;33;;45;68;14;218;14;;1;;5.698914135000765;0.2642447115875314;;44;2;2;14;115;
Mon 07:26.062906;;18;33;;46;68;14;218;14;;1;;5.698914135000765;0.2642447115875314;;44;2;2;14;115;
Mon 07:26.767096;;18;33;;47;68;14;218;14;;1;;5.698914135000765;0.2642447115875314;;44;2;2;14;115;
Mon 07:26.557437;;18;33;;48;68;14;218;14;;1;;5.698914135000765;0.2642447115875314;;44;2;2;14;115;
Mon 07:26.568190;;19;33;;48;68;14;218;14;;1;;5.698914135000765;0.2642447115875314;;44;2;2;14;115;
Mon 07:26.532867;;20;33;;48;68;14;218;14;;1;;5.698914135000765;0.2642447115875314;;44;2;2;14;115;
Mon 07:26.305693;;20;33;;49;68;14;218;14;;1;;5.698914135000765;0.2642447115875314;;44;2;2;14;115;
Mon 07:26.161924;;20;33;;50;68;14;218;14;;1;;5.698914135000765;0.2642447115875314;;44;2;2;14;115;
Mon 07:27.000000;;20;36;;50;73;14;234;14;;1;;6.112142780726726;0.2642447115875314;;47;2;2;14;123;
Mon 07:27.891015;;21;36;;50;73;14;234;14;;1;;6.112142780726726;0.2642447115875314;;47;2;2;14;123;
Mon 07:27.815469;;21;36;;51;73;14;234;14;;1;;6.112142780726726;0.2642447115875314;;47;2;2;14;123;
Mon 07:27.940316;;21;36;;52;73;14;234;14;;1;;6.112142780726726;0.2642447115875314;;47;2;2;14;123;
Mon 07:27.643822;;21;36;;53;73;14;234;14;;1;;6.112142780726726;0.2642447115875314;;47;2;2;14;123;
Mon 07:27.000113;;21;36;;54;73;14;234;14;;1;;6.112142780726726;0.2642447115875314;;47;2;2;14;123;
Mon 07:28.000000;;21;37;;54;74;15;239;15;;1;;6.112142780726726;0.2642447115875314;;47;2;2;15;126;
Mon 07:28.472233;;21;37;;55;74;15;239;15;;1;;6.112142780726726;0.2642447115875314;;47;2;2;15;126;
Mon 07:28.989200;;21;37;;56;74;15;239;15;;1;;6.112142780726726;0.2642447115875314;;47;2;2;15;126;
Mon 07:28.533420;;21;37;;57;74;15;239;15;;1;;6.112142780726726;0.2642447115875314;;47;2;2;15;126;
Mon 07:29.000000;;21;40;;57;75;16;248;16;;1;;6.224392680680443;0.2642447115875314;;48;2;2;16;131;
Mon 07:29.299531;;21;40;;58;75;16;248;16;;1;;6.224392680680443;0.2642447115875314;;48;2;2;16;131;
Mon 07:29.250609;;21;40;;59;75;16;248;16;;1;;6.224392680680443;0.2642447115875314;;48;2;2;16;131;
Mon 07:29.180443;;22;40;;59;75;16;248;16;;1;;6.224392680680443;0.2642447115875314;;48;2;2;16;131;
Mon 07:29.803455;;23;40;;59;75;16;248;16;;1;;6.224392680680443;0.2642447115875314;;48;2;2;16;131;
Mon 07:29.871886;;23;40;;60;75;16;248;16;;1;;6.224392680680443;0.2642447115875314;;48;2;2;16;131;
Mon 07:30.000000;;23;42;;60;78;19;261;19;;1;;6.336232617297911;0.2642447115875314;;49;2;2;19;139;
Mon 07:30.623405;;23;42;;61;78;19;261;19;;1;;6.336232617297911;0.2642447115875314;;49;2;2;19;139;
Mon 07:30.134858;;23;42;;62;78;19;261;19;;1;;6.336232617297911;0.2642447115875314;;49;2;2;19;139;
Mon 07:30.306297;;24;42;;62;78;19;261;19;;1;;6.336232617297911;0.2642447115875314;;49;2;2;19;139;
Mon 07:31.000000;;24;46;;62;80;19;273;19;;1;;6.672540683530212;0.2642447115875314;;51;2;2;19;145;
Mon 07:31.889726;;24;46;;62;80;19;274;20;1;1;;6.672540683530212;0.9911246384883508;;51;3;2;19;145;
Mon 07:31.760805;;25;46;;62;80;19;274;20;1;1;;6.672540683530212;0.9911246384883508;;51;3;2;19;145;
Mon 07:31.949606;;26;46;;62;80;19;274;20;1;1;;6.672540683530212;0.9911246384883508;;51;3;2;19;145;
Mon 07:31.678342;;26;46;;63;80;19;274;20;1;1;;6.672540683530212;0.9911246384883508;;51;3;2;19;145;
Mon 07:31.291982;;26;46;;64;80;19;274;20;1;1;;6.672540683530212;0.9911246384883508;;51;3;2;19;145;
Mon 07:31.857633;;26;46;;65;80;19;274;20;1;1;;6.672540683530212;0.9911246384883508;;51;3;2;19;145;
Mon 07:32.000000;;26;46;;65;84;19;282;20;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;19;149;
Mon 07:32.020645;;27;46;;65;84;19;282;20;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;19;149;
Mon 07:32.354118;;28;46;;65;84;19;282;20;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;19;149;
Mon 07:32.137470;;28;46;;66;84;19;282;20;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;19;149;
Mon 07:32.078710;;28;46;;67;84;19;282;20;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;19;149;
Mon 07:32.138602;;29;46;;67;84;19;282;20;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;19;149;
Mon 07:32.262730;;29;46;;68;84;19;282;20;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;19;149;
Mon 07:33.000000;;29;46;;68;87;20;289;21;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;20;153;
Mon 07:33.150630;;29;46;;69;87;20;289;21;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;20;153;
Mon 07:33.125761;;30;46;;69;87;20;289;21;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;20;153;
Mon 07:33.185453;;31;46;;69;87;20;289;21;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;20;153;
Mon 07:33.699679;;32;46;;69;87;20;289;21;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;20;153;
Mon 07:33.711277;;32;46;;70;87;20;289;21;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;20;153;
Mon 07:33.281504;;32;46;;71;87;20;289;21;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;20;153;
Mon 07:33.114005;;32;46;;72;87;20;289;21;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;20;153;
Mon 07:33.723138;;32;46;;73;87;20;289;21;1;2;;6.846681962684419;0.9911246384883508;;52;3;2;20;153;
Mon 07:34.000000;;32;48;;73;88;23;298;24;1;2;;6.958511355231797;0.9911246384883508;;53;3;2;23;159;
Mon 07:34.477617;;32;48;;74;88;23;298;24;1;2;;6.958511355231797;0.9911246384883508;;53;3;2;23;159;
Mon 07:34.904937;;32;48;;75;88;23;298;24;1;2;;6.958511355231797;0.9911246384883508;;53;3;2;23;159;
Mon 07:34.304757;;32;48;;76;88;23;298;24;1;2;;6.958511355231797;0.9911246384883508;;53;3;2;23;159;
Mon 07:34.032760;;33;48;;76;88;23;298;24;1;2;;6.958511355231797;0.9911246384883508;;53;3;2;23;159;
Mon 07:34.552027;;34;48;;76;88;23;298;24;1;2;;6.958511355231797;0.9911246384883508;;53;3;2;23;159;
Mon 07:34.731091;;34;48;;77;88;23;298;24;1;2;;6.958511355231797;0.9911246384883508;;53;3;2;23;159;
Mon 07:35.000000;;34;49;;77;89;23;302;24;1;2;;7.070332865726371;0.9911246384883508;;54;3;2;23;161;
Mon 07:35.711277;;34;49;;78;89;23;302;24;1;2;;7.070332865726371;0.9911246384883508;;54;3;2;23;161;
Mon 07:35.181690;;34;49;;79;89;23;302;24;1;2;;7.070332865726371;0.9911246384883508;;54;3;2;23;161;
Mon 07:35.370970;;34;49;;80;89;23;302;24;1;2;;7.070332865726371;0.9911246384883508;;54;3;2;23;161;
Mon 07:36.000000;;34;49;;80;90;23;304;24;1;3;;7.070332865726371;0.9911246384883508;;54;3;2;23;162;
Mon 07:37.000000;;34;49;;80;93;23;310;24;1;3;;7.164916793367745;0.9911246384883508;;55;3;2;23;165;
Mon 07:37.246314;;34;49;;81;93;23;310;24;1;3;;7.164916793367745;0.9911246384883508;;55;3;2;23;165;
Mon 07:38.000000;;34;50;;82;97;23;320;24;1;3;;7.277154830704775;0.9911246384883508;;56;3;2;23;170;
Mon 07:38.032756;;34;50;;83;97;23;320;24;1;3;;7.277154830704775;0.9911246384883508;;56;3;2;23;170;
Mon 07:38.695565;;35;50;;83;97;23;320;24;1;3;;7.277154830704775;0.9911246384883508;;56;3;2;23;170;
Mon 07:38.249661;;36;50;;83;97;23;320;24;1;3;;7.277154830704775;0.9911246384883508;;56;3;2;23;170;
Mon 07:38.361071;;36;50;;84;97;23;320;24;1;3;;7.277154830704775;0.9911246384883508;;56;3;2;23;170;
Mon 07:38.635141;;37;50;;84;97;23;320;24;1;3;;7.277154830704775;0.9911246384883508;;56;3;2;23;170;
Mon 07:39.000000;;37;50;;84;98;23;322;24;1;3;;7.38939257357667;0.9911246384883508;;57;3;2;23;171;
Mon 07:39.683010;;38;50;;84;98;23;322;24;1;3;;7.38939257357667;0.9911246384883508;;57;3;2;23;171;
Mon 07:39.160026;;38;50;;85;98;23;322;24;1;3;;7.38939257357667;0.9911246384883508;;57;3;2;23;171;
Mon 07:39.349123;;38;50;;86;98;23;322;24;1;3;;7.38939257357667;0.9911246384883508;;57;3;2;23;171;
Mon 07:39.455013;;38;50;;87;98;23;322;24;1;3;;7.38939257357667;0.9911246384883508;;57;3;2;23;171;
Mon 07:39.069810;;38;50;;88;98;23;322;24;1;3;;7.38939257357667;0.9911246384883508;;57;3;2;23;171;
Mon 07:39.359053;;39;50;;88;98;23;322;24;1;3;;7.38939257357667;0.9911246384883508;;57;3;2;23;171;
Mon 07:39.398931;;39;50;;89;98;23;322;24;1;3;;7.38939257357667;0.9911246384883508;;57;3;2;23;171;
Mon 07:40.000000;;39;50;;89;100;23;326;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;173;
Mon 07:40.232257;;40;50;;89;100;23;326;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;173;
Mon 07:40.516785;;41;50;;89;100;23;326;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;173;
Mon 07:40.275397;;41;50;;90;100;23;326;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;173;
Mon 07:40.421996;;42;50;;90;100;23;326;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;173;
Mon 07:41.000000;;42;52;;90;102;23;334;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;177;
Mon 07:41.984853;;42;52;;91;102;23;334;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;177;
Mon 07:41.648021;;42;52;;92;102;23;334;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;177;
Mon 07:41.824547;;42;52;;93;102;23;334;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;177;
