episode,service_level,bias,rebalancing_imbalance,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
49,0.9196651169058688,-3.826457239737915,-0.6562441286509964,0.004041,0.01,0.0,0.97,100,14,1,15
50,0.9203496761636296,-3.8425048329827867,-0.664283847842257,0.003992,0.01,0.0,0.97,100,14,1,15
51,0.9185439606694279,-3.8588363533378622,-0.672321736761121,0.003945,0.01,0.0,0.97,100,14,1,15
52,0.9209371650589496,-3.8738126802176414,-0.6795951866136961,0.003898,0.01,0.0,0.97,100,15,1,16
53,0.9178442271631395,-3.889793473455497,-0.6875255886004413,0.003853,0.01,0.0,0.97,100,15,1,16
54,0.9124022683802557,-3.9068501938065237,-0.6961577712315806,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9189035315393761,-3.9222211470081154,-0.7036548582070449,0.003766,0.01,0.0,0.97,100,14,1,15
56,0.9208462367039181,-3.9369547609993516,-0.7110514750256125,0.003724,0.01,0.0,0.97,100,14,1,15
57,0.9129785592054491,-3.953224347144766,-0.7191861009090058,0.003682,0.01,0.0,0.97,100,14,1,15
58,0.9241632062942353,-3.9669329128769877,-0.7259682047503242,0.003642,0.01,0.0,0.97,100,14,1,15
59,0.9178121517106286,-3.976091537369708,-0.7304328273400947,0.003602,0.01,0.0,0.97,100,15,1,16
60,0.9142562332961196,-3.9915163454914606,-0.7380489898516158,0.003564,0.01,0.0,0.97,100,15,1,16
61,0.9184473173018957,-4.00598682236094,-0.7451552746374616,0.003526,0.01,0.0,0.97,100,14,1,15
62,0.9100256202804746,-4.021987138763811,-0.7530757700934267,0.003489,0.01,0.0,0.97,100,14,1,15
63,0.9066749279924978,-4.036015068259586,-0.7601041126462049,0.003453,0.01,0.0,0.97,100,15,1,16
64,0.9178086776098924,-4.050131991940167,-0.7670967534313181,0.003417,0.01,0.0,0.97,100,14,1,15
65,0.9163384169949164,-4.064315203148354,-0.7741568976848276,0.003382,0.01,0.0,0.97,100,14,1,15
66,0.9150590171090851,-4.07860440569712,-0.781275621055935,0.003348,0.01,0.0,0.97,100,14,1,15
67,0.9213661368161723,-4.091615262494326,-0.7876836753600917,0.003315,0.01,0.0,0.97,100,14,1,15
68,0.9158759643221714,-4.105560423278488,-0.7946467908563415,0.003282,0.01,0.0,0.97,100,14,1,15
69,0.9259942633812503,-4.117432971811903,-0.8005071936527806,0.00325,0.01,0.0,0.97,100,14,1,15
70,0.9147574123989218,-4.130425762052226,-0.8070259595163358,0.003219,0.01,0.0,0.97,100,15,1,16
71,0.9178189843998195,-4.1435834483996015,-0.8134447073691046,0.003188,0.01,0.0,0.97,100,14,1,15
72,0.916535301022975,-4.1569237026860755,-0.8200522578356222,0.003157,0.01,0.0,0.97,100,14,1,15
73,0.9143982686910357,-4.170240784676339,-0.8267337376613043,0.003128,0.01,0.0,0.97,100,14,1,15
74,0.9198189405667362,-4.1824929353279625,-0.832875908221561,0.003098,0.01,0.0,0.97,100,14,1,15
75,0.9155747669863569,-4.195359639118242,-0.839197569363664,0.00307,0.01,0.0,0.97,100,14,1,15
76,0.911373459125843,-4.208850548604255,-0.845888924838677,0.003042,0.01,0.0,0.97,100,14,1,15
77,0.9167752062251612,-4.221415276148416,-0.8521656081386952,0.003014,0.01,0.0,0.97,100,14,1,15
78,0.9174476804729752,-4.233684384359792,-0.8582494256494323,0.002987,0.01,0.0,0.97,100,15,1,16
79,0.9203699296181701,-4.245227421136656,-0.8639753740851301,0.00296,0.01,0.0,0.97,100,14,1,15
80,0.9205952001074853,-4.25669305761455,-0.8695843016446814,0.002934,0.01,0.0,0.97,100,14,1,15
81,0.9199048241424956,-4.268246120823092,-0.8752718974287127,0.002909,0.01,0.0,0.97,100,14,1,15
82,0.9222431985975794,-4.279197820687103,-0.8806960220428645,0.002883,0.01,0.0,0.97,100,14,1,15
83,0.9138798362162613,-4.291477502550476,-0.8867844756491191,0.002859,0.01,0.0,0.97,100,14,1,15
84,0.912906996159626,-4.304074792663379,-0.893007302479308,0.002834,0.01,0.0,0.97,100,14,1,15
85,0.9137928109786093,-4.316014136703159,-0.8990379173073741,0.00281,0.01,0.0,0.97,100,14,1,15
86,0.915686773564096,-4.326826968883221,-0.9043148494149017,0.002787,0.01,0.0,0.97,100,15,1,16
87,0.9144971409350824,-4.337277160976511,-0.9094495464752761,0.002763,0.01,0.0,0.97,100,15,1,16
88,0.9146875836232272,-4.348968316267083,-0.9152335314572232,0.002741,0.01,0.0,0.97,100,14,1,15
89,0.9110855868790433,-4.3610499000719996,-0.9213428627326314,0.002718,0.01,0.0,0.97,100,14,1,15
90,0.9158093708703434,-4.372411021105155,-0.9269500253639493,0.002696,0.01,0.0,0.97,100,14,1,15
91,0.9234468461120174,-4.382121404586828,-0.9316603485405568,0.002674,0.01,0.0,0.97,100,15,1,16
92,0.9223705611276769,-4.392074045130481,-0.9365641745970791,0.002653,0.01,0.0,0.97,100,14,1,15
93,0.9122733658928213,-4.401365906225121,-0.9413475136477076,0.002632,0.01,0.0,0.97,100,15,1,16
94,0.9224649383765406,-4.411049492065406,-0.9461770759924226,0.002611,0.01,0.0,0.97,100,14,1,15
95,0.9061190135510478,-4.423289609494678,-0.9522401630023187,0.002591,0.01,0.0,0.97,100,14,1,15
96,0.9239496153521007,-4.432675781555066,-0.9568313050131267,0.002571,0.01,0.0,0.97,100,14,1,15
97,0.9232578455748941,-4.442197243692095,-0.9615493288110382,0.002551,0.01,0.0,0.97,100,14,1,15
98,0.9222094865657553,-4.451704710763852,-0.9662263681645726,0.002532,0.01,0.0,0.97,100,14,1,15
99,0.9228259569888799,-4.461024608799057,-0.9708493002986001,0.002513,0.01,0.0,0.97,100,14,1,15
100,0.9125642909625276,-4.469127320199956,-0.9748395079043151,0.002494,0.01,0.0,0.97,100,15,1,16
101,0.9116558820051023,-4.4786039269782725,-0.9795543860397309,0.002475,0.01,0.0,0.97,100,15,1,16
102,0.9188205498062763,-4.488412168439864,-0.9844122867514594,0.002457,0.01,0.0,0.97,100,14,1,15
103,0.9232736139804247,-4.495955621407149,-0.9883173723881041,0.002439,0.01,0.0,0.97,100,15,1,16
104,0.9210433615700746,-4.505258459510394,-0.9929309517554653,0.002421,0.01,0.0,0.97,100,14,1,15
105,0.915423878165162,-4.514958085182349,-0.9977078971086706,0.002404,0.01,0.0,0.97,100,15,1,16
106,0.9136339219767676,-4.525120588344469,-1.002721145507754,0.002386,0.01,0.0,0.97,100,14,1,15
107,0.9105103587670541,-4.535674388544296,-1.0080015842064223,0.002369,0.01,0.0,0.97,100,14,1,15
108,0.9177023289907706,-4.543525582017745,-1.0120620889138479,0.002352,0.01,0.0,0.97,100,15,1,16
109,0.9131018060469874,-4.55351340676576,-1.0170422858265322,0.002336,0.01,0.0,0.97,100,14,1,15
110,0.9172504822824652,-4.562745276714054,-1.0216841610811696,0.00232,0.01,0.0,0.97,100,15,1,16
111,0.9222348568422125,-4.571319887626012,-1.0259118946962988,0.002304,0.01,0.0,0.97,100,14,1,15
112,0.9227986544280474,-4.579852011582338,-1.0300821418754924,0.002288,0.01,0.0,0.97,100,14,1,15
113,0.914181333970671,-4.589040353955764,-1.0346386257732338,0.002272,0.01,0.0,0.97,100,15,1,16
114,0.9227220106370485,-4.597471129348852,-1.0387849729884648,0.002257,0.01,0.0,0.97,100,14,1,15
115,0.9198877752801393,-4.606105010328133,-1.043095189410102,0.002241,0.01,0.0,0.97,100,14,1,15
116,0.9176136846217874,-4.614941219437115,-1.0474315595602561,0.002226,0.01,0.0,0.97,100,14,1,15
117,0.9144369009584664,-4.623880403877906,-1.0518882037515949,0.002212,0.01,0.0,0.97,100,15,1,16
118,0.9076194633802344,-4.634048630977514,-1.0569882049518486,0.002197,0.01,0.0,0.97,100,15,1,16
119,0.9151972991492989,-4.6431223619593815,-1.0615543277988944,0.002182,0.01,0.0,0.97,100,14,1,15
120,0.9210195144050874,-4.651340362672199,-1.065659072817702,0.002168,0.01,0.0,0.97,100,15,1,16
121,0.9195005805246597,-4.659737192844576,-1.0697517280675615,0.002154,0.01,0.0,0.97,100,15,1,16
122,0.9184066165921174,-4.668056301736872,-1.0739491962997991,0.00214,0.01,0.0,0.97,100,14,1,15
123,0.9144443144008427,-4.677142061468237,-1.0785175082116432,0.002127,0.01,0.0,0.97,100,14,1,15
124,0.9193314688142332,-4.685346593838636,-1.0826100812387707,0.002113,0.01,0.0,0.97,100,14,1,15
