episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,greedy_sl
26,0.004147,0.000972,0.485,0.914,10000,50,733.4,0.01252,-2.66372,23.1,0.0,
27,0.002917,0.000971,0.4844,0.9172,10000,50,759.3,0.01133,-2.83371,27.7,0.0,
28,0.003498,0.00097,0.4838,0.9161,10000,50,785.3,0.010966,-2.63485,26.2,0.0,
29,0.005694,0.000968,0.4832,0.9195,10000,50,811.9,0.014256,-2.5327,26.8,0.0,
30,0.004036,0.000967,0.4826,0.9089,10000,50,863.8,0.014321,-2.91198,19.6,0.0,0.8366
31,0.004444,0.000966,0.482,0.8977,10000,50,890.8,0.016956,-3.14317,22.5,0.0,
32,0.005753,0.000965,0.4814,0.9123,10000,50,917.2,0.007402,-2.77584,22.4,0.0,
33,0.005027,0.000964,0.4808,0.9143,10000,50,943.8,0.008726,-2.7453,25.5,0.0,
34,0.004422,0.000963,0.4802,0.9178,10000,50,970.3,0.005857,-2.59829,28.8,0.0,
35,0.004447,0.000962,0.4796,0.9117,10000,50,996.9,0.00663,-2.81807,25.9,0.0,
36,0.005065,0.000961,0.479,0.9189,10000,50,1023.3,0.008927,-2.54122,27.8,0.0,
37,0.004291,0.000959,0.4784,0.916,10000,50,1049.4,0.008178,-2.60565,25.8,0.0,
38,0.005103,0.000958,0.4778,0.916,10000,50,1076.2,0.008305,-2.71392,24.4,0.0,
39,0.004594,0.000957,0.4772,0.9078,10000,50,1103.2,0.007698,-2.83662,22.1,0.0,
40,0.004885,0.000956,0.4766,0.9169,10000,50,1153.8,0.009241,-2.63497,23.6,0.0,0.8394
41,0.004517,0.000955,0.476,0.9149,10000,50,1180.0,0.008841,-2.69797,24.0,0.0,
42,0.004823,0.000954,0.4754,0.9159,10000,50,1206.6,0.010344,-2.646,21.0,0.0,
43,0.004389,0.000953,0.4748,0.9147,10000,50,1232.9,0.010121,-2.72433,25.6,0.0,
44,0.004251,0.000952,0.4742,0.9101,10000,50,1259.5,0.01229,-2.80945,23.9,0.0,
45,0.004133,0.00095,0.4736,0.922,10000,50,1285.9,0.009658,-2.49646,28.5,0.0,
46,0.004051,0.000949,0.473,0.9117,10000,50,1312.7,0.012305,-2.77585,23.2,0.0,
47,0.005312,0.000948,0.4724,0.925,10000,50,1339.0,0.011513,-2.46735,27.5,0.0,
48,0.004987,0.000947,0.4718,0.9108,10000,50,1365.2,0.00957,-2.86881,24.8,0.0,
49,0.004571,0.000946,0.4712,0.9157,10000,50,1391.9,0.009069,-2.6871,22.4,0.0,
50,0.003592,0.000945,0.4706,0.9168,10000,50,1444.1,0.009325,-2.73976,24.8,0.0,0.8448
51,0.005576,0.000944,0.47,0.9048,10000,50,1470.8,0.009566,-2.92445,22.4,0.0,
52,0.005137,0.000943,0.4694,0.9133,10000,50,1497.2,0.011265,-2.81185,23.4,0.0,
53,0.00435,0.000941,0.4688,0.9127,10000,50,1523.6,0.012874,-2.75016,24.0,0.0,
54,0.004543,0.00094,0.4682,0.9127,10000,50,1551.0,0.011902,-2.72938,23.9,0.0,
55,0.004944,0.000939,0.4676,0.9132,10000,50,1577.8,0.016031,-2.66527,25.7,0.0,
56,0.00419,0.000938,0.467,0.9153,10000,50,1604.5,0.0174,-2.61509,25.4,0.0,
57,0.005593,0.000937,0.4664,0.9205,10000,50,1631.3,0.014975,-2.42521,26.3,0.0,
58,0.004665,0.000936,0.4658,0.9236,10000,50,1657.1,0.012642,-2.37279,26.5,0.0,
59,0.004895,0.000935,0.4652,0.9062,10000,50,1683.3,0.015596,-2.93397,23.1,0.0,
60,0.004365,0.000934,0.4646,0.9256,10000,50,1734.1,0.010362,-2.32277,29.8,0.0,0.8453
61,0.005864,0.000932,0.464,0.9125,10000,50,1760.2,0.013055,-2.78506,25.2,0.0,
62,0.005484,0.000931,0.4634,0.9136,10000,50,1787.0,0.012634,-2.76343,23.2,0.0,
63,0.005377,0.00093,0.4628,0.9153,10000,50,1814.1,0.011298,-2.63914,27.6,0.0,
64,0.004932,0.000929,0.4622,0.9141,10000,50,1840.2,0.00923,-2.71609,23.1,0.0,
65,0.004695,0.000928,0.4616,0.9164,10000,50,1866.3,0.00936,-2.65388,24.3,0.0,
66,0.003858,0.000927,0.461,0.9063,10000,50,1891.5,0.00928,-2.94079,24.4,0.0,
67,0.00444,0.000926,0.4604,0.9217,10000,50,1917.6,0.00776,-2.48237,31.9,0.0,
68,0.005381,0.000925,0.4597,0.9109,10000,50,1944.2,0.007835,-2.7511,23.5,0.0,
69,0.004377,0.000923,0.4591,0.9124,10000,50,1969.7,0.00743,-2.84449,21.8,0.0,
70,0.004577,0.000922,0.4585,0.9105,10000,50,2021.2,0.008242,-2.92792,24.3,0.0,0.8497
71,0.004729,0.000921,0.4579,0.9184,10000,50,2047.3,0.009555,-2.55904,25.1,0.0,
72,0.005665,0.00092,0.4573,0.9172,10000,50,2073.8,0.011965,-2.67345,23.8,0.0,
73,0.004391,0.000919,0.4567,0.917,10000,50,2100.3,0.009957,-2.59232,24.3,0.0,
74,0.005183,0.000918,0.4561,0.9133,10000,50,2126.3,0.01323,-2.73561,25.7,0.0,
75,0.005326,0.000917,0.4555,0.9137,10000,50,2153.1,0.011531,-2.65062,23.3,0.0,
76,0.006345,0.000916,0.4549,0.9126,10000,50,2179.4,0.009263,-2.77859,25.0,0.0,
77,0.005211,0.000914,0.4543,0.9148,10000,50,2205.7,0.011244,-2.66155,27.8,0.0,
78,0.006215,0.000913,0.4537,0.9146,10000,50,2232.3,0.009998,-2.70391,26.6,0.0,
79,0.005559,0.000912,0.4531,0.9121,10000,50,2258.6,0.011034,-2.69285,21.2,0.0,
80,0.003847,0.000911,0.4525,0.9165,10000,50,2308.8,0.013025,-2.54165,24.6,0.0,0.8533
81,0.004988,0.00091,0.4519,0.9128,10000,50,2335.1,0.012668,-2.74834,23.4,0.0,
82,0.005792,0.000909,0.4513,0.9175,10000,50,2360.8,0.013067,-2.69364,23.9,0.0,
83,0.004779,0.000908,0.4507,0.9141,10000,50,2387.0,0.013349,-2.78403,23.2,0.0,
84,0.004991,0.000907,0.4501,0.9203,10000,50,2413.0,0.008894,-2.39119,27.3,0.0,
85,0.006617,0.000905,0.4495,0.9092,10000,50,2439.0,0.009587,-2.9179,23.1,0.0,
86,0.005375,0.000904,0.4489,0.9192,10000,50,2465.6,0.011695,-2.49516,26.3,0.0,
87,0.006316,0.000903,0.4483,0.9224,10000,50,2491.6,0.009143,-2.53946,27.6,0.0,
88,0.004544,0.000902,0.4477,0.9191,10000,50,2517.8,0.007532,-2.56554,27.3,0.0,
89,0.004851,0.000901,0.4471,0.9121,10000,50,2544.0,0.007159,-2.67863,25.3,0.0,
90,0.006377,0.0009,0.4465,0.9186,10000,50,2593.4,0.007188,-2.62618,26.8,0.0,0.8765
91,0.005408,0.000899,0.4459,0.9126,10000,50,2619.4,0.008647,-2.79293,23.8,0.0,
92,0.00503,0.000897,0.4453,0.9122,10000,50,2645.6,0.006749,-2.66958,24.3,0.0,
93,0.007189,0.000896,0.4447,0.9159,10000,50,2672.8,0.00675,-2.62578,26.6,0.0,
94,0.005224,0.000895,0.4441,0.9187,10000,50,2699.2,0.008893,-2.58138,25.5,0.0,
95,0.005228,0.000894,0.4435,0.9066,10000,50,2725.1,0.01105,-2.87497,22.7,0.0,
96,0.005728,0.000893,0.4429,0.9115,10000,50,2751.7,0.008784,-2.81022,24.9,0.0,
97,0.005772,0.000892,0.4423,0.9158,10000,50,2777.9,0.007318,-2.67909,25.6,0.0,
98,0.005103,0.000891,0.4417,0.9114,10000,50,2803.8,0.008664,-2.77298,26.7,0.0,
99,0.003739,0.00089,0.4411,0.8974,10000,50,2830.8,0.010317,-3.14488,22.8,0.0,
100,0.005553,0.000888,0.4405,0.9236,10000,50,2880.5,0.008787,-2.4568,26.6,0.0,0.8744
101,0.007112,0.000887,0.4399,0.9076,10000,50,2907.0,0.007615,-2.92598,23.5,0.0,
102,0.005764,0.000886,0.4393,0.9157,10000,50,2933.2,0.007975,-2.6762,27.8,0.0,
103,0.003882,0.000885,0.4387,0.9085,10000,50,2960.4,0.009386,-2.97634,19.0,0.0,
104,0.006896,0.000884,0.4381,0.9125,10000,50,2986.8,0.0077,-2.75553,23.5,0.0,
105,0.006022,0.000883,0.4375,0.9094,10000,50,3013.0,0.007164,-2.90965,23.1,0.0,
106,0.006542,0.000882,0.4369,0.9169,10000,50,3039.2,0.006654,-2.64669,23.1,0.0,
107,0.00576,0.000881,0.4363,0.9047,10000,50,3066.0,0.007633,-2.92484,21.1,0.0,
108,0.006494,0.000879,0.4357,0.9173,10000,50,3092.2,0.007685,-2.69338,25.9,0.0,
109,0.005692,0.000878,0.4351,0.9153,10000,50,3118.2,0.006007,-2.62097,26.4,0.0,
110,0.005668,0.000877,0.4345,0.9149,10000,50,3169.3,0.00592,-2.69239,22.5,0.0,0.8455
111,0.006819,0.000876,0.4339,0.9098,10000,50,3195.5,0.005317,-2.85816,23.4,0.0,
112,0.006414,0.000875,0.4333,0.9095,10000,50,3222.6,0.004912,-2.89479,23.9,0.0,
113,0.008264,0.000874,0.4327,0.9097,10000,50,3248.7,0.005268,-2.85357,25.7,0.0,
114,0.007434,0.000873,0.4321,0.9229,10000,50,3274.6,0.006028,-2.39208,27.5,0.0,
115,0.007097,0.000872,0.4315,0.9099,10000,50,3301.7,0.005998,-2.65165,24.2,0.0,
116,0.00734,0.00087,0.4309,0.9129,10000,50,3328.9,0.005762,-2.75362,22.4,0.0,
117,0.006825,0.000869,0.4303,0.9155,10000,50,3355.9,0.005457,-2.69313,26.7,0.0,
118,0.006927,0.000868,0.4297,0.9018,10000,50,3383.4,0.005635,-3.06577,20.9,0.0,
119,0.006747,0.000867,0.4291,0.9198,10000,50,3409.6,0.005806,-2.51695,28.3,0.0,
120,0.00596,0.000866,0.4285,0.9076,10000,50,3457.9,0.006194,-2.92466,20.1,0.0,0.9149
121,0.006076,0.000865,0.4279,0.9186,10000,50,3485.1,0.00664,-2.56839,24.7,0.0,
122,0.007359,0.000864,0.4273,0.9154,10000,50,3511.3,0.008049,-2.74383,25.8,0.0,
123,0.007574,0.000863,0.4267,0.9172,10000,50,3537.7,0.007689,-2.6529,25.2,0.0,
124,0.005128,0.000861,0.4261,0.9096,10000,50,3563.8,0.006642,-2.84501,23.6,0.0,
125,0.006596,0.00086,0.4255,0.9224,10000,50,3590.2,0.008044,-2.52233,25.8,0.0,
126,0.006546,0.000859,0.4249,0.9069,10000,50,3616.7,0.008328,-2.90755,23.0,0.0,
127,0.00714,0.000858,0.4243,0.9186,10000,50,3643.1,0.008258,-2.60962,22.2,0.0,
128,0.005853,0.000857,0.4237,0.9053,10000,50,3669.7,0.00795,-2.94195,25.0,0.0,
129,0.006598,0.000856,0.4231,0.9097,10000,50,3696.0,0.007549,-3.00306,20.6,0.0,
130,0.006729,0.000855,0.4225,0.9146,10000,50,3743.6,0.00756,-2.7628,23.0,0.0,0.9195
131,0.009463,0.000854,0.4219,0.9255,10000,50,3769.8,0.006654,-2.37351,27.0,0.0,
132,0.005214,0.000852,0.4213,0.9203,10000,50,3796.0,0.006307,-2.58446,25.3,0.0,
133,0.006051,0.000851,0.4207,0.9162,10000,50,3822.6,0.006874,-2.63642,24.5,0.0,
134,0.006479,0.00085,0.4201,0.9145,10000,50,3849.4,0.006534,-2.75076,25.0,0.0,
135,0.005971,0.000849,0.4195,0.9119,10000,50,3875.6,0.007048,-2.72033,23.5,0.0,
136,0.004321,0.000848,0.4189,0.9223,10000,50,3902.1,0.007539,-2.37938,27.8,0.0,
137,0.005465,0.000847,0.4183,0.9171,10000,50,3928.3,0.008415,-2.60456,25.9,0.0,
138,0.005456,0.000846,0.4177,0.9074,10000,50,3954.7,0.009597,-2.85386,26.9,0.0,
139,0.005241,0.000845,0.4171,0.9163,10000,50,3981.1,0.009655,-2.61689,27.5,0.0,
140,0.005772,0.000843,0.4165,0.9085,10000,50,4032.8,0.009321,-2.9528,22.2,0.0,0.8275
141,0.006377,0.000842,0.4159,0.923,10000,50,4059.2,0.010729,-2.43337,26.5,0.0,
142,0.006581,0.000841,0.4153,0.9138,10000,50,4085.2,0.009713,-2.75739,25.3,0.0,
143,0.006404,0.00084,0.4147,0.9134,10000,50,4111.7,0.009619,-2.77209,22.4,0.0,
144,0.00772,0.000839,0.4141,0.9149,10000,50,4138.2,0.008417,-2.74137,25.9,0.0,
145,0.005619,0.000838,0.4135,0.9092,10000,50,4164.6,0.007083,-2.92454,22.4,0.0,
146,0.005695,0.000837,0.4129,0.9106,10000,50,4191.0,0.006011,-2.82079,22.0,0.0,
147,0.007049,0.000836,0.4123,0.9136,10000,50,4217.5,0.006253,-2.78103,22.9,0.0,
148,0.008664,0.000834,0.4117,0.9157,10000,50,4243.7,0.006759,-2.62204,25.2,0.0,
149,0.005909,0.000833,0.4111,0.9171,10000,50,4269.5,0.005839,-2.64584,25.3,0.0,
150,0.005349,0.000832,0.4105,0.9144,10000,50,4318.0,0.005207,-2.8302,24.3,0.0,0.8987
151,0.006534,0.000831,0.4099,0.9216,10000,50,4343.9,0.006055,-2.50685,27.0,0.0,
152,0.007343,0.00083,0.4093,0.9139,10000,50,4370.0,0.006955,-2.70376,27.9,0.0,
153,0.00856,0.000829,0.4087,0.9151,10000,50,4395.3,0.008239,-2.67934,23.3,0.0,
154,0.007515,0.000828,0.4081,0.9112,10000,50,4420.9,0.009044,-2.73535,24.8,0.0,
155,0.006841,0.000827,0.4075,0.9133,10000,50,4447.5,0.008701,-2.76833,23.5,0.0,
156,0.006514,0.000825,0.4069,0.9137,10000,50,4473.5,0.010083,-2.73394,24.0,0.0,
157,0.006044,0.000824,0.4063,0.9178,10000,50,4500.5,0.006689,-2.68638,25.7,0.0,
158,0.007374,0.000823,0.4057,0.9156,10000,50,4526.6,0.007379,-2.58958,26.6,0.0,
159,0.006609,0.000822,0.4051,0.9179,10000,50,4552.7,0.012148,-2.63348,26.2,0.0,
160,0.005118,0.000821,0.4045,0.9249,10000,50,4600.1,0.008751,-2.36379,26.1,0.0,0.9096
161,0.006689,0.00082,0.4039,0.9225,10000,50,4626.9,0.010495,-2.4061,27.2,0.0,
162,0.0064,0.000819,0.4033,0.9141,10000,50,4652.8,0.009753,-2.71534,24.9,0.0,
163,0.00654,0.000818,0.4027,0.9177,10000,50,4679.3,0.010185,-2.51315,22.4,0.0,
164,0.006485,0.000816,0.4021,0.9134,10000,50,4706.0,0.010435,-2.64536,24.9,0.0,
165,0.007734,0.000815,0.4015,0.9144,10000,50,4731.5,0.018418,-2.69628,27.9,0.0,
166,0.006908,0.000814,0.4009,0.9115,10000,50,4757.6,0.011572,-2.86004,22.5,0.0,
167,0.005765,0.000813,0.4003,0.9099,10000,50,4782.2,0.010463,-2.72479,23.0,0.0,
168,0.006832,0.000812,0.3997,0.9078,10000,50,4806.8,0.013375,-2.93007,23.0,0.0,
169,0.006145,0.000811,0.3991,0.9087,10000,50,4832.6,0.012615,-2.9338,25.2,0.0,
170,0.006579,0.00081,0.3985,0.9146,10000,50,4879.6,0.016674,-2.76056,25.5,0.0,0.9168
171,0.007246,0.000809,0.3979,0.9182,10000,50,4906.5,0.012861,-2.52662,26.5,0.0,
172,0.009073,0.000807,0.3973,0.9133,10000,50,4932.6,0.010804,-2.75223,27.2,0.0,
173,0.009996,0.000806,0.3967,0.9138,10000,50,4958.9,0.016424,-2.73879,25.4,0.0,
174,0.007609,0.000805,0.3961,0.9187,10000,50,4985.2,0.018092,-2.60129,24.9,0.0,
175,0.007228,0.000804,0.3955,0.9175,10000,50,5010.3,0.015079,-2.62226,24.2,0.0,
176,0.007606,0.000803,0.3949,0.9094,10000,50,5036.6,0.013645,-2.74335,22.6,0.0,
177,0.007091,0.000802,0.3943,0.9117,10000,50,5062.6,0.013977,-2.73898,23.5,0.0,
178,0.005766,0.000801,0.3937,0.9052,10000,50,5088.2,0.015616,-3.01834,18.9,0.0,
179,0.008822,0.000799,0.3931,0.9143,10000,50,5114.7,0.01378,-2.82943,23.3,0.0,
180,0.008494,0.000798,0.3925,0.9123,10000,50,5164.1,0.013845,-2.69707,25.3,0.0,0.863
181,0.008882,0.000797,0.3919,0.9034,10000,50,5189.8,0.014291,-3.06642,22.5,0.0,
182,0.008067,0.000796,0.3913,0.9136,10000,50,5215.8,0.020002,-2.76013,24.6,0.0,
183,0.01024,0.000795,0.3907,0.9111,10000,50,5241.6,0.021107,-2.83429,25.7,0.0,
184,0.008047,0.000794,0.3901,0.9178,10000,50,5268.6,0.013989,-2.58556,25.6,0.0,
185,0.007113,0.000793,0.3895,0.908,10000,50,5296.2,0.014847,-2.88133,26.2,0.0,
186,0.008825,0.000792,0.3889,0.9154,10000,50,5324.1,0.014069,-2.69474,25.0,0.0,
187,0.007978,0.00079,0.3883,0.909,10000,50,5351.1,0.013841,-2.94859,23.9,0.0,
188,0.007761,0.000789,0.3877,0.9063,10000,50,5378.5,0.018187,-2.92822,21.7,0.0,
189,0.007368,0.000788,0.3871,0.9088,10000,50,5406.3,0.015338,-2.83469,24.3,0.0,
190,0.008197,0.000787,0.3865,0.9172,10000,50,5455.0,0.019708,-2.67437,24.3,0.0,0.9003
191,0.008511,0.000786,0.3859,0.9087,10000,50,5481.1,0.020743,-2.88428,20.7,0.0,
192,0.010083,0.000785,0.3853,0.9186,10000,50,5508.3,0.017311,-2.54576,29.0,0.0,
193,0.008101,0.000784,0.3847,0.9122,10000,50,5535.5,0.013797,-2.78351,24.3,0.0,
194,0.009752,0.000783,0.3841,0.9096,10000,50,5562.6,0.013025,-2.97908,21.0,0.0,
195,0.007714,0.000781,0.3835,0.9159,10000,50,5590.0,0.01393,-2.67603,27.4,0.0,
196,0.008874,0.00078,0.3829,0.9155,10000,50,5616.9,0.013464,-2.66667,25.1,0.0,
197,0.008967,0.000779,0.3823,0.912,10000,50,5644.2,0.014415,-2.68825,22.8,0.0,
198,0.00964,0.000778,0.3817,0.9156,10000,50,5669.2,0.015455,-2.61952,26.7,0.0,
199,0.008047,0.000777,0.3811,0.9123,10000,50,5696.7,0.014844,-2.75867,23.7,0.0,
200,0.007254,0.000776,0.3805,0.9142,10000,50,5742.9,0.015285,-2.75048,23.2,0.0,0.933
201,0.009125,0.000775,0.3798,0.9036,10000,50,5769.1,0.014387,-3.04877,23.6,0.0,
202,0.00837,0.000774,0.3792,0.9156,10000,50,5796.5,0.014041,-2.56515,26.8,0.0,
203,0.007284,0.000772,0.3786,0.9093,10000,50,5823.7,0.015784,-2.85107,20.1,0.0,
204,0.009627,0.000771,0.378,0.9119,10000,50,5850.3,0.013638,-2.9063,22.8,0.0,
205,0.007757,0.00077,0.3774,0.9122,10000,50,5877.7,0.015558,-2.83587,24.2,0.0,
206,0.007973,0.000769,0.3768,0.9123,10000,50,5905.4,0.013984,-2.75912,21.4,0.0,
207,0.008019,0.000768,0.3762,0.9172,10000,50,5933.5,0.014251,-2.52955,25.2,0.0,
208,0.00902,0.000767,0.3756,0.9084,10000,50,5960.6,0.015336,-2.90497,23.4,0.0,
209,0.008301,0.000766,0.375,0.9154,10000,50,5987.8,0.014215,-2.63499,22.9,0.0,
210,0.007262,0.000765,0.3744,0.915,10000,50,6035.2,0.014275,-2.7162,24.2,0.0,0.9312
211,0.008312,0.000763,0.3738,0.9042,10000,50,6062.4,0.012369,-3.04206,20.8,0.0,
212,0.008368,0.000762,0.3732,0.9237,10000,50,6089.8,0.01364,-2.48059,29.6,0.0,
213,0.007652,0.000761,0.3726,0.9137,10000,50,6116.6,0.013553,-2.69685,25.8,0.0,
214,0.007838,0.00076,0.372,0.9183,10000,50,6142.0,0.012183,-2.63729,26.3,0.0,
215,0.008367,0.000759,0.3714,0.9092,10000,50,6169.7,0.014458,-2.96587,21.0,0.0,
216,0.007334,0.000758,0.3708,0.9182,10000,50,6196.7,0.014366,-2.58182,24.6,0.0,
217,0.008864,0.000757,0.3702,0.9143,10000,50,6223.7,0.014913,-2.79311,25.5,0.0,
218,0.008299,0.000756,0.3696,0.9227,10000,50,6250.6,0.013027,-2.40032,28.0,0.0,
219,0.00871,0.000754,0.369,0.9136,10000,50,6277.6,0.014264,-2.793,22.7,0.0,
220,0.008682,0.000753,0.3684,0.9167,10000,50,6325.5,0.008753,-2.59488,27.9,0.0,0.9188
221,0.007512,0.000752,0.3678,0.916,10000,50,6352.7,0.008353,-2.57424,24.3,0.0,
222,0.007967,0.000751,0.3672,0.916,10000,50,6379.1,0.007499,-2.61163,25.6,0.0,
223,0.008934,0.00075,0.3666,0.9135,10000,50,6405.3,0.007357,-2.74528,22.1,0.0,
224,0.008494,0.000749,0.366,0.9135,10000,50,6431.1,0.00785,-2.83632,24.6,0.0,
225,0.006084,0.000748,0.3654,0.9196,10000,50,6457.7,0.009194,-2.55049,26.7,0.0,
226,0.009061,0.000747,0.3648,0.9152,10000,50,6484.8,0.009798,-2.73729,24.1,0.0,
227,0.010033,0.000745,0.3642,0.9115,10000,50,6511.7,0.010853,-2.87004,22.7,0.0,
228,0.010754,0.000744,0.3636,0.9184,10000,50,6538.6,0.011726,-2.6511,27.9,0.0,
229,0.008874,0.000743,0.363,0.9176,10000,50,6566.1,0.012524,-2.69751,25.0,0.0,
230,0.008504,0.000742,0.3624,0.9086,10000,50,6613.5,0.013699,-3.02838,23.9,0.0,0.9242
231,0.008873,0.000741,0.3618,0.9205,10000,50,6638.8,0.015369,-2.53576,25.3,0.0,
232,0.010394,0.00074,0.3612,0.9178,10000,50,6663.8,0.019989,-2.59198,24.2,0.0,
233,0.008544,0.000739,0.3606,0.9071,10000,50,6689.5,0.019708,-3.00097,22.4,0.0,
234,0.00885,0.000738,0.36,0.9201,10000,50,6716.8,0.019046,-2.48767,29.5,0.0,
235,0.009401,0.000736,0.3594,0.9062,10000,50,6742.9,0.020379,-2.91456,22.9,0.0,
236,0.009953,0.000735,0.3588,0.9104,10000,50,6769.7,0.015632,-2.86015,24.6,0.0,
237,0.008412,0.000734,0.3582,0.9064,10000,50,6797.2,0.022524,-3.00054,23.7,0.0,
238,0.009186,0.000733,0.3576,0.915,10000,50,6824.3,0.020656,-2.72453,25.1,0.0,
239,0.008264,0.000732,0.357,0.9172,10000,50,6851.2,0.018839,-2.65886,25.1,0.0,
240,0.007635,0.000731,0.3564,0.9098,10000,50,6899.9,0.019954,-2.90096,21.4,0.0,0.9146
241,0.007774,0.00073,0.3558,0.9272,10000,50,6926.8,0.021988,-2.36656,27.2,0.0,
242,0.009114,0.000729,0.3552,0.9128,10000,50,6952.0,0.017705,-2.75839,21.4,0.0,
243,0.007942,0.000727,0.3546,0.9061,10000,50,6979.1,0.012948,-3.0084,24.1,0.0,
244,0.008794,0.000726,0.354,0.9138,10000,50,7006.7,0.018278,-2.68916,24.3,0.0,
245,0.007398,0.000725,0.3534,0.9192,10000,50,7032.7,0.022669,-2.60572,25.1,0.0,
246,0.007799,0.000724,0.3528,0.9149,10000,50,7059.7,0.019484,-2.66109,26.0,0.0,
247,0.008496,0.000723,0.3522,0.9193,10000,50,7087.2,0.02215,-2.58492,24.8,0.0,
248,0.007822,0.000722,0.3516,0.9198,10000,50,7114.3,0.020585,-2.5713,27.2,0.0,
249,0.010431,0.000721,0.351,0.9196,10000,50,7141.2,0.01725,-2.53422,26.8,0.0,
250,0.007579,0.00072,0.3504,0.9167,10000,50,7188.4,0.017764,-2.67505,25.2,0.0,0.9275
251,0.007636,0.000718,0.3498,0.9194,10000,50,7215.1,0.02386,-2.5471,25.3,0.0,
252,0.009576,0.000717,0.3492,0.9107,10000,50,7242.8,0.026414,-2.94199,22.9,0.0,
253,0.00875,0.000716,0.3486,0.9127,10000,50,7269.9,0.024853,-2.78013,22.0,0.0,
254,0.009174,0.000715,0.348,0.9141,10000,50,7297.0,0.026286,-2.78912,23.2,0.0,
255,0.008482,0.000714,0.3474,0.909,10000,50,7324.6,0.022302,-2.77125,25.4,0.0,
256,0.008965,0.000713,0.3468,0.9164,10000,50,7349.6,0.024793,-2.61866,24.2,0.0,
257,0.007455,0.000712,0.3462,0.9193,10000,50,7376.6,0.026153,-2.58452,26.6,0.0,
258,0.00899,0.000711,0.3456,0.9153,10000,50,7403.9,0.022892,-2.75574,24.4,0.0,
259,0.010186,0.000709,0.345,0.9201,10000,50,7430.9,0.02459,-2.66747,26.6,0.0,
260,0.009567,0.000708,0.3444,0.9138,10000,50,7478.8,0.021744,-2.72635,26.9,0.0,0.9297
261,0.007744,0.000707,0.3438,0.9151,10000,50,7505.7,0.024636,-2.6879,25.5,0.0,
262,0.00949,0.000706,0.3432,0.9237,10000,50,7532.6,0.026148,-2.45731,27.6,0.0,
263,0.010491,0.000705,0.3426,0.9129,10000,50,7559.8,0.025397,-2.74131,28.2,0.0,
264,0.008533,0.000704,0.342,0.906,10000,50,7587.1,0.02696,-2.91093,26.3,0.0,
265,0.009691,0.000703,0.3414,0.9164,10000,50,7614.5,0.027658,-2.65585,23.3,0.0,
266,0.010682,0.000702,0.3408,0.9146,10000,50,7642.0,0.026072,-2.74708,25.4,0.0,
