rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
0.5542014,0.25153887,0.11869039,1.0,0.8854167,0.11940298,0.05970149,0.15966663,0.1376688,0.039943557,0.021229029
0.5695959,0.25845304,0.1350508,1.0,0.8854167,0.13432837,0.05970149,0.14971237,0.15612924,0.042186007,0.029909045
0.58114177,0.26599517,0.13897789,1.0,0.92833334,0.14925373,0.07462686,0.15138431,0.14549962,0.04355321,0.03467152
0.55676717,0.2622395,0.120923504,1.0,0.85625,0.14925373,0.04477612,0.14403056,0.12643498,0.042082448,0.027768647
0.56189865,0.2657888,0.12037316,1.0,0.80875,0.14925373,0.04477612,0.14048737,0.12120663,0.04250903,0.026915345
0.5477871,0.26420614,0.115552016,1.0,0.8666667,0.13432837,0.05970149,0.13250639,0.109612934,0.040936045,0.017176576
0.5503528,0.25092587,0.13298455,1.0,0.92,0.11940298,0.07462686,0.12349198,0.10429513,0.039684195,0.024397876
0.5349583,0.23953325,0.13188216,0.9785714,0.92,0.104477614,0.07462686,0.12907024,0.10453154,0.044405147,0.025053885
0.54522127,0.24165447,0.13302101,1.0,0.87,0.13432837,0.05970149,0.117382385,0.098379016,0.043570288,0.02300792
0.56574726,0.24815997,0.13252415,1.0,0.8747899,0.13432837,0.04477612,0.115752846,0.09334035,0.04312994,0.022886358
0.56574726,0.24448763,0.13551626,1.0,0.89,0.11940298,0.05970149,0.11013672,0.093051404,0.041776195,0.024396762
0.55676717,0.23587398,0.14312692,1.0,0.8947059,0.11940298,0.05970149,0.09759322,0.09336371,0.038565192,0.02494131
0.5349583,0.23965739,0.12650825,1.0,0.87375,0.13432837,0.05970149,0.09334592,0.08017567,0.03892229,0.023201058
0.50801796,0.23252973,0.13417548,1.0,0.91439396,0.11940298,0.08955224,0.102731064,0.087722234,0.04593464,0.031432357
0.4913406,0.20808505,0.13334905,0.90636367,0.91439396,0.08955224,0.07462686,0.0900077,0.08726342,0.03935166,0.031256687
0.47466326,0.20808505,0.12287549,0.90636367,0.91439396,0.08955224,0.07462686,0.084940724,0.07721965,0.037472438,0.030390143
0.4720975,0.19468744,0.11095229,0.89666665,0.8333333,0.05970149,0.04477612,0.07005953,0.061791535,0.031254914,0.021365197
0.46953174,0.19150995,0.10981439,0.90636367,0.82878786,0.07462686,0.04477612,0.066606864,0.0637059,0.03149006,0.020921297
0.44644,0.18482758,0.104460806,0.90636367,0.82878786,0.07462686,0.04477612,0.06772437,0.05600773,0.032493446,0.018403484
0.43745992,0.18313119,0.09748576,0.90636367,0.77272725,0.07462686,0.04477612,0.06289056,0.045345176,0.0317027,0.013962833
0.45413727,0.1718772,0.1015396,0.8676768,0.7947826,0.04477612,0.04477612,0.046883106,0.042051163,0.022486778,0.012439163
0.4477229,0.17755911,0.10171943,0.8888889,0.8175,0.04477612,0.05970149,0.04611871,0.042597674,0.024111161,0.015478979
0.4631174,0.1801988,0.11070326,0.8888889,0.855,0.04477612,0.05970149,0.043880347,0.046707254,0.024046523,0.017011365
0.46055165,0.16337988,0.11387614,0.85384613,0.785,0.04477612,0.04477612,0.038707957,0.04462522,0.018777613,0.016535092
0.466966,0.1680284,0.115380265,0.85384613,0.87545455,0.04477612,0.05970149,0.037501268,0.03827142,0.018604053,0.01406788
0.4528544,0.17023854,0.10639548,0.8333333,0.8631016,0.029850746,0.04477612,0.035918716,0.032296676,0.01987902,0.010651609
0.46440026,0.17398047,0.10812074,0.8333333,0.8631016,0.04477612,0.04477612,0.035487015,0.030507969,0.018745992,0.009143424
0.46824887,0.14234854,0.12820533,0.86964285,0.9188811,0.04477612,0.07462686,0.017781487,0.028179973,0.0070103467,0.010850155
0.4631174,0.14995438,0.12800388,0.90636367,0.8954545,0.07462686,0.05970149,0.017274436,0.023575326,0.007621629,0.011566205
0.47851187,0.15406089,0.13827555,0.9727273,0.97692305,0.07462686,0.07462686,0.015646512,0.025334015,0.008278778,0.014889689
0.5016036,0.16519254,0.14380714,1.0,0.9188811,0.07462686,0.08955224,0.016181352,0.023146693,0.009617636,0.01396433
0.52469534,0.17527378,0.15078785,1.0,0.9188811,0.08955224,0.08955224,0.019352548,0.027744437,0.011268804,0.015613648
0.5388069,0.18007508,0.15325186,1.0,0.9260606,0.08955224,0.08955224,0.017845238,0.027970232,0.010060751,0.016644083
0.53752404,0.18007508,0.15292019,1.0,0.9260606,0.08955224,0.08955224,0.01765661,0.027706333,0.009985811,0.016547512
0.5400898,0.18173344,0.1515071,1.0,0.9260606,0.08955224,0.07462686,0.016897326,0.025951084,0.009682609,0.016157573
0.5388069,0.18053849,0.15386976,1.0,0.9260606,0.08955224,0.07462686,0.016129501,0.025464717,0.009373649,0.015820786
0.6786401,0.25211206,0.15357307,1.0,1.0,0.13432837,0.08955224,0.088284776,0.095329344,0.040060233,0.045549452
0.7286722,0.28003356,0.16958153,1.0,0.98125,0.14925373,0.104477614,0.09348934,0.099243395,0.044025376,0.048418604
0.7325208,0.28579256,0.174531,1.0,0.98125,0.17910448,0.104477614,0.09615709,0.100652486,0.048007574,0.050616954
0.73380375,0.28412178,0.17634138,1.0,0.98333335,0.17910448,0.11940298,0.09302979,0.09858062,0.046816446,0.04865789
0.7491982,0.28489596,0.18236165,1.0,0.9607143,0.17910448,0.11940298,0.0904771,0.09579786,0.045366857,0.046668697
0.7645927,0.30127105,0.18178044,1.0,0.9607143,0.19402985,0.11940298,0.09938524,0.09324914,0.051806696,0.042639595
0.7684413,0.30249617,0.18407871,1.0,0.9892857,0.19402985,0.11940298,0.100822,0.089589894,0.05219249,0.041577492
0.6465683,0.28466395,0.16486602,1.0,0.9543529,0.19402985,0.11940298,0.12946133,0.10677624,0.07198516,0.048090108
0.6324567,0.28429922,0.16582586,1.0,0.94007355,0.19402985,0.11940298,0.13097768,0.109075405,0.07466109,0.0478254
0.6221937,0.28521544,0.16471595,1.0,0.97692305,0.19402985,0.104477614,0.1336345,0.11545517,0.07341599,0.050126694
0.6388711,0.28467894,0.18046172,1.0,1.0,0.17910448,0.14925373,0.13938661,0.123251155,0.07044418,0.055372387
0.6452854,0.28557435,0.17947349,1.0,1.0,0.14925373,0.13432837,0.13792542,0.12619518,0.07099863,0.054576408
0.6375882,0.2709549,0.17733757,1.0,1.0,0.1641791,0.13432837,0.12711826,0.125505,0.06341236,0.05306516
0.6055164,0.2068759,0.19353688,1.0,1.0,0.13432837,0.11940298,0.23219666,0.124777034,0.12985688,0.05108674
0.6170622,0.21540298,0.19258897,1.0,0.98571426,0.13432837,0.11940298,0.23997413,0.12102893,0.13612506,0.048055798
