episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
30,0.9291438856250213,-3.3130144580398895,-0.4228262462743888,-0.1701986092921104,-0.09196653282304511,-0.11936140958092192,-0.08974967024236676,-0.0013453520346982713,-0.001061564088846197,-0.27355819202998616,-0.009574065219028911,0.005255,0.01,0.0,0.97,100,10,1,11
31,0.9305168600037148,-3.330937922831902,-0.43217324860512846,-0.17389825732034755,-0.09399776309493085,-0.1219641107791688,-0.09176866896610851,-0.0013714389351317782,-0.0010854133089136504,-0.2792604878747701,-0.009728189431745842,0.005173,0.01,0.0,0.97,100,10,1,11
32,0.930254809144929,-3.348744105209093,-0.4414196656887048,-0.17764080959696757,-0.09600858398963005,-0.12449676666215787,-0.09370305776461023,-0.0013989078904042107,-0.0011075849607014388,-0.28537485190356615,-0.009991206115380666,0.005094,0.01,0.0,0.97,100,10,1,11
33,0.9290262489415749,-3.3663713463312717,-0.4506584069661906,-0.18136340753579472,-0.09804761703129136,-0.1270861815823543,-0.09572731064083134,-0.0014261114165350238,-0.001132716850987981,-0.291485447126097,-0.01022688374321616,0.005017,0.01,0.0,0.97,100,10,1,11
34,0.9289339254115054,-3.3840709602053622,-0.4598019390180726,-0.1850479126048652,-0.10001247628834647,-0.12969405017406027,-0.09769400772671073,-0.0014509301501367544,-0.0011572149273353551,-0.29755954016844227,-0.010450838654676272,0.004942,0.01,0.0,0.97,100,11,0,11
35,0.9324168754655651,-3.400313885173619,-0.46818663197048715,-0.18844222199856336,-0.10178213198894763,-0.13195144222671715,-0.09936678738722783,-0.0014819661046599007,-0.0011766737451241174,-0.30327023881598575,-0.010618291176969922,0.00487,0.01,0.0,0.97,100,10,1,11
36,0.9280940969995612,-3.4175646147279104,-0.4772364049203225,-0.19205346758952616,-0.10381909411794496,-0.13453831330285038,-0.10134399178242641,-0.001511355311592335,-0.0011989908050296265,-0.3085871867580309,-0.01073696648207851,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.931774144202332,-3.43346755590227,-0.48556201256285836,-0.1954118233959415,-0.10574732071006258,-0.13681970860632003,-0.10318396907780057,-0.0015329285773310838,-0.0012192927588536738,-0.313023773253604,-0.010823208686361342,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9343200429587865,-3.448640633585527,-0.493344152866631,-0.19843070936331902,-0.10748050495938424,-0.13899596991887897,-0.10485592683677165,-0.0015519302813438987,-0.0012382167225017948,-0.31747813508643685,-0.011070335864689813,0.004665,0.01,0.0,0.97,100,10,1,11
39,0.9269856186336863,-3.465551824179708,-0.5021357487639083,-0.20202141939686707,-0.10934148921693748,-0.14159236252754095,-0.10673481460341148,-0.0015829152146083156,-0.0012593451895635721,-0.3232836878217561,-0.011578009668195213,0.0046,0.01,0.0,0.97,100,10,1,11
40,0.9257944049881631,-3.482589314257299,-0.5110071794691082,-0.20558221347622097,-0.11130415659996754,-0.14415124670991253,-0.10863065182383926,-0.0016138252397484988,-0.001280905823756626,-0.3288693987287979,-0.011726473651725425,0.004537,0.01,0.0,0.97,100,10,1,11
41,0.9242920762961095,-3.4944409975980784,-0.5164194842483225,-0.20833997860742937,-0.11221317401390102,-0.14668946981368658,-0.11048433765161249,-0.0016444450375429807,-0.0013032545296352942,-0.3343628926866296,-0.011671287463296903,0.004476,0.01,0.0,0.97,100,11,1,12
42,0.9274295012665448,-3.510436290155316,-0.5246476479148255,-0.21173638636697548,-0.11395121493322284,-0.14909908784254303,-0.11228156824268581,-0.0016707849706289186,-0.0013251338745765872,-0.34026504037322697,-0.01171604362825492,0.004417,0.01,0.0,0.97,100,10,1,11
43,0.9286914566175859,-3.526027652994256,-0.5328530368034196,-0.21499707472376228,-0.11580756776242514,-0.1512713727087528,-0.11403435271631111,-0.001696745735945094,-0.0013433916657007944,-0.34527355022458106,-0.011943651293355747,0.004359,0.01,0.0,0.97,100,10,1,11
44,0.9300729804546598,-3.5409026770478924,-0.5404911418814484,-0.21811730899017356,-0.11745152470111676,-0.1535460322904055,-0.11565689067871307,-0.0017251797785657653,-0.0013633046218562827,-0.35062417928429335,-0.01226155433775701,0.004302,0.01,0.0,0.97,100,10,1,11
45,0.926288685818145,-3.5564704387549178,-0.548563070814455,-0.22133991216882823,-0.1192280393695708,-0.15585286250333646,-0.11734228362938257,-0.0017545963821118866,-0.0013836922645200304,-0.3559806027312584,-0.01242546582662851,0.004247,0.01,0.0,0.97,100,10,1,11
46,0.9359249689607732,-3.5695365592292774,-0.555298891950045,-0.22404610410833684,-0.12070038659661607,-0.15780579601652858,-0.11881251111938286,-0.001771607834412569,-0.0013994425694562565,-0.35991621685392,-0.012570109331762088,0.004194,0.01,0.0,0.97,100,10,1,11
47,0.931326655593027,-3.583617170386626,-0.562593645898062,-0.22694795280734795,-0.12236411836544617,-0.1599254941919337,-0.1203850646227323,-0.0017908452192892143,-0.001415726726931122,-0.36378818303725263,-0.012712510765456125,0.004141,0.01,0.0,0.97,100,10,1,11
48,0.9277426861702127,-3.5984257583880397,-0.570433918014844,-0.2300654720196594,-0.12409749246691998,-0.16215261137179812,-0.12201659466780727,-0.0018120474760195788,-0.0014341660544173298,-0.36864941240015714,-0.012814594599811359,0.00409,0.01,0.0,0.97,100,11,0,11
49,0.9321212121212121,-3.6118708651487568,-0.5774231982857713,-0.23290672527649905,-0.12561234143577715,-0.1641532749380803,-0.12357143990680501,-0.001834282289836791,-0.0014508221354890638,-0.3731783268128249,-0.012925690664741673,0.004041,0.01,0.0,0.97,100,10,1,11
50,0.9304201962593307,-3.625562483688949,-0.5844547490307719,-0.23583196044809787,-0.12712443608495255,-0.16631772274681203,-0.12519461081563438,-0.0018574012187840667,-0.001471766187281148,-0.3777500972854046,-0.013103898538939262,0.003992,0.01,0.0,0.97,100,10,1,11
51,0.926060606060606,-3.6399754059940195,-0.5921107448812982,-0.23901731873544552,-0.12878926699602974,-0.16858172614819808,-0.1268247316832495,-0.0018827760707497043,-0.0014902331514499217,-0.3827717958169779,-0.013292394907269642,0.003945,0.01,0.0,0.97,100,10,1,11
52,0.9251340482573727,-3.654509488598335,-0.5995858085384755,-0.2420133820841054,-0.13046228353505265,-0.17074652516138786,-0.12848828242025812,-0.0019048819403228356,-0.0015099390849154118,-0.38745343922327047,-0.01349559263631679,0.003898,0.01,0.0,0.97,100,10,1,11
53,0.9328151957253648,-3.667173716567376,-0.6061653149551263,-0.24466988909896797,-0.13191197992172107,-0.17263523610079076,-0.1299194286303598,-0.0019236802236347128,-0.0015261782196766176,-0.39167100229953905,-0.013644687479438417,0.003853,0.01,0.0,0.97,100,10,1,11
54,0.9280801234733593,-3.6807148769827593,-0.6132197689044117,-0.24755585886604786,-0.13342059234749734,-0.17472813210165003,-0.13150591013601748,-0.0019461529561289835,-0.0015509269085676063,-0.3966518590290298,-0.013742792733492309,0.003809,0.01,0.0,0.97,100,10,1,11
