episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
10,0.9394867525052781,-4.04768547587672,0.079499,0.1,0.183549,0.2,1197,838,1279,33629,38616,38613,0,0,0,0,3902,3906,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9317339811721834,-4.114082219800186,0.077902,0.1,0.18198,0.2,1503,745,1571,32930,37477,37471,0,0,0,0,3965,3945,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9374161823871257,-4.039403683512585,0.076368,0.1,0.180424,0.2,1375,725,1271,33555,38363,38357,0,0,0,0,3966,3957,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9344694724362774,-4.28685049676172,0.074893,0.1,0.178882,0.2,1369,842,1258,33740,38538,38529,0,0,0,0,4136,4121,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9373575626724241,-4.268073655567846,0.073474,0.1,0.177353,0.2,1349,740,1496,33348,38103,38092,0,0,0,0,3890,3875,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9387407827566647,-4.360624332191046,0.072107,0.1,0.175838,0.2,1348,704,1467,33497,38224,38211,0,0,0,0,4051,4041,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9359515892274048,-4.436252833284147,0.070791,0.1,0.174335,0.2,1404,734,1310,33381,38043,38040,0,0,0,0,4061,4080,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.948084951896896,-4.340599795807724,0.069522,0.1,0.172845,0.2,1182,534,1330,33054,37980,37974,0,0,0,0,3998,3986,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9359611777665306,-4.448926010880279,0.068297,0.1,0.171367,0.2,1358,793,1298,33589,38392,38382,0,0,0,0,4011,4023,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.937815375482339,-4.521556735760006,0.067115,0.1,0.169903,0.2,1246,849,1253,33690,38455,38448,0,0,0,0,4044,4037,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9322957432717202,-4.556398745512106,0.065974,0.1,0.168451,0.2,1388,861,1463,33218,37855,37846,0,0,0,0,4017,4037,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.94382156133829,-4.4804262433516895,0.06487,0.1,0.167011,0.2,1263,626,1408,33625,38498,38495,0,0,0,0,3978,3967,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9368231579568591,-4.405395058984899,0.063803,0.1,0.165583,0.2,1405,736,1582,33889,38547,38542,0,0,0,0,4008,4025,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.938041385948027,-4.434735394596467,0.06277,0.1,0.164168,0.2,1330,730,1323,33248,38156,38147,0,0,0,0,4116,4109,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9402668736380191,-4.391962530451699,0.06177,0.1,0.162765,0.2,1167,834,1499,33499,38412,38402,0,0,0,0,3988,4008,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9458453410182517,-4.4111774859275945,0.060801,0.1,0.161374,0.2,1123,681,1202,33312,38207,38207,0,0,0,0,4074,4080,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9421685305902757,-4.38540887461802,0.059863,0.1,0.159995,0.2,1317,617,1396,33442,38050,38044,0,0,0,0,3977,3992,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.935773417836674,-4.4747759368655675,0.058953,0.1,0.158627,0.2,1395,723,1392,32977,37766,37759,0,0,0,0,4007,4005,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9366182603294786,-4.4997817184469655,0.05807,0.1,0.157271,0.2,1365,778,1495,33811,38601,38595,0,0,0,0,4075,4075,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9356565176022835,-4.597306083557225,0.057213,0.1,0.155927,0.2,1284,880,1350,33632,38430,38421,0,0,0,0,4020,4021,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9385109383909012,-4.613849392538753,0.056381,0.1,0.154594,0.2,1255,794,1461,33323,38208,38199,0,0,0,0,3931,3948,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9397486556344514,-4.63574836555837,0.055573,0.1,0.153273,0.2,1321,707,1391,33659,38586,38577,0,0,0,0,4009,4022,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.939059587517287,-4.64789742499908,0.054788,0.1,0.151963,0.2,1324,703,1291,33262,38083,38078,0,0,0,0,3949,3945,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9416140935602905,-4.5727439238453185,0.054025,0.1,0.150664,0.2,1234,728,1542,33604,38700,38697,0,0,0,0,3919,3922,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9469492880191835,-4.483977169286911,0.053282,0.1,0.149376,0.2,1165,627,1516,33779,38788,38781,0,0,0,0,4002,3987,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9407391927394315,-4.517492380718649,0.05256,0.1,0.1481,0.2,1312,673,1287,33496,38486,38481,0,0,0,0,3960,3973,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9410632881416139,-4.586698638116436,0.051857,0.1,0.146834,0.2,1247,744,1448,33782,38586,38578,0,0,0,0,4055,4038,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9392698130008905,-4.657839026912107,0.051173,0.1,0.145579,0.2,1216,830,1414,33690,38472,38466,0,0,0,0,4032,4024,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9452227388630569,-4.646383797309737,0.050507,0.1,0.144335,0.2,1152,674,1325,33335,38364,38354,0,0,0,0,4102,4112,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9330090046534115,-4.740369546546623,0.049857,0.1,0.143101,0.2,1525,692,1536,33094,37649,37643,0,0,0,0,4080,4076,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9348694967601284,-4.782145128236082,0.049224,0.1,0.141878,0.2,1394,757,1319,33026,37859,37850,0,0,0,0,3943,3931,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9368273559311928,-4.815216527186006,0.048607,0.1,0.140665,0.2,1373,746,1318,33543,38280,38275,0,0,0,0,4008,4008,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.940309638158876,-4.789884433004285,0.048006,0.1,0.139463,0.2,1414,587,1523,33523,38145,38136,0,0,0,0,4085,4089,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9431999278347416,-4.763607106340244,0.047418,0.1,0.138271,0.2,1220,669,1392,33257,38320,38312,0,0,0,0,4003,4019,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9326762744163888,-4.82176967084672,0.046846,0.1,0.137089,0.2,1508,753,1515,33584,38213,38207,0,0,0,0,4005,3998,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9403482437706394,-4.801983587994187,0.046286,0.1,0.135918,0.2,1275,712,1428,33310,38003,38000,0,0,0,0,3948,3958,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9404305514597464,-4.75700499879171,0.04574,0.1,0.134756,0.2,1287,733,1569,33910,38718,38715,0,0,0,0,3986,3998,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9433251238835643,-4.674912846712555,0.045207,0.1,0.133604,0.2,1247,663,1560,33701,38543,38532,0,0,0,0,3977,3987,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.942560553633218,-4.697306308965458,0.044686,0.1,0.132462,0.2,1180,729,1286,33235,38040,38036,0,0,0,0,4045,4054,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9371754464955726,-4.7785091719319475,0.044177,0.1,0.13133,0.2,1306,787,1565,33315,38004,37996,0,0,0,0,4091,4086,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9406962138883904,-4.838204578019018,0.04368,0.1,0.130208,0.2,1268,715,1404,33438,38339,38333,0,0,0,0,4085,4072,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9423950140970471,-4.821343766344972,0.043193,0.1,0.129095,0.2,1283,658,1555,33695,38519,38516,0,0,0,0,4125,4124,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9417765461798472,-4.782567123628593,0.042717,0.1,0.127991,0.2,1160,752,1416,32839,37823,37814,0,0,0,0,4043,4051,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9360026157778967,-4.831594626564113,0.042252,0.1,0.126897,0.2,1470,683,1359,33642,38342,38337,0,0,0,0,4015,4005,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9348297027319774,-4.876788500068184,0.041796,0.1,0.125813,0.2,1455,711,1588,33236,37919,37912,0,0,0,0,4092,4079,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9385904327197382,-4.902590719251154,0.041351,0.1,0.124737,0.2,1333,712,1447,33301,37998,37991,0,0,0,0,4048,4058,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9419154596511972,-4.855406065661026,0.040914,0.1,0.123671,0.2,1203,762,1481,33830,38978,38969,0,0,0,0,4063,4060,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.942224717772918,-4.871800913371531,0.040487,0.1,0.122614,0.2,1367,588,1486,33838,38665,38663,0,0,0,0,4093,4084,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9397896372437697,-4.889818495762995,0.040069,0.1,0.121566,0.2,1410,605,1228,33466,38139,38134,0,0,0,0,3975,3958,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9399520587432109,-4.8720524312914035,0.039659,0.1,0.120527,0.2,1190,789,1391,32957,37856,37850,0,0,0,0,4017,4017,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9451592491035646,-4.820995541862173,0.039258,0.1,0.119497,0.2,1198,622,1305,33187,38217,38212,0,0,0,0,4015,4009,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9411764705882353,-4.858827031750272,0.038864,0.1,0.118476,0.2,1372,593,1410,33405,37965,37960,0,0,0,0,4148,4143,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9481371087928465,-4.872894527461369,0.038479,0.1,0.117463,0.2,1051,689,1487,33550,38621,38616,0,0,0,0,4025,4025,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9388760310960774,-4.922518958199223,0.0381,0.1,0.116459,0.2,1275,785,1446,33702,38600,38597,0,0,0,0,4059,4068,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9418248438250841,-4.933794027466514,0.03773,0.1,0.115464,0.2,1311,626,1302,33296,37961,37950,0,0,0,0,4111,4119,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.9378030782205355,-4.894780325273928,0.037366,0.1,0.114477,0.2,1438,627,1352,33201,37806,37801,0,0,0,0,3963,3955,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.9375337695863601,-4.9239194932038926,0.03701,0.1,0.113498,0.2,1212,869,1336,33314,38128,38122,0,0,0,0,4092,4085,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9390702393029778,-4.897123071935088,0.03666,0.1,0.112528,0.2,1350,692,1529,33514,38418,38408,0,0,0,0,4050,4070,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9449184479483855,-4.854085086582338,0.036316,0.1,0.111567,0.2,1243,584,1473,33169,37973,37963,0,0,0,0,4089,4089,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.9424416843380794,-4.86238423469068,0.035979,0.1,0.110613,0.2,1233,667,1425,33010,37793,37787,0,0,0,0,4109,4105,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9428673877965696,-4.882358448949316,0.035649,0.1,0.109668,0.2,1349,563,1603,33466,38098,38093,0,0,0,0,4166,4154,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.9379154795821463,-4.931787570234841,0.035324,0.1,0.10873,0.2,1316,776,1473,33696,38470,38461,0,0,0,0,4108,4108,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.9397257834757835,-5.005519532239245,0.035005,0.1,0.107801,0.2,1320,711,1466,33696,38572,38562,0,0,0,0,4111,4103,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.9308271571866535,-5.07091261068254,0.034692,0.1,0.10688,0.2,1323,1001,1357,33597,38458,38453,0,0,0,0,4031,4044,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9389409221902018,-5.0743648709433735,0.034384,0.1,0.105966,0.2,1340,694,1557,33312,38112,38103,0,0,0,0,4039,4034,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9313196691837469,-5.130441061129485,0.034082,0.1,0.10506,0.2,1473,819,1349,33372,38088,38083,0,0,0,0,4034,4034,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9474808884608439,-5.054549721704794,0.033785,0.1,0.104162,0.2,1112,633,1573,33226,38228,38222,0,0,0,0,4013,3993,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
77,0.9307785924188905,-5.095605059438669,0.033493,0.1,0.103272,0.2,1460,872,1471,33689,38566,38559,0,0,0,0,4058,4061,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.9368293422249167,-5.104645457505727,0.033206,0.1,0.102389,0.2,1297,787,1441,32990,38051,38046,0,0,0,0,4075,4086,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9357828633536622,-5.108083984328295,0.032925,0.1,0.101514,0.2,1495,632,1571,33122,37715,37708,0,0,0,0,4109,4114,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.9406163794381989,-5.125500884436807,0.032647,0.1,0.100647,0.2,1288,714,1384,33713,38477,38475,0,0,0,0,4076,4056,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.9428269723940262,-5.161210822421655,0.032375,0.1,0.099786,0.2,1166,729,1486,33145,38132,38129,0,0,0,0,4147,4133,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.9403109301150382,-5.159243316808965,0.032107,0.1,0.098934,0.2,1254,754,1579,33641,38664,38659,0,0,0,0,4058,4055,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9409497800030344,-5.1530996595690866,0.031843,0.1,0.098088,0.2,1177,769,1454,32955,38038,38034,0,0,0,0,4043,4041,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
84,0.9452886628776548,-5.162312951071088,0.031584,0.1,0.09725,0.2,1135,694,1334,33430,38520,38510,0,0,0,0,4070,4080,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
85,0.9385655320930789,-5.204952727339132,0.031329,0.1,0.096418,0.2,1347,707,1563,33434,38163,38157,0,0,0,0,3977,3986,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
86,0.9451617712837335,-5.200070465629619,0.031077,0.1,0.095594,0.2,1196,643,1505,33535,38360,38352,0,0,0,0,4178,4186,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
87,0.9355910887531441,-5.240407141472771,0.03083,0.1,0.094777,0.2,1339,812,1376,33396,38210,38205,0,0,0,0,4117,4127,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
88,0.9407326935844046,-5.2587064210765115,0.030587,0.1,0.093967,0.2,1222,742,1466,33138,37751,37745,0,0,0,0,4054,4055,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
89,0.9420355043780736,-5.2832370415306595,0.030348,0.1,0.093164,0.2,1177,756,1148,33348,38250,38246,0,0,0,0,4162,4163,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
90,0.9423401180296278,-5.323734691307104,0.030112,0.1,0.092368,0.2,1274,641,1264,33212,38041,38037,0,0,0,0,4132,4146,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
91,0.9447977228682171,-5.3411047940222485,0.02988,0.1,0.091578,0.2,1261,562,1465,33024,37685,37678,0,0,0,0,4129,4139,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
92,0.9418521177315147,-5.349697246596475,0.029652,0.1,0.090796,0.2,1291,653,1514,33432,38275,38269,0,0,0,0,4038,4023,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
93,0.9377958890154012,-5.40563418963334,0.029427,0.1,0.09002,0.2,1410,666,1325,33374,38080,38070,0,0,0,0,4073,4073,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
94,0.9387430150814156,-5.382303071601734,0.029205,0.1,0.08925,0.2,1266,773,1430,33286,38134,38128,0,0,0,0,3987,3979,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
95,0.9344806137258967,-5.406643702841729,0.028987,0.1,0.088487,0.2,1317,895,1315,33761,38363,38356,0,0,0,0,4072,4074,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
96,0.9306076295899541,-5.498627500228998,0.028772,0.1,0.087731,0.2,1526,806,1415,33606,38274,38267,0,0,0,0,4084,4076,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
97,0.9420186749666518,-5.540559667268018,0.02856,0.1,0.086981,0.2,1268,688,1268,33735,38492,38487,0,0,0,0,4194,4209,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
98,0.9404429219627993,-5.519865336054742,0.028351,0.1,0.086238,0.2,1251,731,1574,33279,38179,38175,0,0,0,0,4142,4142,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
99,0.9407773723728251,-5.542050513848595,0.028145,0.1,0.085501,0.2,1202,762,1358,33163,37976,37971,0,0,0,0,4167,4156,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
100,0.941488410891974,-5.567895841826847,0.027942,0.1,0.08477,0.2,1200,764,1486,33566,38607,38602,0,0,0,0,4183,4190,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
101,0.9448591737798531,-5.554593749614761,0.027742,0.1,0.084045,0.2,1259,595,1412,33623,38463,38455,0,0,0,0,4130,4127,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
102,0.9453888526920571,-5.568395185367909,0.027545,0.1,0.083327,0.2,1231,613,1276,33766,38754,38749,0,0,0,0,4085,4085,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
103,0.9368977214733871,-5.632740291206097,0.027351,0.1,0.082615,0.2,1415,687,1445,33311,38062,38053,0,0,0,0,4055,4051,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
104,0.9376375423779219,-5.626669654419517,0.02716,0.1,0.081909,0.2,1323,774,1325,33626,38442,38436,0,0,0,0,4104,4116,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
105,0.9381189604465519,-5.64307297097,0.026971,0.1,0.081209,0.2,1335,727,1555,33322,38118,38112,0,0,0,0,4129,4118,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
106,0.937295414276705,-5.675628644017971,0.026784,0.1,0.080515,0.2,1335,753,1462,33299,38123,38118,0,0,0,0,4116,4125,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
107,0.9346803951910487,-5.722000476909111,0.026601,0.1,0.079826,0.2,1321,874,1429,33604,38460,38455,0,0,0,0,4110,4120,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
108,0.941131498470948,-5.709501666953383,0.026419,0.1,0.079144,0.2,1239,686,1329,32700,37539,37531,0,0,0,0,4064,4053,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
109,0.9444009868223118,-5.6619905195531555,0.026241,0.1,0.078468,0.2,1183,665,1266,33238,38063,38057,0,0,0,0,4110,4110,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
110,0.9468965100833233,-5.637284184865459,0.026064,0.1,0.077797,0.2,1228,531,1400,33124,38161,38157,0,0,0,0,4184,4204,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
111,0.9362733365246529,-5.6383768287004346,0.02589,0.1,0.077132,0.2,1343,787,1450,33424,38226,38221,0,0,0,0,4271,4251,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
112,0.9364200132458306,-5.687730441651758,0.025718,0.1,0.076473,0.2,1282,830,1428,33218,38029,38023,0,0,0,0,4123,4123,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
113,0.944349031305553,-5.668467172786875,0.025549,0.1,0.075819,0.2,1273,574,1539,33189,38105,38103,0,0,0,0,4118,4117,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
114,0.9398036617682486,-5.687230866807792,0.025382,0.1,0.075171,0.2,1271,728,1431,33208,38114,38109,0,0,0,0,4120,4119,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
115,0.94119940029985,-5.662582458693752,0.025217,0.1,0.074529,0.2,1249,712,1401,33350,38250,38245,0,0,0,0,3992,4009,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
116,0.9444377376712743,-5.669015304494647,0.025054,0.1,0.073892,0.2,1152,689,1401,33134,38129,38123,0,0,0,0,4135,4120,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
117,0.9404915912031048,-5.6936231965507496,0.024893,0.1,0.07326,0.2,1327,651,1655,33239,38019,38014,0,0,0,0,4149,4136,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
118,0.9389876468815909,-5.691360702700746,0.024734,0.1,0.072634,0.2,1244,781,1485,33190,38037,38031,0,0,0,0,4072,4084,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
119,0.9391032203340256,-5.713221566717882,0.024577,0.1,0.072013,0.2,1313,769,1314,34189,38919,38910,0,0,0,0,4158,4178,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
120,0.943874652393625,-5.6976608820395365,0.024423,0.1,0.071398,0.2,1222,655,1425,33443,38469,38459,0,0,0,0,4132,4121,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
121,0.9390870482017166,-5.7285947257876,0.02427,0.1,0.070787,0.2,1359,692,1433,33671,38534,38530,0,0,0,0,4166,4180,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
122,0.942354753920058,-5.719496077080812,0.024119,0.1,0.070182,0.2,1286,622,1298,33099,38032,38023,0,0,0,0,4182,4182,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
123,0.9360106447320673,-5.740475881842938,0.02397,0.1,0.069583,0.2,1295,821,1465,33068,37925,37920,0,0,0,0,4185,4179,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
124,0.9341813341221713,-5.755630143747751,0.023823,0.1,0.068988,0.2,1544,681,1397,33805,38464,38451,0,0,0,0,4118,4132,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
125,0.9433211700663995,-5.758034444023679,0.023677,0.1,0.068398,0.2,1136,759,1401,33434,38175,38167,0,0,0,0,4133,4125,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
126,0.9392629256365913,-5.77089650229826,0.023533,0.1,0.067814,0.2,1419,618,1352,33538,38414,38399,0,0,0,0,4100,4091,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
127,0.9391213075423601,-5.7887773732202765,0.023391,0.1,0.067234,0.2,1316,714,1381,33345,38230,38227,0,0,0,0,4220,4205,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
128,0.939119667443026,-5.814999561404408,0.023251,0.1,0.066659,0.2,1250,815,1384,33919,38819,38809,0,0,0,0,4208,4197,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
129,0.9384624531779535,-5.812537175502453,0.023113,0.1,0.06609,0.2,1298,772,1459,33638,38675,38667,0,0,0,0,4108,4118,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
130,0.9402053190850693,-5.835432149095685,0.022976,0.1,0.065525,0.2,1330,662,1380,33314,37957,37949,0,0,0,0,4056,4069,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
131,0.9374681647940075,-5.849759404070067,0.02284,0.1,0.064965,0.2,1352,735,1279,33375,38185,38184,0,0,0,0,4133,4150,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
132,0.9414810355207707,-5.855632803236892,0.022707,0.1,0.064409,0.2,1240,704,1362,33220,38283,38278,0,0,0,0,4149,4158,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
