episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
93,0.9262633523344644,-4.113137912406443,-0.8406103304926207,-0.3370395589138261,-0.19379241369375744,-0.23505506114341462,-0.1670679787446737,-0.47771749816260495,-0.008057069250225495,-0.08792041715060103,-0.11392866246631499,-0.0836633943385592,0.002632,0.01,0.0,0.97,100,10,1,11
94,0.928338263796797,-4.1218742014933785,-0.845191489540349,-0.33886418744902025,-0.19484812757226472,-0.2363173539520477,-0.16800310798381327,-0.4802236244286997,-0.008092711233582423,-0.0884322652980694,-0.11454870237618463,-0.08407371877937223,0.002611,0.01,0.0,0.97,100,10,1,11
95,0.927340420155326,-4.13102023697439,-0.8499777645334433,-0.34082606282002426,-0.19597749758800462,-0.23768873710678315,-0.16898665829564913,-0.4831894097773957,-0.008149455138468455,-0.0889850819401305,-0.11523472793285772,-0.08452084689450062,0.002591,0.01,0.0,0.97,100,10,1,11
96,0.9313884660916625,-4.1392258641355175,-0.8541855229938455,-0.3425276967708944,-0.19693047922478116,-0.23888331861249765,-0.1699109756344,-0.4857585967121024,-0.008200935667591771,-0.08947681319621285,-0.11587803480986286,-0.08498299853443732,0.002571,0.01,0.0,0.97,100,10,1,11
97,0.9288954601969153,-4.1477499431671525,-0.8586698987072073,-0.3443644108172179,-0.19795181312709467,-0.24019770380062405,-0.1708022119512473,-0.48855475023378603,-0.008244918336239538,-0.09004863157610092,-0.11655765822029257,-0.0854542992181868,0.002551,0.01,0.0,0.97,100,10,1,11
98,0.9307624890446976,-4.155998971043058,-0.8629446267169901,-0.3461400087718096,-0.19889535229957156,-0.24141215505864352,-0.17161430168725245,-0.4912838511109465,-0.008290885956164385,-0.0906173801001515,-0.11730836325484194,-0.08591003548217102,0.002532,0.01,0.0,0.97,100,10,1,11
99,0.9317606837606838,-4.163901476352392,-0.867075983473044,-0.3478146921672824,-0.19984963849903314,-0.24261318316154815,-0.17239643923801637,-0.49375616741973805,-0.00833194269346811,-0.09106271526698749,-0.11798199416327956,-0.08629778228490798,0.002513,0.01,0.0,0.97,100,10,1,11
100,0.9278379777269464,-4.172533775622705,-0.8715802362067181,-0.34966415247890525,-0.20087358110429887,-0.2439776852042733,-0.17334289643069725,-0.49630598312115787,-0.008377887674394137,-0.091560654800464,-0.11857640896863898,-0.0867513906130995,0.002494,0.01,0.0,0.97,100,10,1,11
101,0.9276300226420195,-4.181063318324001,-0.8759964339484044,-0.35145039065742406,-0.20188158952191243,-0.2452109437178659,-0.1742898894027562,-0.49885200894655757,-0.008421201544494402,-0.0921538792697481,-0.11909677847038258,-0.08719524199343116,0.002475,0.01,0.0,0.97,100,10,1,11
102,0.9312207478485515,-4.189028690081628,-0.8801162460755438,-0.35308496127562444,-0.20285317153507257,-0.24641830445533958,-0.17512099091827418,-0.5010070258393416,-0.008464206008069972,-0.09260694637004967,-0.11952759460794633,-0.08761152372510833,0.002457,0.01,0.0,0.97,100,10,1,11
103,0.9370237409828293,-4.195971751928458,-0.8836299309035197,-0.3545167929920539,-0.20363784570465557,-0.24743111459969314,-0.17582501974126816,-0.5031129332429258,-0.008502778163934677,-0.09294866761824934,-0.12002086028616396,-0.08791352468549324,0.002439,0.01,0.0,0.97,100,10,1,11
104,0.9306359351148239,-4.203910905347155,-0.8878291251624002,-0.3562123543708623,-0.20462023529305617,-0.2486014500474389,-0.1767431952309796,-0.505456531078892,-0.00854580960123831,-0.09341514800169465,-0.12050528044862616,-0.08840891164732934,0.002421,0.01,0.0,0.97,100,10,1,11
105,0.9254282388158989,-4.212610588550969,-0.8923367097346617,-0.35804503175660013,-0.20565673659859857,-0.249874056227242,-0.17767254701295837,-0.5082968777703691,-0.008598654445413358,-0.09397202854638557,-0.12111922893446969,-0.08886019577607303,0.002404,0.01,0.0,0.97,100,10,1,11
106,0.9271637682132545,-4.220827413215087,-0.8966349484009632,-0.35980628053704056,-0.20666593695882285,-0.2510992268958132,-0.1786058799363035,-0.5110263761616942,-0.008656284475928906,-0.0944310560973612,-0.12169312250593307,-0.08929591537603514,0.002386,0.01,0.0,0.97,100,10,1,11
107,0.9240395465952538,-4.229494060040369,-0.9011889711740397,-0.3616832448537817,-0.20769757687736357,-0.25249331918620355,-0.17954884192793072,-0.5134084998765324,-0.008692776976410875,-0.094773947231819,-0.12227236004835085,-0.08971902440052763,0.002369,0.01,0.0,0.97,100,10,1,11
108,0.9277126490375008,-4.237661708714327,-0.9053700295346413,-0.3633974689001896,-0.20859689566767053,-0.2537556737811384,-0.18034901995428457,-0.5159701153427384,-0.00873965413744802,-0.09524482644277099,-0.12297975049334724,-0.09014372580815223,0.002352,0.01,0.0,0.97,100,10,1,11
109,0.9283738706270849,-4.245568348067936,-0.9096181859234816,-0.3651273562438625,-0.20960930903450076,-0.25494571076595857,-0.18123958527682682,-0.5181612895245501,-0.00877560320508643,-0.09568353897069987,-0.1234719077731589,-0.0904792928735813,0.002336,0.01,0.0,0.97,100,10,1,11
110,0.9335634751413003,-4.2526161551127615,-0.9132563784203097,-0.3666212241097403,-0.21041745160200961,-0.25601757757562726,-0.18197464849613043,-0.5202344222901354,-0.008812433285090066,-0.0961303319513374,-0.12399370698046541,-0.09084296265690926,0.00232,0.01,0.0,0.97,100,10,1,11
111,0.9320636966438856,-4.259821286429833,-0.9170146332016726,-0.3681729232265467,-0.21125484464168484,-0.2570688921735814,-0.1827444616424986,-0.5222499472243164,-0.008847384593348141,-0.09659906005970911,-0.12445222859289108,-0.0912751750030853,0.002304,0.01,0.0,0.97,100,10,1,11
112,0.9297821641627093,-4.267374700704784,-0.9208478271960333,-0.36974397136236986,-0.21211277011192203,-0.25818652693054733,-0.18356105731215866,-0.5246868450764586,-0.008890115649921858,-0.09708914618443783,-0.12501601089306483,-0.09166237096073687,0.002288,0.01,0.0,0.97,100,10,1,11
113,0.9298227658086416,-4.2748258968298956,-0.924642915107033,-0.37124253028391574,-0.21299301658990133,-0.2592381668189342,-0.184294769496372,-0.526876095641065,-0.008925535632706984,-0.09738263831796486,-0.12554463349306388,-0.09205093616584334,0.002272,0.01,0.0,0.97,100,10,1,11
114,0.926104821802935,-4.282888089934023,-0.9289760373251347,-0.37300376430397625,-0.21402659524408527,-0.26042365595103195,-0.18516532588728848,-0.5292150151651731,-0.008966862770251395,-0.09782139066270962,-0.1260667581016798,-0.09254146979917888,0.002257,0.01,0.0,0.97,100,10,1,11
115,0.9391654267550386,-4.289037389171255,-0.9321298426537409,-0.3742613215684899,-0.21473769505479345,-0.261345853948441,-0.18582814049121446,-0.5309123648280079,-0.008996954608731868,-0.09818502235774731,-0.12644827784244025,-0.0928824940946781,0.002241,0.01,0.0,0.97,100,10,1,11
116,0.9316159489199837,-4.296078006612544,-0.9357502924348821,-0.37574134240462,-0.2155315546485341,-0.2624494134642878,-0.18653947963680867,-0.5327287246626524,-0.009024550538757187,-0.09848431062348487,-0.12696487976017695,-0.09337814196631618,0.002226,0.01,0.0,0.97,100,10,1,11
117,0.9313016443047866,-4.30321656970067,-0.9394398501465571,-0.37728004713115637,-0.21633440608675084,-0.2635606875807463,-0.1872762396464555,-0.5349722535952108,-0.009069822595233392,-0.09886017914329295,-0.127584806623092,-0.09369604798472377,0.002212,0.01,0.0,0.97,100,10,1,11
118,0.9225175905556768,-4.311323283446165,-0.9437102349007849,-0.3790196848240092,-0.21730833105285483,-0.2647893957349954,-0.1881332812432468,-0.5375588249916742,-0.00910701458096987,-0.09920596752150822,-0.1282821978079966,-0.09418028323467396,0.002197,0.01,0.0,0.97,100,10,1,11
119,0.9323041967388399,-4.318204701159321,-0.947344101316936,-0.38045010037401134,-0.21817156260825007,-0.26580037823034613,-0.18884845219655044,-0.5395695176067967,-0.009140169145032401,-0.09956361712836163,-0.12877729486019993,-0.09456913395310787,0.002182,0.01,0.0,0.97,100,10,1,11
120,0.9297133175649607,-4.325412580696835,-0.95107186169579,-0.38199332059552626,-0.2190075583420039,-0.2669451417058482,-0.18957509655208046,-0.5418017210695484,-0.009174910266718028,-0.09992645845587837,-0.12943063953927555,-0.09488357504446732,0.002168,0.01,0.0,0.97,100,10,1,11
121,0.933229056292783,-4.331991873436719,-0.954473214805879,-0.38340377848219653,-0.21976886000318016,-0.2679603408519721,-0.19029527085091186,-0.5437026374424333,-0.009206979462914568,-0.10025422589418118,-0.12993604716662216,-0.09526691176533189,0.002154,0.01,0.0,0.97,100,10,1,11
122,0.9273528071685313,-4.339294178540693,-0.9582259194412156,-0.38492761104646045,-0.22064002029410054,-0.2690382089523854,-0.19106832501888002,-0.5459459155061464,-0.009241904917845002,-0.10072602778903604,-0.13041685972447958,-0.09560977747739574,0.00214,0.01,0.0,0.97,100,10,1,11
123,0.9316905175872676,-4.346038102079832,-0.9617282223727206,-0.38636572757908433,-0.221408984675431,-0.27005136862973944,-0.19178553171842405,-0.5479116387229518,-0.009270548146963625,-0.10110942696275364,-0.1308743172615018,-0.09594211123280283,0.002127,0.01,0.0,0.97,100,10,1,11
124,0.9267433828113154,-4.353378815146993,-0.9655065165402631,-0.387968156673157,-0.22220362769511057,-0.2712460009185121,-0.19251311675640467,-0.5503155228931882,-0.00930802356010836,-0.10158995661417354,-0.1314299957252879,-0.09632981980640803,0.002113,0.01,0.0,0.97,100,10,1,11
125,0.9288417479847264,-4.360310284959287,-0.9690903559674993,-0.3894272747567838,-0.22302454596580046,-0.27227655231893955,-0.19326141926223966,-0.5522881263618319,-0.009349727155276625,-0.10193384163163838,-0.13190221202323243,-0.0966923310264786,0.0021,0.01,0.0,0.97,100,10,1,11
126,0.9241060159865376,-4.367867531643814,-0.9730489227410393,-0.39107870292763575,-0.2239280528618588,-0.273435630924662,-0.19403463840782262,-0.5545484712666284,-0.009385622571558375,-0.1023969888970112,-0.1324240774250985,-0.09712800250955816,0.002087,0.01,0.0,0.97,100,10,1,11
127,0.9296565445379285,-4.374647874543701,-0.9765326591908124,-0.39247408147886936,-0.22473501532452228,-0.2743681540570846,-0.19475446423244186,-0.5565970147168923,-0.009425450074570015,-0.10280178540633397,-0.1328618848307746,-0.09748066056655401,0.002074,0.01,0.0,0.97,100,10,1,11
128,0.9278760249152515,-4.381681605689916,-0.9801903978062956,-0.39398897262003263,-0.22557890786059262,-0.2754994937695174,-0.19551944882444858,-0.558565190169827,-0.009462668838913686,-0.10317556944349786,-0.13329341264678052,-0.09791725598323538,0.002061,0.01,0.0,0.97,100,10,1,11
129,0.9280632411067193,-4.388596050452607,-0.9837698557192486,-0.39545818537523,-0.22636864431432435,-0.2765308141545821,-0.19629398166548795,-0.5605778043957053,-0.009493050391925962,-0.10360640155963169,-0.13367295544042326,-0.09834115616352998,0.002048,0.01,0.0,0.97,100,10,1,11
130,0.9278195237059227,-4.395522303575897,-0.98738978923309,-0.3969354426860877,-0.2271839333890983,-0.27755359855529854,-0.1970192872493837,-0.5625966529746291,-0.009526814797281975,-0.10403206300679917,-0.13415040607997508,-0.09868963506995979,0.002035,0.01,0.0,0.97,100,10,1,11
131,0.9265518635842825,-4.402514547505264,-0.9910352876640846,-0.39843334183431844,-0.2279747775355905,-0.27860631257743196,-0.19778596026198422,-0.5649045179430308,-0.009563685773797619,-0.10455086585663938,-0.13468125565944053,-0.09906368366357814,0.002023,0.01,0.0,0.97,100,10,1,11
132,0.9296673045288213,-4.409084063534664,-0.9944828439453446,-0.39985269084199837,-0.22875670976798104,-0.2796257313125075,-0.19846573933970807,-0.566760845608151,-0.009593589112531501,-0.10494047194238784,-0.13510853442575002,-0.09935133181341825,0.002011,0.01,0.0,0.97,100,10,1,11
133,0.9294153389143938,-4.415588270437552,-0.9978576787050519,-0.401226694577982,-0.22953171378621434,-0.28059283433584103,-0.19916854774222623,-0.5686058293273155,-0.009626158751196212,-0.10528414691364978,-0.13554295369231806,-0.09972718130285434,0.001999,0.01,0.0,0.97,100,10,1,11
134,0.930154306301407,-4.422083837846382,-1.0012206683181832,-0.40260607314653774,-0.23027539509909573,-0.28157993542203064,-0.1998407409115093,-0.5706254959565061,-0.009658853763161897,-0.10566359701308894,-0.13602735480512423,-0.10001527565524033,0.001987,0.01,0.0,0.97,100,10,1,11
135,0.9286509274873525,-4.428529184750076,-1.0046430056526834,-0.4039934140835614,-0.23108261997086868,-0.2825433899309974,-0.20050903401598244,-0.5725485697694837,-0.009691197511195782,-0.10609015406859063,-0.1364740379937516,-0.10034659630572597,0.001975,0.01,0.0,0.97,100,10,1,11
136,0.9340941512125535,-4.434481706188191,-1.0076813594594876,-0.40521199895968757,-0.231762049078847,-0.2834627695054334,-0.2011175298485286,-0.5742457362318012,-0.009721761931114134,-0.10639722599324707,-0.13687724740955326,-0.1007099652327585,0.001963,0.01,0.0,0.97,100,10,1,11
137,0.9387748181556147,-4.439739388486731,-1.010359049578311,-0.4062692406541374,-0.23238784727373535,-0.2842061971755984,-0.20166346067566532,-0.575487693143885,-0.009744792687114704,-0.10660225281258867,-0.13719581416809093,-0.10092644287720669,0.001952,0.01,0.0,0.97,100,10,1,11
138,0.9301451464048998,-4.446058810830581,-1.0136303819528958,-0.4076259754198113,-0.23311441087465046,-0.28518288977245837,-0.2023768752384444,-0.5773335977044446,-0.009776409807304166,-0.10697177178813488,-0.13760855284991902,-0.10125464443556328,0.00194,0.01,0.0,0.97,100,10,1,11
139,0.9253103757749007,-4.4530334545705985,-1.0172001791741652,-0.40905739175559225,-0.23392985311734182,-0.2862240528897055,-0.20312853428431824,-0.5794961760628193,-0.009804073709259693,-0.10735191772053151,-0.13816277721511883,-0.10154830038716771,0.001929,0.01,0.0,0.97,100,10,1,11
140,0.9274203094614019,-4.459537481744722,-1.020574896419181,-0.41040724758717906,-0.23471608280729497,-0.28714219050594997,-0.2038227692344844,-0.5813550301253488,-0.00983486101066304,-0.10762070773318257,-0.1386711029048879,-0.10189774386183645,0.001918,0.01,0.0,0.97,100,10,1,11
141,0.9297645909810393,-4.465692573889802,-1.0237705248945226,-0.4116809682944535,-0.23545314421051863,-0.2880723448859164,-0.2044565979567288,-0.5830825938910982,-0.00986825804034252,-0.1079719168124532,-0.13904509232241852,-0.10220938502345178,0.001907,0.01,0.0,0.97,100,10,1,11
142,0.9288517661265976,-4.4719969263885435,-1.0269878342727978,-0.4129927470799033,-0.2361541143749257,-0.2890314155269224,-0.20510541392253656,-0.5851912406101013,-0.009905813089894687,-0.10842184964240802,-0.13951493714931354,-0.1024831321426727,0.001896,0.01,0.0,0.97,100,10,1,11
143,0.9272232182119542,-4.478443981236668,-1.0303587721428233,-0.41438683012862765,-0.23692363550466086,-0.2900610198498097,-0.20583311859332357,-0.5871174235568216,-0.009942673316067277,-0.1087219831754171,-0.14003184459790494,-0.10284370079810357,0.001885,0.01,0.0,0.97,100,10,1,11
144,0.9328916759381005,-4.484195365177538,-1.033349584569678,-0.41559040341658793,-0.23761874765577712,-0.2909489180060282,-0.20644893197431818,-0.5886561371190008,-0.009970327448447638,-0.10903860299904909,-0.14034834344215724,-0.10313520546174529,0.001875,0.01,0.0,0.97,100,10,1,11
145,0.9307140692859307,-4.48997865311354,-1.0363579141474968,-0.41686042161585013,-0.23826578350006325,-0.29185317287460516,-0.20707572204185998,-0.5906140981224274,-0.010004661859761925,-0.10943561594876382,-0.14081830074520563,-0.10342333475902832,0.001864,0.01,0.0,0.97,100,10,1,11
146,0.9308817088373034,-4.495897063996966,-1.039466218047116,-0.4181278045544352,-0.23898152439987533,-0.2927498803007579,-0.20772423673910198,-0.5921699290746449,-0.010037776295565678,-0.10971889630420008,-0.14120096770701762,-0.10370212037093043,0.001854,0.01,0.0,0.97,100,10,1,11
147,0.9347631209512373,-4.501254022050318,-1.0422603628267022,-0.41924244739229877,-0.23964881874774874,-0.29352721173185564,-0.20833370552599192,-0.5935535766876258,-0.01006352885236175,-0.1099574596544919,-0.14150405182514156,-0.10399710094365047,0.001843,0.01,0.0,0.97,100,10,1,11
148,0.9245610158255282,-4.5076869745084505,-1.045551058439094,-0.4205466111546318,-0.24046309533004132,-0.294430421596893,-0.20905730956877924,-0.5952776684050272,-0.010094661530104429,-0.11024986287305306,-0.14187539361105778,-0.10432160652144093,0.001833,0.01,0.0,0.97,100,10,1,11
149,0.9328640311822718,-4.513336421734629,-1.0484505722903534,-0.42174096341246814,-0.24110525337918856,-0.2953073599550732,-0.20964281164354823,-0.5968697039948523,-0.010122052284400596,-0.11056996823272994,-0.14225121809109895,-0.10469191805464864,0.001823,0.01,0.0,0.97,100,10,1,11
150,0.9332709962597756,-4.518771784064718,-1.0512405152375024,-0.42288934985769117,-0.2417064373424069,-0.2961528086482713,-0.21019213758646055,-0.5985262369320408,-0.010146092673903099,-0.11083820432282923,-0.14273911351345303,-0.10495959879513364,0.001813,0.01,0.0,0.97,100,10,1,11
151,0.923258302953276,-4.525375582802054,-1.0547184240451888,-0.4243283112376325,-0.2425103955016336,-0.2971305168485133,-0.21088565714923224,-0.6005507133057774,-0.01018094996144569,-0.11120741498170039,-0.14327672039264738,-0.10521983556077526,0.001803,0.01,0.0,0.97,100,10,1,11
152,0.9258999415351207,-4.531648934958054,-1.0579576975640947,-0.42565413629540083,-0.24322860206770044,-0.29807555795092994,-0.21155796665927598,-0.6026373252097628,-0.010215950470987863,-0.11149202736667176,-0.143822648479006,-0.10552847219668056,0.001794,0.01,0.0,0.97,100,10,1,11
153,0.9308542512817098,-4.537432571831562,-1.0609281384998843,-0.4268450673375239,-0.24390734317600424,-0.29890894508946125,-0.2121931478584983,-0.6043592296951582,-0.010245544942702562,-0.11180771045680939,-0.14423445034070692,-0.1058001869193652,0.001784,0.01,0.0,0.97,100,10,1,11
154,0.9324450366422385,-4.542980328703914,-1.0637906439814095,-0.4279980074171766,-0.24456336079771135,-0.29974700952040634,-0.21280874342446612,-0.605979336484161,-0.010272213178748555,-0.11221107573988383,-0.14454778248568873,-0.10611059170099664,0.001774,0.01,0.0,0.97,100,10,1,11
155,0.9285893092571886,-4.5489197784172415,-1.0668827946552575,-0.4292788187930505,-0.24524793349146343,-0.3006189570333163,-0.21344045281172244,-0.6079280135850137,-0.010305151896901725,-0.11258657863413285,-0.14500627520433965,-0.10639072678935839,0.001765,0.01,0.0,0.97,100,10,1,11
156,0.932139826913287,-4.55424346385913,-1.06964382105915,-0.4304216888176017,-0.24586885947341705,-0.3013901986328282,-0.2140280048713316,-0.609620026666528,-0.010334733187194531,-0.11290937859647221,-0.1453923603880342,-0.10671811198388624,0.001756,0.01,0.0,0.97,100,10,1,11
157,0.9304437182035645,-4.559758885054104,-1.0724847392696737,-0.43159812423863225,-0.24649126755618975,-0.3021816279968537,-0.2145953493083371,-0.6113930279799279,-0.01036768793789306,-0.11322207713454695,-0.1458546041922545,-0.1070353048207379,0.001746,0.01,0.0,0.97,100,10,1,11
158,0.9354073425985127,-4.564777282795511,-1.0750687633050622,-0.43263402148764407,-0.247087723998329,-0.302900111658605,-0.2151544522636083,-0.6127807094956956,-0.010389998124315677,-0.1134899307746723,-0.14620483514356739,-0.10732332704675732,0.001737,0.01,0.0,0.97,100,10,1,11
159,0.9268127016471387,-4.570589801604649,-1.078120788548173,-0.4338975537967998,-0.24778236785698626,-0.30383487779496976,-0.21580096685205427,-0.6145726490886704,-0.010418802022390428,-0.11393330277132734,-0.1466451459117465,-0.10764281277545515,0.001728,0.01,0.0,0.97,100,10,1,11
160,0.9259296719598126,-4.576519854111957,-1.0812278000961018,-0.4351505491988711,-0.24849834556203265,-0.30473083590849825,-0.2164438883399704,-0.6163087561000309,-0.010450404861638264,-0.11424988050024677,-0.14703214307201565,-0.10794813501337207,0.001719,0.01,0.0,0.97,100,10,1,11
161,0.919004425895697,-4.583165868839224,-1.0847995686735101,-0.43662232990359456,-0.24934382803311148,-0.30575859102595615,-0.21714941327748755,-0.6181208812712309,-0.010481362834027131,-0.1145668096402059,-0.14744529993340327,-0.10833722812989414,0.001711,0.01,0.0,0.97,100,10,1,11
162,0.9333052418675206,-4.588263967193471,-1.087428292220825,-0.43770344694813007,-0.24994008119087252,-0.306594252748141,-0.21770550363486368,-0.6195984916189338,-0.010501423604295528,-0.11484886417191172,-0.14775625220196528,-0.1085880315639099,0.001702,0.01,0.0,0.97,100,10,1,11
163,0.9301901140684411,-4.593668242325864,-1.0902490495173025,-0.4388596259036027,-0.250561949336879,-0.3074218280542266,-0.21828044627563636,-0.6213512087889116,-0.010525565814645803,-0.11513142682967231,-0.1482210441305488,-0.10887438015265272,0.001693,0.01,0.0,0.97,100,10,1,11
164,0.9232563603410082,-4.599762604158651,-1.0934501187784451,-0.44021107596814396,-0.25124343688329,-0.3084080771861964,-0.21889796364014874,-0.6233308447855814,-0.010559466233133167,-0.11547637538757237,-0.14879257953218045,-0.10918226334198115,0.001685,0.01,0.0,0.97,100,10,1,11
165,0.9304527717976319,-4.605106932286847,-1.0961760607320974,-0.44133341075859084,-0.25185357736381553,-0.3092545788040207,-0.21950469802825429,-0.6248227722223896,-0.010582401752404595,-0.11574348184727117,-0.14914453086664167,-0.10945092824223854,0.001676,0.01,0.0,0.97,100,10,1,11
166,0.9307462887761808,-4.610425112771342,-1.0990224169196494,-0.44251012372673215,-0.2525110090163935,-0.31003428919754533,-0.22009278242970287,-0.6263550645991653,-0.010610252975152463,-0.11598228716953199,-0.14958942941493103,-0.10967977788944132,0.001668,0.01,0.0,0.97,100,10,1,11
167,0.9259463894051266,-4.616091659924458,-1.1019818044013805,-0.4437607519207731,-0.25318221642997096,-0.3109331908813619,-0.2206529495135744,-0.6281260449976801,-0.010635709961817197,-0.11628308753415709,-0.1500330884506137,-0.10998726345633876,0.001659,0.01,0.0,0.97,100,10,1,11
168,0.9297464712453034,-4.62138556742765,-1.1047379632677627,-0.44483973171711666,-0.2538375918989322,-0.31169064512878386,-0.2212073164583698,-0.6295891606476959,-0.010658714346890048,-0.11656678072811853,-0.15037687678110973,-0.11025802163916217,0.001651,0.01,0.0,0.97,100,10,1,11
169,0.9302555178126203,-4.6266232921184605,-1.1074667612676918,-0.4459757982971774,-0.25445212968449804,-0.31254275508207524,-0.22176010300604354,-0.6310633818860814,-0.010681669935495477,-0.11687929057026704,-0.15071475008560084,-0.11054564323205437,0.001643,0.01,0.0,0.97,100,10,1,11
170,0.9294076210921777,-4.6319146217161915,-1.1102710034048406,-0.4471278251421897,-0.2551196948365433,-0.31333847099286355,-0.22234845051431446,-0.6325405064370816,-0.010711147887831136,-0.11716334668986937,-0.1510744037119367,-0.11085204990837731,0.001635,0.01,0.0,0.97,100,10,1,11
171,0.9346126994397806,-4.636615336917055,-1.11267637995781,-0.4481142838210679,-0.25567180442554877,-0.31404758734713567,-0.22285561089326056,-0.6338555799197049,-0.01073685616033367,-0.11740624950214568,-0.1514129157783332,-0.11106988826209152,0.001627,0.01,0.0,0.97,100,10,1,11
172,0.9262277288894084,-4.642240813893994,-1.1155834792161687,-0.4492983865157707,-0.2563264230256738,-0.3148902637856125,-0.22348179193107,-0.6355892293927974,-0.010772794420602366,-0.11778491021651868,-0.1517771612361272,-0.11137287785471645,0.001619,0.01,0.0,0.97,100,10,1,11
173,0.9302613548184715,-4.647443254341183,-1.1183112783711109,-0.45043052438451436,-0.25693761746570976,-0.3157176307861268,-0.22404773880354376,-0.6372536782393452,-0.010802007130831882,-0.11813368953904566,-0.1521877184260538,-0.11161023660651155,0.001611,0.01,0.0,0.97,100,10,1,11
174,0.9334151838272394,-4.652242695852044,-1.1208376238553976,-0.45144391003788126,-0.25755063749466717,-0.3164203024196527,-0.22458678180412636,-0.6386261594185768,-0.0108274634951467,-0.1183913439221584,-0.15252124191619498,-0.11181427324617356,0.001603,0.01,0.0,0.97,100,10,1,11
175,0.9288383812761064,-4.657360071966709,-1.123487151306435,-0.45252651947933953,-0.2581626499005835,-0.3171915263860675,-0.2251329317867217,-0.6400802005537541,-0.010846240112838561,-0.11863083697106075,-0.15291112186134975,-0.11206903685634471,0.001596,0.01,0.0,0.97,100,10,1,11
176,0.9295146774329212,-4.662480547642158,-1.1261696320424972,-0.45360759398802875,-0.2587955705383027,-0.317956733120823,-0.225675498083851,-0.6415544678461658,-0.010869032055756175,-0.11889477952877513,-0.15325401956463072,-0.11231107086801288,0.001588,0.01,0.0,0.97,100,10,1,11
177,0.9252400320042672,-4.668027864898741,-1.1290237211890142,-0.4547973998896897,-0.2594378186161082,-0.3188039712301241,-0.22627620436805151,-0.6433032912802685,-0.010896922093316294,-0.11929113956557448,-0.15363217878809643,-0.11262231320466216,0.00158,0.01,0.0,0.97,100,10,1,11
178,0.9293094992474337,-4.6730712002887005,-1.131648689147185,-0.45586845819988436,-0.2600470265595851,-0.31960966786153966,-0.22684084360502701,-0.6446907857226654,-0.01092370909317306,-0.11957891897349049,-0.15393097263544678,-0.11287386224405176,0.001573,0.01,0.0,0.97,100,10,1,11
179,0.9321985046031773,-4.677848270130961,-1.1341513926040618,-0.4568947893497476,-0.2606040389575771,-0.32031782851339,-0.2273327826340424,-0.6460418114950034,-0.010951967249377997,-0.11986377630324839,-0.15422061577569995,-0.11320964739142615,0.001565,0.01,0.0,0.97,100,10,1,11
180,0.9314471522912406,-4.682778835502175,-1.1367464659115702,-0.4579339527072352,-0.2612188500638307,-0.321072571319988,-0.2278882270036715,-0.647272387443474,-0.010976073777152168,-0.12005179442498844,-0.1545462868327208,-0.11347800558885915,0.001558,0.01,0.0,0.97,100,10,1,11
181,0.9273760709404274,-4.68804237902443,-1.1394845490413965,-0.459064931306005,-0.2618281441736722,-0.32187841825717994,-0.2284721479906323,-0.6489650417516862,-0.011002952994144215,-0.1204190510523985,-0.1548798876856646,-0.11374697074006722,0.001551,0.01,0.0,0.97,100,10,1,11
182,0.9270606375490229,-4.693230420563778,-1.1422280230273265,-0.4601969140158536,-0.26247286043277746,-0.3226991010557204,-0.22901772606475912,-0.650308068792193,-0.01103093687247561,-0.12071786543182453,-0.1551663283088504,-0.1140087157795988,0.001544,0.01,0.0,0.97,100,10,1,11
183,0.9333479833665776,-4.697770051410825,-1.144604285346423,-0.46116269614347105,-0.2630315906834115,-0.32338579623833313,-0.22949675784920717,-0.6515503137443325,-0.011053853680882788,-0.12090556274858377,-0.15547579616457285,-0.11425293697973914,0.001536,0.01,0.0,0.97,100,10,1,11
184,0.9301946120506501,-4.702525762267411,-1.1469894580836593,-0.46212785533467243,-0.263599733764344,-0.32411393252252013,-0.23003170520034302,-0.6529418160105976,-0.011080437682977057,-0.1212268222895419,-0.15574005877818245,-0.11448300308746553,0.001529,0.01,0.0,0.97,100,10,1,11
185,0.9263735523835174,-4.707709717751252,-1.149788105868837,-0.46327739429459897,-0.2642587883634566,-0.3249219522694404,-0.23061113524475438,-0.6544430922693151,-0.011105254861167525,-0.1215013275715463,-0.15615537252050454,-0.11476053250679619,0.001522,0.01,0.0,0.97,100,10,1,11
186,0.931393035657567,-4.712119748280251,-1.1520535598434558,-0.46423366264131155,-0.26477406950298077,-0.32561163472731874,-0.23108944872808082,-0.6556922749953875,-0.011131614244144297,-0.12177249772758345,-0.15644010646541542,-0.11496966611674346,0.001515,0.01,0.0,0.97,100,10,1,11
187,0.9352534990123416,-4.716470972417968,-1.1542850451008204,-0.46515045436682056,-0.26527683422288995,-0.32626355401080037,-0.2315467793805752,-0.6569652687639271,-0.011154597977709495,-0.12199576465182636,-0.1567334385045416,-0.11518476334255542,0.001509,0.01,0.0,0.97,100,10,1,11
