episode,service_level,rebalancing_imbalance,squared_starvation_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
59,0.9409951962294933,-3.1156164304925285,-2.895446685613943,-1.8273516843420983,-2.897061933172487,0.039659,0.1,0.120527,0.2,1246,707,1188,33099,37942,37932,0,0,0,0,3805,3805,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9467838545585889,-3.1049642911761075,-2.8909884047841876,-1.808098840798822,-2.8924958067938773,0.039258,0.1,0.119497,0.2,1170,598,1196,33223,38281,38276,0,0,0,0,3811,3814,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9468201917084607,-3.12113459682199,-2.9140794946962263,-1.7859359396809715,-2.871371131447663,0.038864,0.1,0.118476,0.2,1161,631,1208,33697,38468,38461,0,0,0,0,3793,3796,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9390761396702231,-3.4226383163460135,-2.9954797984005186,-1.8262540129039555,-2.9358059883529086,0.038479,0.1,0.117463,0.2,1412,598,1379,32992,37702,37694,0,0,0,0,3810,3810,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.939876791849307,-3.385175026313666,-2.9901838918103754,-1.849282195074553,-2.9682583058711334,0.0381,0.1,0.116459,0.2,1395,635,1408,33764,38542,38538,0,0,0,0,3835,3830,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9421172657984757,-3.5009616919674653,-3.0043067715387433,-1.8270534405907448,-2.951778760633965,0.03773,0.1,0.115464,0.2,1273,656,1118,33326,38029,38026,0,0,0,0,3830,3829,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.9449629965262045,-3.305730906293473,-2.9432631434845566,-1.77571731042181,-2.922401636829118,0.037366,0.1,0.114477,0.2,1146,676,1199,33105,38002,37994,0,0,0,0,3767,3752,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.9453649392271876,-3.3137997152091194,-2.9361573607296454,-1.815212860648995,-2.9269208346944633,0.03701,0.1,0.113498,0.2,1170,637,1141,33074,37930,37929,0,0,0,0,3853,3846,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9333432569217028,-3.4137114918644844,-2.9732034718272793,-1.799362723213672,-2.9676604730407004,0.03666,0.1,0.112528,0.2,1455,784,1248,33590,38389,38382,0,0,0,0,3895,3909,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9396662772235703,-3.5974561158591554,-3.03151620192602,-1.8854266591856812,-3.018512836767464,0.036316,0.1,0.111567,0.2,1232,782,1252,33381,38196,38187,0,0,0,0,3745,3765,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
