,screening_group,family,high_means,expected_sign,priority,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,fraction_zero,p99_abs,near_constant,sparse,poor_scaling,max_abs_target_corr,weak_signal,vif,vif_flag,vif_serious,recommendation_flag
depot_idle_fraction,maintenance,depot_pipeline,many repaired bikes are waiting idle at the depot,negative,medium,365473.0,0.01397799700498581,0.01995306834578514,0.0,0.0,0.0,0.0,0.0,0.02604166604578495,0.0520833320915699,0.078125,0.1085069477558136,0.5478681051678236,0.078125,False,False,False,0.1536232532441942,False,36.60197299483014,True,True,vif;vif_serious;
fleet_failure_risk,maintenance,degradation,currently functional bikes have high expected trip-failure exposure,negative,medium,365473.0,0.013828706927597523,0.00042277786997146904,0.012968461960554123,0.013004702515900135,0.013108504004776478,0.013494011014699936,0.013884371146559715,0.014176268130540848,0.014442774467170238,0.014489752240478992,0.01452143769711256,0.0,0.014489752240478992,False,False,False,0.8563506774850275,False,8.679076489188203,False,False,
fleet_low_health_fraction,maintenance,degradation,many currently functional bikes exceed the near-failure risk threshold,negative,medium,365473.0,0.9993278384208679,0.0010498667834326625,0.991150438785553,0.9957143068313599,0.9971387982368469,0.9985954761505127,1.0,1.0,1.0,1.0,1.0,0.0,1.0,False,False,False,0.14166842937436347,False,1.9127144162873826,False,False,
maintenance_restoration_value,maintenance,immediate_repair_opportunity,the candidate action restores valuable broken bikes,positive,high,365473.0,0.0023266987409442663,0.006319902371615171,0.0,0.0,0.0,0.0,0.0,0.0,0.013100973330438137,0.0295412540435791,0.08325905352830887,0.8395941697471496,0.0295412540435791,False,False,False,0.1030222692988882,False,1.842428338340271,False,False,
onsite_shortage_pressure,maintenance,immediate_repair_opportunity,"on-site broken bikes remain at shortage-prone, high-demand stations",negative,high,365473.0,0.07191379368305206,0.0359266959130764,0.0,0.0008973884256556634,0.017184901237487803,0.0461910255253315,0.06897974014282227,0.09582657366991043,0.1354013979434967,0.16676171243190763,0.21197965741157532,0.002911295772875151,0.16676171243190763,False,False,False,0.6250690339450647,False,2.8217349630901722,False,False,
depot_shortage_pressure,maintenance,depot_backlog,"depot-bound broken bikes remain at shortage-prone, high-demand stations",negative,high,365473.0,0.10203384608030319,0.054149553179740906,0.0,0.0004600760876201093,0.01859507001936436,0.062391120940446854,0.09767312556505203,0.13823722302913666,0.19839145243167877,0.24041106760501832,0.33214429020881653,0.003100092209274009,0.24041106760501832,False,False,False,0.7381482613212166,False,3.584666070222248,False,False,
current_station_onsite_shortage_pressure,maintenance,immediate_repair_opportunity,the current station still has unrepaired on-site bikes and shortage pressure,negative,high,365473.0,0.0030303983949124813,0.015649553388357162,0.0,0.0,0.0,0.0,0.0,0.0,0.015432098880410194,0.07575757801532745,0.3076923191547394,0.8463525349341812,0.07575757801532745,False,False,False,,True,1.1997183347141045,False,False,weak_signal;
current_station_depot_shortage_pressure,maintenance,depot_removal_opportunity,the current station still has depot-bound bikes and shortage pressure,negative,medium,365473.0,0.004425040911883116,0.020263493061065674,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.10526315867900848,0.5,0.7564963759292752,0.10526315867900848,False,False,False,0.04523451177168903,False,1.2183350328784694,False,False,
broken_cargo_distance_pressure,maintenance,vehicle_logistics,the vehicle is carrying broken bikes far from the depot,negative,high,365473.0,0.0017029474256560206,0.0021005882881581783,0.0,0.0,0.0,0.0,0.0009816018864512444,0.0025540038477629423,0.005971816368401051,0.009520873427391052,0.02257537469267845,0.30396226260216214,0.009520873427391052,False,False,False,0.17065194982976742,False,2.412105990449962,False,False,
late_broken_cargo_pressure,maintenance,vehicle_logistics,the vehicle carries broken bikes late in the shift while not routing to the depot,negative,high,365473.0,0.09165874868631363,0.10953224450349808,0.0,0.0,0.0,0.0,0.04461395740509033,0.15232117474079132,0.3232105731964111,0.4049120426177969,0.7708408236503601,0.30396226260216214,0.4049120426177969,False,False,False,0.17830749838678722,False,5.979913840952061,False,False,
repaired_idle_away_pressure,maintenance,depot_pipeline,repaired bikes wait at depot while the candidate route avoids depot,negative,high,365473.0,0.0126907704398036,0.019409727305173874,0.0,0.0,0.0,0.0,0.0,0.0217013880610466,0.0520833320915699,0.078125,0.0998263880610466,0.5887986253430486,0.078125,False,False,False,0.15744755416987813,False,14.759290021744649,True,False,vif;
depot_pipeline_pressure,maintenance,depot_pipeline,many bikes are unavailable in the depot pipeline,negative,medium,365473.0,0.17428180575370789,0.06144621595740318,0.0,0.0086805559694767,0.0477430559694767,0.1432291716337204,0.1779513955116272,0.2170138955116272,0.2647569477558136,0.2821180522441864,0.3038194477558136,0.0023038637601136064,0.2821180522441864,False,False,False,0.9266346170106485,False,137.1199714476574,True,True,vif;vif_serious;
depot_queue_pickup_opportunity,maintenance,depot_pipeline,the candidate route can pick up repaired depot bikes with available vehicle space,positive,medium,365473.0,0.00046539944014512,0.0037698785308748484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01953125,0.0868055522441864,0.9752977648143638,0.01953125,False,True,False,0.050396864980460684,False,1.8706948711324403,False,False,sparse;
degradation_demand_exposure,maintenance,degradation,high fleet failure risk coincides with future starvation pressure,negative,low,365473.0,0.002199516398832202,0.001154662691988051,4.27883023803588e-05,0.0003360689466353506,0.0005904957419261337,0.0013477816246449947,0.0020225842017680407,0.002876437269151211,0.004360695648938417,0.005319368764758108,0.008436351083219051,0.0,0.005319368764758108,False,False,False,0.039820555304539845,False,1330.6191191225746,True,True,vif;vif_serious;
