episode,service_level,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
26,0.9326175379830123,-5.311364243863235,-4.385327612320171,-1.1496044925589726,-0.7334258537367794,0.068076,0.1,0.171096,0.2,1392,861,1357,33436,37969,37964,0,0,0,0,3425,3426,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9384194217983816,-5.370012376959436,-4.4279316918807545,-1.1612824509846322,-0.739825674532058,0.067251,0.1,0.170072,0.2,1418,629,1366,33241,38007,38002,0,0,0,0,3508,3526,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.928965990863217,-5.502864280250819,-4.526021698313973,-1.1917608128301094,-0.7601134634629555,0.066445,0.1,0.169054,0.2,1648,731,1347,33491,37998,37988,0,0,0,0,3452,3471,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9363663573780305,-5.586062558857967,-4.5883085332400215,-1.2162887162077773,-0.7738164224949221,0.065658,0.1,0.168042,0.2,1366,760,1202,33410,38126,38118,0,0,0,0,3411,3404,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9339260334452206,-5.660330915746614,-4.639400559610629,-1.2375932669307077,-0.7837231824924447,0.064889,0.1,0.167037,0.2,1486,699,1402,33069,37723,37718,0,0,0,0,3395,3410,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.934163217210019,-5.718513523359382,-4.682924879442192,-1.242554650502126,-0.795319444003798,0.064139,0.1,0.166037,0.2,1427,752,1280,33097,37918,37912,0,0,0,0,3485,3483,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.936606234667624,-5.793003362446844,-4.732035310352133,-1.2619693813700994,-0.8034360836398574,0.063405,0.1,0.165043,0.2,1355,764,1374,33426,38216,38207,0,0,0,0,3451,3443,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9366467065868264,-5.875888818919523,-4.792182038365052,-1.2858339029671402,-0.8179615998209342,0.062688,0.1,0.164055,0.2,1382,734,1250,33400,38348,38344,0,0,0,0,3451,3451,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9345691173397809,-5.975523998306458,-4.8590829365304,-1.310547104368557,-0.8296992662533679,0.061988,0.1,0.163073,0.2,1496,696,1373,33501,38179,38172,0,0,0,0,3507,3505,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9404192160901436,-6.020985181982655,-4.888344362164181,-1.3255920203349187,-0.8402444665031021,0.061302,0.1,0.162097,0.2,1248,719,1373,33014,38068,38060,0,0,0,0,3494,3514,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
