episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl,bypass_mean_deficit,bypass_pct_same,mean_v_pred,n_step_terminal,reward_ema_mean,grad_norm
22,0.365925,0.000975,0.4737,0.0005,0.8848,24342,400,4832.5,1.485711,-3.30515,0.0,0.0,4.0635,2.6,22.59,8.6,,0.7344,0.0,-0.75548,0,-2.8019,0.9976
23,0.392285,0.000974,0.4725,0.0005,0.8908,25000,400,5047.6,1.284811,-3.21674,0.0,0.0,3.9169,2.2,22.51,6.6,,0.7196,0.0,-0.17747,0,-2.5043,0.9998
24,0.380834,0.000973,0.4712,0.0005,0.8899,25000,400,5262.5,1.276545,-3.24834,0.0,0.0,4.1013,2.3,21.08,7.6,,0.7222,0.0,-0.26774,0,-2.7893,0.999
25,0.353053,0.000971,0.47,0.0005,0.8911,25000,400,5482.4,1.295326,-3.19775,0.0,0.0,4.5068,2.4,22.34,7.8,,0.721,0.0,-0.46815,0,-3.0442,0.9983
26,0.402682,0.00097,0.4687,0.0005,0.901,25000,400,5690.6,1.174885,-2.96184,0.0,0.0,3.9736,3.1,22.34,8.0,,0.7166,0.0,-0.13481,0,-2.768,0.9993
27,0.418442,0.000969,0.4675,0.0005,0.9028,25000,400,5905.4,1.352734,-2.82,0.0,0.0,3.742,2.9,21.76,7.6,,0.7136,0.0,-0.3468,0,-2.1875,0.9988
28,0.4144,0.000968,0.4662,0.0005,0.899,25000,400,6118.8,1.300802,-2.98828,0.0,0.0,3.8415,2.7,21.27,7.2,,0.7114,0.0,-0.56255,0,-2.351,0.9997
29,0.428368,0.000967,0.465,0.0005,0.9043,25000,400,6342.1,1.32,-2.80911,0.0,0.0,3.8104,3.2,23.04,8.1,,0.7286,0.0,-0.67046,0,-2.2769,1.0
30,0.423362,0.000966,0.4637,0.0005,0.8937,25000,400,6739.5,1.40767,-3.2075,0.0,0.0,3.8513,3.1,22.62,7.9,0.8482,0.737,0.0,-0.86262,0,-2.6495,1.0
31,0.405636,0.000964,0.4625,0.0005,0.8891,25000,400,6959.2,1.362517,-3.1875,0.0,0.0,4.109,3.0,21.73,7.4,,0.7277,0.0,-0.62121,0,-2.5651,1.0
32,0.382282,0.000963,0.4612,0.0005,0.892,25000,400,7188.8,1.364947,-3.18965,0.0,0.0,4.6408,3.1,22.01,7.9,,0.7132,0.0,-0.46421,0,-2.531,1.0
33,0.414069,0.000962,0.46,0.0005,0.9047,25000,400,7432.0,1.213369,-2.89148,0.0,0.0,4.1369,2.3,24.21,10.6,,0.7231,0.0,-0.87053,0,-2.4981,1.0
34,0.429081,0.000961,0.4587,0.0005,0.8895,25000,400,7659.8,1.30373,-3.35557,0.0,0.0,3.9169,2.8,23.4,9.3,,0.7182,0.0,-0.88987,0,-2.6414,1.0
35,0.475228,0.00096,0.4575,0.0005,0.9035,25000,400,7886.0,1.303671,-2.95823,0.0,0.0,3.537,4.5,21.92,8.0,,0.7206,0.0,-0.50597,0,-2.4065,1.0
36,0.425716,0.000958,0.4562,0.0005,0.9038,25000,400,8112.1,1.250581,-2.86614,0.0,0.0,4.0506,2.7,22.95,9.4,,0.7068,0.0,-0.38864,0,-2.4136,1.0
37,0.444937,0.000957,0.455,0.0005,0.907,25000,400,8336.8,1.317752,-2.7679,0.0,0.0,3.8595,1.5,23.37,10.3,,0.7126,0.0,-0.84954,0,-1.9806,1.0
38,0.404997,0.000956,0.4537,0.0005,0.8917,25000,400,8573.3,1.417397,-3.26549,0.0,0.0,4.4991,1.7,23.57,10.1,,0.7082,0.0,-0.98078,0,-2.6296,1.0
39,0.482065,0.000955,0.4525,0.0005,0.8971,25000,400,8788.2,1.276897,-3.09748,0.0,0.0,3.5356,2.1,21.97,7.8,,0.7185,0.0,-0.80963,0,-2.7045,1.0
40,0.412239,0.000954,0.4512,0.0005,0.8974,25000,400,9230.7,1.356731,-3.08946,0.0,0.0,4.3533,2.8,24.6,9.4,0.8603,0.7157,0.0,-0.93484,0,-2.7686,1.0
41,0.453803,0.000952,0.45,0.0005,0.8946,25000,400,9450.3,1.339554,-3.18016,0.0,0.0,3.7762,2.2,23.18,8.9,,0.7216,0.0,-0.79678,0,-2.4324,1.0
42,0.45687,0.000951,0.4487,0.0005,0.8916,25000,400,9659.2,1.338272,-3.19082,0.0,0.0,3.8458,2.8,21.73,8.0,,0.7025,0.0,-0.82246,0,-2.4872,1.0
43,0.452863,0.00095,0.4475,0.0005,0.8882,25000,400,9884.0,1.363079,-3.32246,0.0,0.0,4.0136,2.9,21.7,7.9,,0.7325,0.0,-1.04023,0,-2.3968,1.0
44,0.455759,0.000949,0.4462,0.0005,0.9007,25000,400,10103.6,1.386902,-3.02137,0.0,0.0,4.0074,2.7,23.27,8.0,,0.7128,0.0,-0.69772,0,-2.6559,1.0
45,0.442612,0.000948,0.445,0.0005,0.8881,25000,400,10325.7,1.409968,-3.32585,0.0,0.0,4.1204,2.2,22.43,8.0,,0.7304,0.0,-0.95183,0,-2.6224,1.0
46,0.448559,0.000946,0.4437,0.0005,0.904,25000,400,10542.8,1.254993,-2.76437,0.0,0.0,4.0276,2.9,22.36,8.1,,0.717,0.0,-0.49976,0,-2.4169,1.0
47,0.469081,0.000945,0.4425,0.0005,0.8946,25000,400,10774.6,1.475118,-3.15445,0.0,0.0,3.8678,2.7,23.11,8.8,,0.723,0.0,-1.19698,0,-2.5065,1.0
48,0.448884,0.000944,0.4412,0.0005,0.8981,25000,400,10986.6,1.2449,-3.01091,0.0,0.0,4.0799,2.8,21.99,8.0,,0.7099,0.0,-1.24975,0,-2.5503,1.0
49,0.449297,0.000943,0.44,0.0005,0.8854,25000,400,11211.6,1.504203,-3.37024,0.0,0.0,4.1377,3.1,22.0,9.9,,0.7187,0.0,-0.96121,0,-2.6967,1.0
