episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s,mean_shift_remaining,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate
79,0.005813,0.000765,0.3748,0.9174,10000,50,2142.4,1.0,0.009055,-2.57675,24.1,0.0
80,0.004294,0.000762,0.3732,0.9124,10000,50,2169.9,1.0,0.008111,-2.68937,23.7,0.0
81,0.006029,0.000759,0.3716,0.9061,10000,50,2197.5,1.0,0.010579,-2.91232,19.5,0.0
82,0.005502,0.000756,0.37,0.9059,10000,50,2225.2,1.0,0.010955,-2.91886,21.4,0.0
83,0.006464,0.000753,0.3684,0.9209,10000,50,2253.4,1.0,0.012645,-2.601,23.0,0.0
84,0.006016,0.00075,0.3668,0.9146,10000,50,2280.6,1.0,0.012289,-2.66442,26.6,0.0
85,0.004698,0.000747,0.3652,0.9202,10000,50,2307.7,1.0,0.007847,-2.48454,26.3,0.0
86,0.007167,0.000744,0.3635,0.9259,10000,50,2332.3,1.0,0.007961,-2.39633,26.8,0.0
87,0.00453,0.000741,0.3619,0.9251,10000,50,2359.9,1.0,0.006677,-2.342,31.8,0.0
88,0.005422,0.000738,0.3603,0.9162,10000,50,2387.4,1.0,0.008076,-2.61973,21.5,0.0
89,0.005119,0.000735,0.3587,0.9196,10000,50,2414.6,1.0,0.008345,-2.52141,25.3,0.0
90,0.00601,0.000732,0.3571,0.9065,10000,50,2441.8,1.0,0.009281,-3.0052,20.7,0.0
91,0.0074,0.000729,0.3555,0.9162,10000,50,2469.2,1.0,0.007821,-2.52902,27.3,0.0
92,0.005105,0.000726,0.3539,0.915,10000,50,2496.5,1.0,0.009937,-2.54664,22.1,0.0
93,0.004976,0.000723,0.3523,0.9119,10000,50,2524.7,1.0,0.008023,-2.74742,21.5,0.0
94,0.006531,0.00072,0.3507,0.9167,10000,50,2550.4,1.0,0.008785,-2.52956,27.0,0.0
95,0.006478,0.000717,0.3491,0.9192,10000,50,2577.2,1.0,0.005856,-2.61876,25.7,0.0
96,0.004824,0.000714,0.3475,0.9194,10000,50,2604.4,1.0,0.006861,-2.496,28.9,0.0
97,0.006535,0.000711,0.3459,0.9159,10000,50,2631.9,1.0,0.006267,-2.56642,24.1,0.0
98,0.004272,0.000708,0.3443,0.9014,10000,50,2659.0,1.0,0.007739,-3.09345,17.4,0.0
99,0.005248,0.000705,0.3427,0.9169,10000,50,2686.2,1.0,0.008163,-2.63609,28.7,0.0
100,0.006513,0.000702,0.3411,0.9054,10000,50,2739.4,1.0,0.008063,-2.88994,23.0,0.0
101,0.004917,0.000699,0.3395,0.9098,10000,50,2765.6,1.0,0.009967,-2.84525,20.0,0.0
102,0.005924,0.000696,0.3379,0.9102,10000,50,2793.3,1.0,0.008854,-2.82449,22.9,0.0
103,0.00571,0.000693,0.3363,0.9125,10000,50,2820.7,1.0,0.009789,-2.69771,22.6,0.0
104,0.005205,0.00069,0.3346,0.909,10000,50,2848.2,1.0,0.011125,-2.84167,23.2,0.0
105,0.004592,0.000687,0.333,0.9156,10000,50,2876.0,1.0,0.009467,-2.6979,25.8,0.0
106,0.005797,0.000684,0.3314,0.9116,10000,50,2903.1,1.0,0.009231,-2.87105,22.4,0.0
107,0.005668,0.000681,0.3298,0.9103,10000,50,2930.7,1.0,0.011978,-2.82193,24.8,0.0
108,0.006381,0.000678,0.3282,0.9136,10000,50,2958.4,1.0,0.009935,-2.74753,22.5,0.0
109,0.005185,0.000675,0.3266,0.9175,10000,50,2985.6,1.0,0.009661,-2.71765,25.7,0.0
110,0.004565,0.000672,0.325,0.9218,10000,50,3012.7,1.0,0.010491,-2.51194,24.5,0.0
111,0.005076,0.000669,0.3234,0.908,10000,50,3040.3,1.0,0.009345,-2.76918,21.9,0.0
112,0.005927,0.000666,0.3218,0.906,10000,50,3067.8,1.0,0.008922,-2.97274,18.4,0.0
113,0.005054,0.000663,0.3202,0.9151,10000,50,3095.0,1.0,0.008465,-2.75736,25.4,0.0
114,0.004439,0.00066,0.3186,0.9097,10000,50,3122.0,1.0,0.008244,-2.81881,23.5,0.0
115,0.006881,0.000657,0.317,0.9218,10000,50,3149.3,1.0,0.007729,-2.47286,28.8,0.0
116,0.006183,0.000654,0.3154,0.9186,10000,50,3176.7,1.0,0.007385,-2.61908,24.5,0.0
117,0.005568,0.000651,0.3138,0.9089,10000,50,3203.5,1.0,0.007619,-2.77234,23.7,0.0
118,0.006637,0.000648,0.3122,0.9161,10000,50,3230.5,1.0,0.006578,-2.70566,24.4,0.0
119,0.005764,0.000645,0.3106,0.9135,10000,50,3258.6,1.0,0.006672,-2.71316,23.1,0.0
120,0.006644,0.000642,0.309,0.9147,10000,50,3286.1,1.0,0.008409,-2.59958,23.5,0.0
121,0.006269,0.000639,0.3074,0.9137,10000,50,3313.5,1.0,0.010107,-2.73376,22.9,0.0
122,0.007421,0.000636,0.3058,0.9213,10000,50,3341.1,1.0,0.012649,-2.49668,26.6,0.0
123,0.006721,0.000633,0.3041,0.9229,10000,50,3368.6,1.0,0.00929,-2.49333,26.3,0.0
124,0.005902,0.00063,0.3025,0.9117,10000,50,3396.0,1.0,0.010566,-2.77706,22.3,0.0
125,0.006545,0.000627,0.3009,0.917,10000,50,3423.3,1.0,0.012472,-2.65927,23.3,0.0
126,0.006482,0.000624,0.2993,0.9149,10000,50,3449.8,1.0,0.014122,-2.68524,24.6,0.0
127,0.006295,0.000621,0.2977,0.9167,10000,50,3476.0,1.0,0.013599,-2.69644,26.1,0.0
