episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl
50,0.554894,0.000942,0.4694,0.0005,0.8986,50000,400,12709.7,1.270546,-3.16004,0.0,0.0,3.8772,2.9,24.97,10.5,0.8652
51,0.560556,0.000941,0.4688,0.0005,0.8901,50000,400,12934.3,1.408772,-3.27582,0.0,0.0,4.011,2.3,22.65,7.2,
52,0.587975,0.000939,0.4681,0.0005,0.8975,50000,400,13145.1,1.21471,-3.30014,0.0,0.0,3.6783,3.1,23.76,9.5,
53,0.61,0.000938,0.4675,0.0005,0.8979,50000,400,13362.3,1.394224,-3.09642,0.0,0.0,3.5677,3.2,22.65,8.5,
54,0.63018,0.000937,0.4669,0.0005,0.8978,50000,400,13592.9,1.425052,-2.91696,0.0,0.0,3.4667,2.7,22.01,7.0,
55,0.549923,0.000936,0.4663,0.0005,0.8954,50000,400,13858.3,1.415401,-3.23988,0.0,0.0,4.3903,3.4,24.0,8.9,
56,0.641438,0.000935,0.4657,0.0005,0.8955,50000,400,14116.0,1.257856,-3.16463,0.0,0.0,3.4834,1.8,23.47,10.8,
57,0.599139,0.000933,0.465,0.0005,0.8974,50000,400,14353.8,1.318034,-3.0386,0.0,0.0,3.8604,2.8,21.5,7.6,
58,0.6514,0.000932,0.4644,0.0005,0.8931,50000,400,14596.0,1.288858,-3.25122,0.0,0.0,3.4509,2.4,22.46,9.0,
59,0.640353,0.000931,0.4638,0.0005,0.8998,50000,400,14841.7,1.506916,-2.96346,0.0,0.0,3.6276,2.8,22.66,7.4,
60,0.662263,0.00093,0.4632,0.0005,0.8978,50000,400,15335.3,1.385608,-3.04301,0.0,0.0,3.3804,2.2,22.17,7.5,0.86
61,0.576612,0.000929,0.4625,0.0005,0.8953,50000,400,15562.9,1.473721,-3.22036,0.0,0.0,4.6191,2.9,23.08,9.1,
62,0.674631,0.000927,0.4619,0.0005,0.9077,50000,400,15786.3,1.251414,-2.87413,0.0,0.0,3.3406,2.8,23.24,8.7,
63,0.635059,0.000926,0.4613,0.0005,0.8862,50000,400,16038.0,1.602317,-3.26566,0.0,0.0,3.8658,3.5,22.36,9.7,
64,0.64826,0.000925,0.4607,0.0005,0.9056,50000,400,16281.6,1.400502,-2.96557,0.0,0.0,3.5781,1.7,24.3,10.1,
65,0.617802,0.000924,0.46,0.0005,0.8963,50000,400,16533.6,1.435559,-3.07564,0.0,0.0,4.1577,1.9,22.71,8.5,
66,0.608629,0.000923,0.4594,0.0005,0.8963,50000,400,16761.7,1.324139,-3.30111,0.0,0.0,4.23,3.4,23.76,8.3,
67,0.656844,0.000922,0.4588,0.0005,0.9032,50000,400,16973.8,1.246125,-3.01716,0.0,0.0,3.7474,3.1,23.25,9.2,
68,0.655012,0.00092,0.4582,0.0005,0.9007,50000,400,17196.0,1.342234,-2.99488,0.0,0.0,3.7083,3.0,23.31,8.1,
69,0.699461,0.000919,0.4575,0.0005,0.8989,50000,400,17417.1,1.3021,-3.08183,0.0,0.0,3.4691,2.4,23.73,9.2,
70,0.680491,0.000918,0.4569,0.0005,0.9028,50000,400,17856.7,1.416754,-2.96668,0.0,0.0,3.5719,2.3,22.99,8.2,0.8678
71,0.667821,0.000917,0.4563,0.0005,0.9033,50000,400,18091.6,1.37924,-2.9844,0.0,0.0,3.7719,1.8,23.35,7.9,
72,0.686237,0.000916,0.4557,0.0005,0.891,50000,400,18350.2,1.466088,-3.09882,0.0,0.0,3.5734,2.4,23.21,9.9,
73,0.631526,0.000914,0.455,0.0005,0.897,50000,400,18576.8,1.464523,-3.11311,0.0,0.0,4.1555,2.4,22.49,8.8,
74,0.677495,0.000913,0.4544,0.0005,0.9072,50000,400,18803.1,1.238796,-2.84756,0.0,0.0,3.6628,1.7,23.77,7.0,
75,0.665372,0.000912,0.4538,0.0005,0.9001,50000,400,19053.2,1.68033,-3.10548,0.0,0.0,3.9781,2.5,24.3,9.2,
76,0.673254,0.000911,0.4532,0.0005,0.9101,50000,400,19288.8,1.39211,-2.77475,0.0,0.0,3.7957,3.6,23.28,9.1,
77,0.690537,0.00091,0.4525,0.0005,0.8988,50000,400,19530.5,1.344709,-2.94713,0.0,0.0,3.6647,2.5,22.5,7.8,
78,0.679026,0.000908,0.4519,0.0005,0.8975,50000,400,19769.7,1.485239,-3.19995,0.0,0.0,3.8568,3.1,24.04,8.9,
79,0.63643,0.000907,0.4513,0.0005,0.8912,50000,400,20003.7,1.477773,-3.23784,0.0,0.0,4.2801,2.8,22.13,8.7,
80,0.676643,0.000906,0.4507,0.0005,0.8991,50000,400,20476.8,1.457596,-3.16566,0.0,0.0,3.8964,2.4,23.24,9.1,0.8586
81,0.688689,0.000905,0.45,0.0005,0.9021,50000,400,20727.3,1.575738,-2.88436,0.0,0.0,3.8407,2.6,22.79,9.6,
82,0.634937,0.000904,0.4494,0.0005,0.8912,50000,400,20958.1,1.540992,-3.38209,0.0,0.0,4.4628,2.7,23.3,10.2,
83,0.717931,0.000903,0.4488,0.0005,0.9048,50000,400,21202.3,1.369444,-2.94572,0.0,0.0,3.5074,3.2,23.47,9.3,
84,0.669857,0.000901,0.4482,0.0005,0.9139,50000,400,21444.7,1.459086,-2.52007,0.0,0.0,3.9031,2.7,23.59,8.7,
85,0.734887,0.0009,0.4475,0.0005,0.9045,50000,400,21683.3,1.45412,-2.94699,0.0,0.0,3.377,3.2,23.09,7.9,
86,0.690321,0.000899,0.4469,0.0005,0.9061,50000,400,21920.6,1.457755,-2.74039,0.0,0.0,3.7805,3.9,22.83,8.1,
87,0.748439,0.000898,0.4463,0.0005,0.9126,50000,400,22152.2,1.496923,-2.71379,0.0,0.0,3.3761,4.3,23.27,9.8,
88,0.695763,0.000897,0.4457,0.0005,0.8972,50000,400,22380.0,1.595173,-3.08148,0.0,0.0,3.682,2.3,23.37,9.6,
89,0.666112,0.000895,0.445,0.0005,0.9042,50000,400,22618.9,1.569827,-2.93072,0.0,0.0,4.2133,2.2,24.38,8.8,
90,0.643454,0.000894,0.4444,0.0005,0.8988,50000,400,23086.2,1.333845,-3.04957,0.0,0.0,4.2747,3.7,22.54,6.9,0.8698
91,0.70413,0.000893,0.4438,0.0005,0.8996,50000,400,23312.9,1.528821,-3.1087,0.0,0.0,3.7219,3.3,23.02,8.1,
92,0.694405,0.000892,0.4432,0.0005,0.8967,50000,400,23552.1,1.482379,-3.15801,0.0,0.0,3.8548,2.7,22.69,8.7,
93,0.694497,0.000891,0.4425,0.0005,0.8957,50000,400,23797.6,1.595455,-3.09924,0.0,0.0,3.8397,2.8,23.23,7.0,
94,0.682207,0.000889,0.4419,0.0005,0.8958,50000,400,24026.7,1.486617,-3.18372,0.0,0.0,3.9958,3.2,23.01,9.3,
95,0.696517,0.000888,0.4413,0.0005,0.8967,50000,400,24246.1,1.435582,-3.08912,0.0,0.0,3.8072,3.2,22.63,8.1,
96,0.754627,0.000887,0.4407,0.0005,0.9035,50000,400,24473.6,1.530524,-2.8884,0.0,0.0,3.4084,2.4,23.48,9.0,
97,0.6893,0.000886,0.44,0.0005,0.8917,50000,400,24725.6,1.629848,-3.18441,0.0,0.0,3.9787,2.3,22.78,9.9,
98,0.655622,0.000885,0.4394,0.0005,0.8942,50000,400,24961.0,1.557597,-3.18059,0.0,0.0,4.5105,2.4,22.47,7.4,
99,0.659621,0.000883,0.4388,0.0005,0.8975,50000,400,25213.0,1.459929,-3.09933,0.0,0.0,4.2832,2.8,23.59,8.4,
100,0.718494,0.000882,0.4382,0.0005,0.9005,50000,400,25698.3,1.362042,-3.0714,0.0,0.0,3.7367,3.0,23.48,8.9,0.8683
101,0.764322,0.000881,0.4375,0.0005,0.8928,50000,400,25945.9,1.560919,-3.15041,0.0,0.0,3.3951,2.3,22.67,8.8,
102,0.672198,0.00088,0.4369,0.0005,0.8926,50000,400,26183.7,1.6233,-3.16883,0.0,0.0,4.5342,2.2,23.58,8.4,
103,0.689198,0.000879,0.4363,0.0005,0.9028,50000,400,26412.5,1.476241,-2.89791,0.0,0.0,3.9367,3.6,22.75,8.1,
104,0.697682,0.000878,0.4357,0.0005,0.903,50000,400,26655.5,1.487036,-2.99956,0.0,0.0,3.9273,2.0,25.35,9.9,
105,0.709582,0.000876,0.435,0.0005,0.8974,50000,400,26908.1,1.442075,-3.13247,0.0,0.0,3.8281,2.1,23.57,9.2,
106,0.664466,0.000875,0.4344,0.0005,0.8918,50000,400,27138.7,1.514902,-3.31074,0.0,0.0,4.6259,2.4,23.35,8.2,
107,0.750366,0.000874,0.4338,0.0005,0.8971,50000,400,27367.3,1.456412,-3.30242,0.0,0.0,3.5327,3.9,22.36,8.3,
108,0.704667,0.000873,0.4332,0.0005,0.895,50000,400,27616.9,1.5124,-3.12722,0.0,0.0,3.9239,2.7,22.91,9.2,
109,0.664554,0.000872,0.4326,0.0005,0.8961,50000,400,27854.6,1.461301,-3.10998,0.0,0.0,4.5992,2.4,24.77,8.3,
110,0.717025,0.00087,0.4319,0.0005,0.9052,50000,400,28323.3,1.323752,-2.99619,0.0,0.0,3.8239,3.3,23.1,9.3,0.8646
111,0.711871,0.000869,0.4313,0.0005,0.9011,50000,400,28556.8,1.375228,-2.99009,0.0,0.0,4.0301,3.3,22.85,9.1,
112,0.702106,0.000868,0.4307,0.0005,0.9001,50000,400,28775.5,1.550559,-3.00183,0.0,0.0,3.9989,2.9,22.2,8.4,
113,0.689334,0.000867,0.4301,0.0005,0.8985,50000,400,28982.4,1.438707,-3.32534,0.0,0.0,4.3757,2.2,24.36,9.2,
