episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl,bypass_mean_deficit,bypass_pct_same,mean_v_pred,n_step_terminal,reward_ema_mean,grad_norm
11,0.265227,0.000988,0.4938,0.0005,0.8957,11702,364,2258.1,1.173106,-3.07417,0.0,0.0,4.2211,2.5,21.77,8.2,,0.7179,0.0,-0.47211,0,-2.3227,0.9554
12,0.295978,0.000987,0.4931,0.0005,0.9009,12812,400,2467.8,1.112711,-2.99868,0.0,0.0,3.985,2.9,22.55,9.2,,0.7179,0.0,-0.62725,0,-2.7725,0.9702
13,0.253609,0.000986,0.4925,0.0005,0.8791,13949,400,2661.7,1.449767,-3.6002,0.0,0.0,4.4517,1.9,21.76,7.9,,0.7496,0.0,-0.62972,0,-3.0108,0.965
14,0.298671,0.000985,0.4919,0.0005,0.884,15101,400,2881.8,1.309183,-3.39646,0.0,0.0,3.9734,2.7,21.8,8.6,,0.7256,0.0,-0.48257,0,-2.5886,0.9826
15,0.313313,0.000983,0.4913,0.0005,0.8826,16249,400,3093.3,1.302149,-3.38327,0.0,0.0,3.8311,2.7,21.66,7.4,,0.7318,0.0,-0.25252,0,-2.781,0.9815
16,0.280079,0.000982,0.4906,0.0005,0.8916,17431,400,3307.2,1.465836,-3.07819,0.0,0.0,4.2328,2.5,21.89,9.0,,0.727,0.0,-0.51668,0,-2.7745,0.9839
17,0.344711,0.000981,0.49,0.0005,0.9021,18587,400,3510.5,1.48079,-2.81168,0.0,0.0,3.6267,2.7,21.16,7.4,,0.7209,0.0,-0.64889,0,-2.3239,0.9949
18,0.361181,0.00098,0.4894,0.0005,0.8952,19785,400,3726.9,1.596956,-2.93819,0.0,0.0,3.5717,2.8,22.08,7.9,,0.7259,0.0,-0.62343,0,-2.4082,0.998
19,0.350507,0.000979,0.4888,0.0005,0.8918,20978,400,3954.2,1.493921,-3.02822,0.0,0.0,3.7932,2.3,22.17,8.6,,0.7312,0.0,-0.71281,0,-2.734,0.9952
20,0.310556,0.000977,0.4881,0.0005,0.8871,22145,400,4359.7,1.323388,-3.23644,0.0,0.0,4.4063,3.3,21.41,7.7,0.8356,0.7153,0.0,-0.19722,0,-3.0142,0.9914
21,0.348407,0.000976,0.4875,0.0005,0.8891,23267,400,4564.8,1.0663,-3.34187,0.0,0.0,3.9983,2.6,21.3,7.8,,0.7388,0.0,-0.02385,0,-2.8586,0.9965
22,0.371345,0.000975,0.4869,0.0005,0.8983,24427,400,4784.1,1.445245,-2.93329,0.0,0.0,3.7596,2.3,22.83,7.8,,0.7209,0.0,-0.06989,0,-2.6443,0.9964
23,0.318481,0.000974,0.4863,0.0005,0.8891,25561,400,4993.0,1.344311,-3.25826,0.0,0.0,4.6216,2.1,21.87,7.7,,0.7273,0.0,-0.2262,0,-2.8541,0.9947
24,0.394391,0.000973,0.4856,0.0005,0.885,26666,400,5208.8,1.205676,-3.46501,0.0,0.0,3.8319,3.2,22.17,9.5,,0.7422,0.0,-0.31467,0,-2.5689,0.9988
25,0.367235,0.000971,0.485,0.0005,0.8935,27813,400,5424.7,1.307614,-3.1045,0.0,0.0,4.1018,2.8,21.33,7.0,,0.7312,0.0,-0.36201,0,-2.3759,0.9976
26,0.379489,0.00097,0.4844,0.0005,0.8919,28942,400,5639.2,1.380948,-3.2179,0.0,0.0,4.0639,3.6,22.72,8.1,,0.7316,0.0,-0.61295,0,-2.4667,0.9986
27,0.361919,0.000969,0.4838,0.0005,0.8827,30081,400,5858.2,1.452556,-3.45939,0.0,0.0,4.5822,2.6,21.49,8.2,,0.7235,0.0,-0.7509,0,-3.0196,0.9988
28,0.408881,0.000968,0.4831,0.0005,0.8945,31147,400,6064.5,1.150139,-3.28961,0.0,0.0,3.9046,2.5,23.02,9.0,,0.6945,0.0,0.06056,0,-2.7468,0.9996
29,0.420662,0.000967,0.4825,0.0005,0.892,32273,400,6298.5,1.22514,-3.23186,0.0,0.0,3.8294,3.0,22.47,8.1,,0.7268,0.0,-0.01442,0,-2.6668,0.9997
30,0.40175,0.000966,0.4819,0.0005,0.8912,33429,400,6725.8,1.543391,-3.17147,0.0,0.0,4.138,2.9,20.61,7.5,0.8446,0.7215,0.0,-0.41574,0,-2.4028,1.0
31,0.429204,0.000964,0.4813,0.0005,0.8932,34575,400,6943.1,1.423718,-3.09685,0.0,0.0,3.8175,3.8,20.65,7.3,,0.7235,0.0,-0.84762,0,-2.3589,1.0
32,0.414073,0.000963,0.4806,0.0005,0.8993,35657,400,7143.7,1.431906,-3.13817,0.0,0.0,4.1974,3.0,21.9,8.6,,0.7158,0.0,-0.48918,0,-2.6667,1.0
33,0.432488,0.000962,0.48,0.0005,0.8961,36765,400,7358.3,1.298522,-3.1123,0.0,0.0,3.9279,2.4,23.21,8.3,,0.7119,0.0,-0.32658,0,-2.646,1.0
34,0.512974,0.000961,0.4794,0.0005,0.9053,37891,400,7576.5,1.432633,-2.81906,0.0,0.0,3.2848,2.6,23.21,7.6,,0.7301,0.0,-0.42219,0,-2.1621,1.0
35,0.461726,0.00096,0.4788,0.0005,0.8911,39060,400,7795.4,1.526244,-3.11423,0.0,0.0,3.8802,3.5,21.32,8.0,,0.724,0.0,-0.73618,0,-2.6484,1.0
36,0.490284,0.000958,0.4781,0.0005,0.8934,40240,400,8014.8,1.735705,-3.07797,0.0,0.0,3.6241,3.0,22.06,8.2,,0.7256,0.0,-0.5816,0,-2.5803,1.0
37,0.440955,0.000957,0.4775,0.0005,0.8916,41370,400,8215.0,1.507417,-3.2049,0.0,0.0,4.3002,1.6,21.54,7.4,,0.7157,0.0,-0.62079,0,-2.4996,1.0
38,0.438359,0.000956,0.4769,0.0005,0.8952,42461,400,8425.7,1.350158,-3.17821,0.0,0.0,4.4452,1.7,22.86,8.8,,0.7279,0.0,-0.41276,0,-2.6183,1.0
39,0.509258,0.000955,0.4763,0.0005,0.9053,43573,400,8646.4,1.34946,-2.82231,0.0,0.0,3.5502,2.2,23.93,7.6,,0.7235,0.0,-0.41184,0,-2.2161,1.0
40,0.481965,0.000954,0.4756,0.0005,0.891,44774,400,9097.3,1.61311,-3.0292,0.0,0.0,3.8693,1.7,22.61,8.7,0.8582,0.7268,0.0,-0.72906,0,-2.4657,1.0
41,0.530641,0.000952,0.475,0.0005,0.8986,45932,400,9329.3,1.461376,-2.92934,0.0,0.0,3.4327,2.0,22.36,9.1,,0.724,0.0,-0.89801,0,-2.3966,1.0
42,0.457108,0.000951,0.4744,0.0005,0.8949,47066,400,9552.7,1.563458,-3.0814,0.0,0.0,4.3777,2.5,22.17,9.0,,0.725,0.0,-0.67157,0,-2.7183,1.0
43,0.554027,0.00095,0.4738,0.0005,0.8998,48168,400,9775.9,1.385819,-3.04328,0.0,0.0,3.4973,2.8,21.73,8.1,,0.724,0.0,-0.5201,0,-2.602,1.0
44,0.550241,0.000949,0.4731,0.0005,0.8934,49298,400,9979.1,1.464321,-3.14954,0.0,0.0,3.4231,2.4,22.84,8.1,,0.7088,0.0,-0.57058,0,-2.186,1.0
45,0.537287,0.000948,0.4725,0.0005,0.9003,50000,400,10195.9,1.510535,-2.90924,0.0,0.0,3.647,3.2,22.39,7.8,,0.723,0.0,-0.70944,0,-2.3956,1.0
46,0.504093,0.000946,0.4719,0.0005,0.8908,50000,400,10406.2,1.543468,-3.26639,0.0,0.0,4.0169,3.4,22.25,8.1,,0.7257,0.0,-0.99649,0,-2.5742,1.0
47,0.473699,0.000945,0.4713,0.0005,0.8937,50000,400,10610.9,1.454222,-3.12449,0.0,0.0,4.6221,2.6,22.94,7.9,,0.7165,0.0,-0.83934,0,-2.4371,1.0
48,0.501463,0.000944,0.4706,0.0005,0.8965,50000,400,10834.4,1.303754,-3.13821,0.0,0.0,4.0506,2.9,23.63,8.5,,0.7261,0.0,-0.6613,0,-2.608,1.0
49,0.555336,0.000943,0.47,0.0005,0.8999,50000,400,11051.5,1.37299,-3.0243,0.0,0.0,3.4994,2.6,24.17,9.3,,0.7304,0.0,-0.45744,0,-2.4997,1.0
50,0.538833,0.000942,0.4694,0.0005,0.8974,50000,400,11504.9,1.529253,-2.97086,0.0,0.0,3.563,2.5,22.68,8.8,0.8654,0.723,0.0,-0.92234,0,-2.3959,1.0
51,0.526053,0.000941,0.4688,0.0005,0.8944,50000,400,11721.8,1.501112,-3.11817,0.0,0.0,3.9724,2.9,22.93,8.1,,0.7239,0.0,-0.52059,0,-2.7636,1.0
52,0.532399,0.000939,0.4681,0.0005,0.8957,50000,400,11934.8,1.498026,-3.02146,0.0,0.0,3.7799,3.5,22.3,10.0,,0.7266,0.0,-1.05342,0,-2.3774,1.0
53,0.514584,0.000938,0.4675,0.0005,0.8887,50000,400,12174.5,1.606317,-3.26958,0.0,0.0,3.9726,3.1,23.56,9.4,,0.7227,0.0,-1.57617,0,-2.6731,1.0
54,0.481088,0.000937,0.4669,0.0005,0.8968,50000,400,12386.2,1.467091,-3.14072,0.0,0.0,4.5143,2.3,22.77,8.6,,0.7184,0.0,-1.2147,0,-2.8046,1.0
55,0.482794,0.000936,0.4663,0.0005,0.888,50000,400,12611.4,1.403538,-3.5026,0.0,0.0,4.8022,2.6,23.79,9.3,,0.7127,0.0,-0.65931,0,-2.985,1.0
56,0.470428,0.000935,0.4657,0.0005,0.8906,50000,400,12822.0,1.221538,-3.42228,0.0,0.0,4.7874,2.3,23.72,8.9,,0.7251,0.0,-0.42211,0,-2.8735,1.0
57,0.572762,0.000933,0.465,0.0005,0.902,50000,400,13036.2,1.283578,-3.01489,0.0,0.0,3.4128,3.0,22.56,9.2,,0.7199,0.0,-0.79535,0,-2.4106,1.0
58,0.571225,0.000932,0.4644,0.0005,0.8926,50000,400,13260.5,1.458444,-3.10142,0.0,0.0,3.4996,2.9,22.47,7.6,,0.7339,0.0,-0.86782,0,-2.3278,1.0
59,0.566112,0.000931,0.4638,0.0005,0.9101,50000,400,13477.1,1.452372,-2.69427,0.0,0.0,3.4678,2.8,22.25,7.1,,0.7036,0.0,-0.37694,0,-2.2951,1.0
60,0.550096,0.00093,0.4632,0.0005,0.8967,50000,400,13909.6,1.309715,-3.12646,0.0,0.0,3.8033,2.5,22.65,7.8,0.8663,0.7325,0.0,-1.21644,0,-2.4421,1.0
61,0.600408,0.000929,0.4625,0.0005,0.9046,50000,400,14137.3,1.47057,-2.83949,0.0,0.0,3.2488,2.8,22.94,7.9,,0.72,0.0,-0.70101,0,-2.5006,1.0
62,0.577695,0.000927,0.4619,0.0005,0.8973,50000,400,14347.2,1.555657,-3.05074,0.0,0.0,3.6528,3.4,21.87,8.0,,0.7095,0.0,-0.5853,0,-2.5034,1.0
63,0.537711,0.000926,0.4613,0.0005,0.9054,50000,400,14560.9,1.45751,-2.90763,0.0,0.0,4.0108,1.5,24.33,8.5,,0.7138,0.0,-0.73579,0,-2.3721,1.0
64,0.546702,0.000925,0.4607,0.0005,0.8996,50000,400,14785.4,1.355021,-3.06358,0.0,0.0,3.8054,2.7,23.12,8.6,,0.7258,0.0,-0.66984,0,-2.3649,1.0
65,0.523992,0.000924,0.46,0.0005,0.8867,50000,400,15004.6,1.381671,-3.39511,0.0,0.0,4.2423,3.1,23.62,9.3,,0.7166,0.0,-1.42984,0,-3.1054,1.0
66,0.584701,0.000923,0.4594,0.0005,0.9046,50000,400,15218.8,1.344034,-3.04081,0.0,0.0,3.4552,3.6,23.54,9.2,,0.7134,0.0,-0.38032,0,-2.2011,1.0
67,0.549603,0.000922,0.4588,0.0005,0.9007,50000,400,15437.8,1.524824,-2.99235,0.0,0.0,3.9569,2.8,22.25,8.9,,0.705,0.0,-0.71541,0,-2.3106,1.0
