episode,service_level,squared_starvation_penalty,congestion_severity_max,work_ratio,imbalance_hotspot_distance,multi_horizon_starvation_risk,future_net_pressure
38,0.8843793248691257,-38.8042723432288,-124.3277107679612,-126.4055245166193,-5.101889198852004,-46.39980558969468,-17.663675464006435
39,0.8703444498539435,-38.936807971183484,-124.338480516653,-126.47245000050471,-4.984814674267282,-46.51172791433615,-17.70581875943894
40,0.8729222198927791,-39.11674914134131,-124.44950663374566,-126.63142428991002,-4.877801319775909,-46.67465764526837,-17.75873617625926
41,0.8908640932001328,-39.234995905366866,-124.37131090525993,-126.60684672482486,-4.769493248025053,-46.765372279852265,-17.793128562158536
42,0.873175016659599,-39.38193737490445,-124.40520259051581,-126.67412203292407,-4.643154709482759,-46.89144565993997,-17.8360319122821
43,0.8765280808201572,-39.49839980088237,-124.31367204232116,-126.6216017972577,-4.539747980895292,-46.977332693220674,-17.865704151718262
44,0.8681729716579492,-39.64267268549735,-124.39138748856331,-126.73511555214819,-4.449024038030975,-47.10481726100185,-17.90720871175563
45,0.8838146811070999,-39.73547301053217,-124.18836551728003,-126.56827458919422,-4.325898490786243,-47.16088413870726,-17.920769018896618
46,0.8791479275556096,-39.89094350109386,-124.22803550836805,-126.65637374729576,-4.228518852735028,-47.292905501208566,-17.958810767781372
47,0.8741807858415632,-40.07996828149794,-124.42513956236658,-126.90082003752275,-4.136074003607888,-47.472677372694136,-18.012109023705058
48,0.8743826692925314,-40.25793283286605,-124.57872213222146,-127.09785141179799,-4.032059235445897,-47.637776833413945,-18.05815166697113
49,0.8594232749742534,-40.39779994471698,-124.61188078118863,-127.17681850452308,-3.9204400211311294,-47.758592614228206,-18.089681770025585
50,0.8788710907704043,-40.5686497162217,-124.79725297658169,-127.40341891047666,-3.8386576080778068,-47.92098664503017,-18.128357076144408
51,0.8612965301581574,-40.722850066300836,-124.92317296105243,-127.57267617852384,-3.7636486004999554,-48.06349883261338,-18.16468164885661
52,0.8539637116415002,-40.84896254086357,-124.91026661679132,-127.59768404023326,-3.6664351251552763,-48.16532539897983,-18.18803396651484
53,0.8529086947437543,-40.96320302554037,-124.86648668243883,-127.59213485431454,-3.5767235449307373,-48.25729301295522,-18.21438633624253
54,0.8610547974220097,-41.1415389423205,-125.0783214645239,-127.83401249691035,-3.4786203495614045,-48.43052351587704,-18.25408170219185
55,0.8572738666585149,-41.256861408972945,-125.07745491266351,-127.87213210160633,-3.381161580455694,-48.52737465401321,-18.284798165670633
56,0.8713706552196984,-41.40055013164945,-125.24254516644854,-128.06798066354315,-3.289953098175443,-48.666903117372286,-18.325995175468414
57,0.8586587308744401,-41.52427647681989,-125.29046380160479,-128.14191204451757,-3.189009278451311,-48.774732210985974,-18.360608456128304
58,0.8734222755209113,-41.64166827245314,-125.35570433708793,-128.23903641810114,-3.0975436003039696,-48.877782597729755,-18.394975976992264
59,0.8533916849015317,-41.8052928119882,-125.58655596527454,-128.49696327057578,-3.0181759859338064,-49.04056099476182,-18.442042727664198
60,0.8524431543299468,-41.91808291365154,-125.62992986131047,-128.56332690297228,-2.926688324428559,-49.136514011333375,-18.471450999387496
61,0.8598217490130399,-42.048261469523275,-125.74416610502509,-128.70633960558064,-2.8452379533944105,-49.25573273714565,-18.51375803539733
62,0.856817637191469,-42.19229911070106,-125.87047575540693,-128.85715116648552,-2.7390391477595846,-49.388044629471985,-18.554343585640044
63,0.8508295535927429,-42.31695275441736,-125.98536290590937,-128.99550483367912,-2.6643357676252473,-49.50220942034674,-18.594438496954325
64,0.8557806549885758,-42.48833727167746,-126.24485225724727,-129.27431232091942,-2.5770479942052504,-49.67297930902362,-18.645708744565106
65,0.8342539759621221,-42.65733432523074,-126.56211777134739,-129.60853958464836,-2.5086312408422233,-49.8483515647376,-18.694806007815057
66,0.8466184680150087,-42.81600782116748,-126.8341581426617,-129.89515129929654,-2.4333398959788166,-50.0089484013109,-18.74668354390973
67,0.8389669807061373,-42.969829590436575,-127.09307834071478,-130.16790759443504,-2.372702528136082,-50.16340853501823,-18.794528740348174
68,0.852262402326004,-43.15931731443161,-127.50450044497143,-130.59672166031288,-2.325609552712325,-50.367113265188465,-18.85608346552554
69,0.8346025067409405,-43.336892246379975,-127.86507884948075,-130.97001268372904,-2.2609390900472475,-50.55337585125843,-18.9151245896294
70,0.8482702260964314,-43.490039490602925,-128.1680272711301,-131.2856687809253,-2.2044594044499477,-50.7141938984646,-18.96871933837338
71,0.8429549463362134,-43.646060679402694,-128.49279151690095,-131.62125295174198,-2.1399885519830595,-50.87993388740826,-19.021003668431376
72,0.8304248405343604,-43.80933237806747,-128.83362828095133,-131.9734564515404,-2.075053498583106,-51.05450108600845,-19.077277233323635
73,0.8506187479096354,-43.97962972677534,-129.21886961128982,-132.3700073575559,-2.0252141952369525,-51.23852746021649,-19.135658105814496
74,0.8518057663125949,-44.16717633272003,-129.65631756579438,-132.81781318119764,-1.9726708960034836,-51.44373414567176,-19.20084148432059
75,0.8414663606715787,-44.32957804758505,-130.0168439064496,-133.1894025732688,-1.9190591935846757,-51.61889457511156,-19.25743009043781
76,0.8254334221636674,-44.52455648094811,-130.49091747348015,-133.6725574466394,-1.870273679640573,-51.83322325634975,-19.325541484227482
77,0.855430417585072,-44.721958154801925,-130.97647775536993,-134.1657676709043,-1.8171664566095893,-52.05144195660552,-19.389593598900312
78,0.8454335438164177,-44.906206482475895,-131.42182076796215,-134.6171067661216,-1.7614839311192234,-52.254505310618285,-19.451499177490316
79,0.8361768593055389,-45.057798168059875,-131.766155727798,-134.96864842784927,-1.7031863275368286,-52.41940609491745,-19.50587344193113
80,0.8264961389961389,-45.22393470865472,-132.17752172731468,-135.38964789074652,-1.6574598347872174,-52.603412340861134,-19.56540484349538
81,0.8394632802204385,-45.41034403740895,-132.67485707683332,-135.89410935279588,-1.6187624239997616,-52.81491412191243,-19.628956087737052
82,0.851178247734139,-45.6086243154073,-133.20035867717974,-136.42608750590404,-1.5748097621385924,-53.038891844876524,-19.69587866531359
83,0.832026875699888,-45.76572906979039,-133.58466183607837,-136.817035075454,-1.5280132479332318,-53.21298021201259,-19.753923007732393
84,0.8263535153271313,-45.94949948629114,-134.06445971332883,-137.302411555399,-1.487798169507434,-53.41995793557376,-19.820030931050454
85,0.835105090511481,-46.12886189176902,-134.54012973832351,-137.78357890747654,-1.4495227859498174,-53.62245611215012,-19.885720917159187
86,0.8434523091764139,-46.29452508102954,-134.9708703198051,-138.21890389265332,-1.407901919451044,-53.80840207903293,-19.945874532441703
87,0.8440624716793039,-46.45293707644084,-135.39463351900994,-138.64771819990713,-1.374096795672699,-53.987031810981776,-20.006968954100724
88,0.8234375469261495,-46.6185623367228,-135.84081636374282,-139.0982666687289,-1.3353709068921538,-54.174722679932295,-20.06878361955891
89,0.8309411310213664,-46.807921661457776,-136.37302648547117,-139.63514734460543,-1.3057848709561386,-54.39221609606768,-20.13676620007653
90,0.8322440087145969,-46.981268402108775,-136.85191562474412,-140.1177975827046,-1.272224887444016,-54.5896840767779,-20.20106340523108
91,0.8496391096015042,-47.135659442672086,-137.27469205170044,-140.5452818490893,-1.2403557403584844,-54.76518085665606,-20.260154945034593
92,0.8353001384791379,-47.289270321463405,-137.68908015007142,-140.96519267180588,-1.2050493263522162,-54.93882910333467,-20.31955118631455
93,0.8448894652712851,-47.44538512453652,-138.12392815783826,-141.40458276249407,-1.1719112504130513,-55.11770018539226,-20.378677913663708
94,0.8285868134498026,-47.598108383032056,-138.54062616540483,-141.82625151296912,-1.1376009491815093,-55.29116109161917,-20.439821088585227
95,0.8448426179238193,-47.73502086058269,-138.91594434166717,-142.20542765231562,-1.1037250350504628,-55.44722391983347,-20.495381312540303
96,0.8337151124238953,-47.87554588287137,-139.29712686586512,-142.5895522798174,-1.068372212831292,-55.60610859578509,-20.54917874085181
97,0.8290386820348802,-48.002566001593145,-139.6472150111815,-142.94261345160916,-1.0336843588759403,-55.750649779155815,-20.600074746291142
98,0.8369532245343687,-48.12235332081196,-139.9774026245707,-143.27563008713113,-0.9989542088237569,-55.88744730961697,-20.64868781753934
99,0.8484646800786568,-48.224584598748606,-140.2538914737528,-143.55455667277508,-0.9635619576164745,-56.00324414222715,-20.691990661476773
