episode,service_level,rebalancing_imbalance,starvation_severity_max,congestion_severity_max,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
20,0.9303608708619147,-1.4632766896094522,-1.7398845142226946,-0.9914918109259736,0.07349,0.1,0.177372,0.2,1565,770,1416,33530,37990,37985,0,0,0,0,3459,3479,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9420837923949618,-1.4458484335819832,-1.7515237510104111,-1.0001054338347748,0.072529,0.1,0.17631,0.2,1291,654,1338,33583,38428,38417,0,0,0,0,3529,3538,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9457782814876674,-1.2874884749804822,-1.4283765424113632,-0.6747025577595478,0.071593,0.1,0.175255,0.2,1096,722,1369,33529,38496,38487,0,0,0,0,3467,3467,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9414708574916082,-1.358328014989788,-1.5486289807046023,-0.7586016023327298,0.07068,0.1,0.174206,0.2,1259,659,1385,32770,37749,37746,0,0,0,0,3592,3579,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9433629377111928,-1.3154469831893785,-1.4608931539803063,-0.6589700790481143,0.06979,0.1,0.173163,0.2,1183,711,1589,33441,38338,38332,0,0,0,0,3451,3451,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.941395460550018,-1.3967624623419737,-1.608396426841956,-0.8389856750174737,0.068923,0.1,0.172127,0.2,1172,780,1210,33308,38154,38147,0,0,0,0,3610,3613,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.944873406356617,-1.2981141168412889,-1.4176172691404834,-0.6754488071258409,0.068076,0.1,0.171096,0.2,1195,647,1208,33414,38144,38138,0,0,0,0,3502,3512,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9422404257227421,-1.3628342337101724,-1.5522993014188506,-0.803517545500349,0.067251,0.1,0.170072,0.2,1335,597,1228,33449,38298,38296,0,0,0,0,3628,3634,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9372846312887664,-1.472615433469674,-1.6536838146878259,-0.9185083572815859,0.066445,0.1,0.169054,0.2,1295,798,1310,33373,38233,38229,0,0,0,0,3633,3646,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9397242126813994,-1.421715523923244,-1.5668876777037115,-0.814565412548358,0.065658,0.1,0.168042,0.2,1236,766,1182,33214,38060,38051,0,0,0,0,3503,3493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9410504389227794,-1.3528735948539485,-1.4299939955158503,-0.6727990944400781,0.064889,0.1,0.167037,0.2,1283,698,1478,33605,38462,38459,0,0,0,0,3546,3566,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9441189591078067,-1.331922040747296,-1.400657992552205,-0.5837154997979959,0.064139,0.1,0.166037,0.2,1139,740,1457,33625,38734,38729,0,0,0,0,3517,3527,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9393320305560491,-1.4783489633916758,-1.626550559472744,-0.8212448232911236,0.063405,0.1,0.165043,0.2,1207,842,1421,33774,38712,38702,0,0,0,0,3583,3569,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9429908785405665,-1.5050324110042879,-1.6133797396026817,-0.7938830587091027,0.062688,0.1,0.164055,0.2,1116,784,1258,33328,38542,38536,0,0,0,0,3613,3597,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
