episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,congestion_severity_max,work_ratio,imbalance_concentration,time_of_day_fraction,multi_horizon_starvation_risk
18,0.9161280625281828,-16.88957968627831,-24.563641325359917,-19.614252845509345,-17.39204294586868,-13.534924971752021,-1.3747183155983853,-12.503658431364181,-12.503658431364181,-12.503658431364181,-0.5580772312381318,-53.126216722347486,-13.518952136393244
19,0.9144677795727877,-11.317663612629799,-25.308107672953568,-16.097112318512956,-17.571982385221,-16.756758355818118,-0.057740937146369124,-2.038117543545785,-1.9786205747055714,-2.0737821096316837,-0.14367608642063737,-43.97800685618482,-13.01120136714785
20,0.9092309551138766,-13.482633299043489,-25.702827313976723,-17.45865587734958,-17.132112898679356,-19.469840558235035,-1.2510821018410212,-8.776763553882196,-8.77380460421701,-8.812428119968109,-0.025317456070415502,-58.53456307851451,-14.849500702408205
21,0.910262185782503,-11.651564412788325,-25.514529210883012,-18.984027901307986,-19.98438121006807,-18.616473461955124,-0.1548361838412258,-3.966029916644133,-3.805227504432785,-3.966029916644133,-0.20140505108468937,-50.65272489567247,-14.087983358142154
22,0.91392091010862,-11.686315296839494,-24.937102777975806,-18.21600130414448,-20.291888740322793,-18.318839510765667,0.0,-9.001591891342711,-8.748532785409102,-9.15899158521511,0.0,-52.07572645585027,-14.839945021977469
23,0.9195043597980725,-8.812271335247903,-24.473777734737517,-15.748143895669036,-20.09482464401822,-19.636015879853392,-0.0025387684491362983,-7.463921379563876,-5.869784482781213,-7.525441213478084,-0.0011636660976147783,-50.4221184957193,-14.108402722604657
24,0.9181134696095896,-7.471475048763148,-26.563965801272918,-14.1281420981258,-20.168050694726645,-19.933318082843822,-0.24672925883553976,-6.6455191108420175,-6.238199078544979,-6.72774982831275,-0.05123777854216537,-46.37356890699981,-14.31105552996749
25,0.9227114540777728,-7.063326039998091,-25.8706507111793,-16.627957391592133,-20.06232261607512,-19.138790899505818,0.0,-4.95968496608519,-5.714322185121058,-6.832862976740194,0.0,-49.93055119842584,-13.79866215119081
26,0.9093703372127723,-12.511620466529768,-27.75691934421067,-20.64728921884579,-22.104363520010978,-16.57312900479319,-0.32626810035270715,-12.973807878364816,-12.835850018197362,-14.846985889019827,-0.16029175143404584,-49.14749029935036,-17.627488286990637
27,0.9143756812401599,-12.579134732584613,-29.60283322138469,-20.522580468104774,-22.940972475781194,-16.865885159380067,-0.8098477307684107,-15.235163459276672,-15.251418602821227,-16.81162059313011,-0.38880392350628856,-52.800201600952825,-18.25523782639535
28,0.9212377358490567,-8.99499880196484,-28.177792279857485,-19.231871879692303,-22.698578648742227,-16.492450460293437,-1.760545065702203,-16.509127377599416,-17.44657386982346,-19.86624612539441,-0.8525982878315346,-60.533010272789845,-15.250793593781397
29,0.9160272674471922,-9.41967354289001,-31.17280433930032,-20.251444759220526,-20.44941493366777,-17.994086489953542,-0.9979186258718773,-14.883903576317072,-14.362821851136006,-17.523910777248506,-0.5008431825409273,-60.22618497579466,-15.522386308971981
30,0.9247818552187529,-6.542605410860457,-31.462240556207522,-20.585360827330486,-21.283342950347613,-18.037761873215867,-0.40807115097017516,-3.6270486196112186,-3.6982776254771883,-3.6982776254771883,-0.1331207925251895,-39.454435380403346,-14.651652755652217
31,0.918401057152296,-10.829209799478203,-36.318697576219954,-20.39018952601678,-22.821737689306815,-17.345614036409,-0.4954708628840352,-14.007195462403914,-12.64784706170877,-13.355188062862581,-0.6606135713323878,-49.31902809533648,-18.379792163554544
32,0.9176321506154961,-5.671047232161153,-34.49597242923143,-18.879226283526844,-21.970545440609776,-17.901644841313963,-0.22030590461549288,-3.678645311855449,-3.034642387795863,-3.034642387795863,-0.13581457684707357,-47.37970151717604,-15.69335055561095
33,0.925959205678857,-5.051796713193788,-36.12855722149058,-17.993639440450217,-22.17704047033864,-18.251481517115828,-0.09860930965788026,-0.7239796424591055,-0.7239796424591055,-0.7239796424591055,-0.037703480704675725,-46.60707479075531,-15.940725409329284
34,0.9166990930587566,-12.273506081485861,-40.94559108961695,-19.40021204949498,-21.777259249723727,-19.659072557559632,-1.0279522946819728,-15.835024792721322,-16.005992165592513,-16.255896379376683,-0.3821042041427091,-53.320732962598484,-20.937304204801222
35,0.9170091876208898,-7.942393055460304,-41.30767553229185,-18.653430405478126,-22.868331295666135,-18.238087805725243,0.0,-9.804916759735226,-9.849904800249467,-10.315761185355054,0.0,-54.0598133955505,-19.57455256403127
36,0.9151805920159319,-6.59454364059256,-40.52117497005754,-20.44144501039807,-19.63195989408399,-18.152262451441647,-0.6107948806012952,-7.531447819015787,-7.3375838313143,-8.026209087271438,-0.1277232065795314,-55.47568029492435,-18.706007157421745
37,0.9164686419010377,-10.67993143750556,-43.48732464014817,-21.061973514823993,-22.15278724438543,-17.93688869765645,-0.6558717724216281,-9.94132209723292,-9.293214034369797,-10.45229123896792,-0.33460091859284546,-56.326602573465436,-21.513514910580945
38,0.9182055697405143,-13.651573037658112,-46.30881379318891,-22.33427884220949,-21.484381442465953,-19.68620838700825,-0.65591143253302,-8.832337799893251,-6.021934648672316,-8.854065073565073,-0.24235653066216034,-43.7556688798645,-23.097787082922725
39,0.9207024199222933,-15.183299688589766,-47.2180146671057,-24.619309151296825,-20.81662850059193,-18.908839927469472,-1.909267203615253,-8.870005481910077,-6.330263488426502,-8.96372581742959,-0.13013248849097958,-43.103422550163195,-22.76717193113806
40,0.918884974728136,-16.1212364088658,-47.925161686224165,-25.887410686859415,-22.73947698946003,-18.191828616067102,-0.07587767988365254,-8.756823782147999,-9.811904715120042,-10.07143276081032,-0.1510209022949307,-51.66775958445768,-23.57199133143667
41,0.9232031606138884,-13.567903687339033,-47.28277575163916,-25.785605498184108,-23.538405849865146,-18.65276945987332,-0.2029502980388146,-0.800001287311254,-0.800001287311254,-1.2950341236904932,-0.057473422363256005,-46.39884711111767,-22.36518110663409
42,0.9189535854909915,-16.492676792578308,-48.337169651201755,-28.36142463118839,-23.814673334832232,-18.948788738174486,-0.01828558620554136,-3.2916090871801265,-3.3203101257636183,-3.4682883651282426,-0.12056661093141759,-45.68041208753309,-23.944579895843006
43,0.9136293283967103,-15.490529843393773,-48.37580595497505,-29.875005960482866,-24.037950391095062,-20.451881514628635,-0.38383794628594914,-2.090003158318993,-2.090003158318993,-2.090003158318993,-0.11320977643867844,-38.1877697075719,-23.29241112742782
44,0.9158498467514339,-23.848679135616834,-53.26154773403227,-33.344970474567816,-22.78903285612268,-21.589703141938273,-0.20914029491580632,-9.92967019974244,-10.188534396504043,-9.884368431550513,-0.2330548319327757,-52.85617440421657,-28.551847123196683
45,0.9226435667555125,-17.29885248066501,-51.506067133560386,-32.400736120423296,-23.50925323385743,-21.686278426391517,-0.2206401026879559,-1.1491146289688299,-1.1286565574122358,-1.1286565574122358,-0.016464132919561947,-41.450837075771915,-24.708623827612875
46,0.9102436373516891,-17.568524982232507,-51.58701699230346,-32.50399724681348,-24.34862203235559,-21.385800460452163,-0.8401025218760857,-5.918970727083912,-4.8417089180609345,-5.884601788434423,-0.03201836658962989,-62.6341388330766,-24.383179989348683
47,0.9136472514478032,-14.169438726317349,-48.55028423042934,-31.782310797615153,-24.67205050402894,-22.63911474641642,0.0,-5.183263714529537,-7.266477945877045,-7.149048887652127,-0.25055112880903374,-58.15721373585578,-22.83921455795425
48,0.9131985371898329,-11.672175898872636,-48.47439159512196,-30.96431456482808,-25.324567928015398,-21.9030373364529,0.0,0.0,0.0,-0.641508194247895,0.0,-48.84765083643693,-21.882481750542055
49,0.9100030039050766,-11.245479930935424,-48.46449076501469,-31.744603105697536,-24.00234476940791,-23.1583883221108,0.0,0.0,0.0,0.0,0.0,-61.8925537354257,-21.923391317928516
50,0.9208907295699409,-12.855449116529783,-50.1995700227323,-32.921650847667415,-25.14282500191278,-23.53002991198293,0.0,0.0,0.0,0.0,0.0,-57.28509347930846,-23.24935494788722
51,0.9192012380215463,-14.601672868086647,-50.94695762763325,-34.17364617617803,-24.464407544704006,-23.059912948312938,-0.759998782149194,-8.065976948806533,-7.358978142910073,-8.065976948806533,0.0,-56.81019379985064,-23.23109715322393
52,0.9239074237401539,-11.560556134034268,-48.78879161382745,-32.999375284258676,-23.868851156109127,-22.90306740300263,-1.321361715916334,-8.885932827513878,-7.325832686488923,-8.905080829090414,-0.21757181291238126,-58.73331570495998,-21.072839491490605
53,0.9134290918864036,-9.321018369485271,-49.64697456732637,-31.956937058488663,-25.108866324992224,-23.44906299916837,-0.02962804175803102,-6.294875661911279,-4.639356659418544,-6.44693918972717,0.0,-56.78195751069407,-20.481601057653815
54,0.9237386862622099,-10.47655512747765,-51.444599489101805,-31.921932226098832,-27.553236041169832,-22.725203877100604,-0.395964080972701,-5.64005595236522,-3.8752419541807424,-5.79980466118886,0.0,-49.93292519870307,-21.443054797889324
55,0.9142530258324802,-15.171828248433535,-55.85332956985427,-33.02556036436002,-28.873945593420583,-25.30715193882187,-1.0281446820107336,-5.678893529374269,-2.451748252313919,-6.407112262000329,-0.03688791028333878,-51.72635175208232,-24.591818135466195
56,0.9240229816266683,-17.339680121816674,-57.94637684520325,-35.71502974641689,-27.464645814096254,-25.611064934615367,0.0,-3.032609132376525,-2.9068601621972605,-3.354198066903811,0.0,-48.75173060179547,-26.235861888120144
57,0.9157656450123611,-20.047430252233024,-58.96887916984169,-38.86684374088952,-27.13541157210546,-27.244646406456337,0.0,0.0,-1.2201449320517526,-0.09614799054929832,0.0,-45.315252509351396,-27.363171414081304
58,0.9206022235012572,-16.975148600700937,-58.89976227837587,-38.022340759644806,-29.476505309414488,-27.617241390196558,-1.1729541459223543,-0.7051472078856447,0.0,0.0,0.0,-41.80754197140493,-26.729025098832008
59,0.9264075840904257,-18.18351335733584,-60.70050024398827,-39.776970835692104,-30.59514862580089,-25.715205271564802,-0.06786282659700438,-1.1152417050287369,-1.405675080222177,-1.405675080222177,-0.09137825233077053,-43.48158180427715,-27.052241894868956
60,0.9227866740290815,-15.933913799833777,-59.148214053203326,-39.555229359955156,-28.572449630353375,-25.909771955634827,-0.002692287151055027,-0.351976239771006,-0.22804149448369093,-0.351976239771006,-0.014467790254069603,-42.32346164854079,-25.694244570629323
61,0.9121188753114249,-20.315248217667335,-62.34158218045204,-41.29417106834532,-28.691111531203898,-25.15168290518375,-1.505186131802209,-12.436879515787968,-11.799558461022452,-12.436879515787968,-0.13265976857372413,-57.181798909810595,-28.65747744100193
62,0.9181922196796338,-20.00150798646804,-63.757030157831004,-39.75587610526849,-29.215998480443115,-25.202514828967974,-0.8246658214249571,-8.871550819114288,-6.628625225310636,-8.975232123073626,-0.18071016213832983,-61.54189581340218,-29.061808814631654
63,0.9183164643376569,-21.840281242090263,-65.61887106177628,-40.831092907350666,-30.955026975631547,-23.855236665117374,-0.2435707678977233,-9.420078539082809,-9.404284687812675,-9.52678064308719,-0.28004321568517304,-59.45252161236746,-29.903069414620077
64,0.9223436551305404,-17.223850412030753,-64.61198603327195,-39.17358858288707,-31.25856367998729,-23.713856434203233,-0.0697088520192453,0.0,0.0,0.0,-0.0011312834792131625,-49.69675942155306,-27.613485750792712
65,0.9231509320505111,-18.939154757035695,-64.4808645563345,-40.271620534849355,-32.48636112935365,-22.78773236725096,-0.12445072945367627,-3.466032977781429,-3.4125095386399598,-3.466032977781429,-0.1951078762606768,-53.39251368217525,-28.799108240141358
66,0.9213800218473116,-17.003619084072188,-63.962270589104705,-39.79693429055439,-33.21873365573173,-21.772254995152515,-0.030017419043230437,-2.1735611797850294,-0.6149684835485366,-1.59886214012454,-0.015485035493407448,-50.97133490589971,-27.997337308016192
67,0.9220124660761684,-17.529072890525626,-64.47146511255633,-40.658809365341476,-34.228379283947426,-22.437021693761697,-0.3971456263201171,-7.704064838109583,-8.205421016701777,-7.977511538525742,-0.1060517462896278,-51.336113334163514,-28.539244878073415
68,0.9240836128413992,-16.75587270862379,-62.79631789433498,-42.057361050334954,-32.31730832581642,-24.68924788227477,-0.22538393683918903,-4.1863894134622,-3.912411143247172,-3.989519501303149,-0.26096081499267204,-52.67914821438389,-28.2371463467296
69,0.9179961234531087,-18.623584458517584,-64.57818676044879,-43.02096871776599,-33.61959496710674,-23.379153154657452,0.0,-3.0179112266051664,-3.292393616354593,-2.905827429654755,0.0,-55.130064110915086,-30.15389127904963
70,0.9233647115616703,-20.42606461966302,-65.20908810770403,-44.55536799234458,-34.63913049724629,-24.57009189631109,-0.2150736298845861,-1.827550313095756,-0.9144039928174109,-1.7235538864777418,-0.003151741590825926,-56.575981360298044,-31.956827542575855
71,0.9225066778714848,-23.2176291568167,-67.5259768247474,-46.452962937488785,-35.09073720615456,-24.66026340359118,-0.08873879598029119,-2.8772700345540194,-2.876961204417766,-3.2713407102792376,-0.07186545794758771,-56.48377357322208,-33.76995084336413
72,0.9211605832859239,-23.086452362841555,-68.54915470362063,-46.70267854455643,-36.212262074725494,-24.076884608842963,-0.5005491404284087,-3.6671857257268075,-3.1988644820697614,-3.9303765602631247,-0.11863590398846742,-57.56770472513639,-33.74760380199381
73,0.9244455202880572,-19.77926389089824,-68.4804255999616,-44.524187585691685,-35.33711895088335,-25.080115792345655,-0.08776003246059613,0.0,0.0,0.0,-0.06488172470211286,-58.48126798111849,-32.06666873428827
74,0.917175134416722,-25.06402842453142,-72.14624479601947,-47.565430610536836,-35.19481329258254,-25.232483980511805,-1.5928136859448967,-5.836294809628434,-5.534880245487,-5.801593818266615,-0.19246318792678577,-58.971797243111645,-34.90430335025255
75,0.9129161436853744,-30.038410412444872,-75.49657356080023,-47.954972011229124,-35.75030553418111,-25.330642370826887,-2.643653682060697,-13.342258269726399,-13.800332817680907,-14.206434696393792,0.0,-71.50810615302383,-37.559324175508
76,0.927874416631311,-26.15616628654357,-75.26679513019796,-47.13537588110155,-36.894824042223476,-24.739125368920778,-0.5019665439894528,-1.6013632523535015,-1.5824737791608905,-2.4017112463125967,-0.04556835461310293,-55.4963273486914,-35.21979501228675
77,0.9237524351865728,-29.99350249857563,-78.83909610328477,-47.88507373315024,-37.16973801298868,-25.444022865670366,-0.9931808960144941,-4.514826833073852,-3.7093205460510728,-5.544147754742408,-0.23899524640653233,-52.82966314438884,-37.9914881107705
78,0.9236378058453841,-28.78364695793211,-78.10270780386692,-48.21951340148625,-37.69689378945553,-25.524931633662487,-0.44607617609234396,-4.512477473546406,-4.612213173368115,-4.512477473546406,-0.15864907984815926,-58.690453216405956,-37.164606932876424
79,0.9221473671490288,-34.10989897939837,-81.59674618723238,-50.270180655607575,-39.00016284165808,-24.97521797184774,0.0,-8.259168532279999,-7.583702072268641,-8.199174967157184,-0.04994039873696735,-61.9951077627546,-39.9304724224555
80,0.921849119108568,-32.79048056154709,-81.57563087629016,-50.05691897439929,-38.394052018412175,-26.4272136764435,-0.11282381543018251,-4.103479687766207,-3.86882227820715,-4.087221018071013,-0.2673077760181368,-66.88169699117404,-39.793676573618704
81,0.9160213698301218,-38.05647807814211,-83.91369824498676,-51.522604308842055,-39.72710172176004,-26.937391995837242,-0.8147916851096679,-14.346745289030222,-13.85204929343825,-14.381073987078304,-0.5568789295173842,-72.6962578004978,-43.183573075937446
82,0.9235821076206041,-31.626978269177762,-82.16039368474836,-49.54760311042735,-38.9899200857297,-27.283377254995834,-0.13425847464634086,-4.53383396094757,-3.9111714109889215,-4.7080937019745495,-0.04950650479119084,-69.35933137787391,-39.60397830739368
83,0.9309842041312272,-27.03305762384969,-79.84438246783023,-48.4980228020326,-40.03576099813702,-26.587473039105266,0.0,0.0,0.0,0.0,0.0,-62.858998669539965,-36.196957197102115
84,0.9245941070354781,-33.146188955213255,-83.36157683044324,-50.66211543767072,-39.3584526050284,-27.931626536023206,-1.8195370093308318,-9.739097510908898,-9.628957086163233,-9.846123363187878,-0.35150917707174234,-71.97034637255472,-39.87173795958589
85,0.9282313949984935,-35.44562914962804,-85.04911512426669,-52.63523857049231,-39.278204621952085,-28.242531663616703,-4.5338947369862925,-3.529473165985624,-2.9991445235420824,-3.7256892525127996,-0.057766241466069734,-60.768328121604156,-41.230106712653914
86,0.9270575282135975,-33.70042350770456,-84.63998428097645,-52.91250376189079,-39.87380969248479,-28.093485566372514,-4.562485843635309,-0.11917721015808379,-0.11917721015808379,-0.11917721015808379,-0.005071370645024842,-62.0765649170672,-40.33769293693711
87,0.9195000304117754,-43.57026716543106,-89.47082799116959,-56.55251631181766,-40.40685732564891,-30.160693269848107,-4.814144125262749,-10.290066973220325,-8.1565340347179,-10.141581175882925,-0.04735592013712876,-72.09352584126925,-45.75429509134071
88,0.9186994333505045,-44.71501132374974,-91.5200979968647,-57.89396446803201,-41.091405676449426,-29.870552424219216,-5.736925006344334,-2.4562898669832753,0.0,-2.4455822038026067,0.0,-65.17212758926418,-46.57919452547328
89,0.9221077439042813,-47.38430175010924,-93.85654613467237,-58.83314183665215,-41.764967898790985,-29.22043647753499,-4.048226566998229,-6.201840786748796,-2.7528026044523406,-6.00935168256721,0.0,-69.18653086037786,-48.293381135687156
90,0.9303637306015428,-44.60854893284752,-93.15286861504076,-59.27465419493229,-41.89156030839408,-28.448775041646442,-3.822170388929598,-1.8559439553934656,-1.5882612172569972,-2.1681793716554196,0.0,-65.82979266606361,-46.36063081598673
91,0.9289153725773445,-50.20608550533772,-95.53907226437578,-60.79258065696698,-42.54037674887834,-29.26894037456874,-5.322579797384196,-10.877440122857063,-12.582312864185155,-12.50972024065818,-0.30061062894362783,-66.59537521438253,-49.86252579153
92,0.9278621844718268,-49.49716462404712,-95.04170096522897,-61.18457355673476,-43.73784826966119,-29.36525646872843,-5.881105831247048,-8.144908848651193,-9.748372999462001,-10.07704172840006,-0.2549685660782744,-65.10740545760514,-49.26500851273661
93,0.9235620737521878,-54.135347648500804,-98.2286373017558,-62.939828241579384,-44.71340981705977,-30.06240706199299,-6.45464558975444,-8.110766974452494,-8.772557827907397,-8.303369236233904,-0.22337180333061055,-60.49384148793908,-51.80567028435142
94,0.929956091878491,-56.004335360530035,-99.15699722434,-63.75834714880979,-44.06531681926744,-31.540905255735456,-3.999379633653756,-9.946594793856809,-9.94732342266655,-10.6205817850646,-0.16233992197926522,-62.9896301870486,-52.993430959505325
95,0.9301016702977487,-55.669038966220654,-99.5134685600507,-63.22870834140309,-44.27258511138885,-31.69655926731184,-3.440864839259206,-9.818901032857404,-9.214502553863674,-10.618041407373855,-0.36162168191447663,-68.49737752481121,-52.93999969688463
96,0.9245288707975275,-56.31797229238863,-100.81369703785134,-63.13984942078385,-45.247789340661285,-32.448744464516096,-3.898054563167587,-9.738967335401385,-8.835572700137906,-10.133025939087325,-0.21014514851820537,-74.52718528143386,-52.92317570842507
97,0.9240704500978474,-58.06073058310938,-101.42631395303704,-64.50225900825,-46.15742812737202,-32.58839419919212,-0.8333467212795488,-8.612994166125693,-7.494613476575724,-9.46391541471647,-0.04978024351250034,-72.22248826831742,-54.08502837126821
98,0.9199745469971516,-61.89274301243137,-103.82281839559387,-66.20497343849812,-46.32288873550802,-33.96392532423963,-1.0963375412026197,-10.221960411326044,-8.996420578688532,-11.088710442324139,-0.04721610510337117,-69.12040604452788,-56.57282850140541
99,0.9280555809488984,-63.41626442284249,-104.64105720196517,-66.90362871484473,-47.07963926948464,-34.79175970418892,-1.572142473461206,-8.415344936598247,-6.550203146711741,-10.209447986050519,-0.01645946099113286,-64.02790786311031,-57.450638013946936
100,0.930498725019273,-63.45888325703267,-104.86462804896638,-66.31507004330496,-47.35916013012521,-34.31176250098115,-1.7472138496495355,-10.701112160820065,-8.059012539571267,-12.303738085919845,-0.4272335038134318,-72.01959310510615,-57.42466036247329
101,0.9229868140449944,-68.49756100010491,-108.04353492746786,-68.87225248897354,-47.50746897398042,-35.74987712266147,-1.892067341771483,-12.497341168442748,-10.365928093616919,-14.836234585262742,-0.09902759697965641,-68.19458113006688,-60.13666598458899
102,0.923310418712615,-74.33620664905855,-112.01173950060412,-70.28758929672597,-48.32400445432452,-36.305725322190945,-1.8155821197686042,-20.73873742485037,-16.16672737285286,-23.222525276398336,-0.47148552771320124,-76.06558731338505,-63.34057366567417
103,0.9274481023275319,-75.58439635493852,-112.41138987370574,-72.44962536874142,-49.11114100575556,-36.41593849545185,-2.417228027235741,-14.791004914940903,-16.52018815182359,-19.8742073610729,-0.1508427400724874,-75.57280644013004,-63.58825442621486
104,0.9302410296885435,-76.12727151380099,-112.27270011230092,-73.49711719158626,-49.55311802423854,-36.09577037282985,-2.965416607697383,-12.312656570143698,-11.655668141879094,-17.446781001016266,-0.24631717598258232,-74.5735944707814,-63.211872984839395
105,0.9318510049344084,-76.88934516088996,-113.29737643912581,-74.43838545583235,-49.66788678339732,-37.012203008582794,-2.5379435443317933,-9.494496585928525,-10.768378639773019,-13.95765228617216,-0.21737563381614503,-72.5684876187417,-63.1413183892805
106,0.9270068600312914,-79.35600602976719,-114.2632302019478,-76.02571938822044,-50.479562977911705,-36.48314150199145,-2.652733197480687,-9.361607964302653,-11.182674710398667,-14.227478255368798,-0.0006960053749891712,-76.83072107188431,-64.15879947682018
107,0.9368103113131374,-78.31788457111747,-113.92955839310943,-75.35031947358722,-50.45785968468406,-37.12607727664132,-2.606662133297996,-10.051533945235004,-11.009698779008854,-15.61733110332165,-0.381719812965004,-78.68321774501608,-63.87520370566171
108,0.9349951420937576,-76.76518987997419,-113.64690993626282,-74.87010120447712,-50.86270263212996,-37.569332808587156,-1.3650446908327876,-8.606099593664675,-8.153019923497377,-14.041207175128116,-0.35153099048119424,-81.52485542639864,-62.39249567752897
109,0.929644767686482,-83.03170045366139,-116.14439362758844,-76.97275667464501,-51.89140111289135,-37.480053357071185,-2.476397166698898,-15.444924334191047,-16.068614280021144,-21.44609246851091,-0.6910929921259125,-80.70893763313968,-65.97996031309795
110,0.9313889552952427,-79.85092061273325,-114.59050675100043,-76.62394590438105,-52.61116060540038,-37.56733925185797,-0.34934437397435464,-10.155170777181937,-12.434563415460115,-17.00525595076386,-0.5907944496261452,-82.91646704719359,-63.99271931942433
111,0.9280024049301068,-83.29794964025548,-116.53120870757608,-78.18429597725924,-53.083393197893784,-37.604432377023365,0.0,-17.273727660278606,-18.222721678572764,-24.073281801658627,-0.9795567269814028,-84.617144625132,-65.86608082541339
112,0.9253388946819604,-83.42752063705322,-116.55755175222978,-78.48745462370002,-54.54462841769578,-37.56865876166331,-3.0756111880373025,-15.014600055285825,-16.23122425950449,-22.390969571574793,-0.8457916102473,-90.01343875405605,-65.97006827091361
113,0.9381934394597202,-79.84157907595797,-115.11382358101501,-76.94180652083523,-54.90684850932051,-37.44447765482439,-4.895242682772488,-11.77670651888024,-9.408443001008703,-18.711234023645233,-0.7968256446367146,-89.50418100705656,-63.25282972484666
114,0.9280646315287384,-82.9931281944268,-116.61655593417795,-78.71241670279316,-55.20547278321839,-38.79496269073273,-4.694603084625732,-11.56419982690838,-9.505074616751932,-18.749739628132414,-0.6221909058727962,-88.09266735149274,-64.64468811317155
115,0.9320652173913043,-85.90905381517584,-118.76859220404934,-80.24625959167469,-55.897157577229336,-39.024308651445,-6.096241132989413,-12.521158954585236,-10.86760051850628,-19.039604149283374,-0.6078322982115761,-89.09816286136908,-66.24855323655501
