episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,starvation_variance,imbalance_hotspot_distance,starvation_count,congestion_count,imbalance_asymmetry,hotspot_imbalance_mass,hours_until_peak_fraction,multi_horizon_starvation_risk,multi_horizon_congestion_risk,future_net_pressure
19,0.9423624070731483,-66.29882174228315,-30.80913545467877,-12.953802742430227,-26.093387429432063,-9.924935614697285,-87.6288392850913,-61.29955390794506,-45.86930799777538,-17.983139196330683,-2.695133095983292,-6.5469673871048455,0.0,-21.874416002755556,-23.04434062458253,-28.244539242647907,-39.238416465606804,-27.060405276676455,-21.874416002755567
20,0.9384173006649494,-67.93304520627066,-31.314450641942706,-13.155451500014632,-26.41415281147214,-10.03884261383126,-88.24847096443996,-61.88291338825638,-47.165907590951136,-18.245128488495407,-2.762233777343668,-6.113204929427922,-0.02882724457810796,-22.245182771504375,-23.66713726661179,-30.22898038393862,-40.15317519861969,-27.77987000765109,-22.245182771504385
21,0.9363018684785246,-68.76207857045694,-31.593445169074652,-13.081712621993558,-26.570332780444858,-9.88506504762754,-87.95102398223422,-60.78837121420801,-47.96794832562062,-18.414116730006196,-2.5513453593938604,-5.744911535815286,0.0,-22.29571905721121,-24.0387920279329,-29.740293574718926,-40.582369269904405,-28.17970930055278,-22.29571905721122
22,0.935680963130173,-69.57728416483255,-31.859903330629944,-13.121155186253292,-26.713383289503327,-9.852308211526488,-87.16544820452727,-60.03755638140532,-48.72116359085928,-18.55390086367798,-2.3483562007802536,-5.3666258574895265,-0.03013773275932144,-22.18703241448045,-24.304034827220487,-30.128932887586284,-40.98482876254672,-28.592455402286127,-22.18703241448046
23,0.9428425388616615,-70.2873933193207,-32.041396422045324,-13.15449301016025,-26.78401500336294,-9.821525335883525,-85.82598770253792,-59.06173737863769,-49.44043871121841,-18.62745267577139,-1.4806786415359656,-4.984462388408706,0.0,-21.916348868282377,-24.473549282221203,-29.66293903999804,-41.31727835432829,-28.970114964992597,-21.916348868282387
24,0.9356544866563907,-70.50630798575982,-32.047093206102154,-13.063296108976292,-26.694585299603762,-9.692017273022905,-83.59383426413189,-57.32084747338563,-49.9063988725395,-18.581849901347265,-1.1504117780156693,-4.446959706753873,-0.00039779653529996674,-21.737005946815675,-24.46655944200644,-28.60541693854482,-41.41598017820859,-29.090327807551173,-21.737005946815685
25,0.9359524595576098,-71.55467012315911,-32.42871376588708,-13.17468247357164,-26.951288064166615,-9.727612808381002,-83.40288981777803,-57.074698431488436,-50.805124627683924,-18.776365008575365,-1.4678394403985233,-4.170479145807643,-0.008603764663515173,-21.84716065892773,-24.811724648247896,-29.0222309292335,-41.99056931254082,-29.564100810618317,-21.84716065892774
26,0.9333192783784597,-73.58435193866976,-33.05949743083735,-13.594452867065224,-27.39365878631025,-10.02862773889272,-85.13076203038061,-58.73413235090281,-52.210773731832745,-19.13418815910728,-2.746068148207846,-3.8544589577784842,-0.037726216610292934,-22.1370348928265,-25.636232479296474,-31.74148764140586,-43.08171228445123,-30.50263965421854,-22.137034892826506
27,0.9479129290754694,-74.21640390971857,-33.31940177377382,-13.684240321293142,-27.553889742349842,-10.064264144236295,-84.32810910434893,-57.99046188627457,-52.83554420528006,-19.269394676725643,-2.195687145616993,-3.573590095694696,0.0,-21.936900688052706,-25.72607756677282,-30.06483914561641,-43.382406586411975,-30.833997323306694,-21.93690068805271
28,0.9449305974652987,-74.16044576221115,-33.21165799352267,-13.483149028685183,-27.368598330086094,-9.820369588979583,-81.94123298280843,-56.02029356255963,-53.12092126843565,-19.176633464416067,-1.830362321680138,-3.037268130958198,-0.000907986933683271,-21.626070603440105,-25.63556469451864,-29.2611808401716,-43.30665301494611,-30.853792747265203,-21.62607060344011
29,0.9435937313075726,-74.9915494375939,-33.47482564952672,-13.635412311941357,-27.513532380823666,-9.910021828557591,-81.17545665674538,-55.74727009992878,-53.86184880083935,-19.30131857609333,-1.6855395254663008,-2.743291084088505,-0.0016004797424836862,-21.52225141309908,-25.808410393949085,-29.165721304352903,-43.72710072538007,-31.26444871221401,-21.522251413099085
30,0.9388423734983619,-76.20593534223057,-33.84913361473053,-13.773300695928317,-27.76018109649721,-9.964944258571439,-81.68343919579974,-55.99023955466191,-54.81860244099902,-19.512141282429454,-1.854814775591847,-2.4937460925003325,-0.002772315892548412,-21.634263851175923,-26.32790268382097,-30.07680714005902,-44.36521431544956,-31.840721026781207,-21.634263851175927
31,0.9432751693949751,-76.48053759089991,-33.85180973899639,-13.729688823776671,-27.67521202376914,-9.893377673530066,-80.01947642503714,-54.864332028659604,-55.27270049696426,-19.48645425145431,-1.5187055130359983,-2.0429438403658935,-0.001584590560970966,-21.54873322229575,-26.395448678189535,-28.674477730906954,-44.49665031795198,-31.98388727294815,-21.548733222295752
32,0.9411190730294252,-77.75301157126438,-34.26277863978539,-13.958095947123681,-27.95895268002431,-10.045595003740628,-80.63114842165967,-55.55727592729769,-56.247129649883696,-19.710778083522992,-2.3488617454800704,-1.8167078292521461,-0.02161111968559377,-21.71415204178579,-26.872114236575893,-30.086224147413247,-45.180066371861805,-32.57294519940267,-21.714152041785795
33,0.9348662431779547,-79.09704176092973,-34.633172553517994,-14.187268677544804,-28.178184807751503,-10.189934156990706,-81.05452116049591,-56.16175827798708,-57.24364547591482,-19.90380407450002,-2.927497577549839,-1.440780583087516,0.0,-21.81873250915624,-27.370063152152465,-31.51354855293046,-45.87913849774843,-33.21790326318132,-21.818732509156245
34,0.9422289613343442,-78.9319386488443,-34.51825194383279,-14.052638778908424,-28.031717800035057,-10.030624601473125,-79.07073919030127,-54.46861105100596,-57.38630336695564,-19.82844875615337,-2.6137953672708667,-1.1112189137867634,-0.0023584807068299804,-21.489194994334238,-27.272950354239782,-29.162345912523328,-45.73898772814145,-33.19295092070261,-21.489194994334238
35,0.9325214253495715,-78.7166190219352,-34.395317914565254,-13.834691032445399,-27.864797147127327,-9.792154628643988,-77.00444444610146,-52.28749262556009,-57.53879553514084,-19.73018976103774,-2.387927553467853,-0.7431558443522858,-0.005547207579945462,-21.297265237039607,-27.144066708283063,-28.23310796460679,-45.60150535419636,-33.115113667738285,-21.29726523703961
36,0.9396549100757737,-80.39564770146482,-34.98560212356369,-14.178365974701123,-28.309380415930793,-10.052313503616013,-78.6416727671561,-53.728785889944625,-58.724185003607474,-20.059584156536847,-2.756488721293963,-0.5884386291217228,-0.03999821556418886,-21.616939830957747,-27.782813006094976,-30.62737267443417,-46.52127035833776,-33.874377343126355,-21.61693983095775
37,0.9340855466150402,-80.45586590034235,-35.0166854102016,-14.052110193316949,-28.29364947791365,-9.900900748763787,-77.37504112572175,-52.25978129706048,-59.0046868726706,-20.06229415555077,-2.4251741860936797,-0.3199745792356977,-0.004918726607508724,-21.475035065998636,-27.77386969028031,-30.40136271945376,-46.53226763156865,-33.923598268773155,-21.47503506599864
38,0.938847178493582,-81.12165611958993,-35.27529040923834,-14.15805848893602,-28.48282323285095,-9.953818982957788,-77.26539503156037,-52.115352177705404,-59.616821709554905,-20.198057201258553,-2.4697441839204317,-0.21521845319214641,-0.021682283625424542,-21.437633627922292,-27.98160196306485,-30.05793906743812,-46.87711230674775,-34.24454381284153,-21.437633627922295
39,0.9372013233672344,-82.17909825494125,-35.62637877223775,-14.356136977220604,-28.736178669126176,-10.085873529095506,-77.66554577468375,-52.473224152823725,-60.42148236301511,-20.38932834972612,-2.524399827497096,-0.1062866975027618,0.0,-21.539898956984146,-28.313573323444714,-30.33483036199314,-47.44803296843558,-34.73106528650521,-21.539898956984146
40,0.9425342775350309,-82.64422753783668,-35.75943796921329,-14.407509616369227,-28.78984747364206,-10.091053777723534,-77.0267693151838,-52.03270361197708,-60.886933895061624,-20.452958377171328,-2.414788304830234,0.0,-0.016329242954346696,-21.424896654508995,-28.42381208738952,-29.99469174599907,-47.67149195186472,-34.97273558597147,-21.424896654508995
41,0.9357119220240064,-83.2480395513781,-35.943385794920374,-14.487437412939096,-28.893113301390414,-10.129860708044811,-76.73263006411342,-51.80363610018569,-61.43134964289217,-20.555370307858666,-2.3849225581885176,-0.032626979918190364,-0.03735335663262384,-21.40384622585,-28.669761051300593,-30.02305431085666,-47.9735436190852,-35.27449593229222,-21.40384622585
42,0.9394530078570144,-84.36040947239015,-36.3380467891655,-14.713479840782302,-29.19105303644875,-10.288580519923787,-77.6100751670735,-52.545979755084815,-62.25434779206535,-20.782463025103638,-2.6293124159369814,-0.03566679903919298,-0.026712300511857225,-21.526941557298557,-29.110907653344228,-30.081116630514856,-48.564086363857356,-35.79632310853222,-21.526941557298557
43,0.9386770994450004,-84.11209460774637,-36.154202846260056,-14.542088935009005,-28.979467813423337,-10.106963853242652,-75.5579376479356,-50.8223357095569,-62.32596725646005,-20.654146903364605,-2.2185250492103354,-0.013798606294918204,-0.013889625340691873,-21.270369262932988,-28.982320148992407,-28.435766151923346,-48.39581000321614,-35.71628460452957,-21.270369262932984
44,0.9348613502761118,-85.70614326761932,-36.71810766420536,-14.893159562459903,-29.425759828843308,-10.373400135463143,-77.48208161543592,-52.68363075783512,-63.404975787798804,-20.98784916110205,-3.0431167196136646,-0.005281213655772954,-0.005792158754725775,-21.574742757433565,-29.678582494396956,-30.148268552710526,-49.27003230550258,-36.43611096211577,-21.57474275743356
45,0.9445654146252949,-85.92693192118865,-36.81294410134564,-14.843492567904535,-29.475021533721012,-10.301639595847899,-76.61589033725801,-51.65519621955051,-63.7325614016624,-21.039500301102088,-2.5868903515103323,-0.0009939882822908883,-0.0009426876111425585,-21.410337940861414,-29.687826971287567,-28.784280241179175,-49.3658552838065,-36.561076637381085,-21.41033794086141
46,0.9388297872340425,-86.37922334433745,-36.93629371100448,-14.88920325885055,-29.53140145571176,-10.305737126373113,-76.34158767820036,-51.41304384587771,-64.18025939079413,-21.105853878017957,-2.6174775198157123,0.0,0.0,-21.424683972529255,-29.886271505408455,-28.51414133985042,-49.60294799095091,-36.77627535338558,-21.42468397252925
47,0.9424613267107507,-86.8966763693477,-37.084321835267076,-14.948722094047312,-29.61527806875222,-10.325257309890032,-76.26423747566746,-51.29471084960497,-64.65283375313167,-21.187011138227675,-2.7779086820884604,0.0,0.0,-21.474934247324146,-30.112388780797293,-29.147137954226277,-49.878744458282895,-37.01793191106382,-21.474934247324143
48,0.938270477581956,-87.08531352360146,-37.07181313003584,-14.887107701442133,-29.558436793613712,-10.242319815781814,-75.5128775419293,-50.7834426120087,-64.95151701218275,-21.169973761083263,-2.7735242388174455,-0.01581041077385658,-0.009882039851029907,-21.467768627074342,-30.309702549388696,-29.10517216591036,-49.96769771490477,-37.11761580869586,-21.46776862707434
49,0.9401597329836691,-87.72050537221116,-37.26342766319467,-15.01078384526901,-29.6873911448466,-10.326742303214475,-75.59620630546196,-50.90567312624841,-65.46982403242517,-21.279464086716377,-2.781834733511199,-0.0013765728421533737,-0.004900456920901088,-21.460320785577718,-30.590198265346274,-29.620253323937327,-50.292949421838685,-37.427555950371506,-21.460320785577714
50,0.9406827923148398,-87.90016624113784,-37.29345127626873,-14.943115065562457,-29.67213211299598,-10.235949135362562,-75.18898196590756,-50.23422371289847,-65.73765996361875,-21.30690731584983,-2.7760150338201566,-0.00018647933407492097,0.0,-21.45143897056875,-30.758551785166876,-29.754747226272013,-50.374886092203546,-37.52528014893342,-21.451438970568745
51,0.9364419364419364,-88.46988826194406,-37.463630544466014,-15.0061652106403,-29.788389126104484,-10.257784809920947,-75.4461348187499,-50.26766344361439,-66.23623384998812,-21.412361907872896,-2.5767458733750366,-0.02251370276583211,-0.006565341176887414,-21.54435656273217,-31.068484603017684,-30.681996062040124,-50.68178620835323,-37.78810205358988,-21.544356562732165
52,0.9404826875265296,-88.58216849022257,-37.51601530020441,-14.961237843686588,-29.811972218018777,-10.191777127242636,-74.65776887927042,-49.26880041300951,-66.46423696213452,-21.43699423689178,-2.282745452818464,0.0,0.0,-21.46548621484138,-31.07708347487512,-29.663115710816697,-50.73546857483371,-37.84669991538777,-21.465486214841377
53,0.9428197423615863,-88.20452050980786,-37.352083418156745,-14.767453348771063,-29.632866675860356,-9.999424655926017,-72.86768784106202,-47.59908425353114,-66.42391608876606,-21.327929493840628,-1.874387665251584,-0.0030076086684478875,-0.0057984983841275865,-21.266113162619067,-30.919869934929288,-28.16955762705932,-50.51081443095973,-37.693706078847185,-21.266113162619064
54,0.9326085003144937,-88.93938081396692,-37.60058903920373,-14.885724228202909,-29.809011948527516,-10.077845204695032,-73.4459401651655,-47.92058172865118,-67.01144450372061,-21.46518757682215,-1.9168570454753437,0.0,0.0,-21.520682956781577,-31.264543162958024,-29.626363873288753,-50.93414551873002,-38.00523529523571,-21.520682956781574
55,0.9357158090363464,-89.5144667106563,-37.77664644231775,-14.989365050177152,-29.9249606956395,-10.142147551342568,-73.68922626601967,-48.27835798786815,-67.49435166850736,-21.561533359339165,-2.31405344874431,-0.004915963727991065,-0.006844426783165317,-21.667649353859655,-31.50825500908855,-30.270493927804612,-51.25752874836288,-38.25693796229227,-21.66764935385965
56,0.939606656580938,-90.32900168755275,-38.04465873884996,-15.15952600395428,-30.124334038892677,-10.26901925209478,-74.35566979937721,-48.97236251352097,-68.08901050356783,-21.71582751107826,-2.563859554976636,-0.0049051188996897385,-0.004232824901935575,-21.86499744855816,-31.875253833734092,-30.65012049340356,-51.709762413904954,-38.619239273646635,-21.864997448558157
57,0.9436776424597805,-90.5979027369652,-38.099591303256716,-15.161044280477608,-30.135877718719087,-10.248939035528739,-73.99504939759056,-48.72227756515459,-68.39369533605495,-21.749557519041524,-2.442148575796198,-0.011633119279949457,-0.006264882587291773,-21.91865849177691,-32.046277151099154,-30.535946469837405,-51.85780115917066,-38.740101577793574,-21.918658491776906
58,0.9415988223630847,-91.2289827606327,-38.275859596502514,-15.27297682032234,-30.24490883694565,-10.322449901546571,-74.37757728600086,-49.12176573140397,-68.88685334783521,-21.85672016692221,-2.7439019255989345,0.0,0.0,-22.05949420230965,-32.356922457593384,-31.16990809420112,-52.20199240294444,-39.026990357687424,-22.059494202309647
59,0.9432954308055034,-91.32540733584744,-38.24627265110945,-15.217636930547881,-30.18190010410855,-10.248513099537151,-73.8495659090119,-48.5551591260098,-69.06461517889758,-21.84969345922608,-2.791984351107636,-0.0015065765584324545,-0.0009445882535921261,-21.984320500418757,-32.49382107948121,-30.640054917299814,-52.228490023824456,-39.09691731202231,-21.984320500418754
60,0.9400146305779078,-91.75821546830996,-38.377460458551944,-15.303884753932754,-30.26047407007412,-10.30465744371127,-73.95676376243262,-48.74649652885182,-69.44666154231574,-21.931291637593276,-2.5509126807470186,0.0,-0.0037298155191395365,-21.990945837301396,-32.68536158023879,-30.756511862901267,-52.45040566791369,-39.307809800395944,-21.990945837301393
61,0.9393015685113939,-91.62473831288216,-38.32678508057786,-15.219562098080825,-30.192392443743127,-10.216876300672098,-72.93894047102029,-47.67905368668671,-69.51244324426382,-21.894539368275503,-2.208281600725725,0.0,-0.006403986302502828,-21.836309928896778,-32.59514085854428,-29.311429126709033,-52.35829647377545,-39.2664418391063,-21.836309928896775
62,0.94299693822417,-91.6989425191952,-38.302229909507965,-15.186955134134037,-30.137487869541943,-10.167440598677581,-72.25397151296929,-47.16006529032659,-69.68759228391264,-21.87432700161569,-1.9830261316515119,-0.001643072136534325,-0.0006578805960747768,-21.723956595035123,-32.664576501879324,-28.66961220875972,-52.37593578918488,-39.32300673001012,-21.723956595035116
63,0.9372342336946757,-91.98675471471586,-38.3423552443103,-15.1893919684698,-30.13855808365193,-10.143972391268285,-72.07901566080774,-47.029310106666436,-69.98596044120627,-21.894722464209206,-2.193388530628678,-0.0004553148533311932,-0.00619360323504267,-21.777802149150308,-32.85744569945427,-28.755775215689777,-52.527336189276596,-39.459418525438934,-21.7778021491503
64,0.9398296547302867,-92.07234503046502,-38.30595688983663,-15.166148139875363,-30.0760322421665,-10.10076702412256,-71.46919822465843,-46.5600244711063,-70.16332907855258,-21.871009945479397,-2.2576659785653446,-0.0018630513173079825,-0.001564133014523866,-21.682654467480685,-32.90432215105315,-28.4756560112738,-52.554081662269596,-39.518263368195186,-21.682654467480678
65,0.9431655534351145,-92.73879394442163,-38.51323956642436,-15.321585268048365,-30.221900753976705,-10.221330445327093,-72.01931617928827,-47.35442142473801,-70.65583803431338,-21.987484731348125,-2.5856454311577752,-0.009798096402463227,-0.04690445506954794,-21.822328089034585,-33.193468548329136,-29.507615396787124,-52.920726434127076,-39.818067510294604,-21.822328089034578
66,0.9394196144884558,-93.21137621929395,-38.621581251585525,-15.403932607452033,-30.28315806863178,-10.277076458462474,-72.27256355844511,-47.70006987144272,-71.04733690127502,-22.050400843451236,-2.6860554946120865,-0.009736595164140592,-0.01527267594882283,-21.943287956165765,-33.47358863002664,-30.671463352926143,-53.17969109914626,-40.031685120147834,-21.943287956165758
67,0.9422048232376057,-93.62914786802124,-38.72163724940211,-15.46505888915633,-30.331888810967452,-10.312974285865195,-72.42319073226777,-47.91605384941624,-71.40129020685708,-22.105072280984874,-2.5788879797197573,-0.01136821271107941,-0.019844447438054726,-22.049858224499115,-33.697629690334786,-31.564492004937524,-53.40888602803592,-40.220261839985405,-22.049858224499108
68,0.9388605131946978,-93.53591906785444,-38.63066590460835,-15.425189737855655,-30.22280571900421,-10.262956488856611,-71.4948586475263,-47.218455621709715,-71.45009836880013,-22.04436545998364,-2.2599613973852604,-0.004545537664088845,-0.004570805170548147,-21.890208606158577,-33.65556060309171,-30.59563902131088,-53.332641818362255,-40.20327724949212,-21.89020860615857
69,0.9399391254558057,-93.79808708146346,-38.69463010189078,-15.450268381689492,-30.25414836504504,-10.267816778419348,-71.37030072631967,-47.095215027876876,-71.69909232896426,-22.08296541233289,-2.256329633233709,0.0,-0.0002844001559567405,-21.93473610360721,-33.7988744759849,-30.33979654051451,-53.47543217367062,-40.322654907792774,-21.934736103607204
70,0.941130929339249,-94.17978675309877,-38.80212292141413,-15.547884304903095,-30.324683768528658,-10.341548256939543,-71.32620202987471,-47.28533591175351,-72.01297215244331,-22.139365232943884,-2.3270987223063444,-0.002473223997869657,-0.008973141585226645,-21.911752468941856,-33.93338172593594,-30.29596294734409,-53.66808821389898,-40.51169853919969,-21.91175246894185
71,0.9367753355952205,-94.79576585165917,-39.037493388127245,-15.690786700871845,-30.506666354472653,-10.449810145049874,-71.84291281646,-47.78035157942942,-72.4631131318575,-22.2723078824488,-2.42320650265639,-0.052427824167583396,-0.023168636838606326,-22.083238384487164,-34.16339499147908,-31.036893309513854,-54.0172733503515,-40.778492501307355,-22.083238384487156
72,0.9394686222649675,-95.38533934462268,-39.245092666468075,-15.820195343232209,-30.668920912313872,-10.544902881908463,-72.45149877732186,-48.29534473636591,-72.8974706406323,-22.3973707090447,-2.552505966181228,-0.036881641243709365,-0.027435935677246406,-22.21574541850591,-34.434328683446694,-31.7163041315408,-54.34177183830104,-41.0435675063214,-22.215745418505904
73,0.9383258585919393,-95.31025524330701,-39.193814051430664,-15.774093632848594,-30.603895831773734,-10.490842342631481,-71.60757271150577,-47.54113325281063,-72.96011131195594,-22.362211912946215,-2.2446458939471463,0.0,0.0,-22.11443849018947,-34.38637998562261,-30.99978032752543,-54.28900781088538,-41.02124743242143,-22.114438490189464
74,0.9382936267988874,-95.80789258248817,-39.338415078538006,-15.885365756782052,-30.70370243586225,-10.57491510676423,-71.87113340143384,-47.93795311363601,-73.34109638197918,-22.440965936882737,-2.4028999057739777,-0.00973651880017088,-0.005089509662987109,-22.228955192582667,-34.615859539055435,-31.631847377582737,-54.56260125247338,-41.24529133001461,-22.22895519258266
75,0.934715308971713,-95.80237549873873,-39.31362627366043,-15.856105195975706,-30.662448741509742,-10.534738261374626,-71.23915570691268,-47.42131064942229,-73.4333250626365,-22.423345830525534,-2.333302652288896,-0.006161052712191075,-0.0007109469907723341,-22.161701371933944,-34.61406540166748,-31.039267361711946,-54.54715490939093,-41.255220589347594,-22.161701371933937
76,0.9393000090282585,-96.02820955652143,-39.38303362469953,-15.88131715077599,-30.701261666216453,-10.540733191203815,-71.20922758600739,-47.3520807832219,-73.6586547929045,-22.461709277237656,-2.3786267087975745,-8.572017205879705e-05,-0.00012918046189023982,-22.191167562705598,-34.7298538089222,-30.826398944786426,-54.6684203665629,-41.35978918995828,-22.19116756270559
77,0.9397460791635549,-96.23070293681094,-39.40242903344437,-15.913185972874116,-30.694808034750146,-10.553863523704923,-70.98708024313513,-47.26695717964229,-73.86945266436965,-22.46926084023603,-2.3440123786986224,-0.004802469080233577,-0.009295179495119068,-22.205767504934368,-34.84394308202453,-30.734377927960995,-54.77062813857905,-41.46007479823148,-22.20576750493436
