episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
26,0.9386244659726819,-4.446088718950749,0.068076,0.1,0.171096,0.2,1318,722,1436,33238,37845,37838,0,0,0,0,4008,4017,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9353875840443815,-4.42336706372886,0.067251,0.1,0.170072,0.2,1309,834,1439,33167,38042,38034,0,0,0,0,4122,4140,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9418545768669387,-4.426162770286487,0.066445,0.1,0.169054,0.2,1292,660,1439,33571,38434,38429,0,0,0,0,3961,3974,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9349943909783315,-4.517931411446652,0.065658,0.1,0.168042,0.2,1445,757,1372,33874,38511,38509,0,0,0,0,4072,4065,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9298219272694513,-4.625423985580655,0.064889,0.1,0.167037,0.2,1475,862,1494,33301,37966,37962,0,0,0,0,4001,4015,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9378991011712011,-4.586440152737085,0.064139,0.1,0.166037,0.2,1255,797,1505,33043,38036,38026,0,0,0,0,4098,4105,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9373164739018398,-4.5243397996632595,0.063405,0.1,0.165043,0.2,1365,727,1510,33374,38154,38147,0,0,0,0,3967,3951,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9294276296074319,-4.5667152385447425,0.062688,0.1,0.164055,0.2,1251,1104,1371,33370,38449,38443,0,0,0,0,3945,3929,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9474783023651168,-4.511910740313905,0.061988,0.1,0.163073,0.2,1057,704,1449,33529,38646,38639,0,0,0,0,3929,3931,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9370538611291369,-4.5752634528065395,0.061302,0.1,0.162097,0.2,1591,543,1405,33902,38613,38610,0,0,0,0,3950,3970,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9360967184801382,-4.646477886207447,0.060632,0.1,0.161127,0.2,1378,768,1226,33582,38255,38250,0,0,0,0,3997,3979,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9366708311023856,-4.633287833880497,0.059976,0.1,0.160162,0.2,1295,834,1334,33618,38321,38313,0,0,0,0,3947,3955,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9397873797683214,-4.62145718548264,0.059334,0.1,0.159204,0.2,1289,733,1546,33581,38473,38468,0,0,0,0,3963,3963,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.940529298287919,-4.665288758161317,0.058706,0.1,0.158251,0.2,1318,655,1201,33176,37938,37930,0,0,0,0,4041,4032,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
