episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
38,0.9420255490678443,-3.2105597545275653,-2.8267873546749263,-0.2826701538845547,-2.004457920459279,-2.431177891861049,0.050507,0.1,0.144335,0.2,1268,688,1330,33739,38652,38643,0,0,0,0,3687,3698,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9482800757622044,-2.9145626111806524,-2.7366506032626936,-0.19279066754753585,-1.9374250982729537,-2.337312852338678,0.049857,0.1,0.143101,0.2,1042,651,1255,32734,37772,37768,0,0,0,0,3779,3759,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9416347075743049,-2.9678821877870774,-2.7510090057549665,-0.21165468421399813,-1.9256878019751051,-2.3169191293782645,0.049224,0.1,0.141878,0.2,1299,649,1187,33376,38304,38297,0,0,0,0,3765,3756,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9428877068909162,-3.026374892256211,-2.7660623132240056,-0.2239270577639318,-1.9461784729118274,-2.3339711099785108,0.048607,0.1,0.140665,0.2,1219,703,1303,33653,38544,38541,0,0,0,0,3776,3788,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9397331422942599,-3.0924508374911146,-2.803862813426078,-0.23523381737948562,-2.0085776797423143,-2.3812893572410845,0.048006,0.1,0.139463,0.2,1277,742,1440,33501,38260,38256,0,0,0,0,3768,3778,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9364999257829895,-3.0872690919394463,-2.812156426385887,-0.2397706469739882,-1.9374647688350077,-2.3761172535952535,0.047418,0.1,0.138271,0.2,1457,682,1370,33685,38511,38494,0,0,0,0,3819,3819,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9406002875629044,-3.1285080684501065,-2.8209153665065045,-0.2449129680341766,-1.902086389197621,-2.3987662090587065,0.046846,0.1,0.137089,0.2,1329,654,1257,33384,38192,38187,0,0,0,0,3678,3683,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9455294750044795,-2.9692911437905325,-2.795999682929247,-0.20024152934194248,-1.8314965228049669,-2.400079339987849,0.046286,0.1,0.135918,0.2,1219,605,1211,33486,38235,38230,0,0,0,0,3758,3756,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9363771564544914,-3.0752345003815473,-2.871850395023971,-0.2062306190044665,-1.9617473805021357,-2.510646339472122,0.04574,0.1,0.134756,0.2,1330,809,1294,33620,38385,38383,0,0,0,0,3687,3682,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9418746105687921,-2.8721431603271363,-2.8089183320481124,-0.1303809241670022,-1.865456698621491,-2.4572088653908426,0.045207,0.1,0.133604,0.2,1289,670,1393,33703,38503,38494,0,0,0,0,3737,3755,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9443554964806815,-2.9983038603979457,-2.8557610694159634,-0.18589956478707617,-1.9074995792447336,-2.4976515144731133,0.044686,0.1,0.132462,0.2,1273,569,1177,33103,37815,37808,0,0,0,0,3719,3729,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9436964504283966,-2.9980346493349748,-2.83865384962994,-0.20192154604855334,-1.8140965770131225,-2.4452519793220575,0.044177,0.1,0.13133,0.2,1138,748,1334,33497,38354,38343,0,0,0,0,3800,3805,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9450759842048582,-3.0878134639612207,-2.8624670486266175,-0.21705170214700883,-1.9213926138503403,-2.5297406409611134,0.04368,0.1,0.130208,0.2,1218,618,1278,33428,38379,38372,0,0,0,0,3791,3791,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9375821863767861,-3.364650753567023,-2.9276953784085884,-0.3137617349546055,-1.9486687890226395,-2.5418457981541094,0.043193,0.1,0.129095,0.2,1422,714,1452,34221,38906,38902,0,0,0,0,3826,3836,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9410769834798103,-3.1484787277744717,-2.882469246689713,-0.23061012423337926,-1.8627934033471052,-2.4690362640382713,0.042717,0.1,0.127991,0.2,1225,726,1549,33111,38030,38024,0,0,0,0,3809,3806,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9420174507723146,-3.1765998506589805,-2.8765527633731267,-0.22765186794926748,-1.866289554159236,-2.4608222701164166,0.042252,0.1,0.126897,0.2,1317,650,1333,33924,38777,38770,0,0,0,0,3817,3797,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9431763430498675,-3.283650269352712,-2.890689918305434,-0.27416630434573264,-1.8426601787040662,-2.476395560303947,0.041796,0.1,0.125813,0.2,1256,631,1239,33208,38090,38082,0,0,0,0,3850,3854,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.941693124833091,-3.2515393917639166,-2.883084818414152,-0.25790270477148153,-1.8200807049260925,-2.442415802941849,0.041351,0.1,0.124737,0.2,1229,736,1225,33701,38502,38492,0,0,0,0,3787,3781,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.939484126984127,-3.251883243287146,-2.875177915647141,-0.2551127043291206,-1.7688351310132846,-2.407541340442085,0.040914,0.1,0.123671,0.2,1175,838,1226,33264,38440,38433,0,0,0,0,3751,3738,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9424568205851251,-3.1837505109809046,-2.8650448736278356,-0.2080772830383389,-1.8310623714406626,-2.4775578987029125,0.040487,0.1,0.122614,0.2,1207,752,1362,34044,39031,39025,0,0,0,0,3794,3785,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9441513280172672,-3.233807909800912,-2.8719472105088424,-0.22042965279864032,-1.87821095356396,-2.5116407399165626,0.040069,0.1,0.121566,0.2,1134,729,1180,33358,38307,38304,0,0,0,0,3797,3780,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9377771075252601,-3.3795019406371445,-2.932470578926732,-0.24663855605094306,-1.9002061964401318,-2.5453643883907087,0.039659,0.1,0.120527,0.2,1258,805,1135,33155,37986,37976,0,0,0,0,3734,3744,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9486374747261369,-3.2560399879173976,-2.908523792766629,-0.20250813517364938,-1.9156917065473158,-2.549027586614248,0.039258,0.1,0.119497,0.2,1227,475,1233,33137,38138,38135,0,0,0,0,3827,3836,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9418373109043897,-3.4199203756721976,-2.96572511323338,-0.2565051122173531,-1.914287606371308,-2.5419632655270807,0.038864,0.1,0.118476,0.2,1296,661,1204,33647,38283,38280,0,0,0,0,3899,3914,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9367446567839495,-3.7176538763592535,-3.0792956073207134,-0.32221832231655895,-2.018418172741133,-2.6453270523349395,0.038479,0.1,0.117463,0.2,1344,781,1286,33594,38372,38369,0,0,0,0,3806,3816,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9483641621979876,-3.561947557634179,-3.0235876361002494,-0.26724976919573035,-1.9497041844193002,-2.5934215749077763,0.0381,0.1,0.116459,0.2,1112,602,1332,33194,38255,38250,0,0,0,0,3801,3797,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9461613040053324,-3.3771593238890643,-2.9970384232618317,-0.2060870782700011,-1.9326074088729701,-2.5790681492654723,0.03773,0.1,0.115464,0.2,1229,548,1161,33006,37753,37751,0,0,0,0,3824,3833,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.9369103949052168,-3.5652724773177957,-3.0636547712737023,-0.2530523919078996,-1.9245484785654636,-2.6166242015789942,0.037366,0.1,0.114477,0.2,1418,702,1246,33603,38228,38215,0,0,0,0,3796,3801,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.937128418549346,-3.6843433068237577,-3.107602349376619,-0.3017412468055024,-1.8761416498722547,-2.6220086721030538,0.03701,0.1,0.113498,0.2,1428,687,1125,33640,38238,38232,0,0,0,0,3942,3927,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9462454809458899,-3.55202186702933,-3.076152419162502,-0.2509075987100939,-1.8658353606283016,-2.6115402483211914,0.03666,0.1,0.112528,0.2,1116,698,1257,33746,38884,38875,0,0,0,0,3707,3723,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9392493734714212,-3.546601715292675,-3.0646654534258406,-0.2585419924047358,-1.8670581936285582,-2.6151510828633766,0.036316,0.1,0.111567,0.2,1218,794,1252,33119,37948,37938,0,0,0,0,3776,3780,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.9362599356835144,-3.7633035349723647,-3.135997334660284,-0.30591860419174355,-1.9031389573579154,-2.6865038206733525,0.035979,0.1,0.110613,0.2,1366,735,1269,32962,37612,37602,0,0,0,0,3822,3818,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9429977199087963,-3.656411358908236,-3.0897860018234504,-0.27669071024020386,-1.8595955449459318,-2.652645903999577,0.035649,0.1,0.109668,0.2,1251,649,1190,33332,38062,38058,0,0,0,0,3815,3823,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.9401997281805826,-3.6609058810749615,-3.097493959960918,-0.2769397346119904,-1.8602317228512433,-2.674009766751325,0.035324,0.1,0.10873,0.2,1395,629,1372,33846,38541,38539,0,0,0,0,3844,3829,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.9511186481018684,-3.4084018087146655,-3.0261332320959813,-0.21010260993883845,-1.8265051931298026,-2.6838449937504802,0.035005,0.1,0.107801,0.2,1115,528,1151,33612,38693,38689,0,0,0,0,3741,3736,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.944449473461875,-3.322515219496643,-3.0270474015467643,-0.1725463553718289,-1.8652632014663681,-2.712205410985557,0.034692,0.1,0.10688,0.2,1305,536,1144,33141,38020,38015,0,0,0,0,3819,3817,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9496492688146475,-3.2328671202437707,-3.0057175251637314,-0.1379565650362803,-1.8607454184419363,-2.699893405455568,0.034384,0.1,0.105966,0.2,1138,556,1203,33644,38646,38641,0,0,0,0,3811,3796,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9423088331257045,-3.354959523339665,-3.0363821706799157,-0.16319818524017368,-1.883089879138354,-2.7080806550342222,0.034082,0.1,0.10506,0.2,1227,718,1139,33714,38676,38674,0,0,0,0,3793,3792,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9448926361761495,-3.343723435900532,-3.034470313543675,-0.14787750173398959,-1.8668377072971747,-2.7037921253494392,0.033785,0.1,0.104162,0.2,1125,692,1271,32972,37961,37958,0,0,0,0,3842,3822,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
