episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,repaired_idle_away_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
20,0.9390659450791742,-3.020107758041708,-0.26034793315207844,-0.10921451250771443,-0.049294654651896,-0.05292908925599197,-0.010797693797748215,-0.0778198201811669,-0.05733011331385081,-0.0025283718520740387,0.006242,0.01,0.0,0.97,100,13,1,14
21,0.9369919733917087,-3.039110760080306,-0.269761719324209,-0.1132370080991231,-0.05095985044125799,-0.054864022619232365,-0.011071105610487353,-0.08063960372255928,-0.05938505026809795,-0.0026526901071244153,0.006127,0.01,0.0,0.97,100,14,1,15
22,0.9404706196938298,-3.0565028397471212,-0.2783134997587332,-0.11671547048463028,-0.052599280527102055,-0.056481409461470865,-0.011429647694980345,-0.0831580853531481,-0.061210598834612474,-0.0027058953688814044,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.934377317780325,-3.071931956352082,-0.2865025572322378,-0.12044897430904365,-0.05422158250080088,-0.05845563987360121,-0.011827117108942771,-0.08584189557881916,-0.06344113358422829,-0.0027247445462596906,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9346132072330081,-3.091311155240791,-0.29638341295768883,-0.1245476948515176,-0.05609050401073867,-0.06050935863132529,-0.012252939616284757,-0.08863862433653459,-0.06547389788302235,-0.002822541973211499,0.005806,0.01,0.0,0.97,100,13,1,14
25,0.9301326233127181,-3.1115784464706273,-0.30654918141471527,-0.12876533177297153,-0.05802366410403755,-0.06260617234845056,-0.01270424954873698,-0.09157643211115908,-0.06772095546399762,-0.0028760541401360185,0.005706,0.01,0.0,0.97,100,13,1,14
26,0.9386957693344112,-3.127917967957836,-0.31460250903018655,-0.13212262813018388,-0.05952903705243736,-0.06421955787750439,-0.013031130113439343,-0.09394620473689085,-0.06947929634415806,-0.0029747676666876514,0.00561,0.01,0.0,0.97,100,14,1,15
27,0.9380037301005795,-3.1449686311527607,-0.32303382945900144,-0.1356630082675687,-0.06108541642502549,-0.06595863087218738,-0.013347097293993455,-0.09657688615625375,-0.07135209028234928,-0.0030406911994609884,0.005517,0.01,0.0,0.97,100,14,1,15
28,0.9377619199892286,-3.157020534348963,-0.32890054050144574,-0.13859571480433933,-0.062280131707471854,-0.06757105292758664,-0.013718255886679616,-0.09906754185070689,-0.07328692295601774,-0.0031052077989736668,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.9394233504576717,-3.1714902057741274,-0.33609400092595526,-0.14170381977186258,-0.06365605621562677,-0.06908233516733091,-0.014039063185002247,-0.1013443826423275,-0.07489676002226113,-0.0031938768768057404,0.005339,0.01,0.0,0.97,100,14,1,15
30,0.9337624619983356,-3.187618266749785,-0.344232208337533,-0.1452458932105586,-0.0652018431253715,-0.07089488192605654,-0.014366014928711318,-0.10382736577241929,-0.07663476155610185,-0.0032754572787712967,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.9391417381322169,-3.202197545909894,-0.3515191381360251,-0.1483560641950302,-0.06649225986704427,-0.07241662270448936,-0.014577851335776838,-0.1060636198174042,-0.07830030221822845,-0.003296825519414548,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.9331364124597208,-3.219355605052509,-0.3602269226322381,-0.15199395449311912,-0.06810381328136716,-0.07409593179897148,-0.014914003266063782,-0.10859483633480894,-0.08015322255619346,-0.003439931393402763,0.005094,0.01,0.0,0.97,100,13,1,14
33,0.9351381552214547,-3.2337844411304832,-0.36776163657578576,-0.15542223228881846,-0.06953460485477664,-0.07586823343794005,-0.015292274014307161,-0.11097281269629179,-0.08185835945905479,-0.003523796030171602,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.931014337934603,-3.2510774916289247,-0.37656139666713007,-0.1590460955936272,-0.07118982388896372,-0.07756811512754529,-0.015615443665242557,-0.11347003309534585,-0.08371080018980172,-0.0036257418377407765,0.004942,0.01,0.0,0.97,100,13,1,14
35,0.9387281867266972,-3.265715632692146,-0.38395120185187936,-0.1620112627909704,-0.07267505242145113,-0.0789341103906953,-0.01596571961230973,-0.11552706403125332,-0.08518989092234612,-0.0036457159495130046,0.00487,0.01,0.0,0.97,100,13,1,14
36,0.9400378033550477,-3.279845931196196,-0.39103864654550047,-0.164855786281855,-0.0741293646318043,-0.0802877152483935,-0.016342355205436192,-0.11758781196053376,-0.08674680400877827,-0.0036838316748314393,0.004799,0.01,0.0,0.97,100,13,1,14
37,0.935518419665777,-3.294857482822061,-0.39860690747352306,-0.16795218881171717,-0.07565334310599064,-0.08177100681634539,-0.016673272133185934,-0.11979767558454155,-0.08844247663784018,-0.0037454696257472686,0.004731,0.01,0.0,0.97,100,13,1,14
38,0.9362391326239469,-3.3096379795691355,-0.4060081646775272,-0.1710613096939785,-0.07705544418968113,-0.08325597717961102,-0.01698375378873295,-0.12211949223257558,-0.08999502606594055,-0.0037952310011616004,0.004665,0.01,0.0,0.97,100,13,1,14
39,0.9347413981110235,-3.3240830054325987,-0.41330851227475723,-0.174233847189419,-0.07836755618591887,-0.08484220779727633,-0.017303510991716124,-0.12442009916553236,-0.09158784934286907,-0.0038214073669977635,0.0046,0.01,0.0,0.97,100,14,1,15
40,0.9358726454409068,-3.3386939600434284,-0.42059055290520075,-0.17725048740785168,-0.07968764983088211,-0.08626552471697106,-0.017583732835412407,-0.12661785148046995,-0.09319726140198037,-0.0039410344495755655,0.004537,0.01,0.0,0.97,100,13,1,14
41,0.9327719793609976,-3.353773415409188,-0.4281804401501935,-0.18045060404340946,-0.08108980563554062,-0.08781584511418018,-0.017851959264442187,-0.12892043831766792,-0.09492388122994344,-0.003967330772855587,0.004476,0.01,0.0,0.97,100,13,1,14
42,0.9409673307841954,-3.3664811202224767,-0.434668865873409,-0.18312383768852925,-0.08236324651605911,-0.08911633575269678,-0.018157200135938995,-0.13070231567278065,-0.09626855619277215,-0.0040301310542814545,0.004417,0.01,0.0,0.97,100,14,1,15
43,0.9366320166320167,-3.3799472986569468,-0.4414791302201547,-0.18604957738419542,-0.08365389306811011,-0.09048532240742964,-0.018462987690808702,-0.1327866397892073,-0.0978321963167888,-0.004175164932861596,0.004359,0.01,0.0,0.97,100,14,1,15
44,0.9382892022873242,-3.3928337984432884,-0.4480379903419251,-0.18881830031880859,-0.08489243790679761,-0.09186057860850044,-0.01875194521585128,-0.1347035666043832,-0.09916295810291025,-0.004360459889126505,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9341861639454637,-3.406651422211346,-0.45496434515118656,-0.19160498220129335,-0.08627117081575142,-0.09315356746676688,-0.01908496309259918,-0.13663739180537282,-0.10060135581118505,-0.004401006214045407,0.004247,0.01,0.0,0.97,100,13,1,14
46,0.939490071671954,-3.4174307508749995,-0.4604325593751585,-0.19406340793185914,-0.08724596575111022,-0.094332735894288,-0.01930191068473695,-0.13847469401427728,-0.10190115011562377,-0.0044685157383355135,0.004194,0.01,0.0,0.97,100,14,1,15
47,0.938003355704698,-3.4297143606520275,-0.46667581301393096,-0.19662563001403668,-0.08850294262582459,-0.09557717540140456,-0.019649222585034525,-0.14024431781992494,-0.10323108910265076,-0.0045470385844667794,0.004141,0.01,0.0,0.97,100,14,1,15
48,0.9366116403171911,-3.4401627482791888,-0.4717584327630024,-0.1989890774630089,-0.08938458218257177,-0.09679424301601497,-0.01989260533469975,-0.14220056499424233,-0.10457807242201077,-0.004625856015383536,0.00409,0.01,0.0,0.97,100,14,1,15
49,0.9410753992318577,-3.4374674724265875,-0.46987382053478643,-0.1996961675917305,-0.08891917583137303,-0.09773139248577985,-0.020110147009193325,-0.14383040947196685,-0.1051701415124665,-0.004640202849950812,0.004041,0.01,0.0,0.97,100,14,1,15
50,0.9336890499681197,-3.449922710666173,-0.47609145281084364,-0.2023935120580395,-0.09008242961979973,-0.0989772098220426,-0.020359662307846013,-0.14573699242217808,-0.10665233194007807,-0.0047195905713773596,0.003992,0.01,0.0,0.97,100,14,1,15
51,0.9366265952789844,-3.4621702168007893,-0.48222953929591134,-0.20495460087062436,-0.09123675895355421,-0.10020540356024885,-0.020589408116206884,-0.1475881275809101,-0.10802586435488512,-0.004776193674626334,0.003945,0.01,0.0,0.97,100,13,1,14
52,0.9384210878885316,-3.4739069243476317,-0.4881402735196923,-0.2073171011611707,-0.09249048405241962,-0.10129705918441022,-0.02089707166390149,-0.1492184914757398,-0.10937522918843352,-0.004806362077871428,0.003898,0.01,0.0,0.97,100,13,1,14
53,0.9404299491025985,-3.484610647131838,-0.49339253243623,-0.2095601980129302,-0.09350825320846762,-0.10240038704086389,-0.021140793217805057,-0.15081779948955704,-0.11056618032164292,-0.004811839707499585,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9371497600751653,-3.4960771148132084,-0.49918512684155353,-0.21200148712241204,-0.09461925507593762,-0.10356407065937145,-0.02140829344077155,-0.15255632004989897,-0.1119170742865453,-0.004858328432617602,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9308260352651585,-3.5090709953863324,-0.5057707751099636,-0.21475397229554888,-0.09593274018762019,-0.10490055547576335,-0.02169884371659659,-0.15455388660096864,-0.11331525195738143,-0.004899375196299388,0.003766,0.01,0.0,0.97,100,13,1,14
56,0.9408913423993537,-3.5196743290440473,-0.5110873168765245,-0.21696555084988572,-0.0969289557002907,-0.10595898360568634,-0.021912299327342424,-0.15615749531054052,-0.11447533415314574,-0.004979199394211515,0.003724,0.01,0.0,0.97,100,13,1,14
57,0.9388819917457975,-3.5303574503869752,-0.5163268669408263,-0.2191884977010515,-0.09787880457012726,-0.1070060993215941,-0.02213046694182268,-0.15779187896042482,-0.11560481818110623,-0.005044103992244391,0.003682,0.01,0.0,0.97,100,14,1,15
58,0.9341660642536523,-3.5422010745684984,-0.522331014901999,-0.22170302446933363,-0.09903782783943567,-0.10822438332915929,-0.022393525325795815,-0.15955796388410032,-0.11685120556646751,-0.005142811648656077,0.003642,0.01,0.0,0.97,100,14,1,15
59,0.9382620149278935,-3.552175700963902,-0.527368968661137,-0.22387340608865333,-0.10000819883506737,-0.10929036441066907,-0.02260662097685287,-0.16109980414923683,-0.1180648313944596,-0.005183083946885511,0.003602,0.01,0.0,0.97,100,14,1,15
60,0.9400351838695491,-3.561853756924746,-0.5320797702005088,-0.22593492997765421,-0.10080155221132274,-0.1102219375655657,-0.02276886765065944,-0.16264460425879698,-0.11915178064737962,-0.005213248597007279,0.003564,0.01,0.0,0.97,100,14,1,15
61,0.9338870654430973,-3.5733249595314334,-0.5379399760892505,-0.22837710758112176,-0.1019311938285548,-0.111432425870053,-0.023001525304684405,-0.16431673916527723,-0.12043965209064397,-0.005254232869271289,0.003526,0.01,0.0,0.97,100,13,1,14
62,0.934887405609493,-3.584382868908339,-0.5434969187556583,-0.23076158014628786,-0.10291899323119835,-0.11258357395003173,-0.02317352986225872,-0.1659718734428648,-0.12163320291776544,-0.0053166794648060465,0.003489,0.01,0.0,0.97,100,13,1,14
63,0.9310737490789738,-3.596219624044806,-0.5495262888002657,-0.2333655437770821,-0.10399578011532463,-0.11390176342582768,-0.023403098091549522,-0.16781814989680038,-0.12293227733054567,-0.0053291270749667085,0.003453,0.01,0.0,0.97,100,13,1,14
64,0.9438950521225508,-3.6053246428714063,-0.5540766311215278,-0.23523712096339866,-0.10487039924296905,-0.1147833119021048,-0.02361615091926573,-0.16909740501875298,-0.12391742414656237,-0.005356574316832095,0.003417,0.01,0.0,0.97,100,14,1,15
65,0.9366730633269367,-3.615176898881128,-0.5591030066130743,-0.23737520707319182,-0.10584408962309703,-0.11584250541458611,-0.02384801081710468,-0.17057316034566256,-0.12502395840316946,-0.005434502837535289,0.003382,0.01,0.0,0.97,100,14,1,15
66,0.9394549942074246,-3.6249314651860773,-0.5639344506871491,-0.23939725495903283,-0.1067269780263491,-0.1167605309951807,-0.02403050344311807,-0.1721250525725678,-0.12602959818853068,-0.00547241766099256,0.003348,0.01,0.0,0.97,100,13,1,14
67,0.9403665080490027,-3.6333885046727423,-0.5682112523333098,-0.24123148676939582,-0.10756080716812184,-0.11765926917639745,-0.024247634813352025,-0.17350426384685594,-0.1270853074779576,-0.005502971876507373,0.003315,0.01,0.0,0.97,100,14,1,15
68,0.932058168917449,-3.644418444423477,-0.5737915374495056,-0.24356454883529696,-0.10862251871506617,-0.11878078107702093,-0.02450389448652509,-0.1751448421889564,-0.12828581077638412,-0.005569077147310505,0.003282,0.01,0.0,0.97,100,13,1,14
69,0.9383565090494322,-3.653570190502754,-0.5783127025628894,-0.24552342313482756,-0.10947292816416697,-0.11974983790924877,-0.024670152846914796,-0.17661292197994805,-0.12935768196087746,-0.0056728412715686145,0.00325,0.01,0.0,0.97,100,14,1,15
70,0.9412567385444743,-3.6625383566882754,-0.582835414138776,-0.24737723121010474,-0.11031805105298328,-0.12058506869655639,-0.02484877076819813,-0.17795487261799786,-0.1303808389145885,-0.005708787462552048,0.003219,0.01,0.0,0.97,100,13,1,14
71,0.9376327185780928,-3.672144364711183,-0.5875603677154221,-0.24932752494805022,-0.11121396480299932,-0.12150265732821709,-0.02504770951548877,-0.17933861329392065,-0.13145425913041733,-0.005730657222582014,0.003188,0.01,0.0,0.97,100,14,1,15
72,0.9354351836323997,-3.68184385781487,-0.5925331734257606,-0.2514291174544018,-0.1121404615068042,-0.12253874103017391,-0.02525382462685505,-0.18079847980293404,-0.13249769071389195,-0.005754480434965065,0.003157,0.01,0.0,0.97,100,14,1,15
73,0.9376458255841477,-3.6911925468927866,-0.597303566812356,-0.25346413073139007,-0.11301397488769796,-0.12352489018217931,-0.0254236164726507,-0.18220815374349977,-0.13347939041860124,-0.005798670265859878,0.003128,0.01,0.0,0.97,100,13,1,14
74,0.9332133001278858,-3.6996682705961836,-0.6016395522563843,-0.25540868179468545,-0.11385330515124602,-0.12449434407162181,-0.025626833954039186,-0.1835968007873046,-0.13457382337960738,-0.005842254378307212,0.003098,0.01,0.0,0.97,100,14,1,15
75,0.9414595434283398,-3.707848881755148,-0.6058027844076056,-0.2571937607513755,-0.11464413985636072,-0.12539125049864788,-0.025839066180782928,-0.18484492378799416,-0.13548500499482488,-0.0058538218446966,0.00307,0.01,0.0,0.97,100,14,1,15
76,0.9375746262381649,-3.7169635255947475,-0.6103598486882331,-0.25913199978898666,-0.11546945236284628,-0.12632525451319193,-0.02603103239790755,-0.18618061942528577,-0.1364363741654027,-0.00590079150548753,0.003042,0.01,0.0,0.97,100,13,1,14
77,0.9328891560631867,-3.7256910703111545,-0.6148310968347982,-0.26115100332997754,-0.11628137624794713,-0.12734632101516966,-0.026211596887199002,-0.18774318143422217,-0.1375814380022329,-0.005945928249230082,0.003014,0.01,0.0,0.97,100,14,1,15
78,0.9392320870704424,-3.7290962031744592,-0.6168238778117867,-0.2625256392041183,-0.1166470631473832,-0.12824871136695096,-0.026413259858152453,-0.18892430751554792,-0.1384099092356281,-0.005982830751383666,0.002987,0.01,0.0,0.97,100,14,1,15
79,0.9369623610213865,-3.7376929119562075,-0.6212398971140916,-0.2644142440510027,-0.11750219551139618,-0.12922261806388605,-0.02660829262481166,-0.19029687764357872,-0.13938467464996135,-0.00598857515811703,0.00296,0.01,0.0,0.97,100,14,1,15
80,0.9389012982214534,-3.746272646323022,-0.6254767988327997,-0.26621248458017305,-0.11831241353748459,-0.13009893958517926,-0.02681797559696752,-0.19153408146590825,-0.14027738596216108,-0.006030913731561694,0.002934,0.01,0.0,0.97,100,13,1,14
81,0.9355217078034149,-3.7553618410938023,-0.6300515859056904,-0.26815912896028093,-0.11916048373393101,-0.13104322211210512,-0.026987137931009906,-0.19290183624463733,-0.1413005237242418,-0.0060409021300802885,0.002909,0.01,0.0,0.97,100,13,1,14
82,0.9418973131510636,-3.7631099848663827,-0.6338972859186508,-0.26975114697006936,-0.11993052995261452,-0.13178030862955525,-0.02716936252572073,-0.19407759164688143,-0.14219214394427268,-0.006060379116630836,0.002883,0.01,0.0,0.97,100,14,1,15
83,0.9325979777722069,-3.7725050723830216,-0.6386002288629756,-0.27167647174964227,-0.12086243616597767,-0.13271684578568355,-0.02736789493912049,-0.1954667735007545,-0.1432362927296066,-0.0060699838991619785,0.002859,0.01,0.0,0.97,100,13,1,14
84,0.9408582401068626,-3.7804637086011113,-0.6425376299117336,-0.2733400580227997,-0.12158737733018751,-0.13351764622268145,-0.027519841317386644,-0.19660861673886776,-0.14403680319340106,-0.006102696125424219,0.002834,0.01,0.0,0.97,100,13,1,14
85,0.9375074214177876,-3.7888045235312875,-0.6467239774777348,-0.2750901932089332,-0.12237900138522706,-0.13434865819800426,-0.027699005336781674,-0.19788241517701938,-0.14501758334584827,-0.0061559586759292895,0.00281,0.01,0.0,0.97,100,13,1,14
86,0.937151098668024,-3.7970030930430045,-0.6508060499879785,-0.2767968111426748,-0.12311317050240395,-0.13514216503868293,-0.027836824433635325,-0.19903044999908356,-0.14593731119588557,-0.0061963517277727805,0.002787,0.01,0.0,0.97,100,14,1,15
87,0.934544231416078,-3.805750748897807,-0.6552763043980816,-0.27871180915558663,-0.12396438642485651,-0.1361154015138274,-0.02803249439303625,-0.20041051987052064,-0.14695248804483066,-0.0062444026350335505,0.002763,0.01,0.0,0.97,100,13,1,14
88,0.9383864062081884,-3.8127954058773703,-0.6587286306428045,-0.2802289072454309,-0.12465540004374097,-0.13689172706648878,-0.028230606356582102,-0.20158187196790137,-0.14786300674444597,-0.006279730565100543,0.002741,0.01,0.0,0.97,100,14,1,15
89,0.9338378122730266,-3.8122748239122988,-0.6581974106006682,-0.2806809680794352,-0.12431740621114559,-0.1372160944746384,-0.028122529215091584,-0.20270344280076716,-0.14864440349122163,-0.006289928394221842,0.002718,0.01,0.0,0.97,100,14,1,15
90,0.9385590739532628,-3.8200218975991382,-0.6621068534487089,-0.2823788787613929,-0.1250740955975837,-0.13800763930131957,-0.028301033249658335,-0.20386305174975228,-0.1495176989334299,-0.006324084281257736,0.002696,0.01,0.0,0.97,100,14,1,15
91,0.9401169113648722,-3.8227189860923256,-0.6634264817027811,-0.283339762667364,-0.12532709428095656,-0.13868048554019027,-0.028404619570604833,-0.20494503132513178,-0.15023623518739238,-0.0063632081863413195,0.002674,0.01,0.0,0.97,100,14,1,15
92,0.9429384657088642,-3.828140881743571,-0.6659654177372667,-0.28446911379808426,-0.12579072938331015,-0.1391342865215078,-0.02853954221924567,-0.205945129889517,-0.15099278745137354,-0.006368060913427092,0.002653,0.01,0.0,0.97,100,14,1,15
93,0.9377968823175219,-3.8360242753041605,-0.6699343097089968,-0.2861321360962988,-0.12652214640911644,-0.13995486842734908,-0.02870034220587574,-0.2071387827928632,-0.15181673177045227,-0.006426502632764805,0.002632,0.01,0.0,0.97,100,13,1,14
94,0.935945601359966,-3.833794597788314,-0.6695084186277726,-0.28663635696007544,-0.1262225363761728,-0.14007591432998376,-0.02885182704627611,-0.20805958798063687,-0.15244485867028498,-0.006465108310822731,0.002611,0.01,0.0,0.97,100,14,1,15
95,0.9397357124821143,-3.841230357107992,-0.6732957398416765,-0.28819842859542033,-0.12698830141404244,-0.1408347546709584,-0.029059848029602892,-0.20920188587244343,-0.15328719030608934,-0.0064785691618437155,0.002591,0.01,0.0,0.97,100,14,1,15
96,0.9371037281257926,-3.848606782293081,-0.6770098900804801,-0.28980842504217896,-0.12766120030643177,-0.14161362538983735,-0.02918888424339141,-0.21032833695313266,-0.15409858118054237,-0.006517100501139813,0.002571,0.01,0.0,0.97,100,14,1,15
97,0.9355050063839796,-3.856511032584828,-0.6810968026674002,-0.2914835325987585,-0.1285013502649561,-0.14245637947176365,-0.02940058072118823,-0.21150139517746327,-0.15502565269277044,-0.006557841509356422,0.002551,0.01,0.0,0.97,100,13,1,14
98,0.9363516839159897,-3.864178172368722,-0.6850087330321672,-0.2931324434878606,-0.1292504056145512,-0.1432508611788929,-0.02955894204926632,-0.21260571129767958,-0.1558443167344516,-0.0065978530315539624,0.002532,0.01,0.0,0.97,100,13,1,14
99,0.9387117161744358,-3.871007508917546,-0.6884482057036656,-0.2946107834868045,-0.12989045021697992,-0.1439632550643042,-0.029685981391602775,-0.21369435402889786,-0.15658920542535515,-0.00666305558241939,0.002513,0.01,0.0,0.97,100,14,1,15
100,0.9350577783715183,-3.876871743736446,-0.6913905551589253,-0.29610603415974673,-0.1304222160322129,-0.14472864386584955,-0.02981078672735933,-0.21485818481720032,-0.15747227281138493,-0.00667380133553329,0.002494,0.01,0.0,0.97,100,14,1,15
101,0.9358833567047932,-3.8841803203834813,-0.6950971501799822,-0.29771974623056296,-0.13109360794291722,-0.14554571064491484,-0.029948668871102153,-0.21594421262951388,-0.1582940432631393,-0.006688500219257566,0.002475,0.01,0.0,0.97,100,14,1,15
102,0.9425202529310143,-3.8907881669356588,-0.6983998842706893,-0.299072235285216,-0.13172758554471561,-0.14620227872547156,-0.030073229677654172,-0.21694345510203344,-0.1590376848266998,-0.00672492222753045,0.002457,0.01,0.0,0.97,100,13,1,14
103,0.9397669929217326,-3.8967976312736825,-0.7014640059015441,-0.3004423196160376,-0.13230927531978987,-0.1468918407245886,-0.03021613630014748,-0.21796069539190904,-0.1598200912217898,-0.0067982777123920405,0.002439,0.01,0.0,0.97,100,14,1,15
104,0.933909251027426,-3.9041370344736475,-0.7052838365141183,-0.3020869824544415,-0.13300440697784827,-0.1476872677429143,-0.030357106608901254,-0.21913470404408097,-0.16068337871240243,-0.006833183960235931,0.002421,0.01,0.0,0.97,100,14,1,15
105,0.9365221873077627,-3.910993614603853,-0.7087502817883802,-0.3035503809348334,-0.13368890055954508,-0.14838530178339998,-0.03049993548467784,-0.22017869501345622,-0.1614635357327618,-0.006873858942584114,0.002404,0.01,0.0,0.97,100,14,1,15
106,0.933660108775935,-3.918572665788769,-0.7126018236189897,-0.30512537322326294,-0.13444342020349423,-0.1491320394542502,-0.030674718881812436,-0.221227342385877,-0.16235401047817924,-0.006940191365394311,0.002386,0.01,0.0,0.97,100,13,1,14
107,0.932171130200438,-3.9263229523190524,-0.7165866388959884,-0.3067982418987921,-0.13522951488435206,-0.149957850828325,-0.030864098859936843,-0.22246378900621594,-0.1632263746964705,-0.006951094666413309,0.002369,0.01,0.0,0.97,100,13,1,14
108,0.9319961350081631,-3.934116204032252,-0.7204854493263032,-0.3084459989055704,-0.13593738061801144,-0.15074903696512365,-0.031002711890324067,-0.22366064797352272,-0.16413353295891397,-0.00698909386586946,0.002352,0.01,0.0,0.97,100,13,1,14
