episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
99,0.9409835505525853,-3.8325688024753575,-0.6734914860958011,-0.28653662455083956,-0.13030889800350667,-0.1395994660311946,-0.03137932552537243,-0.20532927454054578,-0.15583767780967667,-0.0031749048413860868,-0.002691521686207437,0.002513,0.01,0.0,0.97,100,13,1,14
100,0.932152160844299,-3.8408188835664214,-0.677574991577686,-0.2882235032970411,-0.13112425345233025,-0.14043130206263854,-0.03156391945008447,-0.2065949879207755,-0.15672073325127042,-0.003194812959732491,-0.002705333737342101,0.002494,0.01,0.0,0.97,100,13,1,14
101,0.9400902194664549,-3.847776255995134,-0.6810932275376042,-0.289662176176982,-0.13183206523799557,-0.1411013838661405,-0.031744811428987364,-0.2075469992382437,-0.15748257786879744,-0.003215010670239295,-0.002718146237836908,0.002475,0.01,0.0,0.97,100,13,1,14
102,0.9418661209976351,-3.854479821536573,-0.6844703874541619,-0.2910404894595243,-0.13248872281870455,-0.14175201443446417,-0.031889944782645126,-0.2085772432759248,-0.15826384234617605,-0.003232171407071916,-0.0027288412204105727,0.002457,0.01,0.0,0.97,100,13,1,14
103,0.9436617333288176,-3.860435629778358,-0.6874802575253026,-0.2923111037201445,-0.13308295343511234,-0.14237265989225037,-0.03203619164894549,-0.2094941809351682,-0.15894593113972444,-0.0032471127196018624,-0.002739692700403738,0.002439,0.01,0.0,0.97,100,14,1,15
104,0.9376331460202969,-3.867407784826075,-0.691004886519764,-0.29381868657284843,-0.1337634105135498,-0.14313303426833984,-0.032211721556355204,-0.21055080974116705,-0.1597764894970987,-0.0032667545605186074,-0.002752262507018629,0.002421,0.01,0.0,0.97,100,14,1,15
105,0.9385339252165528,-3.873748849305884,-0.6942596471481403,-0.2952278901831885,-0.13440658636283478,-0.14382165790637472,-0.032392366195261764,-0.2114895781043584,-0.16054324181911056,-0.003281809427609184,-0.002766266989106639,0.002404,0.01,0.0,0.97,100,14,1,15
106,0.9342644195259517,-3.878866706502629,-0.6969981264421538,-0.2966204840613773,-0.13495165444778906,-0.1445937793880754,-0.032589286914611035,-0.21256775593049013,-0.161421346096939,-0.003299341300464726,-0.002780241876822634,0.002386,0.01,0.0,0.97,100,14,1,15
107,0.9316321374431531,-3.8862863462062145,-0.7007425407074616,-0.29820547472543935,-0.1356858695000844,-0.14538336622913656,-0.03277756134467347,-0.21377077943303893,-0.1623329851606596,-0.0033161887693328963,-0.0027965338477337854,0.002369,0.01,0.0,0.97,100,14,1,15
108,0.9319794755605904,-3.893535061757689,-0.7042801551155737,-0.29976516179086077,-0.13631771045260654,-0.14615926103738028,-0.03291835095151882,-0.21495983607850355,-0.16314261895245968,-0.0033356946969128306,-0.002811630562387283,0.002352,0.01,0.0,0.97,100,14,1,15
109,0.9383898177183774,-3.8983599464921914,-0.706880539046581,-0.301068044070741,-0.13679199488661098,-0.14689184052290039,-0.03307028331073331,-0.21595588753780737,-0.1638616045828068,-0.0033476510297589797,-0.0028250053444241986,0.002336,0.01,0.0,0.97,100,14,1,15
110,0.9368971469184689,-3.9052152110906646,-0.7103624572392336,-0.3025095219561876,-0.13745781436387405,-0.14757383334512905,-0.03322496197508788,-0.21699651700613634,-0.1646498393849347,-0.0033659556813698823,-0.002837528838688422,0.00232,0.01,0.0,0.97,100,13,1,14
111,0.9407002596697273,-3.9114805710318867,-0.7135230257809154,-0.30382372239805827,-0.1380548562282908,-0.14820289906106857,-0.03336123213234317,-0.21793324862094607,-0.1653426580265357,-0.003379560762330618,-0.0028479771053445,0.002304,0.01,0.0,0.97,100,14,1,15
112,0.942982233717058,-3.9172101657844642,-0.7163802716999069,-0.3050166316338197,-0.1386206451304397,-0.14877729330898048,-0.0334901746607721,-0.21881843799945963,-0.16600531805464402,-0.0033929707034789417,-0.002857667679990233,0.002288,0.01,0.0,0.97,100,14,1,15
113,0.9380644280178227,-3.9237094005641624,-0.719693191321303,-0.30639561494326634,-0.13926005834895558,-0.14946720017313234,-0.03362703756660848,-0.21975890522091335,-0.16670766494363287,-0.0034058198771479064,-0.0028707828212813685,0.002272,0.01,0.0,0.97,100,13,1,14
114,0.9332751707128836,-3.9308302861183093,-0.7233592307523368,-0.307910581680817,-0.13999267926102293,-0.15020891315090695,-0.03378856183342172,-0.22086642124134936,-0.16749724053586842,-0.003422584360381809,-0.002885514066804134,0.002257,0.01,0.0,0.97,100,14,1,15
115,0.9415890614700763,-3.936239415945499,-0.7260518931827501,-0.30914158594199775,-0.140470729897891,-0.15077860782349714,-0.03391871513826944,-0.22181551568901528,-0.1682014040549962,-0.0034406078531593574,-0.0029007265481790358,0.002241,0.01,0.0,0.97,100,14,1,15
116,0.9399174438159303,-3.9424201118642443,-0.7291760784052767,-0.3104228039940226,-0.14107371950676129,-0.15139961277821207,-0.03405501588837421,-0.22276250901716424,-0.16889828371731622,-0.003456014854156161,-0.002912047938201792,0.002226,0.01,0.0,0.97,100,13,1,14
117,0.9340887912673056,-3.9494429688974595,-0.732743630587633,-0.31189154420013493,-0.14177874321512568,-0.1521090016322602,-0.03423537209625762,-0.22384676501387546,-0.16968365884509223,-0.0034716627796282135,-0.0029266017782663607,0.002212,0.01,0.0,0.97,100,13,1,14
118,0.9333422881896638,-3.956304298401903,-0.7361770192741489,-0.313361795267179,-0.14238534228727334,-0.15280141475410405,-0.03435176685299361,-0.2249091347282237,-0.17043247391241978,-0.003492028191902022,-0.00293795012120488,0.002197,0.01,0.0,0.97,100,14,1,15
119,0.9375929670917387,-3.9621569568957655,-0.7391896311275606,-0.3146608401941733,-0.14298439961701853,-0.1534562229163448,-0.034507579717259505,-0.2258635052333808,-0.1711302457430905,-0.003505888056790157,-0.002948205950368382,0.002182,0.01,0.0,0.97,100,14,1,15
120,0.939376143094451,-3.959783054876977,-0.7384614142253426,-0.3151840811648532,-0.14270757172620635,-0.15407079994094233,-0.03451956227939829,-0.22660748291006164,-0.17170555926444334,-0.0035155143338956424,-0.002957438937419352,0.002168,0.01,0.0,0.97,100,14,1,15
121,0.9421999360581534,-3.9639579697370384,-0.740536288270315,-0.31618344505984075,-0.14308803474069298,-0.15458203484127014,-0.03464478195522172,-0.22745769722998516,-0.1723219422733302,-0.003526782853501179,-0.00296769191821908,0.002154,0.01,0.0,0.97,100,14,1,15
122,0.9359270824542155,-3.9704328676603278,-0.743844063029442,-0.31757585819570133,-0.14372697374859747,-0.15526528430901457,-0.0347860968924983,-0.22838269345054765,-0.17303221673232982,-0.0035432055485974997,-0.002981430437869562,0.00214,0.01,0.0,0.97,100,13,1,14
123,0.9409453426741795,-3.976040290678282,-0.7466962356475493,-0.3187230933016051,-0.144330335656092,-0.1558168734886406,-0.03495212547868895,-0.22918465562434967,-0.173700852228169,-0.003554716205836147,-0.0029902276084762445,0.002127,0.01,0.0,0.97,100,14,1,15
124,0.9387572867877481,-3.9820855883350164,-0.7496915099384042,-0.3199661243029557,-0.1448918001711188,-0.1563974688740051,-0.03508462601385223,-0.23010514940341115,-0.17435010987882696,-0.003568864600704968,-0.0030037888677715966,0.002113,0.01,0.0,0.97,100,13,1,14
125,0.939455643792846,-3.987984884999831,-0.7526866275087603,-0.32117850629442163,-0.14549792471140846,-0.15696586003141877,-0.03524763359179535,-0.23092162923359705,-0.17500145010167387,-0.00358169613595401,-0.0030147619764523794,0.0021,0.01,0.0,0.97,100,14,1,15
126,0.9346278752797456,-3.9942085673657,-0.755815149742527,-0.3225011928226819,-0.1461174939481857,-0.15761546361690468,-0.03538952427961053,-0.23183773829317086,-0.17576282670900378,-0.0035945880523655877,-0.003028027010077897,0.002087,0.01,0.0,0.97,100,14,1,15
127,0.9409074802153115,-3.9996623464365686,-0.7585862816061575,-0.3236615101393576,-0.1466653441575657,-0.15818622310438618,-0.03550627121886178,-0.23259469386547896,-0.176389371533054,-0.0036054081037149213,-0.003039413486774368,0.002074,0.01,0.0,0.97,100,14,1,15
128,0.9396187325614422,-4.005522146677229,-0.7615444225140382,-0.3248716779682219,-0.14724833861872977,-0.15875917315965657,-0.03563504716466258,-0.2334837592917359,-0.1770350701282005,-0.0036170404441897707,-0.003051642115076528,0.002061,0.01,0.0,0.97,100,13,1,14
129,0.9375945664234558,-4.010510462601313,-0.7640389078592028,-0.3260069871920329,-0.14773009242646518,-0.15932710832243746,-0.03576236970639144,-0.2343535100089885,-0.17771322237403445,-0.0036310964503916137,-0.00305953841410069,0.002048,0.01,0.0,0.97,100,14,1,15
130,0.9389988787173866,-4.01612625737295,-0.7669229418829931,-0.32721069487100796,-0.14833215276019066,-0.1599189882789703,-0.03593941739350342,-0.23522229779719817,-0.17837019892989256,-0.0036398418009125867,-0.003072328471545884,0.002035,0.01,0.0,0.97,100,14,1,15
131,0.9387820458797552,-4.021894377805068,-0.7698387480582951,-0.32841394714366917,-0.14890424689018283,-0.160478188539515,-0.03607742186228767,-0.23604556901437265,-0.17900101532938562,-0.0036518036007359865,-0.0030839490033069124,0.002023,0.01,0.0,0.97,100,13,1,14
132,0.9438996540954427,-4.027048621937815,-0.7724456127966381,-0.3294510239099111,-0.14941737945443773,-0.16095280433970705,-0.03618354736550316,-0.2367421706632631,-0.17953525096388287,-0.003660263925245054,-0.0030934763139832083,0.002011,0.01,0.0,0.97,100,13,1,14
133,0.941592412582692,-4.0323983491130875,-0.7751064144169065,-0.3305208201217829,-0.149948833070915,-0.1614527675342665,-0.03629493347037151,-0.23748919995596227,-0.1801075550620324,-0.0036697428700552055,-0.003103600748977011,0.001999,0.01,0.0,0.97,100,13,1,14
134,0.9379195486294036,-4.037320876066741,-0.7776026021451405,-0.331625232134415,-0.15042938606244838,-0.1620249206279088,-0.03640253474329176,-0.23835200354799363,-0.18072022149327477,-0.0036804826923846927,-0.0031167001089600155,0.001987,0.01,0.0,0.97,100,14,1,15
135,0.9405077169604453,-4.03378363850066,-0.7750382998097978,-0.33168183593733624,-0.14969739524044487,-0.16241816183980348,-0.03640339576431708,-0.23912579721551414,-0.18115996007746174,-0.0036887014331929736,-0.003123470314343163,0.001975,0.01,0.0,0.97,100,14,1,15
136,0.935587869832421,-4.039765387407183,-0.7780456963237452,-0.33290636188151457,-0.15030545378999605,-0.16300548983542915,-0.036533390504242313,-0.24000961569354054,-0.18176358770133855,-0.0036991011894742525,-0.0031334730007252045,0.001963,0.01,0.0,0.97,100,13,1,14
137,0.9422480554472895,-4.0449141138540385,-0.7805454854388926,-0.3339388117167149,-0.15076732705338092,-0.16347737442046892,-0.03662007496248641,-0.24076186035360095,-0.1823539419824436,-0.0037070472904231376,-0.0031483972841845486,0.001952,0.01,0.0,0.97,100,13,1,14
138,0.9382411647293648,-4.0493245611462685,-0.7827276234041137,-0.3349645783334666,-0.15123308345008635,-0.16403013755648643,-0.0367607270588739,-0.2415532656258705,-0.18300989384749541,-0.0037184692748622643,-0.0031590229033983857,0.00194,0.01,0.0,0.97,100,14,1,15
139,0.9403582823717096,-4.054691341006868,-0.7854797976794541,-0.3361041441688253,-0.15175672228918913,-0.1645619572919363,-0.03686067382034467,-0.24231708620507061,-0.18358103871881837,-0.003729673306951914,-0.0031687831439402105,0.001929,0.01,0.0,0.97,100,13,1,14
140,0.9381331709709608,-4.060143973588012,-0.7882419773471246,-0.3372499800412871,-0.15227688878893048,-0.1651225657492045,-0.036965836851403,-0.24312351356581804,-0.18420227538225578,-0.0037478608349786947,-0.0031768242453686316,0.001918,0.01,0.0,0.97,100,14,1,15
141,0.9403497551041018,-4.064835066430739,-0.7906794730345956,-0.3382992018750088,-0.15278207719038972,-0.16565153538203728,-0.03710006918623178,-0.24389104169073617,-0.1847728472832961,-0.00376028518556235,-0.0031846083471651888,0.001907,0.01,0.0,0.97,100,14,1,15
142,0.9390237763645821,-4.070204195223148,-0.7933745919620182,-0.33939972351776315,-0.15330678273060788,-0.1661802685157065,-0.0372173698182138,-0.24465783361394527,-0.18535903946102475,-0.0037732928510370205,-0.003192485065441931,0.001896,0.01,0.0,0.97,100,14,1,15
143,0.9385393581566883,-4.075599762099976,-0.7961301603230394,-0.3405564300657227,-0.1538354250358115,-0.16673147318655784,-0.03733739330583976,-0.2455083467167435,-0.18599693622951993,-0.0037849260108990786,-0.0032038522135069154,0.001885,0.01,0.0,0.97,100,13,1,14
144,0.9366047655960366,-4.08061842549147,-0.7986814128721526,-0.34166868951429236,-0.15432557742839706,-0.16729926302013748,-0.03744998366082967,-0.24638198655711527,-0.18662668726172643,-0.003796136698066505,-0.0032140128464479612,0.001875,0.01,0.0,0.97,100,14,1,15
145,0.9378269719245714,-4.085922921275157,-0.8013656729731712,-0.3427999666203009,-0.154828998905942,-0.1678491080642251,-0.03757478819439455,-0.24716019153715316,-0.18724645844417506,-0.003813775166170926,-0.00322575088562627,0.001864,0.01,0.0,0.97,100,14,1,15
146,0.9430621767767802,-4.089743324153277,-0.8033568544551898,-0.34371263359393145,-0.1551858859439156,-0.16830675756087238,-0.03765835488141993,-0.2478608792844334,-0.18777895418552082,-0.0038232997830374297,-0.0032351715288595397,0.001854,0.01,0.0,0.97,100,14,1,15
147,0.9403598363150597,-4.094799127424829,-0.8059459364007326,-0.34472911535579537,-0.1557572554620615,-0.1687899912437713,-0.03781923538122523,-0.24855685617544995,-0.1883725831341385,-0.0038322540118886366,-0.0032429578654154475,0.001843,0.01,0.0,0.97,100,13,1,14
148,0.9371290580412563,-4.0919452472772475,-0.8042371433827862,-0.3448269062799776,-0.1553845939353297,-0.16918786534108263,-0.03796627947373827,-0.24924089146222517,-0.18896203126186065,-0.0038350022918255326,-0.003250211214513292,0.001833,0.01,0.0,0.97,100,14,1,15
149,0.9423076923076923,-4.094678910951817,-0.805510911100188,-0.3455369770044583,-0.15554769788149703,-0.16946559013953666,-0.03803537774427224,-0.24989906162678951,-0.18944500237203943,-0.003843464306513409,-0.00326024552990527,0.001823,0.01,0.0,0.97,100,14,1,15
150,0.9454316662982298,-4.097687522523857,-0.8070057082039781,-0.3462779790541014,-0.15582286474500034,-0.16983972583144796,-0.03810403418523308,-0.2505270839850952,-0.18990061587586435,-0.0038528464084599066,-0.0032682978496006306,0.001813,0.01,0.0,0.97,100,14,1,15
151,0.9363683480179894,-4.103106129305941,-0.8097258909967447,-0.3474019005683825,-0.1563654592130585,-0.17037942725340768,-0.03823162958973996,-0.2513189554195524,-0.19051490797218018,-0.003863009870590919,-0.003280361043732913,0.001803,0.01,0.0,0.97,100,13,1,14
152,0.9354833319408472,-4.10610543966179,-0.8112440866600751,-0.34832050815924875,-0.15662274745679408,-0.17095809800803324,-0.03829674436969048,-0.2520668918600966,-0.19099644790054643,-0.003873794164257979,-0.003290963132897606,0.001794,0.01,0.0,0.97,100,14,1,15
153,0.9399686937987077,-4.111121625991091,-0.8138052122070522,-0.34934644278090715,-0.1571461923978581,-0.1714465115813156,-0.03842418946695114,-0.25278466371569525,-0.19160169471865368,-0.0038837152727680354,-0.0033017976391337607,0.001784,0.01,0.0,0.97,100,13,1,14
154,0.9430085487176924,-4.115782689783327,-0.8162046272855428,-0.35032697723849654,-0.15762678490381746,-0.17191922795648398,-0.03853154866407565,-0.25347927548629534,-0.1921228785343662,-0.0038931977245903744,-0.0033101744773044047,0.001774,0.01,0.0,0.97,100,13,1,14
155,0.9350094322298459,-4.121029376283676,-0.8188944996579538,-0.3514503938272301,-0.15816293610771012,-0.17246445709260003,-0.038652683582459726,-0.2542691643209887,-0.19274958122514232,-0.003907461586815859,-0.0033196535122743333,0.001765,0.01,0.0,0.97,100,14,1,15
156,0.9378097630524815,-4.126112291224021,-0.8214228475722763,-0.3525066366980875,-0.15862225849658682,-0.17296437367757025,-0.03874430824684756,-0.25504422005354416,-0.1932622026157657,-0.003919511637915842,-0.0033289780608245795,0.001756,0.01,0.0,0.97,100,14,1,15
157,0.9397488834583299,-4.130831462393307,-0.8238108459322142,-0.3535005987183222,-0.15910417180795933,-0.17342993728923542,-0.038883244286922865,-0.25573865384366967,-0.19380952845206703,-0.003933146587115018,-0.0033369393638072063,0.001746,0.01,0.0,0.97,100,14,1,15
158,0.9344121654583074,-4.135031468354703,-0.8259281354478731,-0.35450159956876215,-0.15951366845491538,-0.1739614708625629,-0.038997735157003624,-0.2564937671727219,-0.1943790450752189,-0.003942926965349781,-0.0033472594053535194,0.001737,0.01,0.0,0.97,100,14,1,15
159,0.9392632829740282,-4.139849366329246,-0.8283932815027198,-0.3555216023982065,-0.16001589697172336,-0.1744663577259962,-0.039108871913476055,-0.2572326960436454,-0.19495720904051406,-0.0039522315980789115,-0.003358311409120361,0.001728,0.01,0.0,0.97,100,13,1,14
160,0.935193929173693,-4.145085072527094,-0.8310421004272943,-0.3565902733290926,-0.1605436760130079,-0.1749515430963654,-0.039252025823167266,-0.25798821915037895,-0.19553007845140633,-0.003963040171165964,-0.003367400466437474,0.001719,0.01,0.0,0.97,100,13,1,14
161,0.9359280832295209,-4.150209248601243,-0.8336293416341855,-0.3576518538112173,-0.16107089401276609,-0.17547142751211361,-0.03937787101426192,-0.258746076224077,-0.1961141631723449,-0.003972683762226552,-0.0033774971365177504,0.001711,0.01,0.0,0.97,100,13,1,14
162,0.9399136564470977,-4.154454503112541,-0.8358064490661098,-0.3585825507876059,-0.16150146442031585,-0.1759196511845921,-0.039482454567746746,-0.2594092961168519,-0.19659904470321043,-0.003981897149631596,-0.003385070023234166,0.001702,0.01,0.0,0.97,100,14,1,15
163,0.9358389896329314,-4.159397284173959,-0.8382593080982403,-0.3596309578299348,-0.16193538807245114,-0.17641915778999112,-0.03956809413890676,-0.26019042755139715,-0.1971589816223134,-0.00399327102043355,-0.003396271966587262,0.001693,0.01,0.0,0.97,100,14,1,15
164,0.9331878828564236,-4.164738669274619,-0.8409692091979407,-0.36076146633341316,-0.1624393458165231,-0.1769831148417598,-0.039681988071699204,-0.26102291337793665,-0.19774940302917626,-0.004006656053890288,-0.003406681240164204,0.001685,0.01,0.0,0.97,100,13,1,14
165,0.9355853506720724,-4.168868343872668,-0.8430496926400308,-0.3617272262316503,-0.16280238969842212,-0.1775079826008648,-0.03976737300776802,-0.26178845808779855,-0.1983295782468345,-0.004019015635117254,-0.0034154214035736863,0.001676,0.01,0.0,0.97,100,14,1,15
166,0.9409168253112522,-4.172310167560126,-0.8448463302154305,-0.36254249787644455,-0.16317497268313821,-0.17792827610865192,-0.03989100968425316,-0.26242715027477037,-0.19885011274217032,-0.004026070170763794,-0.0034234910940315463,0.001668,0.01,0.0,0.97,100,14,1,15
167,0.9376308429215027,-4.171016276324216,-0.8446967731549578,-0.3631888945472222,-0.16308449034035333,-0.17841803797120018,-0.040006138228296975,-0.2630308961429595,-0.19929887883336797,-0.004031397947861151,-0.003431042267735522,0.001659,0.01,0.0,0.97,100,14,1,15
168,0.9295917676528332,-4.17543955736962,-0.8469243146400759,-0.3642425304473555,-0.16344887191877314,-0.17897562968981218,-0.04008300047631536,-0.2638512155573689,-0.19988435018229947,-0.004045353877899312,-0.003440763328335858,0.001651,0.01,0.0,0.97,100,14,1,15
169,0.9360519619659836,-4.180058380096509,-0.8492782529702125,-0.36526196805700123,-0.16388862735226725,-0.17948872279943864,-0.040185117351131436,-0.26457105683161347,-0.20038928596688305,-0.004057455658310575,-0.0034497552177943577,0.001643,0.01,0.0,0.97,100,14,1,15
170,0.9363830108573442,-4.184780539837369,-0.8516482858307961,-0.36627413965321476,-0.16434164624938272,-0.17995747488067812,-0.04028151204791149,-0.26530545245551085,-0.20095084691274473,-0.004068200659549332,-0.0034605630436279535,0.001635,0.01,0.0,0.97,100,14,1,15
171,0.9394728777198896,-4.189247550893652,-0.8539274915440487,-0.36722172877909237,-0.1647873606030921,-0.18045212479639916,-0.04037596922090584,-0.26597678388991464,-0.20143027970511143,-0.004077033680971695,-0.003468508378262623,0.001627,0.01,0.0,0.97,100,13,1,14
172,0.9331462832139219,-4.194389968441468,-0.856522838518894,-0.3682969155484323,-0.16530375817696608,-0.18095830185538828,-0.040501931363922876,-0.26674787576796444,-0.2020371994679444,-0.004086405946295893,-0.0034784070596811604,0.001619,0.01,0.0,0.97,100,13,1,14
173,0.9366432134245037,-4.199218183990524,-0.8589973278292344,-0.36932212648715274,-0.16578293409789277,-0.1814583858281884,-0.040613349676795744,-0.2674579266106137,-0.2025806627909287,-0.0040979172594731265,-0.0034878499657698733,0.001611,0.01,0.0,0.97,100,13,1,14
174,0.9386742468840933,-4.202329644473654,-0.8605544952117085,-0.37012662194682355,-0.1660714439197069,-0.18189751917415914,-0.04074104463436925,-0.26812751677644936,-0.203121564773995,-0.004105059770364688,-0.0034972217503906034,0.001603,0.01,0.0,0.97,100,14,1,15
175,0.934833361529352,-4.2071612815609365,-0.8629875870289342,-0.3711527469358825,-0.16650905928105122,-0.18239262775604156,-0.040831129418601717,-0.2688401660824268,-0.20364701028139492,-0.0041146501514347225,-0.003507434471312119,0.001596,0.01,0.0,0.97,100,13,1,14
176,0.9389839635182661,-4.211620710017489,-0.8652176381501793,-0.37207243516166905,-0.16692618712068913,-0.18282401567718815,-0.04092686725759362,-0.26948649202676295,-0.20412978876005206,-0.004125668612420898,-0.0035155106463998177,0.001588,0.01,0.0,0.97,100,13,1,14
177,0.9395252700360048,-4.215754513129341,-0.8672932760201,-0.3729730736748216,-0.16733786836945821,-0.1832740138907022,-0.04103552344809703,-0.27014532687014303,-0.20463492168224157,-0.004135918889985146,-0.003523236334199128,0.00158,0.01,0.0,0.97,100,14,1,15
178,0.9439879623994049,-4.219482758141654,-0.8691941093621048,-0.37375546735463067,-0.16770487845067075,-0.18364792485474282,-0.04111885388044559,-0.27070363916321477,-0.20505721970979787,-0.004143535462321336,-0.0035311945929839415,0.001573,0.01,0.0,0.97,100,14,1,15
179,0.9365964442485976,-4.224064365995582,-0.8715326958215465,-0.37472022419775575,-0.16816464960032948,-0.18412041724734837,-0.04122825694048077,-0.2713800012211723,-0.20556986697850194,-0.00415215634181447,-0.0035406681955535524,0.001565,0.01,0.0,0.97,100,13,1,14
180,0.9428710282879743,-4.222270740926664,-0.8706426991458088,-0.37496979450227585,-0.1679205915773822,-0.18433261317004182,-0.04123499192586749,-0.2719254531008426,-0.20589553917705442,-0.004158180767155266,-0.0035451590630137964,0.001558,0.01,0.0,0.97,100,14,1,15
181,0.9358935893589359,-4.226040768559937,-0.872553023052126,-0.37584556263468544,-0.16828163942505847,-0.18481524076564484,-0.04136010745316474,-0.27257930902956906,-0.20639491905136742,-0.0041664999504469275,-0.0035547875136238147,0.001551,0.01,0.0,0.97,100,14,1,15
182,0.938841507347397,-4.230408009058548,-0.8747799712735723,-0.37676927430824486,-0.168710837839583,-0.18525496523437265,-0.04145196079721555,-0.2732552274131358,-0.20691975605134932,-0.004178361633005956,-0.0035635982095043924,0.001544,0.01,0.0,0.97,100,13,1,14
183,0.9397759340306527,-4.234629314999663,-0.8769166663365822,-0.3776414115066142,-0.16912847257665567,-0.1856736383374686,-0.04154615583946986,-0.27385156740412425,-0.20739103027590397,-0.004188872666136497,-0.003570146704391653,0.001536,0.01,0.0,0.97,100,13,1,14
184,0.9376179546034175,-4.238562459179192,-0.8788540783366776,-0.37848060509199627,-0.1694836434533118,-0.1860931405453281,-0.04162195815551255,-0.27449187374076023,-0.20789589236571032,-0.00420020276331331,-0.003580139925353255,0.001529,0.01,0.0,0.97,100,14,1,15
185,0.9416727003317112,-4.24258577368989,-0.8808903340866104,-0.3792981639741107,-0.16990249527324344,-0.186476217854319,-0.04172782654387667,-0.27506652007817367,-0.20834966273502423,-0.004208979355787447,-0.003587539094635837,0.001522,0.01,0.0,0.97,100,13,1,14
186,0.9360073535556113,-4.246990013321592,-0.88313690264703,-0.38022383960308975,-0.17036360113550356,-0.18691919098627802,-0.04185412503284608,-0.2757164289596468,-0.20885732998358672,-0.0042193692370678685,-0.003595108116191292,0.001515,0.01,0.0,0.97,100,14,1,15
187,0.9365357998852243,-4.251352510361061,-0.88532099214551,-0.38116086442260666,-0.17074741031412338,-0.18737435438631767,-0.041934889764353854,-0.2764194825402334,-0.20934574359946065,-0.004231458169185244,-0.0036049577406016943,0.001509,0.01,0.0,0.97,100,14,1,15
188,0.9353634643967031,-4.255850465608976,-0.8875861168543532,-0.3821032723816249,-0.17118034602412488,-0.18780729347083816,-0.0420455705035414,-0.277079138757376,-0.20984141737978876,-0.00424309889182329,-0.003614183483399434,0.001502,0.01,0.0,0.97,100,13,1,14
189,0.9337814956999883,-4.2604915118783255,-0.88994428658641,-0.3830618757546008,-0.1716627278304679,-0.1882721296708756,-0.042161159991673795,-0.27775735397778784,-0.21032878605441738,-0.004251647885760854,-0.0036225585298979976,0.001495,0.01,0.0,0.97,100,13,1,14
190,0.9383870373163089,-4.264732655664324,-0.8920924756626292,-0.3839557355023327,-0.17205492388898286,-0.18870846939451544,-0.04224652799081659,-0.2784199468016272,-0.21079864127991033,-0.004260829908739206,-0.0036312427492094634,0.001488,0.01,0.0,0.97,100,13,1,14
191,0.9361505967547271,-4.2683261326344155,-0.8938060134275025,-0.3847369248359645,-0.17239513767031844,-0.1891159351746326,-0.042344049019732176,-0.27902055514909163,-0.21129020986039723,-0.004268105800141892,-0.003638019758739423,0.001482,0.01,0.0,0.97,100,14,1,15
192,0.9390309828698855,-4.272034755987035,-0.89570234496365,-0.38556385560817485,-0.1727503751563982,-0.18951852387715698,-0.042443719813835455,-0.27964179624684804,-0.21172579866089816,-0.004274146257730586,-0.0036457448110098277,0.001475,0.01,0.0,0.97,100,14,1,15
193,0.9441811214199274,-4.2749018967560675,-0.8970995038340787,-0.3862327324408248,-0.1730293053355901,-0.1898601541230767,-0.04251840835962661,-0.2801648079531903,-0.21213930163400327,-0.0042806547124285745,-0.0036527909985670654,0.001469,0.01,0.0,0.97,100,14,1,15
194,0.9410729548996933,-4.276530318470617,-0.8978011908254101,-0.3867693445946786,-0.17310366693157936,-0.19010773806093714,-0.042524455733637744,-0.28067784735330303,-0.2125270909686777,-0.0042886781036063195,-0.0036579251114229445,0.001462,0.01,0.0,0.97,100,14,1,15
195,0.9414488474314666,-4.280220952817467,-0.899678335635798,-0.3875658958747023,-0.17347121680594652,-0.1904820697180179,-0.04261920858642734,-0.2812681141230082,-0.21297039213011146,-0.004298459080714735,-0.003664883433154828,0.001456,0.01,0.0,0.97,100,14,1,15
196,0.9397637196410161,-4.284192716090141,-0.9016799278384438,-0.3883826701922002,-0.1738746008250808,-0.19087346509202624,-0.04271518378024091,-0.2818778410852207,-0.2134169169996363,-0.004305839642303368,-0.0036730410298959847,0.001449,0.01,0.0,0.97,100,13,1,14
197,0.9374235595690854,-4.28837804069107,-0.9038162484857295,-0.38927049972896943,-0.17429046090205877,-0.19131069013662555,-0.042802689172975486,-0.2825159716099318,-0.2139068039059785,-0.004315471762039316,-0.0036814832954376125,0.001443,0.01,0.0,0.97,100,13,1,14
198,0.9351026472177202,-4.292245313737131,-0.9058135786754169,-0.3901869028686747,-0.17468095502934894,-0.1917877300784632,-0.04290817597948915,-0.2831924907134067,-0.21442999544403832,-0.004325235782047591,-0.003690180531009379,0.001437,0.01,0.0,0.97,100,14,1,15
199,0.943769936037676,-4.295877928318819,-0.9076167039887649,-0.3909191812708323,-0.17505233705452472,-0.1921380056756873,-0.0430009873011394,-0.2837158461662139,-0.21484005233540884,-0.004333821188492589,-0.003696624829156685,0.001431,0.01,0.0,0.97,100,13,1,14
