episode,service_level,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
29,0.9236987031444306,-2.760290940870338,-2.157815097775609,-3.4283816181800693,-3.345011277333596,0.065658,0.1,0.168042,0.2,1719,858,1279,33774,38137,38132,0,0,0,0,3189,3189,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9313728450227952,-2.8039168808548935,-2.192059086472678,-3.4852995370187485,-3.4029343249067354,0.064889,0.1,0.167037,0.2,1490,783,1286,33121,37771,37767,0,0,0,0,3220,3220,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9332395293835883,-2.821351237918939,-2.2201328856092024,-3.5194287844235195,-3.4505688227645814,0.064139,0.1,0.166037,0.2,1442,788,1456,33403,38209,38205,0,0,0,0,3289,3307,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9321819713563606,-2.846827008105843,-2.2513220391650774,-3.565991718721542,-3.4942013182374314,0.063405,0.1,0.165043,0.2,1454,800,1332,33236,37927,37920,0,0,0,0,3315,3299,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9247241276468834,-2.8718279538857514,-2.2782652514982744,-3.589664015814288,-3.5246659549030723,0.062688,0.1,0.164055,0.2,1619,905,1335,33530,38241,38237,0,0,0,0,3283,3281,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9268561882886377,-2.8798409904068123,-2.302066421890237,-3.5835170413903548,-3.536968690302956,0.061988,0.1,0.163073,0.2,1672,780,1380,33523,38025,38020,0,0,0,0,3270,3262,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9424977804084048,-2.873312730082357,-2.3038432292114273,-3.5533240435167075,-3.5370600287218603,0.061302,0.1,0.162097,0.2,1353,590,1141,33790,38739,38734,0,0,0,0,3261,3261,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.937609101306206,-2.873474380790357,-2.3042999088992016,-3.5571630700771393,-3.5597238924731958,0.060632,0.1,0.161127,0.2,1376,697,1325,33226,37901,37891,0,0,0,0,3305,3287,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9299755763388337,-2.8898581159836634,-2.3239236007123916,-3.5693283301389798,-3.5946841147844073,0.059976,0.1,0.160162,0.2,1601,750,1377,33574,37971,37969,0,0,0,0,3245,3243,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9377510637664772,-2.889264882918083,-2.329583880197137,-3.6030034668653137,-3.629609472246996,0.059334,0.1,0.159204,0.2,1288,804,1303,33607,38500,38498,0,0,0,0,3205,3225,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
