episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.9399590095084501,-4.752900792402697,-1.1370255283829422,-0.48774525951488706,-0.23441789365502397,-0.24223507318314222,-0.06930475822411056,-0.37171245291555977,-0.2794740648069681,-0.6252064175551378,0.076864,0.1,0.0,0.97,100,14,1,15
11,0.9381320142008649,-4.955543468973929,-1.2431643540396518,-0.530469447620055,-0.2580736119057967,-0.263156089010253,-0.0762647838178851,-0.4000641713217609,-0.30197778680315573,-0.6791426761771152,0.075126,0.1,0.0,0.97,100,13,1,14
12,0.9418620340698263,-5.10964585815606,-1.3237826475918986,-0.5649786678427136,-0.2755207994481526,-0.28022078757341085,-0.08214046274089029,-0.4260219014107705,-0.3226161077130726,-0.72009843686052,0.073464,0.1,0.0,0.97,100,14,1,15
13,0.9428883658372562,-5.278008729086772,-1.4100809036612851,-0.5992885646682281,-0.2944603629928116,-0.29756025527417673,-0.08776116801651034,-0.4498670780134443,-0.34065566059869995,-0.7657716178450282,0.071875,0.1,0.0,0.97,100,13,1,14
14,0.9422143655254074,-5.444622344441132,-1.496709356813014,-0.6342720103884683,-0.3129040990171163,-0.31464707176548895,-0.09330710496781054,-0.4750970928088075,-0.3601694466109555,-0.8106927545028966,0.070353,0.1,0.0,0.97,100,13,1,14
15,0.9465377124051313,-5.533902534549648,-1.5443399831636806,-0.6585931634360556,-0.3238629022362913,-0.3270139130153941,-0.0989594358421436,-0.49584020994005507,-0.37592822697997635,-0.8330111051749038,0.068894,0.1,0.0,0.97,100,14,1,15
16,0.9406000504244054,-5.656505878352454,-1.6111000595814327,-0.6905871459859984,-0.3394629391095281,-0.3443541261645265,-0.1060377666976513,-0.5199522897925144,-0.396343633942872,-0.8628349795344745,0.067494,0.1,0.0,0.97,100,14,1,15
17,0.941589929880882,-5.807058298752442,-1.6895650531923236,-0.7218221818101218,-0.35784119125454916,-0.35946865704228065,-0.11218227019320776,-0.5413644746474985,-0.4148533918434347,-0.8994007014563852,0.06615,0.1,0.0,0.97,100,13,1,14
18,0.940257705322465,-5.959575583581334,-1.7686511544762098,-0.7529293186406788,-0.3750615404932394,-0.37420512125606664,-0.11721583482206402,-0.5634460670942121,-0.43207705410358566,-0.9380384630776231,0.064859,0.1,0.0,0.97,100,13,1,14
19,0.945476780921969,-6.012045041486431,-1.7972421716703957,-0.7729077576095953,-0.3815575986764765,-0.3881062968555828,-0.12052439395428198,-0.5827312803916801,-0.44629611722379836,-0.9470783743946813,0.063617,0.1,0.0,0.97,100,14,1,15
20,0.9420892630453664,-6.151679088920164,-1.8693994915704581,-0.8023319165833455,-0.3977435253070605,-0.4022307831059911,-0.12583531778603171,-0.603966410228497,-0.46431482817618075,-0.9801984262240776,0.062422,0.1,0.0,0.97,100,13,1,14
21,0.9395543789984557,-6.267655099510655,-1.9296363945306865,-0.8303400507459503,-0.411080114107045,-0.4175802242874252,-0.1307624278885414,-0.6249906791583028,-0.4806076140689171,-1.0107914541882461,0.06127,0.1,0.0,0.97,100,14,1,15
22,0.9428771976736413,-6.350677537174567,-1.973667226911493,-0.8531722426820513,-0.4206064900361423,-0.42993975804355966,-0.13463053014546073,-0.6459368815590943,-0.4963334456458682,-1.0343523526988867,0.060161,0.1,0.0,0.97,100,14,1,15
23,0.9428056098712156,-6.471549422713793,-2.035862613484334,-0.8782123944121029,-0.43374794360503033,-0.4422510706422236,-0.13855973468676958,-0.6632256321993003,-0.5106471342052887,-1.0655778995657863,0.059091,0.1,0.0,0.97,100,13,1,14
