episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
65,0.9085089222703902,-4.221253862308393,-1.7212538623083944,-0.8847845382996938,-0.4394160912126584,0.003382,0.01,0.0,0.97,100,10,0,10
66,0.9044597747452876,-4.237096611610643,-1.7370966116106463,-0.8929398932334506,-0.44351294171784844,0.003348,0.01,0.0,0.97,100,12,0,12
67,0.9097304227538041,-4.251125537611587,-1.7511255376115908,-0.9001664783742672,-0.4470109007233353,0.003315,0.01,0.0,0.97,100,11,0,11
68,0.9041512094405184,-4.265435577334989,-1.765435577334992,-0.9076759480162725,-0.45073210388599,0.003282,0.01,0.0,0.97,100,10,0,10
69,0.9087709300571544,-4.279428971553173,-1.7794289715531764,-0.9148400378594652,-0.45429426219621205,0.00325,0.01,0.0,0.97,100,11,0,11
70,0.9077649439339011,-4.29364322622407,-1.7936432262240722,-0.9221249489151624,-0.4579277514821207,0.003219,0.01,0.0,0.97,100,11,0,11
71,0.9092960665986861,-4.307443911941584,-1.8074439119415866,-0.929074981161384,-0.46135472653002896,0.003188,0.01,0.0,0.97,100,11,0,11
72,0.9043765289366978,-4.321741367004495,-1.8217413670044975,-0.9364567703541132,-0.46513384921513934,0.003157,0.01,0.0,0.97,100,11,0,11
73,0.9070018195296179,-4.335596397409481,-1.835596397409483,-0.9436513021473458,-0.4688136504697008,0.003128,0.01,0.0,0.97,100,11,0,11
74,0.9071961052791724,-4.348805931404228,-1.8488059314042304,-0.9505884219665447,-0.4723375536270462,0.003098,0.01,0.0,0.97,100,11,0,11
75,0.9105531048523923,-4.361644074308101,-1.8616440743081024,-0.9572169819253181,-0.47562990539180444,0.00307,0.01,0.0,0.97,100,11,0,11
76,0.917436646511312,-4.372817786156334,-1.8728177861563358,-0.9628623827238337,-0.47831957369893424,0.003042,0.01,0.0,0.97,100,11,0,11
77,0.9029932926218841,-4.386937024810093,-1.8869370248100947,-0.970134451727115,-0.4819761084943208,0.003014,0.01,0.0,0.97,100,11,0,11
78,0.9010597739372869,-4.400879508572953,-1.9008795085729544,-0.977315358828768,-0.4856032809408649,0.002987,0.01,0.0,0.97,100,11,0,11
79,0.9120750293083235,-4.412827009207258,-1.912827009207258,-0.9833508054888057,-0.4886455326337587,0.00296,0.01,0.0,0.97,100,11,0,11
80,0.9123266512205769,-4.424754846171024,-1.9247548461710238,-0.9894458025955615,-0.49162842874847396,0.002934,0.01,0.0,0.97,100,11,0,11
81,0.9122809973045822,-4.436314802295014,-1.9363148022950145,-0.9953266212088465,-0.49450829290069587,0.002909,0.01,0.0,0.97,100,10,0,10
82,0.9130632527583593,-4.4477313253128905,-1.9477313253128905,-1.0011047498333314,-0.4973663339187683,0.002883,0.01,0.0,0.97,100,11,0,11
83,0.9053231555585446,-4.460413519202741,-1.9604135192027423,-1.0075986526397687,-0.5005483468942943,0.002859,0.01,0.0,0.97,100,11,0,11
84,0.9117177893722376,-4.472037794475677,-1.9720377944756768,-1.0135679779633273,-0.5035663982510227,0.002834,0.01,0.0,0.97,100,11,0,11
85,0.9062415563361254,-4.483898406895269,-1.9838984068952716,-1.0196802664363882,-0.506585829407582,0.00281,0.01,0.0,0.97,100,11,0,11
86,0.9015831537508696,-4.497328600302984,-1.997328600302986,-1.0266206844851908,-0.5102172430556565,0.002787,0.01,0.0,0.97,100,12,0,12
87,0.9058309527810452,-4.509143692435132,-2.009143692435136,-1.0327820699589363,-0.513192738701303,0.002763,0.01,0.0,0.97,100,10,0,10
88,0.9067580571640809,-4.520809675082316,-2.0208096750823175,-1.03870315064768,-0.5161103728622384,0.002741,0.01,0.0,0.97,100,11,0,11
89,0.9018866650916332,-4.533854880831792,-2.033854880831795,-1.0454411609825844,-0.5194576624989282,0.002718,0.01,0.0,0.97,100,12,0,12
90,0.9160496314578821,-4.543667076587557,-2.04366707658756,-1.0504395787937624,-0.5218575080655197,0.002696,0.01,0.0,0.97,100,10,0,10
91,0.9109517204046419,-4.554478685359363,-2.0544786853593657,-1.0560098558074562,-0.5246007791989566,0.002674,0.01,0.0,0.97,100,11,0,11
92,0.905140416588987,-4.56601563714022,-2.0660156371402234,-1.0619620007145643,-0.5275830711239564,0.002653,0.01,0.0,0.97,100,11,0,11
93,0.9073102249557108,-4.577497958854258,-2.0774979588542624,-1.0679277996717336,-0.530589947588881,0.002632,0.01,0.0,0.97,100,11,0,11
94,0.9102190769647514,-4.588072481599333,-2.088072481599337,-1.0733131430177942,-0.5332583211193153,0.002611,0.01,0.0,0.97,100,11,0,11
95,0.9113754172887554,-4.598198574165595,-2.0981985741655977,-1.0784815142743918,-0.5358441832515194,0.002591,0.01,0.0,0.97,100,11,0,11
96,0.907104378810139,-4.609650410238463,-2.1096504102384657,-1.0843910495517617,-0.538867885538922,0.002571,0.01,0.0,0.97,100,12,0,12
97,0.9014221669996809,-4.6213672341761765,-2.121367234176179,-1.0904213454298541,-0.5419198547903282,0.002551,0.01,0.0,0.97,100,11,0,11
98,0.9034133027832064,-4.632794408305324,-2.1327944083053265,-1.0964592982665677,-0.5449310863186155,0.002532,0.01,0.0,0.97,100,11,0,11
99,0.9116117557381215,-4.64268876516471,-2.1426887651647135,-1.1015853758018814,-0.5474991289643842,0.002513,0.01,0.0,0.97,100,11,0,11
100,0.9046689034670405,-4.653900062783814,-2.1539000627838165,-1.107314526371325,-0.5504360225174618,0.002494,0.01,0.0,0.97,100,11,0,11
101,0.9047522545344007,-4.664755441490602,-2.164755441490603,-1.112962456456957,-0.5532792707447607,0.002475,0.01,0.0,0.97,100,11,0,11
102,0.9075473911804636,-4.675172805865009,-2.1751728058650084,-1.1182677830481955,-0.5559345360396682,0.002457,0.01,0.0,0.97,100,11,0,11
103,0.9121510812044566,-4.684783015473266,-2.184783015473265,-1.1230928739252037,-0.5584188381008908,0.002439,0.01,0.0,0.97,100,11,0,11
104,0.905173136580867,-4.694808841027454,-2.194808841027453,-1.1283686796756147,-0.5610618663005598,0.002421,0.01,0.0,0.97,100,10,0,10
105,0.910571819608105,-4.704952309524879,-2.2049523095248773,-1.1335997916524938,-0.5636872312505867,0.002404,0.01,0.0,0.97,100,11,0,11
106,0.9103407457512471,-4.714374367939405,-2.214374367939403,-1.1385369413221134,-0.5661951227614209,0.002386,0.01,0.0,0.97,100,11,0,11
107,0.9095014941591959,-4.724004422671554,-2.2240044226715514,-1.1434398254218685,-0.5686508248351655,0.002369,0.01,0.0,0.97,100,11,0,11
108,0.9073035110792947,-4.733927676887073,-2.2339276768870713,-1.148607411316956,-0.5712891178535603,0.002352,0.01,0.0,0.97,100,11,0,11
109,0.9099811865887254,-4.743536152483661,-2.2435361524836597,-1.153537699716229,-0.5737921865013772,0.002336,0.01,0.0,0.97,100,11,0,11
110,0.9057831731579835,-4.75361652234776,-2.253616522347757,-1.1586906530066736,-0.5763034553621548,0.00232,0.01,0.0,0.97,100,11,0,11
111,0.9074937679119537,-4.763193906697355,-2.2631939066973517,-1.1636396459393752,-0.5788105354997678,0.002304,0.01,0.0,0.97,100,11,0,11
112,0.9036902784070886,-4.773291515823467,-2.2732915158234652,-1.1688708051237486,-0.5814345219434204,0.002288,0.01,0.0,0.97,100,11,0,11
113,0.915934583440363,-4.78165552134217,-2.281655521342168,-1.1731590285778537,-0.5835463239126368,0.002272,0.01,0.0,0.97,100,11,0,11
114,0.9030854031526233,-4.791697887127424,-2.2916978871274236,-1.178413614417526,-0.5861323534464428,0.002257,0.01,0.0,0.97,100,11,0,11
115,0.9189335224490485,-4.799491324294128,-2.2994913242941277,-1.1823725078475598,-0.5880600712671469,0.002241,0.01,0.0,0.97,100,11,0,11
116,0.9168322548869754,-4.807522398623581,-2.307522398623582,-1.1865281089038504,-0.5901297666255324,0.002226,0.01,0.0,0.97,100,11,0,11
117,0.9036432076359481,-4.817143605045014,-2.317143605045016,-1.191509723762603,-0.5926376772715102,0.002212,0.01,0.0,0.97,100,11,0,11
118,0.9056096741686261,-4.826634609368548,-2.3266346093685506,-1.1964737961045875,-0.5951569945426459,0.002197,0.01,0.0,0.97,100,11,0,11
119,0.8993917806377902,-4.836786570909208,-2.3367865709092106,-1.2017730341054949,-0.59787154693312,0.002182,0.01,0.0,0.97,100,11,0,11
120,0.9118100731003956,-4.845238904618319,-2.345238904618322,-1.206263323008532,-0.600148881015733,0.002168,0.01,0.0,0.97,100,11,0,11
121,0.9030950128395729,-4.854859575044218,-2.3548595750442205,-1.211349902027122,-0.6027596867851779,0.002154,0.01,0.0,0.97,100,11,0,11
122,0.9169017869138788,-4.862542557719225,-2.3625425577192263,-1.2153170099554051,-0.6047323049122305,0.00214,0.01,0.0,0.97,100,11,0,11
123,0.9127948773677963,-4.870824424820974,-2.3708244248209738,-1.2196205137108962,-0.6068144977859454,0.002127,0.01,0.0,0.97,100,11,0,11
124,0.9068892546437809,-4.879627376174336,-2.379627376174337,-1.2241343672285614,-0.6091098079589454,0.002113,0.01,0.0,0.97,100,11,0,11
125,0.9087614834977884,-4.888031432380071,-2.388031432380072,-1.228543450844689,-0.6113137017025262,0.0021,0.01,0.0,0.97,100,11,0,11
126,0.907093629181375,-4.896778530638917,-2.3967785306389193,-1.2330667803009816,-0.6135989975498019,0.002087,0.01,0.0,0.97,100,11,0,11
127,0.909624630957402,-4.905073697582167,-2.4050736975821683,-1.2374067195355682,-0.6157244486984516,0.002074,0.01,0.0,0.97,100,11,0,11
128,0.9062265190602615,-4.91357219897099,-2.4135721989709906,-1.2417477207302667,-0.6178958131429273,0.002061,0.01,0.0,0.97,100,10,0,10
129,0.9123155028073833,-4.921721785557972,-2.421721785557973,-1.2460067250872369,-0.6200578921562956,0.002048,0.01,0.0,0.97,100,11,0,11
130,0.9044614766717987,-4.930618531013931,-2.4306185310139314,-1.250653200780442,-0.6223887925645503,0.002035,0.01,0.0,0.97,100,11,0,11
131,0.9109068915695038,-4.938611305506349,-2.438611305506349,-1.2547064333843485,-0.6243540718212778,0.002023,0.01,0.0,0.97,100,11,0,11
132,0.9114504072110641,-4.946418083330977,-2.446418083330977,-1.2587247717790522,-0.6263654689452215,0.002011,0.01,0.0,0.97,100,11,0,11
133,0.9069166891709425,-4.95471514598195,-2.4547151459819503,-1.2629171014553187,-0.6284780160334881,0.001999,0.01,0.0,0.97,100,11,0,11
134,0.9119615436880011,-4.962305262110072,-2.462305262110071,-1.2668498742694003,-0.6304043780820379,0.001987,0.01,0.0,0.97,100,11,0,11
135,0.9116888371857772,-4.969972945204651,-2.4699729452046504,-1.2708502084076903,-0.6323660778139002,0.001975,0.01,0.0,0.97,100,11,0,11
136,0.9032241822057367,-4.97856143594086,-2.4785614359408603,-1.2752505158558354,-0.6345702007109454,0.001963,0.01,0.0,0.97,100,11,0,11
137,0.9067838384525165,-4.986677854226661,-2.486677854226662,-1.2794732460208171,-0.6366473549614351,0.001952,0.01,0.0,0.97,100,11,0,11
138,0.9040248197216166,-4.9948152725584105,-2.49481527255841,-1.2836369956976097,-0.6387679316870292,0.00194,0.01,0.0,0.97,100,10,0,10
139,0.9083798326026306,-5.002795625572207,-2.5027956255722072,-1.2878315610521238,-0.6408686294217787,0.001929,0.01,0.0,0.97,100,11,0,11
140,0.908517509334948,-5.010846920367695,-2.510846920367694,-1.292013648980301,-0.64300555916903,0.001918,0.01,0.0,0.97,100,12,0,12
141,0.9145371040191114,-5.0177643546070545,-2.517764354607055,-1.2955951335004654,-0.6447981329173198,0.001907,0.01,0.0,0.97,100,11,0,11
142,0.9109073262157368,-5.0252999816353485,-2.5252999816353476,-1.2994393964761142,-0.6467591931946045,0.001896,0.01,0.0,0.97,100,11,0,11
143,0.9101322173499842,-5.032851675974227,-2.532851675974227,-1.3033422559386698,-0.6487402939701568,0.001885,0.01,0.0,0.97,100,11,0,11
144,0.9133691279686263,-5.03975967809144,-2.539759678091438,-1.3069019485122473,-0.6504901038282991,0.001875,0.01,0.0,0.97,100,10,0,10
145,0.9055972282956036,-5.047787154547933,-2.54778715454793,-1.3110645553938045,-0.6526354352233831,0.001864,0.01,0.0,0.97,100,12,0,12
146,0.9062468581386776,-5.055179095306653,-2.555179095306649,-1.314904431457142,-0.6545670196902565,0.001854,0.01,0.0,0.97,100,10,0,10
147,0.9070554014746668,-5.062872942739791,-2.5628729427397863,-1.3188714013189962,-0.6565071169037408,0.001843,0.01,0.0,0.97,100,11,0,11
148,0.9105831973898858,-5.069998344995322,-2.5699983449953163,-1.3225748588918884,-0.658292507123526,0.001833,0.01,0.0,0.97,100,11,0,11
149,0.9128036990332072,-5.076738082862529,-2.576738082862523,-1.3260356656238779,-0.6600291999494524,0.001823,0.01,0.0,0.97,100,11,0,11
150,0.9108855144173349,-5.083616282675983,-2.583616282675977,-1.3295486104810998,-0.6617914539734443,0.001813,0.01,0.0,0.97,100,11,0,11
151,0.9113024577829795,-5.090819837118083,-2.590819837118078,-1.3332791200909542,-0.663659488161128,0.001803,0.01,0.0,0.97,100,11,0,11
152,0.9029828311844479,-5.098593853805918,-2.5985938538059146,-1.3372856518162863,-0.6657846775329154,0.001794,0.01,0.0,0.97,100,11,0,11
153,0.9066176348237017,-5.106226265158934,-2.6062262651589316,-1.3412470344464722,-0.667780847818301,0.001784,0.01,0.0,0.97,100,11,0,11
154,0.9096901670374922,-5.113269491129104,-2.6132694911291017,-1.344885747187244,-0.6696138714842254,0.001774,0.01,0.0,0.97,100,11,0,11
155,0.9012881265434158,-5.121148035935299,-2.621148035935296,-1.3489896477892773,-0.6716446451174536,0.001765,0.01,0.0,0.97,100,11,0,11
156,0.9039337750554934,-5.128804194306049,-2.6288041943060465,-1.352927631708972,-0.6736545745104585,0.001756,0.01,0.0,0.97,100,11,0,11
157,0.9093036962195841,-5.135755291449985,-2.6357552914499833,-1.3565392144773931,-0.6754495616251415,0.001746,0.01,0.0,0.97,100,11,0,11
158,0.9063677975228863,-5.142824091352833,-2.64282409135283,-1.3602072158086456,-0.6773463600180594,0.001737,0.01,0.0,0.97,100,11,0,11
159,0.9081906053925725,-5.149863996667336,-2.649863996667331,-1.3638321891554623,-0.6792371698463622,0.001728,0.01,0.0,0.97,100,11,0,11
160,0.9096131301289566,-5.15656737927597,-2.6565673792759634,-1.367327512364324,-0.6810025642657437,0.001719,0.01,0.0,0.97,100,11,0,11
161,0.9059035313514696,-5.163645244761595,-2.663645244761588,-1.371028943075501,-0.6828714827132749,0.001711,0.01,0.0,0.97,100,11,0,11
162,0.9132053852764251,-5.17000129978927,-2.670001299789263,-1.3742864737154794,-0.6845221543049906,0.001702,0.01,0.0,0.97,100,11,0,11
163,0.9054167788849986,-5.1771369520907555,-2.6771369520907466,-1.3779499076469486,-0.686405763643618,0.001693,0.01,0.0,0.97,100,11,0,11
164,0.9063432960987555,-5.184084413424031,-2.684084413424022,-1.381544471061632,-0.6882140101513289,0.001685,0.01,0.0,0.97,100,11,0,11
165,0.9050363822743542,-5.19109106868497,-2.6910910686849605,-1.3852268725506196,-0.6900685323188462,0.001676,0.01,0.0,0.97,100,11,0,11
166,0.9065051668643063,-5.197921828508526,-2.697921828508515,-1.3887428376995552,-0.6918697968596599,0.001668,0.01,0.0,0.97,100,11,0,11
167,0.9066650953719759,-5.204618272761938,-2.7046182727619286,-1.3922315162756467,-0.6935930928512348,0.001659,0.01,0.0,0.97,100,10,0,10
168,0.9160738967737585,-5.2104133451325305,-2.7104133451325207,-1.3952311197596328,-0.6950449134831139,0.001651,0.01,0.0,0.97,100,11,0,11
169,0.903649928071995,-5.217399322712842,-2.717399322712832,-1.3989537996489247,-0.6969707431307626,0.001643,0.01,0.0,0.97,100,11,0,11
170,0.9142047075007969,-5.223367772401634,-2.7233677724016228,-1.4020416033429293,-0.6985021896902119,0.001635,0.01,0.0,0.97,100,11,0,11
171,0.9080023811548601,-5.229762729195127,-2.729762729195116,-1.4053310964739536,-0.7001985241902619,0.001627,0.01,0.0,0.97,100,11,0,11
172,0.9055240580001004,-5.236604027826051,-2.7366040278260404,-1.4088266506100418,-0.7019642256227961,0.001619,0.01,0.0,0.97,100,11,0,11
173,0.9089483242529305,-5.243036593763523,-2.743036593763513,-1.4121393873990946,-0.70360480583813,0.001611,0.01,0.0,0.97,100,11,0,11
174,0.9087413526764726,-5.249474052080587,-2.749474052080578,-1.4154174740658898,-0.7052616901941088,0.001603,0.01,0.0,0.97,100,11,0,11
175,0.9129177107684028,-5.255358597639762,-2.755358597639752,-1.4184425009317159,-0.7067822554827553,0.001596,0.01,0.0,0.97,100,11,0,11
176,0.9107359074397955,-5.261474240507461,-2.76147424050745,-1.421585917995018,-0.7083503340631188,0.001588,0.01,0.0,0.97,100,11,0,11
177,0.9123102304731114,-5.2675112395442305,-2.767511239544219,-1.424701707925586,-0.709910835237725,0.00158,0.01,0.0,0.97,100,11,0,11
178,0.9055258467023173,-5.273940773557429,-2.773940773557418,-1.4280125374234238,-0.7115773138660269,0.001573,0.01,0.0,0.97,100,11,0,11
179,0.9115021850270808,-5.279869960072017,-2.779869960072006,-1.430990314418963,-0.7130671214386678,0.001565,0.01,0.0,0.97,100,11,0,11
180,0.9066262495529709,-5.285882886189509,-2.7858828861894978,-1.4340177192375714,-0.7145793371537301,0.001558,0.01,0.0,0.97,100,10,0,10
181,0.9057471264367816,-5.292251545207525,-2.792251545207513,-1.437351722752423,-0.7162687434933183,0.001551,0.01,0.0,0.97,100,11,0,11
182,0.9119760178191623,-5.298242414319031,-2.7982424143190165,-1.4404456386756268,-0.7177630977698892,0.001544,0.01,0.0,0.97,100,11,0,11
183,0.904375,-5.3046343172313435,-2.804634317231331,-1.4437280791938372,-0.7194451309571079,0.001536,0.01,0.0,0.97,100,11,0,11
184,0.9042352581417868,-5.310832602568438,-2.8108326025684263,-1.446914792470195,-0.7211094221732774,0.001529,0.01,0.0,0.97,100,11,0,11
