Time;Failed events;events;long_congestion;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;starvation;trips;
Fri 10:17.000000;2366;49283;1633;238.79657931649993;1230.346199422725;841;1730;733;25008;
Fri 10:17.113797;2367;49283;1634;238.79657931649993;1231.0163571433834;841;1730;733;25008;
Fri 10:17.574258;2367;49283;1634;238.79657931649993;1231.290788067391;841;1731;733;25008;
Fri 10:18.000000;2369;49293;1634;238.79657931649993;1231.290788067391;841;1731;735;25014;
Fri 10:18.771596;2369;49293;1634;238.79657931649993;1231.5337565922246;841;1732;735;25014;
Fri 10:18.000000;2370;49293;1635;238.79657931649993;1231.9344889815688;841;1732;735;25014;
Fri 10:19.000000;2370;49303;1635;238.79657931649993;1231.9344889815688;841;1732;735;25019;
Fri 10:20.000000;2370;49321;1635;238.79657931649993;1231.9344889815688;841;1732;735;25028;
Fri 10:21.000000;2370;49329;1635;238.79657931649993;1231.9344889815688;841;1732;735;25032;
Fri 10:21.438052;2370;49329;1635;238.79657931649993;1232.0586088850005;841;1733;735;25032;
Fri 10:21.807205;2371;49329;1636;238.79657931649993;1232.417143635414;841;1733;735;25032;
Fri 10:22.000000;2371;49341;1636;238.79657931649993;1232.417143635414;841;1733;735;25038;
Fri 10:22.000000;2371;49341;1636;238.79657931649993;1232.6842437449782;841;1734;735;25038;
Fri 10:23.000000;2372;49350;1636;238.79657931649993;1232.6842437449782;841;1734;736;25043;
Fri 10:23.262867;2372;49350;1636;238.79657931649993;1232.9691648498099;841;1735;736;25043;
Fri 10:24.000000;2372;49358;1636;238.79657931649993;1232.9691648498099;841;1735;736;25047;
Fri 10:24.110210;2372;49358;1636;238.79657931649993;1233.1207196999376;841;1736;736;25047;
Fri 10:24.431600;2373;49358;1637;238.79657931649993;1233.4879000593642;841;1736;736;25047;
Fri 10:25.000000;2373;49366;1637;239.05981136440136;1233.4879000593642;842;1736;736;25051;
Fri 10:25.596867;2373;49366;1637;239.05981136440136;1233.7623309833718;842;1737;736;25051;
Fri 10:26.000000;2374;49371;1637;239.05981136440136;1233.7623309833718;842;1737;737;25054;
Fri 10:26.332170;2374;49371;1637;239.05981136440136;1233.952405519399;842;1738;737;25054;
Fri 10:26.963811;2375;49371;1638;239.05981136440136;1234.4721684475119;842;1738;737;25054;
Fri 10:27.000000;2375;49377;1638;239.05981136440136;1234.4721684475119;842;1738;737;25057;
Fri 10:28.000000;2375;49389;1638;239.05981136440136;1234.4721684475119;842;1738;737;25063;
Fri 10:28.589468;2375;49389;1638;239.05981136440136;1234.6050597430851;842;1739;737;25063;
Fri 10:28.529375;2375;49389;1638;239.05981136440136;1234.6276873631916;842;1740;737;25063;
Fri 10:28.063031;2375;49389;1638;239.05981136440136;1234.9507545688919;842;1741;737;25063;
Fri 10:29.000000;2375;49395;1638;239.05981136440136;1234.9507545688919;842;1741;737;25066;
Fri 10:29.179404;2376;49395;1639;239.05981136440136;1235.4705174970047;842;1741;737;25066;
