episode,service_level,rebalancing_imbalance,squared_starvation_penalty,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
48,0.9462073494731186,-3.0457922893254112,-4.260504167647027,0.044686,0.1,0.132462,0.2,1062,740,1443,33499,38422,38413,0,0,0,0,3756,3766,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9287997848755565,-3.6564086478756526,-4.489532069444882,0.044177,0.1,0.13133,0.2,1345,1038,1693,33469,38119,38111,0,0,0,0,3813,3804,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9295535768368769,-4.0468036118808755,-4.64951519570241,0.04368,0.1,0.130208,0.2,1344,982,1773,33018,37843,37835,0,0,0,0,3954,3934,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9414999554115514,-3.994701948158163,-4.663603383138225,0.043193,0.1,0.129095,0.2,1110,858,1589,33641,38638,38634,0,0,0,0,3820,3819,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.936189148298674,-3.8796528182877292,-4.674438796563412,0.042717,0.1,0.127991,0.2,1337,814,1664,33709,38516,38507,0,0,0,0,3792,3806,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9327077747989276,-3.9283527552722877,-4.7071844536061755,0.042252,0.1,0.126897,0.2,1424,835,1517,33570,38316,38312,0,0,0,0,3861,3850,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9353479196556671,-3.7866873320344006,-4.716395970378445,0.041796,0.1,0.125813,0.2,1290,873,1480,33456,38304,38300,0,0,0,0,3770,3758,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9406934579999401,-3.920981244238746,-4.77126581142231,0.041351,0.1,0.124737,0.2,1136,843,1632,33369,38263,38252,0,0,0,0,3919,3933,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9425691937424789,-3.674942187604002,-4.6995347629607895,0.040914,0.1,0.123671,0.2,1061,848,1662,33240,38530,38527,0,0,0,0,3830,3817,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9366438356164384,-3.5402840415619936,-4.697153562419498,0.040487,0.1,0.122614,0.2,1169,977,1718,33872,38897,38887,0,0,0,0,3685,3679,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9410713221712447,-3.7040395826521193,-4.744796511426079,0.040069,0.1,0.121566,0.2,1109,869,1469,33566,38540,38537,0,0,0,0,3783,3779,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9335070128139105,-3.8812822948059593,-4.811604017790736,0.039659,0.1,0.120527,0.2,1361,834,1543,33011,37739,37737,0,0,0,0,3751,3751,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9410326824999246,-3.6364923826205438,-4.763298952198847,0.039258,0.1,0.119497,0.2,1116,838,1500,33137,38249,38244,0,0,0,0,3742,3756,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9372169061403246,-3.5970841904626925,-4.792203337560612,0.038864,0.1,0.118476,0.2,1248,845,1634,33337,38021,38017,0,0,0,0,3788,3787,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9401540942483426,-3.8199573718108826,-4.8413568334924175,0.038479,0.1,0.117463,0.2,1154,850,1581,33486,38454,38449,0,0,0,0,3769,3778,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9352930738747265,-3.6937205919432934,-4.835191971399067,0.0381,0.1,0.116459,0.2,1265,923,1644,33814,38722,38712,0,0,0,0,3785,3780,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9510754955714888,-3.5935414659466183,-4.798355046257027,0.03773,0.1,0.115464,0.2,1005,619,1576,33194,38165,38157,0,0,0,0,3834,3833,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.940243129920666,-3.5966413198975715,-4.808004542993853,0.037366,0.1,0.114477,0.2,1151,830,1644,33151,38043,38039,0,0,0,0,3865,3869,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.9385831559744603,-3.6670800280675326,-4.834369135888416,0.03701,0.1,0.113498,0.2,1232,788,1683,32890,37684,37677,0,0,0,0,3807,3796,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9403002859866539,-3.7265008016976404,-4.842869314127966,0.03666,0.1,0.112528,0.2,1170,834,1572,33568,38652,38650,0,0,0,0,3814,3814,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9390210388103454,-3.525463603662144,-4.785872016915961,0.036316,0.1,0.111567,0.2,1187,810,1534,32749,37609,37603,0,0,0,0,3807,3819,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.9353563573678892,-3.792565030146563,-4.8795475056714235,0.035979,0.1,0.110613,0.2,1240,935,1525,33646,38422,38414,0,0,0,0,3823,3822,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9388996489529112,-3.830822511456359,-4.900142332011227,0.035649,0.1,0.109668,0.2,1148,871,1521,33044,37877,37872,0,0,0,0,3876,3864,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.9370985010706638,-4.024493679519844,-4.997030562845095,0.035324,0.1,0.10873,0.2,1265,850,1452,33624,38449,38443,0,0,0,0,3887,3867,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.9390939093909391,-4.225179830244847,-5.057741553268236,0.035005,0.1,0.107801,0.2,1083,947,1559,33330,38443,38439,0,0,0,0,3833,3818,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.9317969854688769,-4.5653883214511195,-5.165290994491512,0.034692,0.1,0.10688,0.2,1163,1104,1608,33239,38260,38255,0,0,0,0,3781,3792,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9408362989323843,-4.2840927786502245,-5.106700313817346,0.034384,0.1,0.105966,0.2,1155,840,1487,33720,38705,38698,0,0,0,0,3837,3832,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9309973045822102,-4.357863162035984,-5.1791726420482656,0.034082,0.1,0.10506,0.2,1185,1119,1537,33390,38394,38389,0,0,0,0,3825,3821,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9362298739673159,-4.380581843184097,-5.200829177717967,0.033785,0.1,0.104162,0.2,1250,865,1518,33166,38030,38021,0,0,0,0,3913,3901,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
77,0.9418891231404223,-4.06477688883484,-5.124480265120291,0.033493,0.1,0.103272,0.2,1305,652,1534,33677,38709,38703,0,0,0,0,3750,3759,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.9360301322880941,-4.115987105228975,-5.128143201085875,0.033206,0.1,0.102389,0.2,1173,916,1602,32656,37841,37841,0,0,0,0,3828,3836,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9413472003869875,-4.0470321867159,-5.105119799019524,0.032925,0.1,0.101514,0.2,1141,799,1607,33076,38023,38022,0,0,0,0,3846,3851,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.934596558661902,-4.203547637767192,-5.175960597399814,0.032647,0.1,0.100647,0.2,1272,906,1428,33301,38081,38076,0,0,0,0,3851,3851,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.9422132505799765,-4.196367103714645,-5.191236198226894,0.032375,0.1,0.099786,0.2,1150,768,1635,33191,38194,38186,0,0,0,0,3805,3791,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.9380669660347789,-4.33925696368577,-5.246074947001292,0.032107,0.1,0.098934,0.2,1176,879,1742,33181,38282,38278,0,0,0,0,3799,3816,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9391893918939189,-4.265559202488409,-5.262202402987961,0.031843,0.1,0.098088,0.2,1272,755,1831,33333,38321,38314,0,0,0,0,3864,3876,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
84,0.9348447834117857,-4.359388004789971,-5.296219495800537,0.031584,0.1,0.09725,0.2,1429,758,1488,33566,38362,38359,0,0,0,0,3721,3721,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
85,0.9325528880437366,-4.604732052421286,-5.408855329545679,0.031329,0.1,0.096418,0.2,1318,952,1536,33656,38414,38406,0,0,0,0,3832,3841,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
86,0.9431562528121906,-4.4788702556001505,-5.41009347952064,0.031077,0.1,0.095594,0.2,1088,807,1492,33337,38270,38258,0,0,0,0,3828,3822,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
87,0.9372866127583108,-4.5265809853934025,-5.431948150811498,0.03083,0.1,0.094777,0.2,1259,835,1732,33390,38284,38276,0,0,0,0,3892,3908,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
88,0.9367354391090013,-4.5736165018231265,-5.441915167513938,0.030587,0.1,0.093967,0.2,1199,880,1564,32862,37498,37493,0,0,0,0,3720,3714,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
89,0.9379310344827586,-4.340881930263348,-5.386471433330053,0.030348,0.1,0.093164,0.2,1254,834,1409,33640,38465,38456,0,0,0,0,3873,3883,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
90,0.9463358686466257,-4.265101484060494,-5.368985493036285,0.030112,0.1,0.092368,0.2,1058,720,1399,33132,38177,38169,0,0,0,0,3836,3855,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
91,0.9395636792452831,-4.391791741233914,-5.415568979724361,0.02988,0.1,0.091578,0.2,1210,840,1304,33920,38632,38627,0,0,0,0,3820,3840,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
92,0.9418227665706052,-4.371736217168818,-5.411381240144221,0.029652,0.1,0.090796,0.2,1146,792,1767,33312,38300,38291,0,0,0,0,3916,3901,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
93,0.9340737661103522,-4.477119647185612,-5.451238567368327,0.029427,0.1,0.09002,0.2,1339,881,1497,33674,38451,38448,0,0,0,0,3872,3872,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
94,0.9366172000715179,-4.5311830391936505,-5.476505285736109,0.029205,0.1,0.08925,0.2,1306,821,1417,33558,38366,38359,0,0,0,0,3798,3804,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
95,0.9355406413124534,-4.42451752763679,-5.454905621390213,0.028987,0.1,0.088487,0.2,1256,905,1615,33525,38188,38182,0,0,0,0,3819,3831,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
96,0.9367403149512006,-4.4683200091549065,-5.460858825229383,0.028772,0.1,0.087731,0.2,1279,834,1403,33402,38317,38308,0,0,0,0,3812,3812,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
97,0.9434396580072345,-4.407411734985825,-5.476477642717974,0.02856,0.1,0.086981,0.2,1203,689,1535,33451,38273,38268,0,0,0,0,3947,3952,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
98,0.940760495010937,-4.4448393983854935,-5.490365843883897,0.028351,0.1,0.086238,0.2,1178,799,1556,33373,38346,38336,0,0,0,0,3938,3953,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
99,0.933541547794228,-4.441071371945141,-5.510212697686691,0.028145,0.1,0.085501,0.2,1353,860,1464,33299,37961,37957,0,0,0,0,3819,3810,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
100,0.9390258425628201,-4.368077725042559,-5.514003708160736,0.027942,0.1,0.08477,0.2,1235,813,1604,33588,38594,38590,0,0,0,0,3907,3925,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
101,0.9383411768232367,-4.479278262690578,-5.545790623546018,0.027742,0.1,0.084045,0.2,1154,903,1634,33361,38306,38296,0,0,0,0,3833,3848,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
102,0.9399419843713,-4.469489963575428,-5.5405571794974415,0.027545,0.1,0.083327,0.2,1232,797,1499,33784,38771,38767,0,0,0,0,3895,3915,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
103,0.941654423889905,-4.473868777622117,-5.563614006356336,0.027351,0.1,0.082615,0.2,1218,728,1736,33353,38301,38298,0,0,0,0,3885,3866,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
104,0.9380571220665818,-4.524431433195639,-5.56636044929121,0.02716,0.1,0.081909,0.2,1188,855,1746,32982,37933,37928,0,0,0,0,3977,3979,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
105,0.9414057814561593,-4.541666442975711,-5.603955819214241,0.026971,0.1,0.081209,0.2,1190,764,1503,33348,38289,38283,0,0,0,0,3784,3773,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
106,0.9362336293843143,-4.534466993285366,-5.600508093214354,0.026784,0.1,0.080515,0.2,1255,863,1672,33215,38119,38112,0,0,0,0,3806,3821,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
107,0.9327987216665681,-4.679507728571555,-5.6743581782571315,0.026601,0.1,0.079826,0.2,1426,845,1644,33794,38545,38544,0,0,0,0,3812,3814,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
108,0.9412101488579522,-4.668369979182214,-5.688823714818681,0.026419,0.1,0.079144,0.2,1211,740,1465,33186,38053,38042,0,0,0,0,3907,3894,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
109,0.9433281193598845,-4.593854845982174,-5.6813752273287355,0.026241,0.1,0.078468,0.2,1054,830,1485,33244,38198,38191,0,0,0,0,3891,3901,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
110,0.9304455738092424,-4.7800923544835685,-5.766684548224191,0.026064,0.1,0.077797,0.2,1303,1051,1524,33844,38806,38800,0,0,0,0,3939,3948,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
111,0.9433256963704328,-4.692865309613133,-5.73618388447103,0.02589,0.1,0.077132,0.2,1160,720,1518,33172,38157,38153,0,0,0,0,3869,3861,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
112,0.9380851706433102,-4.5870243800001305,-5.72445201169604,0.025718,0.1,0.076473,0.2,1190,860,1574,33110,38013,38009,0,0,0,0,3929,3935,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
113,0.9364583026047966,-4.722478128427441,-5.77536164918609,0.025549,0.1,0.075819,0.2,1156,998,1698,33899,38932,38924,0,0,0,0,3871,3885,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
114,0.943676716917923,-4.651397722906333,-5.7882763073591965,0.025382,0.1,0.075171,0.2,1073,810,1342,33432,38536,38525,0,0,0,0,3881,3890,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
115,0.9369908960229996,-4.7455425663114745,-5.854911714419962,0.025217,0.1,0.074529,0.2,1147,957,1393,33392,38394,38383,0,0,0,0,3820,3836,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
116,0.9333572839949704,-4.75481195960185,-5.866474413210105,0.025054,0.1,0.073892,0.2,1277,949,1573,33402,38272,38268,0,0,0,0,3959,3944,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
117,0.9403599892540522,-4.760088357288596,-5.887361765790658,0.024893,0.1,0.07326,0.2,1067,931,1551,33501,38541,38534,0,0,0,0,3888,3894,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
118,0.9424479789524037,-4.688814306462117,-5.8872535053413335,0.024734,0.1,0.072634,0.2,1097,828,1386,33448,38442,38435,0,0,0,0,3922,3935,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
119,0.9386635196931701,-4.7010509318259786,-5.89991231058995,0.024577,0.1,0.072013,0.2,1349,730,1705,33895,38589,38577,0,0,0,0,3951,3971,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
120,0.9302772687674608,-4.674699140184588,-5.901314104217669,0.024423,0.1,0.071398,0.2,1402,919,1769,33289,38135,38132,0,0,0,0,3907,3894,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
121,0.9394192604971798,-4.697626109366616,-5.905298745465881,0.02427,0.1,0.070787,0.2,1289,741,1641,33509,38442,38439,0,0,0,0,3891,3905,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
