rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,time_remaining_fraction,functional_bikes_time_penalty,reachable_imbalance_fraction,recoverable_imbalance_fraction,imbalance_hotspot_distance,destination_starv_ratio,destination_cong_ratio,destination_travel_penalty,destination_roi_starvation,cur_station_func_deficit,functional_load_late_pressure,non_depot_late_load_pressure
0.5926876,0.21281774,0.15504298,0.18441945,0.13522308,0.9785714,0.9625,0.07462686,0.05970149,0.22866108,0.18906605,0.029134674,0.02800392,1.0,0.0,1.0,0.04112554,0.12895389,0.0,1.0,0.0010801693,0.0,0.0,0.40465355,0.4259511
0.5105837,0.19926815,0.14027166,0.1769769,0.12277971,1.0,0.89666665,0.104477614,0.05970149,0.2828376,0.1893164,0.0389778,0.02700521,1.0,0.0,1.0,0.047738694,0.37468582,0.0,0.7368421,0.0016646547,0.0,0.0,0.40966526,0.43122658
0.5144323,0.18762141,0.14387405,0.16184208,0.12533946,0.91439396,0.85,0.07462686,0.04477612,0.26742727,0.19103432,0.036924105,0.02629482,1.0,0.0,1.0,0.047381546,0.15970899,0.0,0.7692308,0.0017245605,0.0,0.0,0.4147352,0.43656337
0.51186657,0.17524567,0.1486648,0.15051456,0.130655,0.91439396,0.8793651,0.07462686,0.04477612,0.25181624,0.20082575,0.032202672,0.02752248,1.0,0.0,1.0,0.04761905,0.12615286,0.0,1.0,0.0010801693,0.0,0.0,0.41917852,0.44124052
0.5144323,0.17892101,0.13954799,0.1568983,0.1223445,0.97692305,0.8793651,0.07462686,0.04477612,0.26452252,0.19340989,0.033591818,0.027293356,1.0,0.0,1.0,0.047381546,0.26359022,0.0,0.7368421,0.0016646547,0.0,0.0,0.4241902,0.446516
0.5105837,0.17697702,0.13267939,0.15536533,0.115838036,0.975,0.87606835,0.08955224,0.04477612,0.26858723,0.19009562,0.031217674,0.025228139,1.0,0.0,1.0,0.047738694,0.16108243,0.0,0.84615386,0.0017245605,0.0,0.0,0.42926016,0.4518528
0.4964721,0.17402716,0.11706316,0.15370528,0.09915901,0.975,0.79571426,0.08955224,0.029850746,0.2675459,0.17834333,0.032300036,0.017465657,1.0,0.0,1.0,0.04909561,0.1310052,0.0,1.0,0.0010801693,0.0,0.0,0.43370345,0.45652995
0.50416934,0.17462936,0.119809784,0.15406005,0.101358145,0.975,0.7883459,0.08955224,0.029850746,0.26113635,0.18301316,0.03318325,0.017739555,1.0,0.0,1.0,0.048346058,0.3151511,0.0,0.7894737,0.0016646547,0.0,0.0,0.43871516,0.46180543
0.52341247,0.18308176,0.13054794,0.15888138,0.11259359,0.975,0.85263157,0.08955224,0.04477612,0.2635594,0.191063,0.0342651,0.020358616,1.0,0.0,1.0,0.04656863,0.17039618,0.0,0.8076923,0.0017245605,0.0,0.0,0.4437851,0.46714222
0.52854395,0.19416961,0.12065355,0.16883881,0.10374056,0.975,0.8317814,0.08955224,0.029850746,0.27256808,0.18433788,0.040717494,0.019166017,1.0,0.0,1.0,0.046116505,0.16282257,0.0,1.0,0.0010801693,0.0,0.0,0.44822842,0.47181937
0.5349583,0.20366175,0.11694664,0.17886336,0.10196375,1.0,0.8423077,0.104477614,0.04477612,0.28302735,0.17878234,0.043668546,0.019115256,1.0,0.0,1.0,0.04556355,0.42512125,0.0,0.7894737,0.0016646547,0.0,0.0,0.4532401,0.47709486
0.5503528,0.19792983,0.12555113,0.17047611,0.10818488,0.9166667,0.8423077,0.104477614,0.04477612,0.26451054,0.19341034,0.04301334,0.0231083,1.0,0.0,1.0,0.044289045,0.22110076,0.0,0.8076923,0.0017245605,0.0,0.0,0.45831007,0.48243165
0.54137266,0.19295222,0.13418822,0.17002054,0.11925914,0.93125,0.92,0.11940298,0.07462686,0.25963378,0.19814073,0.038166143,0.02874023,1.0,0.0,1.0,0.0450237,0.014338271,0.0,0.0,0.0087646805,0.0,0.0,0.024748757,0.049497515
