episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,destination_starv_ratio,destination_cong_ratio,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
26,0.9205833053972511,-2.716320889915636,-0.11327768944725891,-0.04882743613920976,-0.02164007052736383,-0.03418976405430211,-0.020142238356767622,-0.030273228576607247,-0.004401870337718994,-0.0023707358646339882,-0.003168954152578257,-0.002735584339053687,9e-06,5e-05,0.040803
27,0.9101544298741929,-2.720305972007188,-0.11533633716703573,-0.04971061561316953,-0.022024040188734884,-0.03482403662513537,-0.020494129159333033,-0.030848524887464368,-0.0044768478939793965,-0.0024195641905303544,-0.0032250158233781134,-0.002782151022997559,8e-06,5e-05,0.038383
28,0.9164128880289392,-2.723823557634112,-0.11715863166836593,-0.050496170266589424,-0.022360158639935845,-0.03536881379999383,-0.020812032030691027,-0.031415416904615356,-0.004522692678317952,-0.0024587219366881685,-0.0032762745066590437,-0.0028262053167695256,8e-06,5e-05,0.036106
29,0.9228197503486048,-2.7269412822121164,-0.11874524434608302,-0.0511805335874303,-0.02264990553523355,-0.03585957783437247,-0.02109785463821366,-0.03184965545774621,-0.00455731508132029,-0.0024841928786223377,-0.0033149291117735846,-0.0028600458358582492,8e-06,5e-05,0.033965
30,0.9158236013036394,-2.730253818198429,-0.12045520783221297,-0.05191112868917941,-0.022958978522845175,-0.036361301232270805,-0.021411375872042337,-0.032474791497706046,-0.004606678595646896,-0.0025175450776604436,-0.003356604704750882,-0.002901854001040649,8e-06,5e-05,0.031951
31,0.9137102080064781,-2.7335899445385077,-0.12218510304647756,-0.052674453914873076,-0.02326622488901048,-0.03689503826360994,-0.021729348326810477,-0.0330365399138256,-0.004644932573969696,-0.0025511467854517633,-0.0034109237999709052,-0.0029522174318055705,7e-06,5e-05,0.030056
32,0.9191175234155611,-2.736612225125167,-0.12374442092165427,-0.0533408448227734,-0.02356268940814238,-0.037335618990979015,-0.02199162549096116,-0.03347200099173031,-0.0046827672945123355,-0.0025894716287666597,-0.003452860267471519,-0.0030055049004785173,7e-06,5e-05,0.028273
33,0.9193613923407713,-2.739522665881428,-0.1252297693843174,-0.053989437747950286,-0.023842530509972537,-0.03780128489075018,-0.022254093573414853,-0.033938796929932014,-0.004715478390635686,-0.00262335944338421,-0.0034897811560648806,-0.00303576216163165,7e-06,5e-05,0.026597
34,0.9136462335059296,-2.742639436764668,-0.12689167995967776,-0.05470948947383636,-0.02416160511568599,-0.03829539856878882,-0.022536553144731745,-0.03436936566339782,-0.00476043770322232,-0.002661117239143307,-0.003537215395611887,-0.003074363272608849,7e-06,5e-05,0.025019
35,0.9218575537134157,-2.745308004499892,-0.1282467969028812,-0.05527781594135306,-0.02441619349755461,-0.0386945382480579,-0.022773692509263272,-0.034723181823521965,-0.004791693283912379,-0.002684244167747485,-0.003570703040000761,-0.003099829138377197,7e-06,5e-05,0.023535
36,0.9148106904231625,-2.748195137143953,-0.12973787009110882,-0.0559365738030706,-0.024677825977397982,-0.03917014593513148,-0.023031506569403323,-0.0351926898436965,-0.004844349871710896,-0.0027155996343799504,-0.0036071406422358565,-0.0031357315756543325,7e-06,5e-05,0.02214
37,0.923735106490701,-2.750672902696902,-0.13100235695141282,-0.056489969706319254,-0.02489775448225473,-0.03955778794895468,-0.023255602670893508,-0.035579152851943574,-0.0048722150843646395,-0.0027438438350271266,-0.003641299039650686,-0.0031602971287729154,6e-06,5e-05,0.020827
38,0.912811149452243,-2.7535246224439938,-0.13243852352968175,-0.05712337312901031,-0.025141411874347666,-0.040005209315473085,-0.023497226589199685,-0.03608724803497863,-0.0049144951422682714,-0.0027735268969570903,-0.0036789454608164573,-0.003191159033566842,6e-06,5e-05,0.019592
39,0.9137965726550186,-2.7562713482932892,-0.13386259855705682,-0.0577516577580757,-0.025393460412732202,-0.040449950682721315,-0.02374697687473007,-0.036540763720710565,-0.004953610201477943,-0.0028081069987830887,-0.0037174030555879034,-0.0032224849431089766,6e-06,5e-05,0.01843
40,0.918129838587259,-2.7587856902021985,-0.1351461737015209,-0.05830557779363377,-0.025622427363403186,-0.0408422469884508,-0.023969689331167547,-0.036946342281414676,-0.004989266023010364,-0.002841983483507615,-0.0037552747612955295,-0.0032500267877764435,6e-06,5e-05,0.017337
41,0.9172857767169799,-2.7612844054678485,-0.13643834242089933,-0.058871937173355204,-0.025858951960294807,-0.04124466182744222,-0.024203089024112452,-0.03741198292449725,-0.005036095958094344,-0.002867915601723059,-0.003790763445784079,-0.003280835919628965,6e-06,5e-05,0.016308
42,0.9110124036205163,-2.7639557642130512,-0.1378287756407247,-0.0595203902988555,-0.026083323610918488,-0.041716234550937856,-0.024435345180679642,-0.03795966317852422,-0.005075875220707349,-0.002900741378150329,-0.0038254341235995047,-0.003301751822860073,6e-06,5e-05,0.015341
43,0.9187661095867631,-2.766329780828909,-0.13905938615756236,-0.060054080776858934,-0.026308799016572362,-0.042085404407668184,-0.024651329413528572,-0.03834956649574516,-0.005117867921304142,-0.002921776796872777,-0.0038553579437689244,-0.003331713190838799,6e-06,5e-05,0.014431
44,0.9072500209538178,-2.769015842845202,-0.1404358529043706,-0.06068697277831196,-0.02652875625410228,-0.04254019650616604,-0.024891053852510406,-0.038823073096449855,-0.005159159969352067,-0.0029473618226196763,-0.0038959022542136533,-0.003363947147043157,6e-06,5e-05,0.013576
45,0.9152499621651616,-2.771377810199236,-0.14165537711427706,-0.0612183358831984,-0.026743116097092512,-0.042925934085094555,-0.02510545514336523,-0.03917926659980455,-0.0051904406838000905,-0.002967893784257436,-0.003928704064685425,-0.0033857935663815465,5e-06,5e-05,0.01277
46,0.9116882245373865,-2.7738128175226455,-0.14291337416763278,-0.061768096237310985,-0.02696673454957854,-0.04332570679359153,-0.025327516861264016,-0.03959820539287875,-0.005213698659574273,-0.0029972184697439896,-0.003961328075096356,-0.0034210644311166395,5e-06,5e-05,0.012013
47,0.9165590893087666,-2.776052952495536,-0.14404812964583363,-0.06226933000670147,-0.02716408724653488,-0.04368719061042263,-0.02552399450062368,-0.039988661380999956,-0.005243453059336489,-0.003016288862817129,-0.003988521137817527,-0.0034426805098562397,5e-06,5e-05,0.011301
48,0.9076065179644718,-2.778535594316128,-0.14532611475546758,-0.06283907168702423,-0.027377112769249173,-0.04408834712161555,-0.02576200762652758,-0.04039178467222842,-0.005278501089720167,-0.0030407429376795303,-0.004024286891856046,-0.003468787615890585,5e-06,5e-05,0.01063
49,0.909590653105825,-2.7808930470697426,-0.1465558884660509,-0.06339444018075839,-0.0275937584515505,-0.044497241846409595,-0.025980240592804047,-0.040890388467620935,-0.005318811289834358,-0.003067610201529014,-0.004062719470527356,-0.0034975780644031463,5e-06,5e-05,0.01
