Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,squared_starvation_penalty,squared_congestion_penalty,work_ratio,imbalance_concentration
9000,15507.064207567539,V0,S24,S50,0,6,-254.82372442726893,0.0,0.19128383606778343,0.1653787677888248,1.0,0.034571062740076826
9000,15520.884667636898,V0,S50,S47,0,0,-258.45234200439825,0.0,0.2203605906596659,0.15339529692119427,1.0,0.03504380475594493
9000,15533.83564175809,V0,S47,S22,12,0,-255.84295858469557,0.0,0.2193378262799765,0.13088469910399647,1.0,0.03708609271523179
9000,15545.158594657356,V0,S22,S65,8,0,-256.2491074327082,0.0,0.2199641185111401,0.13365856087186964,1.0,0.03679369250985545
9000,15553.519302723698,V0,S65,S50,0,0,-254.74388162041615,0.0,0.20056271759912234,0.15007453621199393,1.0,0.03679369250985545
9000,15566.086062239126,V0,S50,S10,0,14,-251.2786170338375,0.0,0.17970163670049866,0.15067842201768197,1.0,0.037889039242219216
9000,15577.86824666312,V0,S10,S29,0,6,-250.27111090251043,0.0,0.17643257708135507,0.1464740337565287,1.0,0.038620689655172416
9000,15584.529068699954,V0,S29,S58,0,0,-249.9908719455332,0.0,0.18466758844640907,0.13125344416254822,1.0,0.03347280334728033
9000,15594.42438579921,V0,S58,S51,14,0,-248.9212839024644,0.0,0.1836294346593996,0.12299903576753322,1.0,0.034139402560455195
9000,16262.929541232104,V0,S51,S15,0,11,-264.9280578893303,0.0,0.24149355540617878,0.17989405523839805,1.0,0.03859649122807018
9000,16280.018495193906,V0,S15,S47,0,3,-264.34812754610834,0.0,0.24885797211900113,0.16305607758543614,1.0,0.038777908343125736
9000,16290.160356983499,V0,S47,S37,12,0,-261.6303250335881,0.0,0.23702379966985782,0.1564348555302194,1.0,0.04039167686658507
9000,16304.13074910552,V0,S37,S39,8,0,-258.8951823194458,0.0,0.23098603922620384,0.14073175394903947,1.0,0.0389937106918239
9000,16314.682386696364,V0,S39,S62,0,0,-258.7110121123354,0.0,0.21879398761687788,0.15802175691727496,1.0,0.039950062421972535
9000,16323.421891441329,V0,S62,S40,0,12,-257.9825780997757,0.0,0.21022559941938485,0.16472836252981402,1.0,0.03889585947302384
9000,16333.153731235927,V0,S40,S43,0,8,-255.4168301643395,0.0,0.19347047604174678,0.16718515181677587,1.0,0.040522875816993466
