episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
25,0.9311273336524652,-1.4061076497795433,-0.4391710605164415,-1.8023003768565582,-1.0685761244162033,-1.4882540650757918,-1.2506495431557074,0.068923,0.1,0.172127,0.2,1411,891,1326,33424,38031,38021,0,0,0,0,3167,3160,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9393677303906949,-1.3813774796928906,-0.4012798896739014,-1.5913222949320682,-0.8283347630746435,-1.482871977729927,-1.2554700842315423,0.068076,0.1,0.171096,0.2,1358,675,1296,33530,38097,38093,0,0,0,0,3168,3183,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.935881627620222,-1.3892387842615739,-0.407302924078527,-1.5645321103970493,-0.8145056758100698,-1.5084387367161503,-1.2805174817978207,0.067251,0.1,0.170072,0.2,1345,787,1450,33251,38090,38086,0,0,0,0,3115,3123,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9350781273341101,-1.4200771302706008,-0.42438079288081265,-1.592491373139314,-0.8713064520604085,-1.5242655398616551,-1.3096543667631069,0.066445,0.1,0.169054,0.2,1306,867,1311,33471,38320,38316,0,0,0,0,3070,3076,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9377554700649194,-1.437063127733764,-0.4444621033054507,-1.5468337852077547,-0.8767371373162394,-1.5275452283244795,-1.3339716121087928,0.065658,0.1,0.168042,0.2,1268,803,1225,33272,38086,38082,0,0,0,0,3182,3167,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9239329864348663,-1.5328860623517777,-0.5174513363170236,-1.9075205190099678,-1.2497755050517565,-1.6045157248797237,-1.402077589431577,0.064889,0.1,0.167037,0.2,1654,875,1719,33247,37733,37727,0,0,0,0,3199,3199,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.926213475369384,-1.5750177757025876,-0.5430478304491959,-2.0037455975312604,-1.3367584912547268,-1.6434324509908476,-1.4303883867555913,0.064139,0.1,0.166037,0.2,1547,905,1633,33231,37932,37928,0,0,0,0,3179,3181,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9301572062882515,-1.5850206798851505,-0.5316147274690175,-1.921494327808536,-1.2285602711187786,-1.6431150212500836,-1.4374515267981913,0.063405,0.1,0.165043,0.2,1643,685,1321,33332,37834,37830,0,0,0,0,3174,3168,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9230247641509434,-1.6012145408633152,-0.528714310360028,-1.8578538780299623,-1.189208906469762,-1.6843621585128945,-1.4777032780342774,0.062688,0.1,0.164055,0.2,1775,836,1313,33920,38475,38470,0,0,0,0,3207,3201,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9361531373539815,-1.610529914440278,-0.5144700242982038,-1.7961024224942448,-1.0875987447499913,-1.7248601569827295,-1.5068735713188948,0.061988,0.1,0.163073,0.2,1296,852,1426,33643,38521,38518,0,0,0,0,3176,3176,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9370731999520786,-1.609807720762847,-0.5079685765568982,-1.7375536717421602,-1.015065110072991,-1.7558600010556487,-1.5337117544287637,0.061302,0.1,0.162097,0.2,1423,678,1323,33388,38267,38263,0,0,0,0,3153,3173,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9361102786934372,-1.6119969603188435,-0.5192957298459261,-1.6922419847748391,-1.0163939967727562,-1.755850621224488,-1.54339272880237,0.060632,0.1,0.161127,0.2,1322,810,1384,33370,38099,38093,0,0,0,0,3205,3196,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9328873154926197,-1.6505031822722742,-0.5278855224013924,-1.771301871670371,-1.0538881373594458,-1.7946038763238183,-1.5870620992880036,0.059976,0.1,0.160162,0.2,1638,599,1405,33332,37692,37683,0,0,0,0,3090,3084,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9268861495593179,-1.6870921658717901,-0.537331754053631,-1.851999270707442,-1.1351128844552236,-1.8445740042064342,-1.6260705464175835,0.059334,0.1,0.159204,0.2,1450,964,1496,33017,37748,37741,0,0,0,0,3161,3161,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9316953021746966,-1.6898665831423787,-0.5216784450576494,-1.7557385067030875,-1.0426617760793633,-1.8573718109889028,-1.6394080808356462,0.058706,0.1,0.158251,0.2,1431,843,1360,33292,37941,37936,0,0,0,0,3065,3060,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9391542348411934,-1.6707995508180058,-0.4832252841633441,-1.502914382089605,-0.7726874984002701,-1.8560973596261547,-1.6270506824175042,0.058091,0.1,0.157304,0.2,1346,677,1324,33248,38129,38121,0,0,0,0,3099,3093,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9353449583017437,-1.6909146870045193,-0.5042384624170876,-1.5375468272379298,-0.8603016137377345,-1.8840193361876543,-1.6526781803156978,0.057488,0.1,0.156362,0.2,1315,817,1482,32975,37770,37765,0,0,0,0,3171,3180,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9347872243622797,-1.7364659539947125,-0.5454943479143737,-1.6850173096839616,-1.0274616456801613,-1.9197240795642292,-1.6805161184991464,0.056899,0.1,0.155426,0.2,1292,858,1312,32969,37713,37706,0,0,0,0,3188,3191,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.93392905496886,-1.766316631972155,-0.5516128189329891,-1.735662852775702,-1.0453531526282571,-1.960956163660121,-1.715567337130022,0.056321,0.1,0.154496,0.2,1404,792,1310,33237,38116,38108,0,0,0,0,3130,3150,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9403442935430069,-1.7394458706393185,-0.5348102965666962,-1.5405770098206073,-0.8783437593730254,-1.9554129904796267,-1.7209392550506983,0.055754,0.1,0.153571,0.2,1353,650,1251,33576,38360,38356,0,0,0,0,3281,3274,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9282021999158502,-1.7768532402136579,-0.5755027501778321,-1.660951084556945,-1.0065008547055725,-1.972937501912274,-1.7413232129484066,0.055199,0.1,0.152652,0.2,1499,890,1341,33274,37743,37741,0,0,0,0,3209,3219,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9358411020723235,-1.7691668935998568,-0.564577275464049,-1.586872643400519,-0.9279936448111493,-1.975855719159046,-1.74393033444032,0.054655,0.1,0.151738,0.2,1374,787,1363,33682,38403,38398,0,0,0,0,3219,3224,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9339986255938331,-1.785664051052396,-0.5716343909804656,-1.5925301245851486,-0.9402789055406267,-2.0009177498095174,-1.7662212987338741,0.054121,0.1,0.15083,0.2,1531,678,1340,33469,38027,38022,0,0,0,0,3202,3210,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9325879449284844,-1.8025579889439296,-0.5788728731493296,-1.5941929664991148,-0.9337990651488726,-2.032225195697152,-1.798217594707487,0.053598,0.1,0.149927,0.2,1507,760,1387,33629,38107,38104,0,0,0,0,3111,3125,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9311103840090424,-1.8314013056454208,-0.6014658879335592,-1.686603603630887,-1.0025195274582168,-2.0690176733149945,-1.83436701695155,0.053085,0.1,0.14903,0.2,1269,1047,1441,33619,38345,38334,0,0,0,0,3201,3199,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9266246131873364,-1.8530026735872378,-0.6095570961738803,-1.7289257159839133,-1.0293330534117764,-2.102617309483218,-1.8631378153966645,0.052582,0.1,0.148138,0.2,1643,823,1335,33608,38134,38128,0,0,0,0,3164,3164,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9212705952204245,-1.9142189121676392,-0.6488479743105882,-1.9556415825890636,-1.2318945844143192,-2.1274911149611238,-1.8892259168627676,0.052088,0.1,0.147251,0.2,1758,894,1528,33685,38034,38027,0,0,0,0,3208,3212,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9303895160558094,-1.920242035843204,-0.6439634419465174,-1.898091823821744,-1.1627280500976696,-2.145037857486049,-1.9154432627031552,0.051603,0.1,0.14637,0.2,1686,614,1255,33041,37499,37495,0,0,0,0,3181,3192,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9284748751101969,-1.9553779724260525,-0.6557949247151237,-2.011776817706955,-1.2206176995200875,-2.19161730878695,-1.9600874136037754,0.051127,0.1,0.145494,0.2,1540,894,1403,34030,38660,38649,0,0,0,0,3244,3244,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9392938633361355,-1.9330111746574383,-0.6260087734276055,-1.7945861513677135,-1.0404712706106818,-2.18958567324324,-1.9670267176059248,0.05066,0.1,0.144623,0.2,1284,738,1347,33308,38162,38159,0,0,0,0,3187,3190,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9288658863178166,-1.9678447777649621,-0.6507664797010374,-1.898367958991146,-1.1647120184425823,-2.2402877717722713,-2.0115467552844746,0.050201,0.1,0.143757,0.2,1339,1025,1560,33233,37924,37915,0,0,0,0,3171,3178,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9358475894245724,-1.9347702145406778,-0.6254557627657171,-1.667391102967021,-1.0011427175742498,-2.236216178664092,-2.0147822907772026,0.049751,0.1,0.142897,0.2,1375,770,1376,33436,38412,38408,0,0,0,0,3163,3150,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9357871633645747,-1.9536523934394439,-0.6233550885717616,-1.667072823494988,-0.9813396130700365,-2.251309555118929,-2.0305193762155556,0.049308,0.1,0.142042,0.2,1477,688,1228,33716,38433,38429,0,0,0,0,3216,3209,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9386705511623759,-1.9669703256444013,-0.6372703556713589,-1.7011930522722527,-1.031072136436017,-2.2654818812299062,-2.0589051184814187,0.048874,0.1,0.141191,0.2,1419,644,1158,33638,38302,38294,0,0,0,0,3152,3135,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9339409119715122,-1.9516476245113799,-0.6302724732600253,-1.5790707764129097,-0.950919922174976,-2.2664696476200747,-2.060104400332401,0.048447,0.1,0.140346,0.2,1356,833,1470,33137,37870,37862,0,0,0,0,3089,3109,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9329954110554572,-1.972973915290462,-0.6503676896346223,-1.6508467591618687,-1.0131191718011219,-2.301033755407156,-2.090227951260188,0.048027,0.1,0.139506,0.2,1397,837,1430,33341,38172,38168,0,0,0,0,3273,3267,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9362317984464069,-2.0029482400774277,-0.6623198950142889,-1.7146138432586977,-1.0704763658712633,-2.3276254053159473,-2.115494297728865,0.047615,0.1,0.138671,0.2,1379,780,1259,33857,38410,38405,0,0,0,0,3234,3229,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9390142270373236,-2.013369148918849,-0.6628371817099992,-1.7324063145300406,-1.0951091804838249,-2.339127917838485,-2.1277076699408717,0.047209,0.1,0.137841,0.2,1393,656,1482,33598,38327,38322,0,0,0,0,3095,3115,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9298507462686567,-2.0059341592604203,-0.6722009589378232,-1.6470548831684195,-1.0861103203792692,-2.3569875481887963,-2.1526288311438178,0.046811,0.1,0.137016,0.2,1580,770,1296,33500,38093,38088,0,0,0,0,3162,3172,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.934694364851958,-2.01166207115958,-0.6927677902628541,-1.6463071116295105,-1.1516918637934284,-2.366775481821454,-2.164025215909144,0.046419,0.1,0.136196,0.2,1410,778,1306,33504,38070,38067,0,0,0,0,3242,3252,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
