episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
16,0.9305655937473737,-2.9825090756076627,-0.2418143681106309,-0.1055763053099431,-0.04381063100245051,-0.024297060295596577,-0.01364100040417433,0.006749,0.01,0.0,0.97,100,13,1,14
17,0.9372476134155614,-3.0034800732399307,-0.2521274989331534,-0.10983216510562542,-0.04581357063073557,-0.025218400596386584,-0.014200613419375322,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.9286392958943841,-3.0275432291055315,-0.26397499627849225,-0.1149817990353671,-0.047852950263612186,-0.026451655760520665,-0.014859543919272302,0.006486,0.01,0.0,0.97,100,13,1,14
19,0.9306994598634372,-3.04988828291616,-0.27514819338778373,-0.119820422181742,-0.049839883924528185,-0.027528560238161092,-0.015495673703458165,0.006362,0.01,0.0,0.97,100,13,1,14
20,0.936376695396539,-3.070195543643213,-0.2853351933732235,-0.1240250983007722,-0.05187671239179376,-0.028470027316055746,-0.01605516844629903,0.006242,0.01,0.0,0.97,100,13,1,14
21,0.9312223183831391,-3.0914804508426137,-0.29592162465829425,-0.1285564698131466,-0.05375662865196613,-0.029496759231160952,-0.016612609056898035,0.006127,0.01,0.0,0.97,100,13,1,14
22,0.9344875994384652,-3.1116071889275028,-0.305950714574991,-0.1327805158203716,-0.05564113963621986,-0.030470922190309134,-0.017182585098225477,0.006016,0.01,0.0,0.97,100,13,1,14
23,0.9304665902501517,-3.1326788339292713,-0.31663973863826106,-0.13739953891242004,-0.05763295849795287,-0.03151270052581006,-0.017824941607974126,0.005909,0.01,0.0,0.97,100,13,1,14
24,0.9307169735921942,-3.1342496154800945,-0.31798443022385664,-0.14001531104888526,-0.057751408566221386,-0.03254506741139469,-0.01839902348109046,0.005806,0.01,0.0,0.97,100,14,1,15
25,0.93367149188588,-3.1533085329591013,-0.3273746225537284,-0.1440218337621688,-0.059418457566034165,-0.03345141061510227,-0.01891151982994225,0.005706,0.01,0.0,0.97,100,13,1,14
26,0.9323632444085153,-3.172615983689556,-0.33701349759749105,-0.1480788576933305,-0.06124302083164588,-0.034353837086983925,-0.01945053564257781,0.00561,0.01,0.0,0.97,100,13,1,14
27,0.9388862985412643,-3.1895801177691596,-0.34554401165694726,-0.15165246800761997,-0.06282152139869016,-0.035156890234929114,-0.019904201223847354,0.005517,0.01,0.0,0.97,100,13,1,14
28,0.934008785364458,-3.207599635897579,-0.3544316489862345,-0.15542512514029663,-0.06447672042531921,-0.03604418747620788,-0.020427350901174816,0.005426,0.01,0.0,0.97,100,13,1,14
29,0.9288810053715758,-3.227078121005828,-0.3640104299654939,-0.1596527417645521,-0.06611262038930606,-0.03703107634480121,-0.020976808430477965,0.005339,0.01,0.0,0.97,100,13,1,14
30,0.9298221776864417,-3.2455735178072516,-0.3731310288163576,-0.16359258147665562,-0.06765588714066129,-0.037937702010185995,-0.021470513878218443,0.005255,0.01,0.0,0.97,100,13,1,14
31,0.9300763049496927,-3.263821825605468,-0.3821902241285516,-0.1675909361589003,-0.06924511444228745,-0.03882939292892435,-0.022001708064106555,0.005173,0.01,0.0,0.97,100,13,1,14
32,0.9307364393125671,-3.281706111499135,-0.391307429779079,-0.17163826009043875,-0.0708411472219054,-0.039759123740221114,-0.022519548263431107,0.005094,0.01,0.0,0.97,100,13,1,14
33,0.9353582554517134,-3.2977645316605813,-0.39942259498700405,-0.17509091466256135,-0.07232923580588071,-0.04050135519305203,-0.02299247148812105,0.005017,0.01,0.0,0.97,100,13,1,14
34,0.9346864515698285,-3.3140536743733926,-0.40763953885922327,-0.1786043901299488,-0.0738480690544509,-0.0412702558972231,-0.023461163487281115,0.004942,0.01,0.0,0.97,100,13,1,14
35,0.9352414481813104,-3.329651206270467,-0.4155310794931086,-0.1818879540074076,-0.07535802098519975,-0.04200456120792939,-0.023870091613628453,0.00487,0.01,0.0,0.97,100,13,1,14
36,0.9308063590643669,-3.346273697042775,-0.4239225552717882,-0.18560016618437003,-0.0768603594650292,-0.042871223390260574,-0.024362872163273513,0.004799,0.01,0.0,0.97,100,13,1,14
37,0.9312853815684341,-3.362329605053956,-0.431901643689708,-0.18903681469914974,-0.07829137446767155,-0.04365143759090346,-0.024808319134311505,0.004731,0.01,0.0,0.97,100,13,1,14
38,0.9299620690812661,-3.3789212400732906,-0.4402873893141846,-0.19260987002700822,-0.07985798471554179,-0.044493149897270705,-0.025273443327362703,0.004665,0.01,0.0,0.97,100,13,1,14
39,0.9358821654448154,-3.3936768610376635,-0.44767234039401294,-0.19577774264914327,-0.0812582821873452,-0.04522308205158534,-0.025698822863022355,0.0046,0.01,0.0,0.97,100,13,1,14
40,0.9292382063677279,-3.4099367680190222,-0.45575362292224225,-0.1993107235496092,-0.08266735002361444,-0.046072487312927894,-0.026138332097697576,0.004537,0.01,0.0,0.97,100,13,1,14
41,0.9318307870720517,-3.4244923890326575,-0.4629686999041216,-0.2024380851332827,-0.08395339459594373,-0.04680893952990119,-0.026551131117926365,0.004476,0.01,0.0,0.97,100,14,1,15
42,0.9295129804789696,-3.440204085290549,-0.4708438522508226,-0.20600770367979576,-0.08536076683719653,-0.04763214937507603,-0.02704944821329463,0.004417,0.01,0.0,0.97,100,13,1,14
43,0.9342370062370062,-3.4545669731146056,-0.47795420341706524,-0.20906507206653252,-0.08665400605952926,-0.04832938071701009,-0.02744217370255512,0.004359,0.01,0.0,0.97,100,13,1,14
44,0.9287642748142807,-3.4700648516487287,-0.4858045778780172,-0.2125243025453965,-0.08801501594779354,-0.04916290420588205,-0.027870821831460477,0.004302,0.01,0.0,0.97,100,13,1,14
45,0.930466251472816,-3.4847416333916583,-0.49296236243961167,-0.21550636069474768,-0.08934444508910071,-0.049869979652611425,-0.028304125748517747,0.004247,0.01,0.0,0.97,100,13,1,14
46,0.9338167413599208,-3.498575753761619,-0.4998737757052304,-0.21845313142802447,-0.09055772979321791,-0.050543736135597726,-0.02868050777610392,0.004194,0.01,0.0,0.97,100,13,1,14
47,0.932231543624161,-3.512481163750015,-0.5068219569170245,-0.2214340200896451,-0.09183304388374279,-0.05118370523324857,-0.029078274828681683,0.004141,0.01,0.0,0.97,100,13,1,14
48,0.9350655827639519,-3.5257249177535304,-0.5135229875623774,-0.22435727918050646,-0.0930275701943263,-0.05186962475763378,-0.029441743723721558,0.00409,0.01,0.0,0.97,100,13,1,14
49,0.9304292163600836,-3.539678524496311,-0.5204429337555154,-0.2273195826491896,-0.09434401843541869,-0.052538011819428264,-0.02983435175217647,0.004041,0.01,0.0,0.97,100,13,1,14
50,0.9333199100640961,-3.552835991938657,-0.527016467413358,-0.23018190438117314,-0.09553548211809247,-0.05316782716863011,-0.03021054896825368,0.003992,0.01,0.0,0.97,100,13,1,14
51,0.9337980267367074,-3.565701894858301,-0.5334693658909565,-0.23298704369732265,-0.09669508336644674,-0.05380515668087941,-0.030589699195999822,0.003945,0.01,0.0,0.97,100,13,1,14
52,0.9379521704180064,-3.577481940074312,-0.5392661721414985,-0.23536403767087746,-0.09779229170162469,-0.05429017648278827,-0.030920590281405723,0.003898,0.01,0.0,0.97,100,13,1,14
53,0.9328120814358425,-3.576333309986986,-0.5379256585288881,-0.23592095033152413,-0.09728079351543908,-0.054703864808232174,-0.031173508112905333,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9256568571524445,-3.587030813530145,-0.5436665417628782,-0.23879594813961516,-0.0982082635231351,-0.055411511234323696,-0.03151897584226658,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9307255647281435,-3.6000420754772264,-0.5501331532454059,-0.24162621445418725,-0.09937128691347549,-0.05605306118602251,-0.03188810710313936,0.003766,0.01,0.0,0.97,100,13,1,14
56,0.9378955163592299,-3.6112272611677034,-0.5557550385184081,-0.24406520508376017,-0.10041211368309631,-0.05662180517758541,-0.032187282900741306,0.003724,0.01,0.0,0.97,100,13,1,14
57,0.9298392779250411,-3.624059260495778,-0.5620650952953141,-0.2468631514562204,-0.10143416450498592,-0.05724971605529286,-0.03254138424245752,0.003682,0.01,0.0,0.97,100,13,1,14
58,0.9375619925020594,-3.6351313494874087,-0.5675030166913775,-0.24916322122359097,-0.10243414811167426,-0.057738195384799636,-0.0328792264203966,0.003642,0.01,0.0,0.97,100,13,1,14
59,0.9311020297882401,-3.647301440981797,-0.5735632552819009,-0.25182323068612095,-0.1035013506892524,-0.05834370160816107,-0.03324391762404774,0.003602,0.01,0.0,0.97,100,13,1,14
60,0.9356202848540207,-3.658371004477134,-0.5790095844611747,-0.2542161308167791,-0.10443170711440687,-0.058868525638673376,-0.03352429176894029,0.003564,0.01,0.0,0.97,100,13,1,14
61,0.9327818340143346,-3.6699735757241587,-0.5848474882517362,-0.256683628486801,-0.10551947436260876,-0.059430237525385655,-0.033878338092670615,0.003526,0.01,0.0,0.97,100,13,1,14
62,0.9324265102481122,-3.6815524244224167,-0.5904961400603913,-0.2591203540444914,-0.10648088182161047,-0.05997311943303644,-0.03417930862857254,0.003489,0.01,0.0,0.97,100,13,1,14
63,0.9311407328019291,-3.6932669508608322,-0.5962930949348777,-0.26167990841620375,-0.10749559386205447,-0.06056462533477623,-0.03451753438074328,0.003453,0.01,0.0,0.97,100,13,1,14
64,0.9313622140789451,-3.704914006273592,-0.6020933670765266,-0.2642123571066633,-0.10853646439490745,-0.06118245115879321,-0.03486088648403973,0.003417,0.01,0.0,0.97,100,13,1,14
65,0.9313032353634313,-3.716449507960615,-0.6079229702540769,-0.26676870020891247,-0.10962065185085795,-0.0617695736799408,-0.035193333991390026,0.003382,0.01,0.0,0.97,100,13,1,14
66,0.9354925368122367,-3.726930005111536,-0.6130927552533789,-0.26903019582135584,-0.11053743488442476,-0.06225679109497578,-0.035481692820668174,0.003348,0.01,0.0,0.97,100,13,1,14
67,0.9341399210286524,-3.737520213967684,-0.6183144900305649,-0.2712812518535382,-0.11147313504414988,-0.0627876371561717,-0.03578017929229521,0.003315,0.01,0.0,0.97,100,13,1,14
68,0.9323593888582091,-3.748485845118136,-0.6237699004146915,-0.2735529451536142,-0.11250167572108596,-0.06329806563789102,-0.03609740762323646,0.003282,0.01,0.0,0.97,100,13,1,14
69,0.9360752805407854,-3.7561095332149956,-0.6274017112748473,-0.2753297403438801,-0.11316020546496347,-0.06375662091969585,-0.03639425140748771,0.00325,0.01,0.0,0.97,100,14,1,15
70,0.9335074123989219,-3.766515485155189,-0.6325884493782961,-0.27758769556386814,-0.11409574973979196,-0.06427923701991572,-0.036693526964001424,0.003219,0.01,0.0,0.97,100,13,1,14
71,0.9342050261675054,-3.775927782563185,-0.6372177520434148,-0.27963663749123274,-0.11489098942339893,-0.06474172155585992,-0.036978710663793476,0.003188,0.01,0.0,0.97,100,14,1,15
72,0.9272178433674325,-3.787311501328007,-0.6429886501733856,-0.28210580398899554,-0.11593871096810379,-0.06532112174435253,-0.03732473045333541,0.003157,0.01,0.0,0.97,100,13,1,14
73,0.9291414465897947,-3.79811063482279,-0.648335403930561,-0.28446708178720864,-0.11686973853629204,-0.06586576444401769,-0.03762639360913808,0.003128,0.01,0.0,0.97,100,13,1,14
74,0.9332806084673891,-3.8081297506620606,-0.6533604439969516,-0.2866065385883005,-0.11778228601406238,-0.06634287771233711,-0.037900216639923046,0.003098,0.01,0.0,0.97,100,13,1,14
75,0.9320208023774146,-3.8182226307634433,-0.6583941483150834,-0.288755522947899,-0.11875055406180086,-0.06681087057081046,-0.038207055991588176,0.00307,0.01,0.0,0.97,100,13,1,14
76,0.9326303751912954,-3.8277854240729234,-0.6632068812797769,-0.29087282470140746,-0.11962213919936618,-0.06728139364433008,-0.03847799106667274,0.003042,0.01,0.0,0.97,100,14,1,15
77,0.9292322078616038,-3.838366985685773,-0.6685656754421894,-0.2932383203205771,-0.12058636950441957,-0.06785464110074926,-0.03880796350808552,0.003014,0.01,0.0,0.97,100,13,1,14
78,0.9301622493197622,-3.848567884222565,-0.6736130066186083,-0.2954158402036912,-0.12149564430393203,-0.06835308026138344,-0.03909181276391762,0.002987,0.01,0.0,0.97,100,13,1,14
79,0.932763251844548,-3.858096154751886,-0.6783648435663656,-0.29747367902069843,-0.12237096958105223,-0.06879382769736349,-0.039350440065116864,0.00296,0.01,0.0,0.97,100,13,1,14
80,0.938431049829535,-3.8666754676039825,-0.6826165562473302,-0.299315107127714,-0.12307910026307667,-0.06920195894278645,-0.039599743824169115,0.002934,0.01,0.0,0.97,100,13,1,14
81,0.9349352368504834,-3.8758471307267013,-0.6871403853096083,-0.3013085500315781,-0.12387388724521615,-0.06966059492562647,-0.03985149453390928,0.002909,0.01,0.0,0.97,100,13,1,14
82,0.9369416444729124,-3.884268617793892,-0.691314444368657,-0.3031030316466393,-0.12468152121777137,-0.070091976519918,-0.04010230103049889,0.002883,0.01,0.0,0.97,100,13,1,14
83,0.9354056990055988,-3.8931909077432962,-0.6957406088602268,-0.3050110982331552,-0.12548828460710515,-0.0705284477100344,-0.04035679693405403,0.002859,0.01,0.0,0.97,100,13,1,14
84,0.9358490566037736,-3.9020249863054253,-0.7000845887619428,-0.30696902326929715,-0.12619304515966956,-0.07097513991008629,-0.040573204283919036,0.002834,0.01,0.0,0.97,100,13,1,14
85,0.9314854709843768,-3.911287960328118,-0.7047544190185745,-0.30897479207117595,-0.12708649278722847,-0.07141302211180989,-0.04084575082430053,0.00281,0.01,0.0,0.97,100,13,1,14
86,0.9330279121065581,-3.9202185910217793,-0.7092250055256779,-0.3109214312122164,-0.12789060945662956,-0.07184034125432585,-0.04109781555211875,0.002787,0.01,0.0,0.97,100,13,1,14
87,0.9270770265724857,-3.9300926232750633,-0.7141105203959682,-0.31306854867793943,-0.12873857699679767,-0.07236262432735513,-0.041380303015084455,0.002763,0.01,0.0,0.97,100,13,1,14
88,0.9273481402194274,-3.939938190039512,-0.7190064588941723,-0.3152326940320801,-0.12957081815449975,-0.07286377806376645,-0.04165708107978385,0.002741,0.01,0.0,0.97,100,13,1,14
89,0.931760214853977,-3.9488802193655586,-0.7234495242466807,-0.317173901206011,-0.1303218838144178,-0.07329313859691194,-0.04191188046287421,0.002718,0.01,0.0,0.97,100,13,1,14
90,0.9337916729395628,-3.957525180492697,-0.7277219863268425,-0.3190304985819647,-0.13109460150376964,-0.07371231399099687,-0.04215567569267195,0.002696,0.01,0.0,0.97,100,13,1,14
91,0.9305159053833605,-3.96644150985136,-0.7321318484688629,-0.3209121039902371,-0.13189071015210851,-0.07414734613987936,-0.042388082368552085,0.002674,0.01,0.0,0.97,100,13,1,14
92,0.9373305773922472,-3.9742352712021725,-0.7359640621002882,-0.3225764031573742,-0.13259498441710577,-0.07452162501149864,-0.04261175624402799,0.002653,0.01,0.0,0.97,100,13,1,14
93,0.928731518030374,-3.9835205386480563,-0.7406575617851497,-0.3246424259268934,-0.13341213375451833,-0.07498826103320838,-0.04286401719561613,0.002632,0.01,0.0,0.97,100,13,1,14
94,0.9320866978325542,-3.991920531857935,-0.7448189369819566,-0.3263955467382649,-0.13416696550000862,-0.07537619262132685,-0.04309255647082694,0.002611,0.01,0.0,0.97,100,13,1,14
95,0.9355441461156468,-3.9983475215476494,-0.7479479763723362,-0.3279057909449107,-0.13466108111897485,-0.07576930356045584,-0.0432824689483518,0.002591,0.01,0.0,0.97,100,14,1,15
96,0.9313889593372221,-4.006798743614989,-0.7521022582970368,-0.329712959652982,-0.13536311032210144,-0.07615918117714641,-0.043518851367912226,0.002571,0.01,0.0,0.97,100,13,1,14
97,0.9282306296619851,-4.015730908496092,-0.756634645932339,-0.331695674631222,-0.1361743143985931,-0.0766137756010874,-0.04378458851485815,0.002551,0.01,0.0,0.97,100,13,1,14
98,0.9296935576307184,-4.02432125198259,-0.7609059147966555,-0.3335919260651427,-0.13690998715075794,-0.0770558628609794,-0.044044350568469115,0.002532,0.01,0.0,0.97,100,13,1,14
99,0.9322549237312745,-4.032421287194567,-0.7650071001715347,-0.3353936809638401,-0.13765230910203657,-0.07747386933953578,-0.044297297778385265,0.002513,0.01,0.0,0.97,100,13,1,14
100,0.9332876895330973,-4.038074543536368,-0.7678409317916746,-0.33688745863018527,-0.13817008604761105,-0.0779007281632208,-0.04445910587799113,0.002494,0.01,0.0,0.97,100,14,1,15
101,0.9345148591799152,-4.045729307082529,-0.7716558736590148,-0.3385578313431291,-0.13887701567274988,-0.07827938738404638,-0.04467595060502109,0.002475,0.01,0.0,0.97,100,13,1,14
102,0.931651599268714,-4.053806115958249,-0.7756885781014636,-0.3402998768170648,-0.13963085607106673,-0.07868807501493341,-0.04490703483439795,0.002457,0.01,0.0,0.97,100,13,1,14
103,0.9409692823517458,-4.060431413622311,-0.7789697694018457,-0.3417274080090718,-0.14021287576459257,-0.0789966725963219,-0.045089586684944435,0.002439,0.01,0.0,0.97,100,13,1,14
104,0.9349660320389164,-4.067934513615595,-0.7826811256244239,-0.3433417291127894,-0.1408603727646655,-0.07935459653780237,-0.045306114587383706,0.002421,0.01,0.0,0.97,100,13,1,14
105,0.9341280529369711,-4.075585179238872,-0.786510834158972,-0.3450340378743849,-0.14153517021819265,-0.07974448905501424,-0.0455023653176592,0.002404,0.01,0.0,0.97,100,13,1,14
106,0.9302692540119519,-4.083606192326258,-0.7905101904823647,-0.34677750435767446,-0.14225717995411274,-0.0801145060974379,-0.04574309615077029,0.002386,0.01,0.0,0.97,100,13,1,14
107,0.9367357251136937,-4.090680388178071,-0.7939865875143888,-0.34826851491603017,-0.14289469632904275,-0.08045908587098022,-0.045941037129166015,0.002369,0.01,0.0,0.97,100,13,1,14
108,0.9302968713557458,-4.098711310576508,-0.7979902013119906,-0.3500399799444804,-0.14359375370026944,-0.08087050114004156,-0.04617783983114266,0.002352,0.01,0.0,0.97,100,13,1,14
109,0.9346502775308974,-4.10597372206358,-0.8015931906469664,-0.3515861359077745,-0.14425222481481495,-0.08122715302602364,-0.04638578532892225,0.002336,0.01,0.0,0.97,100,13,1,14
110,0.9352049277422412,-4.113022994583814,-0.8050993535914532,-0.35305858495348685,-0.14489763417786358,-0.08156409992496734,-0.0465699698311357,0.00232,0.01,0.0,0.97,100,13,1,14
111,0.9274452232650499,-4.121039073104582,-0.8090448768283861,-0.35477033461255475,-0.1455879357172081,-0.08195140569643496,-0.0467908072852247,0.002304,0.01,0.0,0.97,100,13,1,14
112,0.9359670030596549,-4.127942227162703,-0.8124089760361856,-0.35621242615056004,-0.1461834815130943,-0.08227932855367967,-0.0469873130264519,0.002288,0.01,0.0,0.97,100,13,1,14
113,0.933506325008109,-4.133871427081503,-0.8153500282573655,-0.3576083249648946,-0.14669079428688425,-0.08257207309526007,-0.04716386179761462,0.002272,0.01,0.0,0.97,100,14,1,15
114,0.9309598510142107,-4.141410777297036,-0.8191300798920131,-0.35926583152338826,-0.14735235479846664,-0.08296042281629999,-0.04738230655065896,0.002257,0.01,0.0,0.97,100,13,1,14
115,0.9371102134635861,-4.148026342547406,-0.822398240922303,-0.36072257792746454,-0.14786995345111129,-0.08329943896581883,-0.047573514685393684,0.002241,0.01,0.0,0.97,100,13,1,14
116,0.9342947901272316,-4.154815349512164,-0.8257445566075309,-0.36214619950653243,-0.14850063644440897,-0.08363626097340873,-0.04776086192190452,0.002226,0.01,0.0,0.97,100,13,1,14
117,0.9321252662406816,-4.162057942283892,-0.8293126315737848,-0.3637250193225403,-0.14912051529287765,-0.0840026092552407,-0.04797225653310847,0.002212,0.01,0.0,0.97,100,13,1,14
118,0.9280197454582089,-4.1696870696659944,-0.8331716203203706,-0.36545176404520796,-0.14978225448960725,-0.0843922316490017,-0.04817415305827302,0.002197,0.01,0.0,0.97,100,13,1,14
119,0.9309912590042284,-4.176930557205481,-0.8368687623581131,-0.36705019883909384,-0.15045445514142256,-0.08478385511574288,-0.04836850228513054,0.002182,0.01,0.0,0.97,100,13,1,14
120,0.9294091984495864,-4.184310183199255,-0.8405689121804989,-0.36866712081164965,-0.1511139607590882,-0.08515996323814967,-0.048565291496852396,0.002168,0.01,0.0,0.97,100,13,1,14
121,0.9356711369869929,-4.1908138730150934,-0.8437368784126731,-0.37006273290818625,-0.1516402775921584,-0.08550187701314842,-0.048757180510300493,0.002154,0.01,0.0,0.97,100,13,1,14
122,0.9320280192421302,-4.197709891787841,-0.8472000803048304,-0.37159866038554257,-0.1522419254282993,-0.08583383277930859,-0.04894932983666032,0.00214,0.01,0.0,0.97,100,13,1,14
123,0.9383704793592937,-4.203850993590096,-0.8503147142542465,-0.37291742393511584,-0.15283919291355869,-0.08611974950273227,-0.049143341025063667,0.002127,0.01,0.0,0.97,100,13,1,14
124,0.9273174512248543,-4.211236889712638,-0.8539018798124145,-0.3745149606097906,-0.1534217585303444,-0.08649190806564853,-0.04934992575420033,0.002113,0.01,0.0,0.97,100,13,1,14
125,0.9308016018461956,-4.218133713869007,-0.8573294570679668,-0.376012547899159,-0.15402352929136714,-0.08683531832853932,-0.04956442630284023,0.0021,0.01,0.0,0.97,100,13,1,14
126,0.9299331975971327,-4.2251998585305275,-0.8608762742669779,-0.37755300685812737,-0.15466479225363813,-0.08718081554792942,-0.0497629810328285,0.002087,0.01,0.0,0.97,100,13,1,14
127,0.9366215007677641,-4.231305886819401,-0.8639122513993758,-0.3788949050775847,-0.1551995320570927,-0.08749785059854612,-0.04993892415904711,0.002074,0.01,0.0,0.97,100,13,1,14
128,0.9343725460712078,-4.237746776952032,-0.8670723831952446,-0.38026298007809967,-0.15577232849331368,-0.08782677148722053,-0.05010498667692431,0.002061,0.01,0.0,0.97,100,13,1,14
129,0.9287179314750681,-4.244802166891222,-0.8705793582135068,-0.381766659317498,-0.15640970918665076,-0.08816606714099907,-0.05030266045782969,0.002048,0.01,0.0,0.97,100,13,1,14
130,0.9293926664769969,-4.251679980597618,-0.874071865197893,-0.3832980522208062,-0.1570621369731244,-0.08851701561015597,-0.050519526881444295,0.002035,0.01,0.0,0.97,100,13,1,14
131,0.93416373105901,-4.257906591073631,-0.8771613338884576,-0.38464661919782994,-0.15761506452883822,-0.08883858282605009,-0.050702295739690886,0.002023,0.01,0.0,0.97,100,13,1,14
132,0.9375692648688585,-4.263762399004539,-0.8800871482922926,-0.38591990436161644,-0.15814769889617813,-0.08911678073949558,-0.050869658843420984,0.002011,0.01,0.0,0.97,100,13,1,14
133,0.9386897529364115,-4.2694113172969335,-0.8828381285990875,-0.38709187294231306,-0.15864218543539865,-0.08939896349463033,-0.05102128221461285,0.001999,0.01,0.0,0.97,100,13,1,14
134,0.9322094386757983,-4.275364162929673,-0.885812857858503,-0.3884338770164499,-0.15916499780104887,-0.08973655423813978,-0.05119213528157595,0.001987,0.01,0.0,0.97,100,14,1,15
135,0.9299654212701358,-4.281897764493486,-0.889074593651715,-0.3898833302555789,-0.15969365218270598,-0.09005725801641513,-0.051358593856655664,0.001975,0.01,0.0,0.97,100,13,1,14
136,0.933908721496457,-4.2880062240412995,-0.8920921869922929,-0.3911619048462253,-0.16024613931201268,-0.09034160452035969,-0.051514993650288214,0.001963,0.01,0.0,0.97,100,13,1,14
137,0.9341139787497246,-4.293976374419428,-0.8950274052293288,-0.39240667532701295,-0.16078936774353156,-0.09063254292321109,-0.05168542415038891,0.001952,0.01,0.0,0.97,100,13,1,14
138,0.9365806202720609,-4.299701309648102,-0.8978867070881532,-0.39365775111794354,-0.16130000810793577,-0.09091420041174865,-0.05183246588331068,0.00194,0.01,0.0,0.97,100,13,1,14
139,0.9283435256580697,-4.306391210810573,-0.9011632455396885,-0.3951481326584945,-0.16181964694491072,-0.09126302602024662,-0.05201821755617106,0.001929,0.01,0.0,0.97,100,13,1,14
140,0.9348182725320073,-4.312194645871001,-0.904046259054978,-0.39636458768378185,-0.16233703310633638,-0.09155180566879861,-0.05217891842401133,0.001918,0.01,0.0,0.97,100,13,1,14
141,0.9369498257957013,-4.317761321920858,-0.9068445164646974,-0.397605099938462,-0.16283747633863999,-0.09184171388285735,-0.052338879804560666,0.001907,0.01,0.0,0.97,100,13,1,14
142,0.9327482926992969,-4.323777305162315,-0.9097915301599547,-0.39889020135532044,-0.16332310676852038,-0.09213697941681914,-0.05250620496589687,0.001896,0.01,0.0,0.97,100,13,1,14
143,0.9314848336181083,-4.329873422709643,-0.912871186326548,-0.40025355920769895,-0.16387136328822052,-0.09246262802649442,-0.052689165389458004,0.001885,0.01,0.0,0.97,100,13,1,14
