episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
10,0.9112406160253934,-2.5692803412407312,-0.03675011083726071,-0.016135537431661025,-0.007038439911061544,-0.01141695157539311,-0.006695098083533586,-0.01023757702547905,-0.0009806834691439667,-0.0008656539710943147,0.015373,0.02,0.180933
11,0.9212175319206279,-2.574669859746572,-0.039574428063910906,-0.017365852238924888,-0.007572055895848021,-0.012233175723762087,-0.0071694304664328325,-0.01102015183317918,-0.0010528123400750423,-0.0009236813884256062,0.015025,0.02,0.179129
12,0.9243905728446677,-2.579832405325951,-0.04227934971919396,-0.018516329965120048,-0.008108626663237957,-0.013003728285150545,-0.007686207927395152,-0.011758147975102638,-0.0011153333843204986,-0.0009878713411021122,0.014693,0.02,0.177343
13,0.9211503874405392,-2.58508534314822,-0.045065697953997716,-0.0196957446008847,-0.008682098324052104,-0.013780931402282256,-0.008166812396578266,-0.0124464818328465,-0.0011729547981120321,-0.0010388114091226671,0.014375,0.02,0.175575
14,0.9222962204962172,-2.590115115402998,-0.047669812611983234,-0.02080594263008892,-0.00919506631727311,-0.01459498902330735,-0.00862416402468282,-0.01317988434206569,-0.0012286264191641405,-0.0010882614214087556,0.014071,0.02,0.173825
15,0.9250339611249937,-2.594885663853466,-0.050180579634938445,-0.021863108530515356,-0.009704733637669043,-0.015328385459882835,-0.009083522512325654,-0.013801097648819776,-0.0012779320785695717,-0.0011429525080981983,0.013779,0.02,0.172092
16,0.9257581097182366,-2.5994024768548956,-0.05256411079515408,-0.02291263676907393,-0.010151955657245346,-0.016047771805719823,-0.009492619832922072,-0.014424749672278843,-0.0013286406481402104,-0.0011803523215190117,0.013499,0.02,0.170376
17,0.9235952779044434,-2.604128417528742,-0.05503898341263298,-0.023978988228644634,-0.010654839556003465,-0.01679699459076828,-0.009966435433091248,-0.015016250410726299,-0.0014039149231146407,-0.0012254068427206232,0.01323,0.02,0.168678
18,0.9162054940658755,-2.6091366867807975,-0.057662933778759466,-0.025125999745555547,-0.011135725740768031,-0.01757780710737062,-0.010438279279063288,-0.015890150997776634,-0.0014639084848334664,-0.0012865111951751696,0.012972,0.02,0.166996
19,0.9197610481297943,-2.61379234519769,-0.06009143511386304,-0.026168095892508066,-0.011609043184699023,-0.01830357229413378,-0.010894114294636019,-0.01646969235757514,-0.0015381715928401338,-0.0013266748264069846,0.012723,0.02,0.165332
20,0.9197734311598403,-2.6185038076275435,-0.0625463980446827,-0.027227759357181174,-0.012056545542772237,-0.019056815881693386,-0.01132932772296944,-0.017242726782947602,-0.0016081392902303193,-0.0013883828492088869,0.012484,0.02,0.163683
21,0.9168913991078547,-2.6232847471977605,-0.06505728103819283,-0.028332998629733156,-0.012541211131471353,-0.01983625792031812,-0.011812589764051019,-0.01782352820352669,-0.0016666963530138994,-0.0014363957436914349,0.012254,0.02,0.162052
22,0.9221168164098446,-2.6275456379020263,-0.06730540977508435,-0.029285233498186302,-0.01301534538166294,-0.020494379175786667,-0.01224504168418543,-0.018340944397873538,-0.0017137203654087915,-0.001475378126346429,0.012032,0.02,0.160436
23,0.9183215887251761,-2.6319793309973933,-0.06964118889867452,-0.030289795693517908,-0.013475936290175163,-0.021156207258449206,-0.01268522923825657,-0.018920227869479892,-0.0017635299159101836,-0.0015220783922694475,0.011818,0.02,0.158837
24,0.9181863560732113,-2.6364087785860835,-0.07195404038750211,-0.03127632719254814,-0.013925461119943385,-0.021842764374530907,-0.013115163062371397,-0.019530692914465544,-0.0018153365943511185,-0.0015707864400450152,0.011612,0.02,0.157253
25,0.9192782046097857,-2.640605750881924,-0.07411617933245447,-0.03220317040414478,-0.014344703510847137,-0.02249245219031313,-0.013505647842217527,-0.020239525235764475,-0.00185413735288591,-0.0016202106728808994,0.011412,0.02,0.155686
26,0.9304559168622193,-2.6440754601344367,-0.07588603716095463,-0.03297635805283772,-0.014642757036048065,-0.023013969997061894,-0.013814480916003666,-0.020840099929034746,-0.0018969594619122096,-0.0016657732505035163,0.01122,0.02,0.154133
27,0.9192571390534514,-2.648215305320483,-0.07808735975887081,-0.03390133685997879,-0.015099939791655716,-0.023664768830716342,-0.014222484269271045,-0.021345426617502394,-0.0019442143734878055,-0.0017083439062103932,0.011033,0.02,0.152597
28,0.9242029107428283,-2.6519197283818867,-0.07996734813089654,-0.03470594737329341,-0.01545838051825114,-0.024222884270477113,-0.01456482709694611,-0.02189575736055207,-0.001990893257376937,-0.0017479920694909985,0.010853,0.02,0.151076
29,0.9263141978730911,-2.6555057423456128,-0.08182364305992251,-0.035505278031250594,-0.015828894713975094,-0.02478898876390159,-0.014918116504985823,-0.022337883204046078,-0.002035120143848489,-0.001783649520325763,0.010679,0.02,0.14957
30,0.9209159424225964,-2.6592606725366936,-0.08378163919235808,-0.036345355041019094,-0.016201483611372927,-0.025355961800240488,-0.015265068831535005,-0.022816102817061815,-0.0020723267873212744,-0.001821290340959611,0.01051,0.02,0.148078
31,0.9247937648666431,-2.6627955025293466,-0.08562539293341052,-0.03714484967893122,-0.016553706103462833,-0.025921519217859366,-0.015617255295388169,-0.02337572491074908,-0.002113219876595935,-0.001862343335739696,0.010346,0.02,0.146602
32,0.918377642132876,-2.6666011881097997,-0.08758336558226563,-0.03801000404824487,-0.016904021155289304,-0.0265041322769927,-0.015963336345434443,-0.023985676481528172,-0.002171736624874952,-0.0019094770271058177,0.010187,0.02,0.145141
33,0.9216808316120949,-2.6701756591180037,-0.08945931779699062,-0.038821047605277714,-0.017273130660672924,-0.02706261406700751,-0.016287347211272597,-0.024412253323332474,-0.002215867030131068,-0.0019411395218483425,0.010034,0.02,0.143694
34,0.9243527643226992,-2.6736466873019156,-0.09127450727584141,-0.03959392648952287,-0.017620709363708697,-0.027575683035544623,-0.016610211228591326,-0.024820034287679368,-0.002256832125350379,-0.0019716947743024555,0.009884,0.02,0.142261
