episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
25,0.9133651269779748,-3.3490951372286175,-0.42605839338136126,-0.2077077690046903,-0.0599474632711022,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.9126583131231474,-3.3746295356217093,-0.4388750135190688,-0.21402885862237514,-0.06170083020945184,0.00561,0.01,0.0,0.97,100,14,1,15
27,0.9156564310930527,-3.3989394431083046,-0.45100219306193245,-0.2199003757261051,-0.06334704742408054,0.005517,0.01,0.0,0.97,100,14,1,15
28,0.9172122456536008,-3.421546255441036,-0.46236031072241024,-0.2253977147328573,-0.06503144858490047,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.9151257551163842,-3.445051203145965,-0.47405498682731534,-0.23114343307645,-0.06655102884176108,0.005339,0.01,0.0,0.97,100,13,1,14
30,0.9088809252874539,-3.469761140541283,-0.4863176886464953,-0.23721707282553495,-0.06819662478197204,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.9154905800526707,-3.4916330330336383,-0.4973311895437895,-0.2425404086312668,-0.06982896420136868,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.9195085929108485,-3.5130608494809517,-0.5079923678203346,-0.2477559183556266,-0.07124601997603211,0.005094,0.01,0.0,0.97,100,14,1,15
33,0.9157693349586888,-3.534605779496417,-0.518722378407285,-0.25296643795384566,-0.07276310373549925,0.005017,0.01,0.0,0.97,100,13,1,14
34,0.9181285573600841,-3.5554357341612617,-0.5293671797973519,-0.2580500880912252,-0.07439157861097305,0.004942,0.01,0.0,0.97,100,13,1,14
35,0.9168260523687819,-3.575998760119761,-0.5394659181506519,-0.26280497060445174,-0.07590707510756306,0.00487,0.01,0.0,0.97,100,13,1,14
36,0.9112464981267088,-3.597756490831872,-0.550542317959842,-0.26810768330493046,-0.07747974623327762,0.004799,0.01,0.0,0.97,100,14,1,15
37,0.9265593390340513,-3.6149479560500324,-0.5590986633961571,-0.27224701206445945,-0.07870514290317275,0.004731,0.01,0.0,0.97,100,14,1,15
38,0.9162834413077775,-3.626224870542116,-0.5652916838130465,-0.27580765779994115,-0.07961329899891106,0.004665,0.01,0.0,0.97,100,14,1,15
39,0.9111040279152477,-3.647820174894197,-0.5762615891980164,-0.28115688853692683,-0.08116290699443389,0.0046,0.01,0.0,0.97,100,14,1,15
40,0.9118853142190365,-3.6686148815693165,-0.5867535075858363,-0.28634205025344606,-0.0826234306355107,0.004537,0.01,0.0,0.97,100,14,1,15
